split,tag,y_p1,y_p3,y_p7,y_p15
train,2005-07-01,33.042858,32.285713,31.928572,30.914286
train,2005-07-07,33.242859,32.314285,32.000000,31.385714
train,2005-07-14,33.242859,32.871429,31.928572,31.242857
train,2005-07-21,33.242859,32.871429,32.285713,31.571428
train,2005-08-01,33.242859,32.871429,32.185715,31.385714
train,2005-08-07,32.842857,32.514286,31.771429,31.271429
train,2005-08-14,32.842857,32.514286,31.771429,31.171429
train,2005-08-21,34.799999,31.957144,31.557142,30.914286
train,2005-08-28,34.799999,32.985714,31.557142,30.771429
train,2005-09-01,34.799999,32.985714,31.528572,30.271429
train,2005-09-07,34.799999,32.985714,30.857143,30.057142
train,2005-09-14,34.799999,32.985714,30.857143,29.542856
train,2005-09-21,33.671429,32.799999,29.628571,28.600000
train,2005-09-28,31.571428,30.357143,28.714285,28.285715
train,2005-10-01,31.571428,30.357143,28.657143,27.957144
train,2005-10-07,31.571428,30.071428,28.285715,27.071428
train,2005-10-14,30.357143,28.442858,27.085714,24.071428
train,2005-10-21,30.357143,27.371429,26.871429,23.271429
train,2005-10-28,26.871429,24.657143,23.785715,22.514286
train,2005-11-01,30.142857,26.428572,23.799999,22.585714
train,2005-11-14,30.142857,28.133333,24.657143,22.742857
train,2005-11-21,30.142857,28.133333,24.799999,22.614286
train,2005-11-28,30.142857,28.133333,23.650000,21.785715
train,2005-12-01,28.133333,24.957144,22.614286,20.957144
train,2005-12-07,24.957144,22.814285,22.614286,20.385714
train,2005-12-14,24.957144,22.685715,20.600000,18.685715
train,2005-12-21,24.585714,21.400000,19.371429,17.000000
train,2005-12-28,24.585714,21.400000,19.371429,17.428572
train,2006-01-01,24.585714,20.600000,19.328571,16.614286
train,2006-01-07,20.514286,19.385714,18.428572,16.614286
train,2006-01-14,22.400000,20.414286,18.428572,17.100000
train,2006-01-21,22.400000,20.414286,19.114286,17.242857
train,2006-01-28,26.628571,22.400000,20.385714,17.842857
train,2006-02-01,26.628571,22.400000,20.514286,18.900000
train,2006-02-07,28.042856,26.628571,22.299999,19.114286
