path,tag
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-07-01.npz,2005-07-01
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-07-07.npz,2005-07-07
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-07-14.npz,2005-07-14
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-07-21.npz,2005-07-21
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-07-28.npz,2005-07-28
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-08-01.npz,2005-08-01
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-08-07.npz,2005-08-07
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-08-14.npz,2005-08-14
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-08-21.npz,2005-08-21
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-08-28.npz,2005-08-28
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-09-01.npz,2005-09-01
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-09-07.npz,2005-09-07
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-09-14.npz,2005-09-14
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-09-21.npz,2005-09-21
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-09-28.npz,2005-09-28
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-10-01.npz,2005-10-01
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-10-07.npz,2005-10-07
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-10-14.npz,2005-10-14
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-10-21.npz,2005-10-21
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-10-28.npz,2005-10-28
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-11-01.npz,2005-11-01
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-11-07.npz,2005-11-07
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-11-14.npz,2005-11-14
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-11-21.npz,2005-11-21
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-11-28.npz,2005-11-28
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-12-01.npz,2005-12-01
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-12-07.npz,2005-12-07
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-12-14.npz,2005-12-14
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-12-21.npz,2005-12-21
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2005-12-28.npz,2005-12-28
./dataset_FULL_h180_next30_DOM_1_7_14_21_28/sample_2006-01-01.npz,2006-01-01
