split,tag,y_p1,y_p3,y_p7,y_p15
train,2005-07-01,37.466667,36.683334,36.066666,34.066666
train,2005-07-07,37.466667,36.283333,36.083332,34.216667
train,2005-07-14,36.283333,36.099998,35.383335,33.933334
train,2005-07-21,36.833332,36.283333,36.066666,34.216667
train,2005-07-28,36.833332,36.283333,35.716667,34.000000
train,2005-08-01,36.833332,36.133335,34.866665,33.750000
train,2005-08-07,36.833332,35.666668,34.000000,32.900002
train,2005-08-14,36.833332,35.666668,33.916668,32.650002
train,2005-08-21,36.166668,34.000000,33.416668,31.950001
train,2005-08-28,36.166668,34.400002,33.416668,31.866667
train,2005-09-01,36.166668,34.400002,32.116665,31.150000
train,2005-09-07,36.166668,34.400002,31.950001,30.883333
train,2005-09-14,36.166668,34.400002,31.983334,29.916666
train,2005-09-21,35.866665,33.616665,31.066668,28.183332
train,2005-09-28,33.266666,31.166666,28.350000,27.516666
train,2005-10-01,33.266666,31.166666,28.350000,27.383333
train,2005-10-07,31.983334,29.000000,27.833334,26.266666
train,2005-10-14,28.350000,27.483334,26.750000,22.700001
train,2005-10-21,28.233334,27.383333,25.000000,21.750000
train,2005-10-28,27.283333,24.166666,22.216667,21.049999
train,2005-11-01,28.833334,26.700001,22.783333,21.083334
train,2005-11-07,28.833334,28.183332,25.400000,21.666666
train,2005-11-14,28.833334,28.183332,25.400000,23.333334
train,2005-11-21,28.833334,28.183332,25.400000,23.400000
train,2005-11-28,28.833334,28.183332,24.783333,22.266666
train,2005-12-01,28.183332,25.400000,23.916666,19.716667
train,2005-12-07,25.066668,24.283333,23.400000,19.233334
train,2005-12-14,25.066668,21.866667,19.650000,17.350000
train,2005-12-21,22.433332,20.183332,17.883333,14.916667
train,2005-12-28,22.433332,20.183332,19.200001,16.360001
train,2006-01-01,22.433332,20.183332,18.680000,15.033334
train,2006-01-07,19.200001,18.680000,17.299999,15.033334
train,2006-01-14,19.799999,18.783333,18.016666,16.333334
train,2006-01-21,19.799999,19.200001,18.316668,16.416666
train,2006-01-28,24.600000,21.333334,19.666666,17.383333
train,2006-02-01,24.600000,24.283333,20.183332,17.916666
train,2006-02-07,26.150000,24.566668,23.400000,19.799999
train,2006-02-14,26.150000,24.566668,23.716667,20.183332
train,2006-02-21,29.233334,26.150000,24.283333,21.333334
train,2006-02-28,30.816668,27.700001,24.433332,21.016666
train,2006-03-01,30.816668,27.700001,24.433332,21.016666
train,2006-03-07,30.816668,27.700001,24.433332,20.566668
train,2006-03-14,30.816668,28.400000,25.483334,20.816668
train,2006-03-21,34.400002,30.266666,27.700001,22.583334
train,2006-03-28,34.400002,31.283333,28.400000,22.583334
