split,tag,y_p1,y_p3,y_p7,y_p15
train,2005-07-01,31.709091,31.100000,30.590910,29.981817
train,2005-07-07,31.709091,31.163637,31.027273,30.245455
train,2005-07-14,31.445454,31.163637,31.027273,29.981817
train,2005-07-21,32.345455,31.663637,31.090910,30.245455
train,2005-07-28,32.345455,31.663637,31.027273,30.254545
train,2005-08-01,32.345455,31.663637,30.990910,30.218182
train,2005-08-07,32.345455,31.663637,30.563637,30.154545
train,2005-08-14,32.345455,31.663637,30.563637,30.154545
train,2005-08-21,34.027271,30.918182,30.454546,29.709091
train,2005-08-28,34.027271,31.518183,30.536364,29.590910
train,2005-09-01,34.027271,31.518183,30.381819,29.481817
train,2005-09-07,34.027271,31.518183,30.345455,29.136364
train,2005-09-14,34.027271,31.518183,30.345455,28.227272
train,2005-09-21,32.000000,31.236364,28.418182,27.727272
train,2005-09-28,31.127274,29.454546,28.127274,27.354546
train,2005-10-01,31.127274,29.454546,28.127274,27.263636
train,2005-10-07,29.736364,29.072727,27.536364,26.081818
train,2005-10-14,29.454546,29.054546,26.309092,23.272728
train,2005-10-21,29.454546,29.054546,25.318182,22.927273
train,2005-10-28,27.536364,24.654545,23.272728,21.436363
train,2005-11-01,29.127274,26.454546,23.627274,21.690908
train,2005-11-07,29.127274,26.572727,24.654545,22.163637
train,2005-11-14,29.127274,26.572727,25.572727,23.136364
train,2005-11-21,29.127274,26.572727,25.572727,22.236364
train,2005-11-28,29.127274,26.572727,25.054546,20.790909
train,2005-12-01,26.572727,25.909090,24.054546,19.600000
train,2005-12-07,25.909090,25.054546,22.236364,18.427273
train,2005-12-14,25.109091,21.436363,19.454546,16.645454
train,2005-12-21,21.672728,20.227272,18.299999,15.718182
train,2005-12-28,21.672728,20.227272,18.318182,16.127274
train,2006-01-01,21.672728,20.227272,18.299999,15.718182
train,2006-01-07,19.090910,18.318182,17.009090,15.718182
train,2006-01-14,20.381819,18.618181,17.509090,16.154545
train,2006-01-21,20.381819,18.618181,17.745455,16.500000
train,2006-01-28,24.418182,21.409090,18.618181,17.327272
