Feature,Coef (height_diff_m),Coef (distance_m),Intercept,R² Score,P-Value (height_diff_m),P-Value (distance_m),Std Effect (height_diff_m),Std Effect (distance_m),k
prs_stn,-0.111812969,2.1665E-06,-0.325761401,0.999336762,0,0.000107566,-54.25779865,0.228350902,237.6071131
max_wet_temp,-0.005237668,1.75868E-06,-0.353967876,0.906780385,0,1.4467E-267,-2.17920145,0.147212755,14.80307493
tmp_air_wet,-0.005214705,1.23849E-06,-0.311844781,0.872229241,0,1.16996E-96,-2.169647513,0.103669486,20.92850644
min_wet_temp,-0.004902982,1.42597E-06,-0.261580091,0.686324734,0,1.40343E-47,-2.039950972,0.119362711,17.09035392
tmp_air_dry,-0.005186715,-6.90311E-06,0.723961822,0.670622962,0,0,-2.158001996,-0.577835205,3.734632257
tmp_dew_pnt,-0.006212957,9.3056E-06,-1.319905847,0.565160292,0,0,-2.584983575,0.778940088,3.318591011
max_heat_stress,-0.005607726,-1.04579E-05,1.272171589,0.534542847,0,0,-2.333168961,-0.875398687,2.665264407
min_heat_stress,-0.004246508,-1.2937E-06,0.061045208,0.484056759,0,3.90613E-23,-1.766816206,-0.108291561,16.31536378
max_dry_temp,-0.005557591,-1.1907E-05,1.461543888,0.483677581,0,0,-2.312309796,-0.996691413,2.319985669
min_dry_temp,-0.004190626,-1.95829E-06,0.137815512,0.438865736,0,2.1529E-43,-1.743565851,-0.163921755,10.63657381
