Station,Latitude,Longitude,regionId,height
 MA'ALE GILBOA,32.481,35.415,7,495
AFEK,32.8466,35.1123,13,10
AFEQ,32.8466,35.1123,15,10
AFULA NIR HAEMEK,32.596,35.2769,9,60
AFULA NIR HAEMEQ,32.596,35.2769,9,60
AMIAD,32.915,35.5135,8,215
AMMIAD,32.915,35.5135,8,215
ARAD,31.25,35.1855,7,564
ARAD,31.25,35.1855,7,564
ARIEL,32.1056,35.2114,7,685
ARIEL,32.1056,35.2114,7,685
ASHALIM,30.983,34.708,12,305
ASHALIM,30.983,34.708,12,305
ASHDOD PORT,31.8342,34.6377,14,5
ASHDOD PORT,31.8342,34.6377,6,5
ASHHAR,32.8847,35.3012,8,370
ASHKELON PORT,31.6394,34.5215,14,5
ASHQELON PORT,31.6394,34.5215,14,5
AVDAT,30.7877,34.7712,12,555
AVDAT,30.7877,34.7712,12,555
AVNE ETAN,32.8174,35.7622,8,375
AVNEI EITAN,32.8174,35.7622,8,375
AYYELET HASHAHAR,33.0255,35.577,9,167
AYYELET HASHAHAR,33.0255,35.577,9,167
BEER SHEVA,31.2515,34.7995,12,302
BEER SHEVA,31.2515,34.7995,12,302
BEER SHEVA BGU,31.2642,34.8045,12,302
BEER SHEVA BGU,31.2642,34.8045,12,302
BEER SHEVA UNI,31.2612,34.8047,12,302
BEIT HAARAVA,31.8052,35.501,10,-330
BEIT JIMAL,31.7248,34.9762,7,355
BEIT JIMAL,31.7248,34.9762,7,355
BEIT TSAIDA,32.88,35.6504,9,-200
BESOR FARM,31.2716,34.3894,14,110
BESOR FARM,31.2716,34.3894,14,110
BET DAGAN,32.0073,34.8138,13,31
BET DAGAN,32.0073,34.8138,13,31
BET DAGAN RAD,32.0079,34.8147,13,31
BET HAARAVA,31.8052,35.501,10,-330
BET ZAYDA,32.88,35.6504,9,-200
DAFNA,33.23,35.6,9,127
DAFNA,33.2254,35.6337,9,127
DAFNA,33.2254,35.6337,9,127
DAFNA ,33.23,35.6,9,127
DEIR HANNA,32.8627,35.3739,8,285
DEIR HANNA,32.8627,35.3739,8,285
DOROT,31.5036,34.648,14,115
DOROT,31.5036,34.648,14,115
EDEN FARM,32.4679,35.4888,9,-120
EDEN FARM,32.4679,35.4888,9,-120
EDEN FARM ,32.47,35.489,6,-120
EILAT,29.5526,34.952,10,22
EILON,33.0653,35.2173,8,300
EIN CARMEL,32.6808,34.9594,15,25
EIN HAHORESH,32.3877,34.9376,15,15
EIN HASHOFET,32.6028,35.0964,11,265
ELAT,29.5526,34.952,10,22
ELON,33.0653,35.2173,8,300
EN GEDI,31.42,35.3871,10,-304
EN GEDI,31.42,35.3871,10,-304
EN HAHORESH,32.3877,34.9376,15,15
EN HASHOFET,32.6028,35.0964,11,265
EN KARMEL,32.6808,34.9594,15,25
ESHHAR,32.8847,35.3012,8,370
EZUZ,30.7911,34.4715,12,335
EZUZ,30.7911,34.4715,12,335
GALED,32.5564,35.0725,11,185
GALED,32.5564,35.0725,11,185
GAMLA,32.9052,35.7487,8,405
GAMLA,32.9052,35.7487,8,405
GAT,31.6303,34.7913,14,140
GAT,31.6303,34.7913,14,140
GILGAL,31.9973,35.4509,9,-255
GILGAL,31.9973,35.4509,15,-255
HADERA PORT,32.4732,34.8815,15,5
HADERA PORT,32.4732,34.8815,15,5
HAFETZ HAIM,31.791,34.805,14,80
HAFEZ HAYYIM,31.791,34.805,14,80
HAIFA PORT,32.8283,34.9977,6,5
HAIFA REFINERIES,32.8034,35.0548,15,5
