family,region,n_seeds,hot_MAE,hot_RMSE,hot_UPE,p3_MAE,p3_RMSE,p3_UPE,p7_MAE,p7_RMSE,p7_UPE,p15_MAE,p15_RMSE,p15_UPE
ours-deployed,Center,5,2.113,2.713,0.762,1.59,2.022,0.85,1.208,1.576,0.61,1.003,1.385,0.472
ours-deployed,Negev,5,2.007,2.511,0.759,1.511,1.915,0.966,1.407,1.792,0.914,1.261,1.659,0.817
ours-deployed,Northwest,5,1.809,2.284,0.822,1.593,2.135,1.085,1.237,1.695,0.773,1.008,1.361,0.639
ours-tuned,Center,5,1.946,2.484,1.18,1.601,2.061,1.064,1.186,1.519,0.739,1.015,1.331,0.597
ours-tuned,Negev,5,1.736,2.286,1.111,1.583,2.017,1.116,1.41,1.805,0.933,1.257,1.647,0.77
ours-tuned,Northwest,5,1.827,2.327,1.128,1.618,2.14,1.211,1.198,1.645,0.806,1.007,1.322,0.635
ours-NN,Center,5,1.843,2.416,1.1,1.57,2.017,1.002,1.165,1.496,0.745,1.06,1.377,0.717
ours-NN,Negev,5,1.732,2.283,1.084,1.537,1.988,1.007,1.386,1.77,0.933,1.265,1.65,0.791
ours-NN,Northwest,5,1.859,2.392,1.108,1.655,2.146,1.173,1.252,1.67,0.845,1.017,1.34,0.692
tab-TFT-st,Center,5,1.914,2.488,1.357,1.634,2.058,1.194,1.223,1.514,0.883,1.054,1.357,0.752
tab-TFT-st,Negev,5,1.896,2.422,1.343,1.738,2.203,1.264,1.52,1.926,1.099,1.443,1.848,0.951
tab-TFT-st,Northwest,5,1.894,2.401,1.284,1.652,2.058,1.265,1.205,1.558,0.872,1.012,1.327,0.677
tab-TFT-agg,Center,5,1.888,2.479,1.25,1.649,2.145,1.132,1.28,1.658,0.907,1.152,1.446,0.81
tab-TFT-agg,Negev,5,1.794,2.307,1.234,1.645,2.096,1.226,1.553,1.99,1.176,1.423,1.807,1.045
tab-TFT-agg,Northwest,5,1.793,2.327,1.09,1.653,2.171,1.208,1.278,1.726,0.853,1.099,1.416,0.739
tab-LSTM,Center,5,2.058,2.639,1.355,1.644,2.123,1.104,1.256,1.605,0.802,1.11,1.413,0.709
tab-LSTM,Negev,5,1.914,2.465,1.207,1.678,2.197,1.08,1.523,1.996,0.969,1.389,1.819,0.832
tab-LSTM,Northwest,5,1.871,2.545,1.256,1.666,2.247,1.239,1.292,1.777,0.913,1.061,1.399,0.691
