ours,vs,region,target,delta_MAE,p,p_holm
ours-deployed,tab-TFT-st,Center,hot,0.199,0.3352,1.0
ours-deployed,tab-TFT-st,Center,p3,-0.044,0.6544,1.0
ours-deployed,tab-TFT-st,Center,p7,-0.015,0.8434,1.0
ours-deployed,tab-TFT-st,Center,p15,-0.052,0.5238,1.0
ours-deployed,tab-TFT-st,Negev,hot,0.111,0.5334,0.5334
ours-deployed,tab-TFT-st,Negev,p3,-0.227,0.0304,0.0912
ours-deployed,tab-TFT-st,Negev,p7,-0.113,0.2474,0.4948
ours-deployed,tab-TFT-st,Negev,p15,-0.182,0.0148,0.0592
ours-deployed,tab-TFT-st,Northwest,hot,-0.085,0.3218,1.0
ours-deployed,tab-TFT-st,Northwest,p3,-0.059,0.358,1.0
ours-deployed,tab-TFT-st,Northwest,p7,0.031,0.5884,1.0
ours-deployed,tab-TFT-st,Northwest,p15,-0.004,0.8256,1.0
ours-deployed,tab-TFT-agg,Center,hot,0.225,0.2854,0.7572
ours-deployed,tab-TFT-agg,Center,p3,-0.059,0.4796,0.7572
ours-deployed,tab-TFT-agg,Center,p7,-0.072,0.2524,0.7572
ours-deployed,tab-TFT-agg,Center,p15,-0.149,0.0244,0.0976
ours-deployed,tab-TFT-agg,Negev,hot,0.214,0.188,0.188
ours-deployed,tab-TFT-agg,Negev,p3,-0.133,0.0804,0.1608
ours-deployed,tab-TFT-agg,Negev,p7,-0.146,0.0384,0.1152
ours-deployed,tab-TFT-agg,Negev,p15,-0.162,0.01,0.04
ours-deployed,tab-TFT-agg,Northwest,hot,0.017,0.937,1.0
ours-deployed,tab-TFT-agg,Northwest,p3,-0.06,0.4046,1.0
ours-deployed,tab-TFT-agg,Northwest,p7,-0.042,0.4148,1.0
ours-deployed,tab-TFT-agg,Northwest,p15,-0.091,0.0678,0.2712
ours-deployed,tab-LSTM,Center,hot,0.055,0.9482,1.0
ours-deployed,tab-LSTM,Center,p3,-0.054,0.5378,1.0
ours-deployed,tab-LSTM,Center,p7,-0.049,0.5102,1.0
ours-deployed,tab-LSTM,Center,p15,-0.107,0.1116,0.4464
ours-deployed,tab-LSTM,Negev,hot,0.094,0.6654,0.6654
ours-deployed,tab-LSTM,Negev,p3,-0.166,0.1228,0.4344
ours-deployed,tab-LSTM,Negev,p7,-0.116,0.2596,0.5192
ours-deployed,tab-LSTM,Negev,p15,-0.128,0.1086,0.4344
ours-deployed,tab-LSTM,Northwest,hot,-0.061,0.5242,1.0
ours-deployed,tab-LSTM,Northwest,p3,-0.073,0.4208,1.0
ours-deployed,tab-LSTM,Northwest,p7,-0.055,0.3788,1.0
ours-deployed,tab-LSTM,Northwest,p15,-0.052,0.3262,1.0
ours-NN,tab-TFT-st,Center,hot,-0.071,0.4776,1.0
ours-NN,tab-TFT-st,Center,p3,-0.065,0.4182,1.0
ours-NN,tab-TFT-st,Center,p7,-0.058,0.383,1.0
ours-NN,tab-TFT-st,Center,p15,0.006,0.955,1.0
ours-NN,tab-TFT-st,Negev,hot,-0.164,0.125,0.25
ours-NN,tab-TFT-st,Negev,p3,-0.201,0.0402,0.1224
ours-NN,tab-TFT-st,Negev,p7,-0.134,0.1258,0.25
ours-NN,tab-TFT-st,Negev,p15,-0.177,0.0306,0.1224
ours-NN,tab-TFT-st,Northwest,hot,-0.035,0.6828,1.0
ours-NN,tab-TFT-st,Northwest,p3,0.004,0.9834,1.0
ours-NN,tab-TFT-st,Northwest,p7,0.047,0.3776,1.0
ours-NN,tab-TFT-st,Northwest,p15,0.004,0.9702,1.0
ours-NN,tab-TFT-agg,Center,hot,-0.045,0.478,0.478
ours-NN,tab-TFT-agg,Center,p3,-0.079,0.1548,0.3096
ours-NN,tab-TFT-agg,Center,p7,-0.115,0.053,0.212
ours-NN,tab-TFT-agg,Center,p15,-0.092,0.0914,0.2742
ours-NN,tab-TFT-agg,Negev,hot,-0.061,0.3258,0.3258
ours-NN,tab-TFT-agg,Negev,p3,-0.108,0.1168,0.2336
ours-NN,tab-TFT-agg,Negev,p7,-0.166,0.0128,0.0384
ours-NN,tab-TFT-agg,Negev,p15,-0.157,0.006,0.024
ours-NN,tab-TFT-agg,Northwest,hot,0.067,0.3922,1.0
ours-NN,tab-TFT-agg,Northwest,p3,0.003,0.9688,1.0
ours-NN,tab-TFT-agg,Northwest,p7,-0.026,0.6066,1.0
ours-NN,tab-TFT-agg,Northwest,p15,-0.082,0.1214,0.4856
ours-NN,tab-LSTM,Center,hot,-0.215,0.0112,0.0448
ours-NN,tab-LSTM,Center,p3,-0.074,0.2758,0.5516
ours-NN,tab-LSTM,Center,p7,-0.092,0.1062,0.3186
ours-NN,tab-LSTM,Center,p15,-0.05,0.4054,0.5516
ours-NN,tab-LSTM,Negev,hot,-0.181,0.0602,0.2408
ours-NN,tab-LSTM,Negev,p3,-0.141,0.1496,0.258
ours-NN,tab-LSTM,Negev,p7,-0.137,0.1018,0.258
ours-NN,tab-LSTM,Negev,p15,-0.124,0.086,0.258
ours-NN,tab-LSTM,Northwest,hot,-0.012,0.8752,1.0
ours-NN,tab-LSTM,Northwest,p3,-0.01,0.8894,1.0
ours-NN,tab-LSTM,Northwest,p7,-0.039,0.5224,1.0
ours-NN,tab-LSTM,Northwest,p15,-0.044,0.4378,1.0
