season,target,region,vs,dMAE,p,p_holm
summer,anchor,Center,Tab-TFT,0.062,0.5432,0.5432
summer,anchor,Center,Tab-LSTM,0.206,0.0394,0.0788
summer,anchor,Center,Prophet,2.899,0.0,0.0
summer,anchor,Center,SARIMAX,2.905,0.0,0.0
summer,anchor,Negev,Tab-TFT,0.13,0.1656,0.3104
summer,anchor,Negev,Tab-LSTM,0.148,0.1552,0.3104
summer,anchor,Negev,Prophet,3.066,0.0,0.0
summer,anchor,Negev,SARIMAX,3.039,0.0,0.0
summer,anchor,Northwest,Tab-TFT,0.035,0.679,1.0
summer,anchor,Northwest,Tab-LSTM,0.012,0.9094,1.0
summer,anchor,Northwest,Prophet,2.639,0.0,0.0
summer,anchor,Northwest,SARIMAX,2.655,0.0,0.0
summer,soft,Center,Tab-TFT,0.027,0.643,0.643
summer,soft,Center,Tab-LSTM,0.06,0.2552,0.5104
summer,soft,Center,Prophet,0.649,0.0,0.0
summer,soft,Center,SARIMAX,0.639,0.0,0.0
summer,soft,Negev,Tab-TFT,0.16,0.0266,0.0532
summer,soft,Negev,Tab-LSTM,0.123,0.1126,0.1126
summer,soft,Negev,Prophet,0.935,0.0,0.0
summer,soft,Negev,SARIMAX,0.908,0.0,0.0
summer,soft,Northwest,Tab-TFT,-0.004,0.9862,0.9862
summer,soft,Northwest,Tab-LSTM,0.046,0.4216,0.8432
summer,soft,Northwest,Prophet,0.669,0.0,0.0
summer,soft,Northwest,SARIMAX,0.675,0.0,0.0
winter,anchor,Center,Tab-TFT,0.018,0.797,0.797
winter,anchor,Center,Tab-LSTM,0.164,0.0224,0.0672
winter,anchor,Center,Prophet,0.389,0.0274,0.0672
winter,anchor,Center,SARIMAX,0.469,0.007,0.028
winter,anchor,Negev,Tab-TFT,0.139,0.034,0.034
winter,anchor,Negev,Tab-LSTM,0.186,0.0058,0.0116
winter,anchor,Negev,Prophet,0.649,0.0006,0.0018
winter,anchor,Negev,SARIMAX,0.751,0.0,0.0
winter,anchor,Northwest,Tab-TFT,0.09,0.2326,0.2744
winter,anchor,Northwest,Tab-LSTM,0.349,0.0002,0.0008
winter,anchor,Northwest,Prophet,0.297,0.1372,0.2744
winter,anchor,Northwest,SARIMAX,0.352,0.088,0.264
winter,soft,Center,Tab-TFT,0.002,0.9614,1.0
winter,soft,Center,Tab-LSTM,-0.066,0.2004,0.8016
winter,soft,Center,Prophet,-0.002,0.972,1.0
winter,soft,Center,SARIMAX,0.007,0.9344,1.0
winter,soft,Negev,Tab-TFT,0.103,0.0842,0.2832
winter,soft,Negev,Tab-LSTM,0.101,0.0708,0.2832
winter,soft,Negev,Prophet,0.129,0.1644,0.2832
winter,soft,Negev,SARIMAX,0.159,0.101,0.2832
winter,soft,Northwest,Tab-TFT,0.075,0.207,0.621
winter,soft,Northwest,Tab-LSTM,0.131,0.0824,0.3296
winter,soft,Northwest,Prophet,-0.0,0.9958,1.0
winter,soft,Northwest,SARIMAX,0.017,0.8466,1.0
summer,anchor,ALL,Tab-TFT,0.076,0.1864,0.1864
summer,anchor,ALL,Tab-LSTM,0.122,0.0538,0.1076
summer,anchor,ALL,Prophet,2.868,0.0,0.0
summer,anchor,ALL,SARIMAX,2.866,0.0,0.0
summer,soft,ALL,Tab-TFT,0.061,0.0862,0.0862
summer,soft,ALL,Tab-LSTM,0.077,0.0378,0.0756
summer,soft,ALL,Prophet,0.751,0.0,0.0
summer,soft,ALL,SARIMAX,0.741,0.0,0.0
winter,anchor,ALL,Tab-TFT,0.082,0.035,0.035
winter,anchor,ALL,Tab-LSTM,0.233,0.0,0.0
winter,anchor,ALL,Prophet,0.445,0.0,0.0
winter,anchor,ALL,SARIMAX,0.524,0.0,0.0
winter,soft,ALL,Tab-TFT,0.06,0.0688,0.2752
winter,soft,ALL,Tab-LSTM,0.055,0.1294,0.3882
winter,soft,ALL,Prophet,0.042,0.373,0.4364
winter,soft,ALL,SARIMAX,0.061,0.2182,0.4364
