season,target,region,vs,dMAE,p,p_holm
summer,anchor,Center,Tab-TFT,-0.062,0.5434,0.5434
summer,anchor,Center,Tab-LSTM,-0.312,0.0008,0.0024
summer,anchor,Center,ConvNeXtTiny-TFT,-0.261,0.0308,0.0616
summer,anchor,Center,Prophet,-2.899,0.0,0.0
summer,anchor,Center,SARIMAX,-2.905,0.0,0.0
summer,anchor,Negev,Tab-TFT,-0.13,0.1704,0.1704
summer,anchor,Negev,Tab-LSTM,-0.288,0.0128,0.0384
summer,anchor,Negev,ConvNeXtTiny-TFT,-0.241,0.0756,0.1512
summer,anchor,Negev,Prophet,-3.066,0.0,0.0
summer,anchor,Negev,SARIMAX,-3.039,0.0,0.0
summer,anchor,Northwest,Tab-TFT,-0.035,0.692,0.834
summer,anchor,Northwest,Tab-LSTM,-0.12,0.278,0.834
summer,anchor,Northwest,ConvNeXtTiny-TFT,0.05,0.336,0.834
summer,anchor,Northwest,Prophet,-2.639,0.0,0.0
summer,anchor,Northwest,SARIMAX,-2.655,0.0,0.0
summer,soft,Center,Tab-TFT,-0.027,0.6268,1.0
summer,soft,Center,Tab-LSTM,-0.078,0.2022,0.6066
summer,soft,Center,ConvNeXtTiny-TFT,0.01,0.8452,1.0
summer,soft,Center,Prophet,-0.649,0.0,0.0
summer,soft,Center,SARIMAX,-0.639,0.0,0.0
summer,soft,Negev,Tab-TFT,-0.16,0.0234,0.0702
summer,soft,Negev,Tab-LSTM,-0.119,0.0568,0.1136
summer,soft,Negev,ConvNeXtTiny-TFT,0.014,0.7726,0.7726
summer,soft,Negev,Prophet,-0.935,0.0,0.0
summer,soft,Negev,SARIMAX,-0.908,0.0,0.0
summer,soft,Northwest,Tab-TFT,0.004,0.9838,1.0
summer,soft,Northwest,Tab-LSTM,0.001,0.9946,1.0
summer,soft,Northwest,ConvNeXtTiny-TFT,0.014,0.6682,1.0
summer,soft,Northwest,Prophet,-0.669,0.0,0.0
summer,soft,Northwest,SARIMAX,-0.675,0.0,0.0
winter,anchor,Center,Tab-LSTM,-0.164,0.0308,0.0708
winter,anchor,Center,ConvNeXtTiny-TFT,0.023,0.6548,0.6548
winter,anchor,Center,Prophet,-0.389,0.0236,0.0708
winter,anchor,Center,SARIMAX,-0.469,0.009,0.036
winter,anchor,Negev,Tab-LSTM,-0.186,0.0084,0.0168
winter,anchor,Negev,ConvNeXtTiny-TFT,0.04,0.3464,0.3464
winter,anchor,Negev,Prophet,-0.649,0.0006,0.0018
winter,anchor,Negev,SARIMAX,-0.751,0.0002,0.0008
winter,anchor,Northwest,Tab-LSTM,-0.349,0.0002,0.0008
winter,anchor,Northwest,ConvNeXtTiny-TFT,-0.047,0.3336,0.3336
winter,anchor,Northwest,Prophet,-0.297,0.1366,0.2732
winter,anchor,Northwest,SARIMAX,-0.352,0.086,0.258
winter,soft,Center,Tab-LSTM,0.066,0.2052,0.8208
winter,soft,Center,ConvNeXtTiny-TFT,0.01,0.7182,1.0
winter,soft,Center,Prophet,0.002,0.9906,1.0
winter,soft,Center,SARIMAX,-0.007,0.9248,1.0
winter,soft,Negev,Tab-LSTM,-0.101,0.0656,0.2624
winter,soft,Negev,ConvNeXtTiny-TFT,0.017,0.598,0.598
winter,soft,Negev,Prophet,-0.129,0.1624,0.3248
winter,soft,Negev,SARIMAX,-0.159,0.0996,0.2988
winter,soft,Northwest,Tab-LSTM,-0.131,0.0806,0.3224
winter,soft,Northwest,ConvNeXtTiny-TFT,-0.019,0.5598,1.0
winter,soft,Northwest,Prophet,0.0,0.9914,1.0
winter,soft,Northwest,SARIMAX,-0.017,0.8296,1.0
