ref,season,target,region,vs,dMAE,p_holm
ConvNeXtTiny-TFT-NN,summer,anchor,Center,Tab-LSTM,0.206,0.0788
ConvNeXtTiny-TFT-NN,summer,anchor,Center,Tab-TFT,0.062,0.5432
ConvNeXtTiny-TFT-NN,summer,anchor,Negev,Tab-LSTM,0.148,0.3104
ConvNeXtTiny-TFT-NN,summer,anchor,Negev,Tab-TFT,0.13,0.3104
ConvNeXtTiny-TFT-NN,summer,anchor,Northwest,Tab-TFT,0.035,1.0
ConvNeXtTiny-TFT-NN,summer,anchor,Northwest,Tab-LSTM,0.012,1.0
ConvNeXtTiny-TFT-NN,summer,soft,Center,Tab-LSTM,0.06,0.5104
ConvNeXtTiny-TFT-NN,summer,soft,Center,Tab-TFT,0.027,0.643
ConvNeXtTiny-TFT-NN,summer,soft,Negev,Tab-TFT,0.16,0.0532
ConvNeXtTiny-TFT-NN,summer,soft,Negev,Tab-LSTM,0.123,0.1126
ConvNeXtTiny-TFT-NN,summer,soft,Northwest,Tab-LSTM,0.046,0.8432
ConvNeXtTiny-TFT-NN,summer,soft,Northwest,Tab-TFT,-0.004,0.9862
ConvNeXtTiny-TFT-NN,winter,anchor,Center,Tab-LSTM,0.164,0.0448
ConvNeXtTiny-TFT-NN,winter,anchor,Center,Tab-TFT,0.018,0.797
ConvNeXtTiny-TFT-NN,winter,anchor,Negev,Tab-LSTM,0.186,0.0116
ConvNeXtTiny-TFT-NN,winter,anchor,Negev,Tab-TFT,0.139,0.034
ConvNeXtTiny-TFT-NN,winter,anchor,Northwest,Tab-LSTM,0.349,0.0004
ConvNeXtTiny-TFT-NN,winter,anchor,Northwest,Tab-TFT,0.09,0.2326
ConvNeXtTiny-TFT-NN,winter,soft,Center,Tab-LSTM,-0.066,0.4008
ConvNeXtTiny-TFT-NN,winter,soft,Center,Tab-TFT,0.002,0.9614
ConvNeXtTiny-TFT-NN,winter,soft,Negev,Tab-LSTM,0.101,0.1416
ConvNeXtTiny-TFT-NN,winter,soft,Negev,Tab-TFT,0.103,0.1416
ConvNeXtTiny-TFT-NN,winter,soft,Northwest,Tab-LSTM,0.131,0.1648
ConvNeXtTiny-TFT-NN,winter,soft,Northwest,Tab-TFT,0.075,0.207
ConvNeXtTiny-TFT,summer,anchor,Center,Tab-TFT,-0.199,0.6828
ConvNeXtTiny-TFT,summer,anchor,Center,Tab-LSTM,-0.055,0.9668
ConvNeXtTiny-TFT,summer,anchor,Negev,Tab-TFT,-0.111,1.0
ConvNeXtTiny-TFT,summer,anchor,Negev,Tab-LSTM,-0.094,1.0
ConvNeXtTiny-TFT,summer,anchor,Northwest,Tab-TFT,0.085,0.6164
ConvNeXtTiny-TFT,summer,anchor,Northwest,Tab-LSTM,0.061,0.6164
ConvNeXtTiny-TFT,summer,soft,Center,Tab-LSTM,0.07,0.6348
ConvNeXtTiny-TFT,summer,soft,Center,Tab-TFT,0.037,0.6434
ConvNeXtTiny-TFT,summer,soft,Negev,Tab-TFT,0.174,0.0504
ConvNeXtTiny-TFT,summer,soft,Negev,Tab-LSTM,0.137,0.1064
ConvNeXtTiny-TFT,summer,soft,Northwest,Tab-LSTM,0.06,0.6532
ConvNeXtTiny-TFT,summer,soft,Northwest,Tab-TFT,0.011,0.7642
ConvNeXtTiny-TFT,winter,anchor,Center,Tab-LSTM,0.186,0.0248
ConvNeXtTiny-TFT,winter,anchor,Center,Tab-TFT,0.04,0.549
ConvNeXtTiny-TFT,winter,anchor,Negev,Tab-LSTM,0.226,0.0012
ConvNeXtTiny-TFT,winter,anchor,Negev,Tab-TFT,0.18,0.0124
ConvNeXtTiny-TFT,winter,anchor,Northwest,Tab-LSTM,0.302,0.0016
ConvNeXtTiny-TFT,winter,anchor,Northwest,Tab-TFT,0.043,0.53
ConvNeXtTiny-TFT,winter,soft,Center,Tab-LSTM,-0.057,0.5544
ConvNeXtTiny-TFT,winter,soft,Center,Tab-TFT,0.012,0.7398
ConvNeXtTiny-TFT,winter,soft,Negev,Tab-TFT,0.12,0.066
ConvNeXtTiny-TFT,winter,soft,Negev,Tab-LSTM,0.118,0.066
ConvNeXtTiny-TFT,winter,soft,Northwest,Tab-LSTM,0.112,0.2088
ConvNeXtTiny-TFT,winter,soft,Northwest,Tab-TFT,0.056,0.3354
ConvNeXtTiny-LSTM,summer,anchor,Center,Tab-TFT,-0.401,0.0904
ConvNeXtTiny-LSTM,summer,anchor,Center,Tab-LSTM,-0.257,0.2032
ConvNeXtTiny-LSTM,summer,anchor,Negev,Tab-LSTM,-0.621,0.0008
ConvNeXtTiny-LSTM,summer,anchor,Negev,Tab-TFT,-0.638,0.0012
ConvNeXtTiny-LSTM,summer,anchor,Northwest,Tab-LSTM,-0.114,0.71
ConvNeXtTiny-LSTM,summer,anchor,Northwest,Tab-TFT,-0.091,0.71
ConvNeXtTiny-LSTM,summer,soft,Center,Tab-LSTM,0.06,0.4792
ConvNeXtTiny-LSTM,summer,soft,Center,Tab-TFT,0.027,0.7032
ConvNeXtTiny-LSTM,summer,soft,Negev,Tab-TFT,0.036,1.0
ConvNeXtTiny-LSTM,summer,soft,Negev,Tab-LSTM,-0.001,1.0
ConvNeXtTiny-LSTM,summer,soft,Northwest,Tab-LSTM,0.089,0.1164
ConvNeXtTiny-LSTM,summer,soft,Northwest,Tab-TFT,0.039,0.4972
ConvNeXtTiny-LSTM,winter,anchor,Center,Tab-LSTM,0.184,0.0084
ConvNeXtTiny-LSTM,winter,anchor,Center,Tab-TFT,0.038,0.6424
ConvNeXtTiny-LSTM,winter,anchor,Negev,Tab-LSTM,0.158,0.0144
ConvNeXtTiny-LSTM,winter,anchor,Negev,Tab-TFT,0.111,0.202
ConvNeXtTiny-LSTM,winter,anchor,Northwest,Tab-LSTM,0.314,0.0008
ConvNeXtTiny-LSTM,winter,anchor,Northwest,Tab-TFT,0.056,0.5622
ConvNeXtTiny-LSTM,winter,soft,Center,Tab-LSTM,-0.047,0.5468
ConvNeXtTiny-LSTM,winter,soft,Center,Tab-TFT,0.022,0.7128
ConvNeXtTiny-LSTM,winter,soft,Negev,Tab-LSTM,0.044,0.7832
ConvNeXtTiny-LSTM,winter,soft,Negev,Tab-TFT,0.046,0.7832
ConvNeXtTiny-LSTM,winter,soft,Northwest,Tab-LSTM,0.1,0.2116
ConvNeXtTiny-LSTM,winter,soft,Northwest,Tab-TFT,0.044,0.5394
