season,target,baseline,dMAE,p_concat,p_jointdate,n_dates
summer,anchor,Prophet,2.876,0.0,0.0,238
summer,anchor,SARIMAX,2.875,0.0,0.0,238
summer,anchor,SeasonalNaive,0.817,0.0,0.0,238
summer,anchor,TimesFM,3.1,0.0,0.0,238
summer,anchor,Moirai,3.003,0.0,0.0,238
summer,anchor,Tab-TFT,0.079,0.1511,0.3542,238
summer,anchor,Tab-LSTM,0.126,0.0402,0.1821,238
summer,soft,Prophet,0.738,0.0,0.0,238
summer,soft,SARIMAX,0.727,0.0,0.0,238
summer,soft,SeasonalNaive,0.342,0.0,0.0016,238
summer,soft,TimesFM,0.691,0.0,0.0001,238
summer,soft,Moirai,0.912,0.0,0.0,238
summer,soft,Tab-TFT,0.049,0.1735,0.3801,238
summer,soft,Tab-LSTM,0.064,0.0835,0.257,238
winter,anchor,Prophet,0.445,0.0001,0.0116,239
winter,anchor,SARIMAX,0.524,0.0,0.005,239
winter,anchor,SeasonalNaive,0.262,0.0014,0.0482,239
winter,anchor,TimesFM,0.792,0.0,0.0,239
winter,anchor,Moirai,1.204,0.0,0.0,239
winter,anchor,Tab-TFT,0.082,0.035,0.1656,239
winter,anchor,Tab-LSTM,0.233,0.0,0.0021,239
winter,soft,Prophet,0.042,0.3843,0.5969,239
winter,soft,SARIMAX,0.061,0.2321,0.464,239
winter,soft,SeasonalNaive,0.277,0.0,0.0034,239
winter,soft,TimesFM,0.109,0.0365,0.1988,239
winter,soft,Moirai,0.554,0.0,0.0,239
winter,soft,Tab-TFT,0.06,0.0757,0.255,239
winter,soft,Tab-LSTM,0.055,0.1304,0.2954,239
