,,Center,Northwest,Negev,Mean
summer,ConvNeXtTiny-TFT (learned interp.),1.6161394487179488,1.315976227848101,1.2490870759493673,1.3937342508384722
summer,ConvNeXtTiny-TFT (kernel),2.012252,1.421985582278481,2.087853620253165,1.8406970675105487
summer,ConvNeXtTiny-LSTM (kernel),2.2293139358974363,1.397649316455696,2.99010164556962,2.205688299307584
summer,Tab-TFT,1.9393091025641025,1.4485527974683545,1.740367151898734,1.7094096839770636
summer,Tab-LSTM,1.6950847179487176,1.233571911392405,1.3606014050632909,1.4297526781348047
summer,Prophet,3.1221144303797463,2.4840624430379745,3.6499460000000012,3.0853742911392406
summer,SARIMAX,3.034138974683544,2.4078897721518993,3.597422784810127,3.013150510548524
summer,TimesFM-2.5,2.5158802002688683,2.0958583375908573,2.8766088485601884,2.4961157954733046
summer,Moirai-1.1,2.3405818713801465,1.9018026147569091,2.6473009918537374,2.296561825996931
summer,Climatology,3.1503185512820506,2.5235159493670887,3.621928582278481,3.098587694309207
summer,Seasonal naive,2.1885689102564103,2.0330807848101267,2.3432775569620254,2.188309084009521
winter,ConvNeXtTiny-TFT (learned interp.),1.7271333999999996,2.09022935,1.8628961124999996,1.893419620833333
winter,ConvNeXtTiny-TFT (kernel),1.7764772624999998,2.0455141249999995,1.886949375,1.9029802541666665
winter,ConvNeXtTiny-LSTM (kernel),1.8436086375000003,2.2419976625,2.0227150875,2.0361071291666666
winter,Tab-TFT,1.9176672125,2.3080663375,1.9959602125,2.0738979208333332
winter,Tab-LSTM,1.9502068375000001,2.450519475,2.1419898125,2.180905375
winter,Prophet,2.4757198125000004,2.564163175,2.8014075875000004,2.613763525
winter,SARIMAX,2.5735356499999997,2.6473674625,2.8985153249999995,2.7064728125
winter,TimesFM-2.5,2.4643228481124875,2.540411691996765,2.6650948281044005,2.556609789404551
winter,Moirai-1.1,3.139314888083267,3.060141078083801,3.1589123965229033,3.1194561208966576
winter,Climatology,2.5274115375,2.6132159375,2.905194,2.681940491666667
winter,Seasonal naive,2.33135975,2.653191175,2.3679507375,2.4508338875
