model,season,region,n,ens,reproduced,seed_mean,seed_std,n_cmp,top5_minus_best,runs_top5_better
ConvNeXtTiny-TFT-NN,summer,Center,13,1.8521671092436975,1.8521671416491596,2.016955054945055,0.15141831547340745,13,-0.1487683607981758,10
ConvNeXtTiny-TFT-NN,summer,Northwest,5,1.8591277364016738,1.8591276878661087,1.9289504343096238,0.08208974814126467,5,-0.04683809280395512,3
ConvNeXtTiny-TFT-NN,summer,Negev,5,1.765911928870293,1.765911936401674,1.8033063815899582,0.009962910844714203,5,-0.05319581031799325,4
ConvNeXtTiny-TFT-NN,winter,Center,5,1.2977096736401672,1.2977096469456066,1.325926941841004,0.021132214147053244,5,-0.08878548145294185,5
ConvNeXtTiny-TFT-NN,winter,Northwest,5,1.3928404142259416,1.392840431129707,1.452661141757322,0.07415679975543511,5,-0.10811598300933856,4
ConvNeXtTiny-TFT-NN,winter,Negev,5,1.371627422594142,1.371627398828452,1.407759598493724,0.045186168565730225,5,-0.09223639965057373,4
ConvNeXtTiny-TFT,summer,Center,5,2.112686827731092,2.112686804201681,2.2423112949579833,0.2038921244611771,5,-0.2617565155029298,5
ConvNeXtTiny-TFT,summer,Northwest,10,1.8094129748953973,1.8094129405857744,1.9047208535564857,0.08123008216320306,10,-0.12370088100433341,8
ConvNeXtTiny-TFT,summer,Negev,6,2.0072961548117156,2.007296129009763,2.068203248953975,0.13714315526078433,6,-0.22705135742823268,6
ConvNeXtTiny-TFT,winter,Center,5,1.275175376569038,1.2751753549868532,1.399143224681034,0.199079160107072,0,,0
ConvNeXtTiny-TFT,winter,Northwest,5,1.4399111757322176,1.4399112070076274,1.5142292624161084,0.08900098174171867,0,,0
ConvNeXtTiny-TFT,winter,Negev,5,1.3314190083682007,1.331418975941678,1.3907916731428966,0.039081040865344654,0,,0
ConvNeXtTiny-LSTM,summer,Center,5,2.314691092436975,2.3146910563025207,2.3909712428571432,0.12418022931569228,5,-0.35255379676818865,5
ConvNeXtTiny-LSTM,summer,Northwest,5,1.9853174435146443,1.9853174284518826,2.0671971824267783,0.06944051797032866,5,-0.1602565050125122,5
ConvNeXtTiny-LSTM,summer,Negev,5,2.5345597322175735,2.534559731380753,2.5854201832635986,0.26430503444192494,5,-0.15894317626953125,4
ConvNeXtTiny-LSTM,winter,Center,5,1.2775519623430962,1.2775519628585752,1.344748622551775,0.07293312349472658,0,,0
ConvNeXtTiny-LSTM,winter,Northwest,5,1.4274157656903765,1.4274157357878743,1.498337501988188,0.08109860451458073,0,,0
ConvNeXtTiny-LSTM,winter,Negev,5,1.3998798410041842,1.3998798321093953,1.4817295905245857,0.07114249697260643,0,,0
Tab-TFT,summer,Center,5,1.9136879495798318,1.913687971428572,1.9550517445378155,0.0777911958722263,5,0.005352091789245783,2
Tab-TFT,summer,Northwest,5,1.8943474142259413,1.894347431799163,1.92909970125523,0.06277799049534903,5,-0.04664592742919926,4
Tab-TFT,summer,Negev,5,1.8963455104602511,1.896345486192469,1.9240545707112973,0.10260857802523252,5,-0.09102292060852024,4
Tab-TFT,winter,Center,5,1.3152862635983262,1.3152862355648536,1.344214841757322,0.03038852906757985,5,-0.025568699836731046,3
Tab-TFT,winter,Northwest,5,1.483098188284519,1.483098210878661,1.509062579748954,0.02457809291406479,5,0.031203627586364746,1
Tab-TFT,winter,Negev,5,1.510991280334728,1.510991316485356,1.535519709790795,0.07694810591237956,5,-0.0025125265121459517,3
Tab-LSTM,summer,Center,5,2.0580159915966387,2.0580159588235296,2.0839184932773107,0.02390704320442668,5,-0.07766518592834482,5
Tab-LSTM,summer,Northwest,5,1.870825108786611,1.870825086192469,1.9187400535564856,0.022819427522753916,5,-0.09684567451477033,4
Tab-LSTM,summer,Negev,5,1.9136624351464433,1.9136624167364016,1.936504082008368,0.028763429134905493,5,-0.02681343555450444,2
Tab-LSTM,winter,Center,5,1.4616147071129708,1.5241087264435147,1.5501453987447698,0.02503085839973942,5,0.03658769130706774,1
Tab-LSTM,winter,Northwest,5,1.74143169874477,1.7996182547280333,1.824983388786611,0.1532258547078025,5,0.013110542297363192,2
Tab-LSTM,winter,Negev,5,1.5576408326359832,1.6003492840167364,1.6189166898744773,0.08165051038006828,5,0.00901396274566646,3
