season,region,target,model,source_csv,n,mae,rmse,mae_legacy_absofmean,rmse_legacy_absofmean,n_regions
summer,Center,anchor,ConvNeXtTiny-TFT,summer/Center/ConvNeXtTiny-TFT__anchor.csv,238,2.265362,2.837604,,,
summer,Center,anchor,ConvNeXtTiny-LSTM,summer/Center/ConvNeXtTiny-LSTM__anchor.csv,238,2.265208,2.835234,,,
summer,Center,anchor,Prophet,summer/Center/Prophet__anchor.csv,239,4.739414,5.618635,,,
summer,Center,anchor,SARIMAX,summer/Center/SARIMAX__anchor.csv,239,4.744055,5.631415,,,
summer,Center,anchor,Tab-LSTM,summer/Center/Tab-LSTM__anchor.csv,238,2.805358,3.456947,,,
summer,Center,soft,ConvNeXtTiny-TFT,summer/Center/ConvNeXtTiny-TFT__soft.csv,238,1.512069,1.775500,1.338076,1.688161,
summer,Center,soft,ConvNeXtTiny-LSTM,summer/Center/ConvNeXtTiny-LSTM__soft.csv,238,1.376096,1.656745,1.245060,1.581930,
summer,Center,soft,Prophet,summer/Center/Prophet__soft.csv,239,1.924323,2.214763,1.760957,2.075084,
summer,Center,soft,SARIMAX,summer/Center/SARIMAX__soft.csv,239,1.913495,2.212492,1.751801,2.079802,
summer,Center,soft,Tab-LSTM,summer/Center/Tab-LSTM__soft.csv,238,1.544158,1.826374,1.354376,1.736831,
summer,Negev,anchor,ConvNeXtTiny-TFT,summer/Negev/ConvNeXtTiny-TFT__anchor.csv,239,2.135409,2.558147,,,
summer,Negev,anchor,ConvNeXtTiny-LSTM,summer/Negev/ConvNeXtTiny-LSTM__anchor.csv,239,2.351288,2.897828,,,
summer,Negev,anchor,Prophet,summer/Negev/Prophet__anchor.csv,239,4.831833,5.419945,,,
summer,Negev,anchor,SARIMAX,summer/Negev/SARIMAX__anchor.csv,239,4.805205,5.405902,,,
summer,Negev,anchor,Tab-LSTM,summer/Negev/Tab-LSTM__anchor.csv,239,2.822857,3.528301,,,
summer,Negev,soft,ConvNeXtTiny-TFT,summer/Negev/ConvNeXtTiny-TFT__soft.csv,239,1.557030,1.854509,1.412932,1.775050,
summer,Negev,soft,ConvNeXtTiny-LSTM,summer/Negev/ConvNeXtTiny-LSTM__soft.csv,239,1.661714,2.091361,1.516942,2.019509,
summer,Negev,soft,Prophet,summer/Negev/Prophet__soft.csv,239,2.342050,2.646395,2.170096,2.506234,
summer,Negev,soft,SARIMAX,summer/Negev/SARIMAX__soft.csv,239,2.315340,2.629467,2.143653,2.493591,
summer,Negev,soft,Tab-LSTM,summer/Negev/Tab-LSTM__soft.csv,239,1.817152,2.313087,1.711419,2.272069,
summer,Northwest,anchor,ConvNeXtTiny-TFT,summer/Northwest/ConvNeXtTiny-TFT__anchor.csv,239,2.080551,2.648878,,,
summer,Northwest,anchor,ConvNeXtTiny-LSTM,summer/Northwest/ConvNeXtTiny-LSTM__anchor.csv,239,2.400293,2.984024,,,
summer,Northwest,anchor,Prophet,summer/Northwest/Prophet__anchor.csv,239,4.498170,5.451390,,,
summer,Northwest,anchor,SARIMAX,summer/Northwest/SARIMAX__anchor.csv,239,4.514579,5.477503,,,
summer,Northwest,anchor,Tab-LSTM,summer/Northwest/Tab-LSTM__anchor.csv,239,2.665833,3.370727,,,
summer,Northwest,soft,ConvNeXtTiny-TFT,summer/Northwest/ConvNeXtTiny-TFT__soft.csv,239,1.328059,1.691620,1.213915,1.632975,
summer,Northwest,soft,ConvNeXtTiny-LSTM,summer/Northwest/ConvNeXtTiny-LSTM__soft.csv,239,1.430887,1.849558,1.276759,1.750894,
summer,Northwest,soft,Prophet,summer/Northwest/Prophet__soft.csv,239,1.962376,2.344823,1.785716,2.175074,
summer,Northwest,soft,SARIMAX,summer/Northwest/SARIMAX__soft.csv,239,1.967995,2.365667,1.800031,2.207906,
summer,Northwest,soft,Tab-LSTM,summer/Northwest/Tab-LSTM__soft.csv,239,1.355323,1.735591,1.208702,1.669673,
