sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_summer_2021-06-21,2021-06-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.075001,36.579266,2.504265,2.504265,6.271342
Center_summer_2021-06-28,2021-06-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.075001,37.513626,3.438625,3.438625,11.824144
Center_summer_2021-07-01,2021-07-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.075001,36.973232,2.898232,2.898232,8.399746
Center_summer_2021-07-07,2021-07-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,37.408333,34.635582,-2.772751,2.772751,7.688147
Center_summer_2021-07-14,2021-07-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,37.591667,36.293381,-1.298286,1.298286,1.685548
Center_summer_2021-07-21,2021-07-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,37.591667,34.965923,-2.625744,2.625744,6.894531
Center_summer_2021-07-28,2021-07-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,37.591667,35.836658,-1.755009,1.755009,3.080056
Center_summer_2021-08-01,2021-08-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,37.591667,37.534546,-0.057121,0.057121,0.003263
Center_summer_2021-08-07,2021-08-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,37.150002,35.317181,-1.832821,1.832821,3.359232
Center_summer_2021-08-14,2021-08-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.758335,36.509537,1.751202,1.751202,3.066707
Center_summer_2021-08-21,2021-08-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.849998,35.632702,0.782703,0.782703,0.612625
Center_summer_2021-08-28,2021-08-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.849998,34.534477,-0.315521,0.315521,0.099554
Center_summer_2021-09-01,2021-09-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.849998,34.807289,-0.042709,0.042709,0.001824
Center_summer_2021-09-07,2021-09-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.849998,34.878761,0.028763,0.028763,0.000827
Center_summer_2021-09-14,2021-09-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.566666,36.185299,2.618633,2.618633,6.857240
Center_summer_2021-09-21,2021-09-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.566666,34.513557,0.946892,0.946892,0.896604
Center_summer_2021-09-28,2021-09-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.033333,32.938786,0.905453,0.905453,0.819845
Center_summer_2021-10-01,2021-10-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.033333,33.848087,1.814754,1.814754,3.293334
Center_summer_2021-10-07,2021-10-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.966667,31.775843,-2.190825,2.190825,4.799712
Center_summer_2021-10-14,2021-10-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.966667,37.457844,3.491177,3.491177,12.188314
Center_summer_2021-10-21,2021-10-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.966667,31.910070,-2.056597,2.056597,4.229590
Center_summer_2021-10-28,2021-10-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.966667,32.713692,-1.252975,1.252975,1.569948
Center_summer_2021-11-01,2021-11-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.966667,32.473129,-1.493538,1.493538,2.230655
Center_summer_2021-11-07,2021-11-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.775002,29.582010,-3.192991,3.192991,10.195193
Center_summer_2021-11-14,2021-11-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.775002,29.491364,-3.283638,3.283638,10.782279
Center_summer_2021-11-21,2021-11-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.775002,27.232159,-5.542843,5.542843,30.723107
Center_summer_2021-11-28,2021-11-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.775002,28.135143,-4.639858,4.639858,21.528285
Center_summer_2021-12-01,2021-12-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.250000,29.125288,3.875288,3.875288,15.017857
Center_summer_2021-12-07,2021-12-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.250000,27.901552,2.651552,2.651552,7.030729
Center_summer_2021-12-14,2021-12-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,22.733334,27.891094,5.157761,5.157761,26.602495
Center_summer_2021-12-21,2021-12-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,22.350000,24.049053,1.699053,1.699053,2.886780
Center_summer_2021-12-28,2021-12-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,22.350000,27.057838,4.707838,4.707838,22.163739
Center_summer_2022-01-01,2022-01-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,22.350000,25.346003,2.996002,2.996002,8.976029
Center_summer_2022-01-07,2022-01-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,22.350000,26.189718,3.839718,3.839718,14.743433
Center_summer_2022-01-14,2022-01-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,21.283333,27.260050,5.976717,5.976717,35.721146
Center_summer_2022-01-21,2022-01-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,21.283333,26.322201,5.038868,5.038868,25.390190
Center_summer_2022-01-28,2022-01-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.116667,26.956732,1.840065,1.840065,3.385839
Center_summer_2022-02-01,2022-02-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.116667,27.375103,2.258436,2.258436,5.100534
Center_summer_2022-02-07,2022-02-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,27.775000,27.776041,0.001041,0.001041,0.000001
Center_summer_2022-02-14,2022-02-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,27.775000,28.734808,0.959808,0.959808,0.921232
Center_summer_2022-02-21,2022-02-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,27.775000,28.511677,0.736677,0.736677,0.542693
Center_summer_2022-02-28,2022-02-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,27.775000,33.200809,5.425810,5.425810,29.439413
Center_summer_2022-03-01,2022-03-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,27.775000,33.656334,5.881334,5.881334,34.590093
Center_summer_2022-03-07,2022-03-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.483334,30.450130,-2.033203,2.033203,4.133915
Center_summer_2022-03-14,2022-03-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.491665,31.844700,-0.646965,0.646965,0.418564
Center_summer_2022-03-21,2022-03-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,35.633335,32.891499,-2.741837,2.741837,7.517668
Center_summer_2022-03-28,2022-03-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,35.633335,32.052143,-3.581192,3.581192,12.824936
Center_summer_2022-04-01,2022-04-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,35.633335,37.851810,2.218475,2.218475,4.921633
Center_summer_2022-04-07,2022-04-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,35.633335,38.726906,3.093571,3.093571,9.570180
Center_summer_2022-04-14,2022-04-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,35.633335,39.619431,3.986095,3.986095,15.888957
Center_summer_2022-04-21,2022-04-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,35.358334,39.873940,4.515606,4.515606,20.390697
Center_summer_2022-04-28,2022-04-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,35.358334,40.588654,5.230320,5.230320,27.356247
Center_summer_2022-05-01,2022-05-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,35.358334,40.972160,5.613827,5.613827,31.515051
Center_summer_2022-05-07,2022-05-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.174999,39.525295,5.350296,5.350296,28.625668
Center_summer_2022-05-14,2022-05-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.400002,40.937298,6.537296,6.537296,42.736243
Center_summer_2022-05-21,2022-05-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.400002,40.623520,6.223518,6.223518,38.732181
Center_summer_2022-05-28,2022-05-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.400002,35.920330,1.520329,1.520329,2.311399
Center_summer_2022-06-01,2022-06-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.400002,36.624588,2.224586,2.224586,4.948785
Center_summer_2022-06-07,2022-06-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.400002,34.291298,-0.108704,0.108704,0.011816
Center_summer_2022-06-14,2022-06-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.616665,34.922340,2.305676,2.305676,5.316140
Center_summer_2022-06-21,2022-06-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.349998,35.617012,2.267014,2.267014,5.139350
Center_summer_2022-06-28,2022-06-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.372726,37.687950,4.315224,4.315224,18.621156
Center_summer_2022-07-01,2022-07-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.833332,37.231228,3.397896,3.397896,11.545696
Center_summer_2022-07-07,2022-07-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.833332,37.154526,3.321194,3.321194,11.030328
Center_summer_2022-07-14,2022-07-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.833332,35.522881,1.689548,1.689548,2.854574
Center_summer_2022-07-21,2022-07-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.833332,37.325359,3.492027,3.492027,12.194255
Center_summer_2022-07-28,2022-07-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.466667,37.231228,2.764561,2.764561,7.642796
Center_summer_2022-08-01,2022-08-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.466667,35.454895,0.988228,0.988228,0.976594
Center_summer_2022-08-07,2022-08-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.466667,34.802933,0.336266,0.336266,0.113075
Center_summer_2022-08-14,2022-08-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.466667,35.542053,1.075386,1.075386,1.156455
Center_summer_2022-08-21,2022-08-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,34.466667,35.454895,0.988228,0.988228,0.976594
Center_summer_2022-08-28,2022-08-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.466667,34.578056,1.111389,1.111389,1.235186
Center_summer_2022-09-01,2022-09-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.849998,34.560627,1.710629,1.710629,2.926250
Center_summer_2022-09-07,2022-09-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.016666,34.862202,1.845535,1.845535,3.406000
Center_summer_2022-09-14,2022-09-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.016666,35.242222,2.225555,2.225555,4.953097
Center_summer_2022-09-21,2022-09-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.016666,35.217815,2.201149,2.201149,4.845057
Center_summer_2022-09-28,2022-09-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.016666,33.611664,0.594997,0.594997,0.354022
Center_summer_2022-10-01,2022-10-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.016666,34.564114,1.547447,1.547447,2.394593
Center_summer_2022-10-07,2022-10-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.375000,33.774654,1.399654,1.399654,1.959032
Center_summer_2022-10-14,2022-10-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.375000,32.214260,-0.160740,0.160740,0.025837
Center_summer_2022-10-21,2022-10-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,31.366667,31.754053,0.387386,0.387386,0.150068
Center_summer_2022-10-28,2022-10-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,30.799999,31.464680,0.664680,0.664680,0.441800
Center_summer_2022-11-01,2022-11-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,30.799999,30.952175,0.152176,0.152176,0.023158
Center_summer_2022-11-07,2022-11-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,30.799999,30.587843,-0.212156,0.212156,0.045010
Center_summer_2022-11-14,2022-11-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,30.799999,28.068901,-2.731098,2.731098,7.458897
Center_summer_2022-11-21,2022-11-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,30.799999,29.317041,-1.482958,1.482958,2.199164
Center_summer_2022-11-28,2022-11-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.691668,25.304165,-0.387503,0.387503,0.150158
Center_summer_2022-12-01,2022-12-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.691668,25.366922,-0.324745,0.324745,0.105459
Center_summer_2022-12-07,2022-12-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.691668,25.283247,-0.408421,0.408421,0.166807
Center_summer_2022-12-14,2022-12-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.691668,25.004333,-0.687334,0.687334,0.472428
Center_summer_2022-12-21,2022-12-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,22.041666,24.111809,2.070143,2.070143,4.285491
Center_summer_2022-12-28,2022-12-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,22.825001,24.516233,1.691233,1.691233,2.860268
Center_summer_2023-01-01,2023-01-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.891666,24.544125,-1.347542,1.347542,1.815869
Center_summer_2023-01-07,2023-01-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.891666,24.565044,-1.326622,1.326622,1.759926
Center_summer_2023-01-14,2023-01-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.891666,24.655691,-1.235975,1.235975,1.527635
Center_summer_2023-01-21,2023-01-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,25.891666,27.413452,1.521786,1.521786,2.315832
Center_summer_2023-01-28,2023-01-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,23.933332,30.300213,6.366880,6.366880,40.537166
Center_summer_2023-02-01,2023-02-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,29.458334,27.389048,-2.069286,2.069286,4.281946
Center_summer_2023-02-07,2023-02-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.341667,27.946877,-5.394791,5.394791,29.103766
Center_summer_2023-02-14,2023-02-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.341667,27.647043,-5.694624,5.694624,32.428742
Center_summer_2023-02-21,2023-02-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.341667,30.577385,-2.764282,2.764282,7.641256
Center_summer_2023-02-28,2023-02-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.341667,34.513557,1.171890,1.171890,1.373327
Center_summer_2023-03-01,2023-03-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.341667,33.937862,0.596195,0.596195,0.355449
Center_summer_2023-03-07,2023-03-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,32.025002,33.986237,1.961235,1.961235,3.846443
Center_summer_2023-03-14,2023-03-14,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.641666,35.641418,1.999752,1.999752,3.999008
Center_summer_2023-03-21,2023-03-21,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.641666,34.564114,0.922447,0.922447,0.850909
Center_summer_2023-03-28,2023-03-28,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.641666,38.172562,4.530895,4.530895,20.529012
Center_summer_2023-04-01,2023-04-01,Center,summer,anchor,ConvNeXtTiny-LSTM,test,33.641666,37.503170,3.861504,3.861504,14.911210
Center_summer_2023-04-07,2023-04-07,Center,summer,anchor,ConvNeXtTiny-LSTM,test,36.208332,35.817482,-0.390850,0.390850,0.152764
