sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_summer_2021-06-21,2021-06-21,Center,summer,soft,ConvNeXtTiny-LSTM,test,33.258334,32.152611,-1.105723,1.105723,1.300795,33.841667,32.999676,33.549999,32.057281,32.383335,31.400875
Center_summer_2021-06-28,2021-06-28,Center,summer,soft,ConvNeXtTiny-LSTM,test,33.375000,33.013756,-0.361244,0.361244,0.137701,33.841667,33.462734,33.549999,33.094788,32.733334,32.483746
Center_summer_2021-07-01,2021-07-01,Center,summer,soft,ConvNeXtTiny-LSTM,test,33.372223,33.491461,0.119239,0.119239,0.019542,33.841667,33.985363,33.541668,33.561859,32.733334,32.927162
Center_summer_2021-07-07,2021-07-07,Center,summer,soft,ConvNeXtTiny-LSTM,test,34.205556,32.638582,-1.566975,1.566975,2.931386,35.641666,33.184738,34.075001,32.606663,32.900002,32.124344
Center_summer_2021-07-14,2021-07-14,Center,summer,soft,ConvNeXtTiny-LSTM,test,35.027779,33.497977,-1.529802,1.529802,3.805392,37.150002,33.912292,34.383335,33.607803,33.549999,32.973835
Center_summer_2021-07-21,2021-07-21,Center,summer,soft,ConvNeXtTiny-LSTM,test,35.108334,33.052643,-2.055691,2.055691,5.834796,37.150002,33.322941,34.575001,33.159874,33.599998,32.675114
Center_summer_2021-07-28,2021-07-28,Center,summer,soft,ConvNeXtTiny-LSTM,test,35.108334,33.112691,-1.995642,1.995642,5.415114,37.150002,33.481796,34.575001,33.190498,33.599998,32.665779
Center_summer_2021-08-01,2021-08-01,Center,summer,soft,ConvNeXtTiny-LSTM,test,35.144445,32.789152,-2.355293,2.355293,7.125092,37.150002,33.029064,34.575001,32.933994,33.708332,32.404396
Center_summer_2021-08-07,2021-08-07,Center,summer,soft,ConvNeXtTiny-LSTM,test,33.844446,32.432264,-1.412182,1.412182,2.021958,34.383335,32.740742,33.891666,32.553062,33.258335,32.002987
Center_summer_2021-08-14,2021-08-14,Center,summer,soft,ConvNeXtTiny-LSTM,test,33.377777,33.148951,-0.228826,0.288251,0.118534,33.941666,33.400780,33.474998,33.240269,32.716667,32.805805
Center_summer_2021-08-21,2021-08-21,Center,summer,soft,ConvNeXtTiny-LSTM,test,33.261111,32.580991,-0.680120,0.680120,0.515046,33.941666,32.963139,33.258335,32.618149,32.583332,32.161686
Center_summer_2021-08-28,2021-08-28,Center,summer,soft,ConvNeXtTiny-LSTM,test,32.997222,32.669444,-0.327778,0.327778,0.150963,33.941666,33.381718,33.058334,32.688972,31.991667,31.937643
Center_summer_2021-09-01,2021-09-01,Center,summer,soft,ConvNeXtTiny-LSTM,test,32.622222,32.247491,-0.374730,0.374730,0.171551,33.566666,33.046535,32.599998,32.122364,31.700001,31.573574
Center_summer_2021-09-07,2021-09-07,Center,summer,soft,ConvNeXtTiny-LSTM,test,32.052778,31.889152,-0.163626,0.368371,0.150974,33.566666,33.025887,31.983334,31.726118,30.608334,30.915451
Center_summer_2021-09-14,2021-09-14,Center,summer,soft,ConvNeXtTiny-LSTM,test,31.305555,32.120301,0.814746,0.814746,0.800652,32.033333,33.176796,31.700001,31.997938,30.183332,31.186169
Center_summer_2021-09-21,2021-09-21,Center,summer,soft,ConvNeXtTiny-LSTM,test,30.713889,31.599984,0.886095,0.886095,1.032041,32.033333,33.294350,30.233334,31.446642,29.875000,30.058960
Center_summer_2021-09-28,2021-09-28,Center,summer,soft,ConvNeXtTiny-LSTM,test,29.869445,29.960936,0.091491,1.034451,1.487387,30.233334,31.922247,29.924999,29.769781,29.450001,28.190779
Center_summer_2021-10-01,2021-10-01,Center,summer,soft,ConvNeXtTiny-LSTM,test,30.263889,30.648883,0.384994,0.624492,0.594858,31.291666,32.553295,30.183332,30.435932,29.316668,28.957420
Center_summer_2021-10-07,2021-10-07,Center,summer,soft,ConvNeXtTiny-LSTM,test,30.475505,29.805448,-0.670057,0.698325,0.807930,31.775000,31.817402,30.233334,29.604200,29.418182,27.994741
Center_summer_2021-10-14,2021-10-14,Center,summer,soft,ConvNeXtTiny-LSTM,test,29.811111,31.409413,1.598302,1.598302,3.829595,31.291666,34.412682,29.950001,31.203535,28.191668,28.612022
Center_summer_2021-10-21,2021-10-21,Center,summer,soft,ConvNeXtTiny-LSTM,test,29.663889,28.580661,-1.083228,1.083228,1.206372,31.291666,30.379375,29.950001,28.615265,27.750000,26.747343
Center_summer_2021-10-28,2021-10-28,Center,summer,soft,ConvNeXtTiny-LSTM,test,29.616667,28.125886,-1.490781,1.490781,2.524115,31.291666,30.574766,29.950001,28.130247,27.608334,25.672644
Center_summer_2021-11-01,2021-11-01,Center,summer,soft,ConvNeXtTiny-LSTM,test,29.206313,27.949605,-1.256708,1.256708,1.981412,30.549999,30.177631,29.741667,27.913940,27.327272,25.757242
Center_summer_2021-11-07,2021-11-07,Center,summer,soft,ConvNeXtTiny-LSTM,test,28.152777,27.371886,-0.780891,0.827126,1.060317,30.166666,29.326172,28.908333,27.336802,25.383333,25.452684
Center_summer_2021-11-14,2021-11-14,Center,summer,soft,ConvNeXtTiny-LSTM,test,26.416667,26.036791,-0.379876,0.379876,0.148972,28.908333,28.562084,26.508333,26.033215,23.833334,23.515074
Center_summer_2021-11-21,2021-11-21,Center,summer,soft,ConvNeXtTiny-LSTM,test,25.216667,26.382397,1.165731,1.165731,1.727159,28.666666,29.429428,24.333334,26.356718,22.650000,23.361046
Center_summer_2021-11-28,2021-11-28,Center,summer,soft,ConvNeXtTiny-LSTM,test,24.338889,23.802193,-0.536696,1.636356,4.006919,28.666666,25.624872,23.833334,23.615549,20.516666,22.166157
Center_summer_2021-12-01,2021-12-01,Center,summer,soft,ConvNeXtTiny-LSTM,test,22.344444,23.454969,1.110524,1.110524,1.347360,24.333334,25.450132,22.650000,23.343729,20.049999,21.571045
Center_summer_2021-12-07,2021-12-07,Center,summer,soft,ConvNeXtTiny-LSTM,test,21.297222,22.352626,1.055403,1.055403,1.429576,24.333334,24.601851,20.516666,22.061199,19.041666,20.394827
Center_summer_2021-12-14,2021-12-14,Center,summer,soft,ConvNeXtTiny-LSTM,test,20.275000,22.137855,1.862855,1.862855,3.720028,21.516666,24.061747,20.600000,21.961658,18.708334,20.390160
Center_summer_2021-12-21,2021-12-21,Center,summer,soft,ConvNeXtTiny-LSTM,test,19.719444,20.406058,0.686614,0.686614,0.835020,20.883333,22.403309,20.225000,20.338396,18.049999,18.476469
Center_summer_2021-12-28,2021-12-28,Center,summer,soft,ConvNeXtTiny-LSTM,test,19.644445,21.060246,1.415801,1.415801,2.815132,20.883333,23.547058,20.225000,20.797810,17.825001,18.835869
Center_summer_2022-01-01,2022-01-01,Center,summer,soft,ConvNeXtTiny-LSTM,test,18.777778,20.905933,2.128155,2.128155,4.868842,20.825001,22.746435,19.058332,20.598730,16.450001,19.372635
Center_summer_2022-01-07,2022-01-07,Center,summer,soft,ConvNeXtTiny-LSTM,test,18.902778,21.591489,2.688711,2.688711,8.415422,20.825001,24.061747,19.966667,21.134714,15.916667,19.578007
Center_summer_2022-01-14,2022-01-14,Center,summer,soft,ConvNeXtTiny-LSTM,test,17.736112,20.587944,2.851832,2.851832,8.351730,20.483334,22.740082,17.316668,20.215885,15.408334,18.807865
Center_summer_2022-01-21,2022-01-21,Center,summer,soft,ConvNeXtTiny-LSTM,test,18.477777,21.532358,3.054581,3.054581,10.462389,20.483334,24.951330,18.416666,21.211283,16.533333,18.434462
Center_summer_2022-01-28,2022-01-28,Center,summer,soft,ConvNeXtTiny-LSTM,test,19.633333,20.682268,1.048934,1.048934,2.001205,21.283333,23.597893,19.458334,20.261827,18.158333,18.187082
Center_summer_2022-02-01,2022-02-01,Center,summer,soft,ConvNeXtTiny-LSTM,test,19.972222,19.400665,-0.571557,0.571557,0.504424,21.575001,21.570913,19.924999,19.228146,18.416666,17.402935
Center_summer_2022-02-07,2022-02-07,Center,summer,soft,ConvNeXtTiny-LSTM,test,20.580556,20.347853,-0.232702,0.394953,0.203323,23.125000,22.422371,19.850000,20.093376,18.766666,18.527813
Center_summer_2022-02-14,2022-02-14,Center,summer,soft,ConvNeXtTiny-LSTM,test,20.472222,21.108673,0.636451,0.636451,0.557495,23.125000,23.553413,19.683332,20.866722,18.608334,18.905884
Center_summer_2022-02-21,2022-02-21,Center,summer,soft,ConvNeXtTiny-LSTM,test,20.372222,22.978825,2.606603,2.606603,7.999933,23.125000,26.752735,19.683332,22.792433,18.308332,19.391306
Center_summer_2022-02-28,2022-02-28,Center,summer,soft,ConvNeXtTiny-LSTM,test,19.972222,22.958203,2.985981,2.985981,9.271005,23.125000,26.787683,19.683332,22.765633,17.108334,19.321293
Center_summer_2022-03-01,2022-03-01,Center,summer,soft,ConvNeXtTiny-LSTM,test,19.983334,23.166868,3.183535,3.183535,10.211962,23.125000,26.482685,19.716667,23.117851,17.108334,19.900068
Center_summer_2022-03-07,2022-03-07,Center,summer,soft,ConvNeXtTiny-LSTM,test,22.652778,22.396540,-0.256238,1.360261,2.024309,26.891666,25.237267,23.000000,22.229650,18.066668,19.722702
Center_summer_2022-03-14,2022-03-14,Center,summer,soft,ConvNeXtTiny-LSTM,test,25.227525,23.493241,-1.734284,1.734284,4.647147,29.118181,27.302372,26.672728,23.412642,19.891666,19.764709
Center_summer_2022-03-21,2022-03-21,Center,summer,soft,ConvNeXtTiny-LSTM,test,27.605555,23.575872,-4.029683,4.029683,17.793203,32.491665,26.879820,27.333334,23.420298,22.991667,20.427500
Center_summer_2022-03-28,2022-03-28,Center,summer,soft,ConvNeXtTiny-LSTM,test,27.933333,24.056115,-3.877218,3.877218,15.406873,32.491665,27.753517,27.333334,23.814629,23.975000,20.600199
Center_summer_2022-04-01,2022-04-01,Center,summer,soft,ConvNeXtTiny-LSTM,test,29.008839,28.032312,-0.976527,0.976527,1.050041,33.200001,32.181973,29.118181,27.783773,24.708334,24.131189
Center_summer_2022-04-07,2022-04-07,Center,summer,soft,ConvNeXtTiny-LSTM,test,28.547728,30.700184,2.152456,2.152456,4.664363,33.633335,35.661274,28.091667,30.494314,23.918182,25.944963
Center_summer_2022-04-14,2022-04-14,Center,summer,soft,ConvNeXtTiny-LSTM,test,28.811112,29.111326,0.300213,1.565905,2.727758,33.633335,31.734798,28.091667,28.916306,24.708334,26.682873
Center_summer_2022-04-21,2022-04-21,Center,summer,soft,ConvNeXtTiny-LSTM,test,29.119445,30.147551,1.028106,1.071110,1.750326,33.200001,33.135494,28.091667,30.046387,26.066668,27.260773
Center_summer_2022-04-28,2022-04-28,Center,summer,soft,ConvNeXtTiny-LSTM,test,29.777778,31.104410,1.326632,1.326632,1.856454,33.200001,34.717682,29.424999,30.998713,26.708334,27.596834
Center_summer_2022-05-01,2022-05-01,Center,summer,soft,ConvNeXtTiny-LSTM,test,29.538889,32.194993,2.656104,2.656104,7.150538,31.508333,34.428566,29.950001,32.172134,27.158333,29.984280
Center_summer_2022-05-07,2022-05-07,Center,summer,soft,ConvNeXtTiny-LSTM,test,29.788889,31.607534,1.818645,1.818645,4.672885,31.008333,34.479401,30.450001,31.458128,27.908333,28.885075
Center_summer_2022-05-14,2022-05-14,Center,summer,soft,ConvNeXtTiny-LSTM,test,31.227777,32.072152,0.844375,1.338775,1.985370,33.099998,34.886066,30.991667,32.480324,29.591667,28.850067
Center_summer_2022-05-21,2022-05-21,Center,summer,soft,ConvNeXtTiny-LSTM,test,31.119445,31.710728,0.591283,0.591283,0.437586,32.808334,33.491329,30.674999,31.574894,29.875000,30.065960
Center_summer_2022-05-28,2022-05-28,Center,summer,soft,ConvNeXtTiny-LSTM,test,31.250001,31.623962,0.373961,0.373961,0.197513,32.808334,32.846378,30.991667,31.576809,29.950001,30.448698
Center_summer_2022-06-01,2022-06-01,Center,summer,soft,ConvNeXtTiny-LSTM,test,31.380555,32.798894,1.418339,1.418339,2.100705,32.808334,33.805859,31.058332,32.713860,30.275000,31.876965
Center_summer_2022-06-07,2022-06-07,Center,summer,soft,ConvNeXtTiny-LSTM,test,31.558334,31.560067,0.001734,0.459949,0.279407,32.808334,33.500858,31.391666,31.295418,30.475000,29.883926
