sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_summer_2021-06-21,2021-06-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.075001,35.393326,1.318325,1.318325,1.737981
Center_summer_2021-06-28,2021-06-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.075001,36.473621,2.398621,2.398621,5.753381
Center_summer_2021-07-01,2021-07-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.075001,36.547520,2.472519,2.472519,6.113350
Center_summer_2021-07-07,2021-07-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,37.408333,37.349823,-0.058510,0.058510,0.003423
Center_summer_2021-07-14,2021-07-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,37.591667,37.483543,-0.108124,0.108124,0.011691
Center_summer_2021-07-21,2021-07-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,37.591667,36.376854,-1.214813,1.214813,1.475771
Center_summer_2021-07-28,2021-07-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,37.591667,37.504654,-0.087013,0.087013,0.007571
Center_summer_2021-08-01,2021-08-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,37.591667,35.806793,-1.784874,1.784874,3.185775
Center_summer_2021-08-07,2021-08-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,37.150002,35.078384,-2.071617,2.071617,4.291598
Center_summer_2021-08-14,2021-08-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.758335,36.114697,1.356361,1.356361,1.839716
Center_summer_2021-08-21,2021-08-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.849998,35.558712,0.708714,0.708714,0.502275
Center_summer_2021-08-28,2021-08-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.849998,35.896526,1.046528,1.046528,1.095221
Center_summer_2021-09-01,2021-09-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.849998,38.704594,3.854595,3.854595,14.857904
Center_summer_2021-09-07,2021-09-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.849998,37.860062,3.010063,3.010063,9.060480
Center_summer_2021-09-14,2021-09-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.566666,36.341663,2.774998,2.774998,7.700612
Center_summer_2021-09-21,2021-09-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.566666,37.803761,4.237095,4.237095,17.952973
Center_summer_2021-09-28,2021-09-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.033333,35.245533,3.212200,3.212200,10.318230
Center_summer_2021-10-01,2021-10-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.033333,35.889488,3.856155,3.856155,14.869934
Center_summer_2021-10-07,2021-10-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.966667,32.653435,-1.313232,1.313232,1.724579
Center_summer_2021-10-14,2021-10-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.966667,33.943104,-0.023563,0.023563,0.000555
Center_summer_2021-10-21,2021-10-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.966667,31.167147,-2.799520,2.799520,7.837315
Center_summer_2021-10-28,2021-10-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.966667,31.047504,-2.919163,2.919163,8.521511
Center_summer_2021-11-01,2021-11-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.966667,32.730412,-1.236256,1.236256,1.528328
Center_summer_2021-11-07,2021-11-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.775002,30.970089,-1.804913,1.804913,3.257709
Center_summer_2021-11-14,2021-11-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.775002,29.312695,-3.462307,3.462307,11.987570
Center_summer_2021-11-21,2021-11-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.775002,29.815895,-2.959106,2.959106,8.756311
Center_summer_2021-11-28,2021-11-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.775002,28.626513,-4.148489,4.148489,17.209961
Center_summer_2021-12-01,2021-12-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.250000,31.627241,6.377241,6.377241,40.669204
Center_summer_2021-12-07,2021-12-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.250000,27.067648,1.817648,1.817648,3.303844
Center_summer_2021-12-14,2021-12-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,22.733334,27.996632,5.263298,5.263298,27.702306
Center_summer_2021-12-21,2021-12-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,22.350000,25.090034,2.740034,2.740034,7.507787
Center_summer_2021-12-28,2021-12-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,22.350000,25.273018,2.923018,2.923018,8.544031
Center_summer_2022-01-01,2022-01-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,22.350000,25.287092,2.937092,2.937092,8.626508
Center_summer_2022-01-07,2022-01-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,22.350000,25.885303,3.535303,3.535303,12.498368
Center_summer_2022-01-14,2022-01-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,21.283333,25.491188,4.207855,4.207855,17.706046
Center_summer_2022-01-21,2022-01-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,21.283333,27.095798,5.812466,5.812466,33.784757
Center_summer_2022-01-28,2022-01-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.116667,26.089397,0.972731,0.972731,0.946205
Center_summer_2022-02-01,2022-02-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.116667,26.472956,1.356289,1.356289,1.839520
Center_summer_2022-02-07,2022-02-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,27.775000,26.810768,-0.964231,0.964231,0.929742
Center_summer_2022-02-14,2022-02-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,27.775000,27.982557,0.207558,0.207558,0.043080
Center_summer_2022-02-21,2022-02-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,27.775000,29.358440,1.583441,1.583441,2.507285
Center_summer_2022-02-28,2022-02-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,27.775000,31.001759,3.226759,3.226759,10.411973
Center_summer_2022-03-01,2022-03-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,27.775000,33.123974,5.348974,5.348974,28.611525
Center_summer_2022-03-07,2022-03-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.483334,31.188259,-1.295074,1.295074,1.677218
Center_summer_2022-03-14,2022-03-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.491665,33.398064,0.906399,0.906399,0.821559
Center_summer_2022-03-21,2022-03-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,35.633335,36.841347,1.208012,1.208012,1.459292
Center_summer_2022-03-28,2022-03-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,35.633335,35.565750,-0.067585,0.067585,0.004568
Center_summer_2022-04-01,2022-04-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,35.633335,37.487061,1.853725,1.853725,3.436298
Center_summer_2022-04-07,2022-04-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,35.633335,40.157894,4.524559,4.524559,20.471634
Center_summer_2022-04-14,2022-04-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,35.633335,39.756741,4.123405,4.123405,17.002473
Center_summer_2022-04-21,2022-04-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,35.358334,39.267616,3.909283,3.909283,15.282491
Center_summer_2022-04-28,2022-04-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,35.358334,40.552010,5.193676,5.193676,26.974270
Center_summer_2022-05-01,2022-05-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,35.358334,37.965630,2.607296,2.607296,6.797992
Center_summer_2022-05-07,2022-05-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.174999,39.440041,5.265041,5.265041,27.720660
Center_summer_2022-05-14,2022-05-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.400002,40.847595,6.447594,6.447594,41.571464
Center_summer_2022-05-21,2022-05-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.400002,40.868706,6.468704,6.468704,41.844134
Center_summer_2022-05-28,2022-05-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.400002,40.678688,6.278687,6.278687,39.421904
Center_summer_2022-06-01,2022-06-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.400002,38.099346,3.699345,3.699345,13.685151
Center_summer_2022-06-07,2022-06-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.400002,37.955070,3.555069,3.555069,12.638515
Center_summer_2022-06-14,2022-06-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.616665,37.955070,5.338406,5.338406,28.498574
Center_summer_2022-06-21,2022-06-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.349998,36.719944,3.369946,3.369946,11.356533
Center_summer_2022-06-28,2022-06-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.372726,37.187958,3.815231,3.815231,14.555990
Center_summer_2022-07-01,2022-07-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.833332,37.494099,3.660767,3.660767,13.401212
Center_summer_2022-07-07,2022-07-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.833332,35.280720,1.447388,1.447388,2.094931
Center_summer_2022-07-14,2022-07-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.833332,37.765053,3.931721,3.931721,15.458428
Center_summer_2022-07-21,2022-07-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.833332,36.373333,2.540001,2.540001,6.451605
Center_summer_2022-07-28,2022-07-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.466667,35.430275,0.963608,0.963608,0.928540
Center_summer_2022-08-01,2022-08-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.466667,36.990898,2.524231,2.524231,6.371742
Center_summer_2022-08-07,2022-08-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.466667,36.380371,1.913704,1.913704,3.662263
Center_summer_2022-08-14,2022-08-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.466667,39.042408,4.575741,4.575741,20.937404
Center_summer_2022-08-21,2022-08-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,34.466667,36.385651,1.918983,1.918983,3.682498
Center_summer_2022-08-28,2022-08-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.466667,36.046078,2.579411,2.579411,6.653359
Center_summer_2022-09-01,2022-09-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.849998,36.809677,3.959679,3.959679,15.679055
Center_summer_2022-09-07,2022-09-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.016666,38.757378,5.740711,5.740711,32.955765
Center_summer_2022-09-14,2022-09-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.016666,37.194992,4.178326,4.178326,17.458405
Center_summer_2022-09-21,2022-09-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.016666,37.205551,4.188885,4.188885,17.546755
Center_summer_2022-09-28,2022-09-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.016666,35.152283,2.135616,2.135616,4.560857
Center_summer_2022-10-01,2022-10-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.016666,36.266010,3.249344,3.249344,10.558236
Center_summer_2022-10-07,2022-10-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.375000,34.828545,2.453545,2.453545,6.019881
Center_summer_2022-10-14,2022-10-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.375000,34.254086,1.879086,1.879086,3.530962
Center_summer_2022-10-21,2022-10-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,31.366667,30.774792,-0.591875,0.591875,0.350316
Center_summer_2022-10-28,2022-10-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,30.799999,32.554028,1.754028,1.754028,3.076615
Center_summer_2022-11-01,2022-11-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,30.799999,31.242802,0.442802,0.442802,0.196074
Center_summer_2022-11-07,2022-11-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,30.799999,31.425785,0.625786,0.625786,0.391608
Center_summer_2022-11-14,2022-11-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,30.799999,30.656908,-0.143091,0.143091,0.020475
Center_summer_2022-11-21,2022-11-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,30.799999,29.699772,-1.100227,1.100227,1.210500
Center_summer_2022-11-28,2022-11-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.691668,25.723434,0.031767,0.031767,0.001009
Center_summer_2022-12-01,2022-12-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.691668,26.219597,0.527929,0.527929,0.278709
Center_summer_2022-12-07,2022-12-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.691668,26.423691,0.732023,0.732023,0.535858
Center_summer_2022-12-14,2022-12-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.691668,25.646019,-0.045649,0.045649,0.002084
Center_summer_2022-12-21,2022-12-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,22.041666,25.744549,3.702883,3.702883,13.711341
Center_summer_2022-12-28,2022-12-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,22.825001,25.244865,2.419865,2.419865,5.855745
Center_summer_2023-01-01,2023-01-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.891666,25.378584,-0.513083,0.513083,0.263254
Center_summer_2023-01-07,2023-01-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.891666,25.364508,-0.527159,0.527159,0.277896
Center_summer_2023-01-14,2023-01-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.891666,25.505264,-0.386402,0.386402,0.149307
Center_summer_2023-01-21,2023-01-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.891666,25.969755,0.078089,0.078089,0.006098
Center_summer_2023-01-28,2023-01-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,23.933332,27.609554,3.676222,3.676222,13.514607
Center_summer_2023-02-01,2023-02-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,29.458334,26.339237,-3.119097,3.119097,9.728765
Center_summer_2023-02-07,2023-02-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.341667,26.933929,-6.407738,6.407738,41.059103
Center_summer_2023-02-14,2023-02-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.341667,27.996632,-5.345036,5.345036,28.569405
Center_summer_2023-02-21,2023-02-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.341667,35.190990,1.849323,1.849323,3.419997
Center_summer_2023-02-28,2023-02-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.341667,35.187469,1.845802,1.845802,3.406986
Center_summer_2023-03-01,2023-03-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.341667,36.753372,3.411705,3.411705,11.639731
Center_summer_2023-03-07,2023-03-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.025002,37.680599,5.655598,5.655598,31.985785
Center_summer_2023-03-14,2023-03-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.641666,36.744576,3.102909,3.102909,9.628045
Center_summer_2023-03-21,2023-03-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.641666,34.071983,0.430317,0.430317,0.185173
Center_summer_2023-03-28,2023-03-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.641666,39.788410,6.146744,6.146744,37.782459
Center_summer_2023-04-01,2023-04-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.641666,35.386288,1.744621,1.744621,3.043703
Center_summer_2023-04-07,2023-04-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,36.208332,38.233063,2.024731,2.024731,4.099534
Center_summer_2023-04-14,2023-04-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,36.208332,38.440678,2.232346,2.232346,4.983367
Center_summer_2023-04-21,2023-04-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,36.208332,40.098072,3.889740,3.889740,15.130077
Center_summer_2023-04-28,2023-04-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,37.950001,39.140938,1.190937,1.190937,1.418331
Center_summer_2023-05-01,2023-05-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,37.950001,39.461155,1.511154,1.511154,2.283587
Center_summer_2023-05-07,2023-05-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,42.416668,41.319126,-1.097542,1.097542,1.204598
Center_summer_2023-05-14,2023-05-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,42.416668,41.530258,-0.886410,0.886410,0.785722
Center_summer_2023-05-21,2023-05-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,42.416668,40.629425,-1.787243,1.787243,3.194237
Center_summer_2023-05-28,2023-05-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,42.416668,40.309204,-2.107464,2.107464,4.441404
Center_summer_2023-06-01,2023-06-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,42.416668,41.100956,-1.315712,1.315712,1.731098
Center_summer_2023-06-07,2023-06-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,36.758335,37.156284,0.397949,0.397949,0.158364
Center_summer_2023-06-14,2023-06-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,35.566666,38.982586,3.415920,3.415920,11.668511
Center_summer_2023-06-21,2023-06-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,36.091667,36.734020,0.642353,0.642353,0.412617
Center_summer_2023-06-28,2023-06-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,36.275002,36.229061,-0.045940,0.045940,0.002111
Center_summer_2023-07-01,2023-07-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,36.275002,36.679478,0.404476,0.404476,0.163601
Center_summer_2023-07-07,2023-07-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,36.275002,39.513939,3.238937,3.238937,10.490715
Center_summer_2023-07-14,2023-07-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,36.275002,37.793205,1.518204,1.518204,2.304943
Center_summer_2023-07-21,2023-07-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,36.275002,35.708267,-0.566734,0.566734,0.321188
Center_summer_2023-07-28,2023-07-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,35.516666,35.849022,0.332355,0.332355,0.110460
Center_summer_2023-08-01,2023-08-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,35.066666,36.976822,1.910156,1.910156,3.648697
Center_summer_2023-08-07,2023-08-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,35.066666,36.274807,1.208141,1.208141,1.459605
Center_summer_2023-08-14,2023-08-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,39.983334,36.148125,-3.835209,3.835209,14.708827
Center_summer_2023-08-21,2023-08-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,39.983334,38.975548,-1.007786,1.007786,1.015632
Center_summer_2023-08-28,2023-08-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,39.983334,37.128136,-2.855198,2.855198,8.152155
Center_summer_2023-09-01,2023-09-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,39.983334,35.917641,-4.065693,4.065693,16.529859
Center_summer_2023-09-07,2023-09-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,39.983334,36.074230,-3.909103,3.909103,15.281089
Center_summer_2023-09-14,2023-09-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.866665,36.885330,4.018665,4.018665,16.149671
Center_summer_2023-09-21,2023-09-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.866665,37.399090,4.532425,4.532425,20.542876
Center_summer_2023-09-28,2023-09-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.472729,35.745213,2.272484,2.272484,5.164183
Center_summer_2023-10-01,2023-10-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.472729,35.954586,2.481857,2.481857,6.159616
Center_summer_2023-10-07,2023-10-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.472729,34.821507,1.348778,1.348778,1.819201
Center_summer_2023-10-14,2023-10-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.472729,32.672791,-0.799938,0.799938,0.639901
Center_summer_2023-10-21,2023-10-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,33.472729,32.557545,-0.915184,0.915184,0.837562
Center_summer_2023-10-28,2023-10-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,32.636364,30.259275,-2.377089,2.377089,5.650550
Center_summer_2023-11-01,2023-11-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,30.727272,32.775715,2.048443,2.048443,4.196118
Center_summer_2023-11-07,2023-11-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,30.727272,33.346958,2.619686,2.619686,6.862755
Center_summer_2023-11-14,2023-11-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,28.636364,31.614044,2.977680,2.977680,8.866579
Center_summer_2023-11-21,2023-11-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,28.636364,29.544941,0.908577,0.908577,0.825512
Center_summer_2023-11-28,2023-11-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,28.636364,29.027664,0.391300,0.391300,0.153116
Center_summer_2023-12-01,2023-12-01,Center,summer,anchor,ConvNeXtTiny-TFT,test,28.636364,27.412498,-1.223866,1.223866,1.497847
Center_summer_2023-12-07,2023-12-07,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.872726,28.725040,2.852314,2.852314,8.135695
Center_summer_2023-12-14,2023-12-14,Center,summer,anchor,ConvNeXtTiny-TFT,test,25.872726,26.888184,1.015457,1.015457,1.031153
Center_summer_2023-12-21,2023-12-21,Center,summer,anchor,ConvNeXtTiny-TFT,test,24.909090,25.385622,0.476532,0.476532,0.227083
Center_summer_2023-12-28,2023-12-28,Center,summer,anchor,ConvNeXtTiny-TFT,test,24.909090,28.098680,3.189590,3.189590,10.173487
