sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_summer_2021-06-21,2021-06-21,Center,summer,soft,ConvNeXtTiny-TFT,test,33.258334,32.155095,-1.103239,1.103239,1.324408,33.841667,33.050297,33.549999,31.994244,32.383335,31.420744
Center_summer_2021-06-28,2021-06-28,Center,summer,soft,ConvNeXtTiny-TFT,test,33.375000,33.189046,-0.185954,0.373901,0.145729,33.841667,34.123589,33.549999,33.079666,32.733334,32.363884
Center_summer_2021-07-01,2021-07-01,Center,summer,soft,ConvNeXtTiny-TFT,test,33.372223,33.433454,0.061231,0.380376,0.191423,33.841667,34.504078,33.541668,33.404526,32.733334,32.391758
Center_summer_2021-07-07,2021-07-07,Center,summer,soft,ConvNeXtTiny-TFT,test,34.205556,32.738544,-1.467012,1.467012,2.416981,35.641666,33.568714,34.075001,32.561798,32.900002,32.085121
Center_summer_2021-07-14,2021-07-14,Center,summer,soft,ConvNeXtTiny-TFT,test,35.027779,33.184958,-1.842820,1.842820,3.854179,37.150002,34.359810,34.383335,33.133171,33.549999,32.061893
Center_summer_2021-07-21,2021-07-21,Center,summer,soft,ConvNeXtTiny-TFT,test,35.108334,32.945137,-2.163197,2.163197,5.196955,37.150002,33.976151,34.575001,32.815952,33.599998,32.043308
Center_summer_2021-07-28,2021-07-28,Center,summer,soft,ConvNeXtTiny-TFT,test,35.108334,32.779992,-2.328341,2.328341,5.796971,37.150002,33.957127,34.575001,32.622948,33.599998,31.759903
Center_summer_2021-08-01,2021-08-01,Center,summer,soft,ConvNeXtTiny-TFT,test,35.144445,32.532784,-2.611661,2.611661,7.193584,37.150002,33.676517,34.575001,32.347771,33.708332,31.574062
Center_summer_2021-08-07,2021-08-07,Center,summer,soft,ConvNeXtTiny-TFT,test,33.844446,32.350850,-1.493595,1.493595,2.525696,34.383335,33.625786,33.891666,32.219738,33.258335,31.207027
Center_summer_2021-08-14,2021-08-14,Center,summer,soft,ConvNeXtTiny-TFT,test,33.377777,32.733895,-0.643882,0.998743,1.219661,33.941666,34.473957,33.474998,32.655434,32.716667,31.072294
Center_summer_2021-08-21,2021-08-21,Center,summer,soft,ConvNeXtTiny-TFT,test,33.261111,32.535539,-0.725572,0.892302,1.069080,33.941666,34.191761,33.258335,32.361145,32.583332,31.053711
Center_summer_2021-08-28,2021-08-28,Center,summer,soft,ConvNeXtTiny-TFT,test,32.997222,32.307947,-0.689276,0.689276,0.599265,33.941666,33.746273,33.058334,32.179607,31.991667,30.997959
Center_summer_2021-09-01,2021-09-01,Center,summer,soft,ConvNeXtTiny-TFT,test,32.622222,32.555873,-0.066349,0.999907,1.382465,33.566666,34.967003,32.599998,32.473892,31.700001,30.226723
Center_summer_2021-09-07,2021-09-07,Center,summer,soft,ConvNeXtTiny-TFT,test,32.052778,31.941387,-0.111391,0.334706,0.119072,33.566666,33.901638,31.983334,31.751553,30.608334,30.170969
Center_summer_2021-09-14,2021-09-14,Center,summer,soft,ConvNeXtTiny-TFT,test,31.305555,31.446814,0.141259,0.491271,0.348769,32.033333,32.982128,31.700001,31.373184,30.183332,29.985130
Center_summer_2021-09-21,2021-09-21,Center,summer,soft,ConvNeXtTiny-TFT,test,30.713889,31.852910,1.139021,1.647900,3.341243,32.033333,34.716515,30.233334,31.730534,29.875000,29.111681
Center_summer_2021-09-28,2021-09-28,Center,summer,soft,ConvNeXtTiny-TFT,test,29.869445,29.818483,-0.050961,0.912521,1.157599,30.233334,31.525673,29.924999,29.818148,29.450001,28.111629
Center_summer_2021-10-01,2021-10-01,Center,summer,soft,ConvNeXtTiny-TFT,test,30.263889,30.715005,0.451117,0.916091,1.188248,31.291666,33.015419,30.183332,30.510391,29.316668,28.619205
Center_summer_2021-10-07,2021-10-07,Center,summer,soft,ConvNeXtTiny-TFT,test,30.475505,28.440898,-2.034608,2.034608,4.251998,31.775000,29.948532,30.233334,28.463524,29.418182,26.910637
Center_summer_2021-10-14,2021-10-14,Center,summer,soft,ConvNeXtTiny-TFT,test,29.811111,29.201075,-0.610036,0.711445,0.669248,31.291666,31.443779,29.950001,29.058905,28.191668,27.100542
Center_summer_2021-10-21,2021-10-21,Center,summer,soft,ConvNeXtTiny-TFT,test,29.663889,26.512939,-3.150949,3.150949,10.010341,31.291666,27.991398,29.950001,26.548033,27.750000,24.999388
Center_summer_2021-10-28,2021-10-28,Center,summer,soft,ConvNeXtTiny-TFT,test,29.616667,26.141110,-3.475557,3.475557,12.127124,31.291666,27.966032,29.950001,26.165844,27.608334,24.291454
Center_summer_2021-11-01,2021-11-01,Center,summer,soft,ConvNeXtTiny-TFT,test,29.206313,26.537567,-2.668746,2.668746,7.244903,30.549999,27.985058,29.741667,26.601540,27.327272,25.026102
Center_summer_2021-11-07,2021-11-07,Center,summer,soft,ConvNeXtTiny-TFT,test,28.152777,24.710251,-3.442526,3.442526,12.477101,30.166666,26.082619,28.908333,24.992519,25.383333,23.055616
Center_summer_2021-11-14,2021-11-14,Center,summer,soft,ConvNeXtTiny-TFT,test,26.416667,23.374873,-3.041794,3.041794,10.520839,28.908333,24.376766,26.508333,23.723648,23.833334,22.024204
Center_summer_2021-11-21,2021-11-21,Center,summer,soft,ConvNeXtTiny-TFT,test,25.216667,22.038092,-3.178574,3.178574,12.734641,28.666666,23.197254,24.333334,22.405092,22.650000,20.511930
