sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_summer_2021-06-14,2021-06-14,Center,summer,anchor,Prophet,test,34.050000,32.131441,-1.918559,1.918559,3.680868
Center_summer_2021-06-21,2021-06-21,Center,summer,anchor,Prophet,test,34.075000,32.131441,-1.943559,1.943559,3.777421
Center_summer_2021-06-28,2021-06-28,Center,summer,anchor,Prophet,test,34.075000,32.812980,-1.262020,1.262020,1.592693
Center_summer_2021-07-01,2021-07-01,Center,summer,anchor,Prophet,test,34.075000,32.812980,-1.262020,1.262020,1.592693
Center_summer_2021-07-07,2021-07-07,Center,summer,anchor,Prophet,test,37.408333,32.874540,-4.533793,4.533793,20.555279
Center_summer_2021-07-14,2021-07-14,Center,summer,anchor,Prophet,test,37.591667,32.874540,-4.717126,4.717126,22.251281
Center_summer_2021-07-21,2021-07-21,Center,summer,anchor,Prophet,test,37.591667,32.874540,-4.717126,4.717126,22.251281
Center_summer_2021-07-28,2021-07-28,Center,summer,anchor,Prophet,test,37.591667,32.874540,-4.717126,4.717126,22.251281
Center_summer_2021-08-01,2021-08-01,Center,summer,anchor,Prophet,test,37.591667,32.874540,-4.717126,4.717126,22.251281
Center_summer_2021-08-07,2021-08-07,Center,summer,anchor,Prophet,test,37.150000,32.605617,-4.544383,4.544383,20.651416
Center_summer_2021-08-14,2021-08-14,Center,summer,anchor,Prophet,test,34.758333,32.605617,-2.152716,2.152716,4.634187
Center_summer_2021-08-21,2021-08-21,Center,summer,anchor,Prophet,test,34.850000,32.601315,-2.248685,2.248685,5.056586
Center_summer_2021-08-28,2021-08-28,Center,summer,anchor,Prophet,test,34.850000,32.174356,-2.675644,2.675644,7.159072
Center_summer_2021-09-01,2021-09-01,Center,summer,anchor,Prophet,test,34.850000,32.006288,-2.843712,2.843712,8.086696
Center_summer_2021-09-07,2021-09-07,Center,summer,anchor,Prophet,test,34.850000,32.006288,-2.843712,2.843712,8.086696
Center_summer_2021-09-14,2021-09-14,Center,summer,anchor,Prophet,test,33.566667,31.752889,-1.813777,1.813777,3.289789
Center_summer_2021-09-21,2021-09-21,Center,summer,anchor,Prophet,test,33.566667,31.258617,-2.308049,2.308049,5.327091
Center_summer_2021-09-28,2021-09-28,Center,summer,anchor,Prophet,test,32.033333,30.820134,-1.213199,1.213199,1.471851
Center_summer_2021-10-01,2021-10-01,Center,summer,anchor,Prophet,test,32.033333,30.820134,-1.213199,1.213199,1.471851
Center_summer_2021-10-07,2021-10-07,Center,summer,anchor,Prophet,test,33.966667,30.205560,-3.761107,3.761107,14.145925
Center_summer_2021-10-14,2021-10-14,Center,summer,anchor,Prophet,test,33.966667,30.205560,-3.761107,3.761107,14.145925
Center_summer_2021-10-21,2021-10-21,Center,summer,anchor,Prophet,test,33.966667,28.993503,-4.973163,4.973163,24.732353
Center_summer_2021-10-28,2021-10-28,Center,summer,anchor,Prophet,test,33.966667,27.134454,-6.832213,6.832213,46.679131
Center_summer_2021-11-01,2021-11-01,Center,summer,anchor,Prophet,test,33.966667,26.690936,-7.275731,7.275731,52.936257
Center_summer_2021-11-07,2021-11-07,Center,summer,anchor,Prophet,test,32.775000,25.740373,-7.034627,7.034627,49.485983
Center_summer_2021-11-14,2021-11-14,Center,summer,anchor,Prophet,test,32.775000,25.129744,-7.645256,7.645256,58.449939
