sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_summer_2021-06-14,2021-06-14,Center,summer,soft,Prophet,test,33.008333,31.292973,-1.715360,1.715360,3.209798,33.733333,31.662359,33.350000,31.259130,31.941667,30.957430
Center_summer_2021-06-21,2021-06-21,Center,summer,soft,Prophet,test,33.258333,31.602095,-1.656238,1.656238,2.862526,33.841667,31.921543,33.550000,31.669510,32.383333,31.215233
Center_summer_2021-06-28,2021-06-28,Center,summer,soft,Prophet,test,33.375000,32.044810,-1.330190,1.330190,1.814576,33.841667,32.513628,33.550000,31.958442,32.733333,31.662359
Center_summer_2021-07-01,2021-07-01,Center,summer,soft,Prophet,test,33.372222,32.129227,-1.242995,1.242995,1.577984,33.841667,32.513628,33.541667,32.131441,32.733333,31.742612
Center_summer_2021-07-07,2021-07-07,Center,summer,soft,Prophet,test,34.205556,32.341261,-1.864295,1.864295,4.292751,35.641667,32.555519,34.075000,32.495995,32.900000,31.972268
Center_summer_2021-07-14,2021-07-14,Center,summer,soft,Prophet,test,35.027778,32.462496,-2.565282,2.565282,8.660400,37.150000,32.575081,34.383333,32.521851,33.550000,32.290557
Center_summer_2021-07-21,2021-07-21,Center,summer,soft,Prophet,test,35.108333,32.493078,-2.615256,2.615256,8.871864,37.150000,32.575081,34.575000,32.529405,33.600000,32.374748
Center_summer_2021-07-28,2021-07-28,Center,summer,soft,Prophet,test,35.108333,32.511066,-2.597267,2.597267,8.758874,37.150000,32.601315,34.575000,32.548978,33.600000,32.382906
Center_summer_2021-08-01,2021-08-01,Center,summer,soft,Prophet,test,35.144444,32.511066,-2.633378,2.633378,8.850688,37.150000,32.601315,34.575000,32.548978,33.708333,32.382906
Center_summer_2021-08-07,2021-08-07,Center,summer,soft,Prophet,test,33.844444,32.475999,-1.368445,1.368445,2.004200,34.383333,32.568920,33.891667,32.526727,33.258333,32.332352
Center_summer_2021-08-14,2021-08-14,Center,summer,soft,Prophet,test,33.377778,32.382882,-0.994896,0.994896,1.102352,33.941667,32.568920,33.475000,32.420590,32.716667,32.159136
Center_summer_2021-08-21,2021-08-21,Center,summer,soft,Prophet,test,33.261111,32.196613,-1.064498,1.064498,1.196670,33.941667,32.527365,33.258333,32.309585,32.583333,31.752889
Center_summer_2021-08-28,2021-08-28,Center,summer,soft,Prophet,test,32.997222,31.749565,-1.247658,1.247658,1.898228,33.941667,32.006288,33.058333,31.757486,31.991667,31.484920
Center_summer_2021-09-01,2021-09-01,Center,summer,soft,Prophet,test,32.622222,31.586133,-1.036089,1.036089,1.449342,33.566667,31.757497,32.600000,31.610523,31.700000,31.390380
Center_summer_2021-09-07,2021-09-07,Center,summer,soft,Prophet,test,32.052778,31.302523,-0.750255,0.961393,1.482837,33.566667,31.557586,31.983333,31.424941,30.608333,30.925041
Center_summer_2021-09-14,2021-09-14,Center,summer,soft,Prophet,test,31.305556,30.961309,-0.344247,0.555294,0.337516,32.033333,31.390380,31.700000,30.993642,30.183333,30.499904
Center_summer_2021-09-21,2021-09-21,Center,summer,soft,Prophet,test,30.713889,30.414683,-0.299206,0.561302,0.544143,32.033333,30.820134,30.233333,30.626477,29.875000,29.797437
Center_summer_2021-09-28,2021-09-28,Center,summer,soft,Prophet,test,29.869444,29.993820,0.124376,0.240378,0.060017,30.233333,30.499904,29.925000,30.205560,29.450000,29.275996
Center_summer_2021-10-01,2021-10-01,Center,summer,soft,Prophet,test,30.263889,29.618328,-0.645561,0.645561,0.557168,31.291667,30.247232,30.183333,29.435045,29.316667,29.172708
Center_summer_2021-10-07,2021-10-07,Center,summer,soft,Prophet,test,30.475505,29.132838,-1.342667,1.342667,2.308607,31.775000,29.435045,30.233333,29.275996,29.418182,28.687473
Center_summer_2021-10-14,2021-10-14,Center,summer,soft,Prophet,test,29.811111,28.386228,-1.424884,1.424884,2.243367,31.291667,29.215803,29.950000,28.808426,28.191667,27.134454
Center_summer_2021-10-21,2021-10-21,Center,summer,soft,Prophet,test,29.663889,27.285200,-2.378689,2.378689,5.861585,31.291667,28.548885,29.950000,27.299804,27.750000,26.006909
Center_summer_2021-10-28,2021-10-28,Center,summer,soft,Prophet,test,29.616667,26.040246,-3.576421,3.576421,13.802089,31.291667,26.623262,29.950000,26.130498,27.608333,25.366978
