sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_summer_2021-06-14,2021-06-14,Center,summer,anchor,SARIMAX,test,34.050000,32.391177,-1.658823,1.658823,2.751695
Center_summer_2021-06-21,2021-06-21,Center,summer,anchor,SARIMAX,test,34.075000,32.341670,-1.733330,1.733330,3.004432
Center_summer_2021-06-28,2021-06-28,Center,summer,anchor,SARIMAX,test,34.075000,32.953540,-1.121460,1.121460,1.257672
Center_summer_2021-07-01,2021-07-01,Center,summer,anchor,SARIMAX,test,34.075000,32.962790,-1.112210,1.112210,1.237011
Center_summer_2021-07-07,2021-07-07,Center,summer,anchor,SARIMAX,test,37.408333,33.003161,-4.405173,4.405173,19.405547
Center_summer_2021-07-14,2021-07-14,Center,summer,anchor,SARIMAX,test,37.591667,32.972236,-4.619431,4.619431,21.339142
Center_summer_2021-07-21,2021-07-21,Center,summer,anchor,SARIMAX,test,37.591667,32.972870,-4.618797,4.618797,21.333281
Center_summer_2021-07-28,2021-07-28,Center,summer,anchor,SARIMAX,test,37.591667,32.943489,-4.648178,4.648178,21.605554
Center_summer_2021-08-01,2021-08-01,Center,summer,anchor,SARIMAX,test,37.591667,32.932086,-4.659581,4.659581,21.711691
Center_summer_2021-08-07,2021-08-07,Center,summer,anchor,SARIMAX,test,37.150000,32.586541,-4.563459,4.563459,20.825156
Center_summer_2021-08-14,2021-08-14,Center,summer,anchor,SARIMAX,test,34.758333,32.595540,-2.162794,2.162794,4.677677
Center_summer_2021-08-21,2021-08-21,Center,summer,anchor,SARIMAX,test,34.850000,32.621216,-2.228784,2.228784,4.967480
Center_summer_2021-08-28,2021-08-28,Center,summer,anchor,SARIMAX,test,34.850000,32.173756,-2.676244,2.676244,7.162285
Center_summer_2021-09-01,2021-09-01,Center,summer,anchor,SARIMAX,test,34.850000,31.950336,-2.899664,2.899664,8.408049
Center_summer_2021-09-07,2021-09-07,Center,summer,anchor,SARIMAX,test,34.850000,31.956939,-2.893061,2.893061,8.369801
Center_summer_2021-09-14,2021-09-14,Center,summer,anchor,SARIMAX,test,33.566667,31.656453,-1.910214,1.910214,3.648918
Center_summer_2021-09-21,2021-09-21,Center,summer,anchor,SARIMAX,test,33.566667,31.167504,-2.399163,2.399163,5.755983
Center_summer_2021-09-28,2021-09-28,Center,summer,anchor,SARIMAX,test,32.033333,30.762974,-1.270359,1.270359,1.613812
Center_summer_2021-10-01,2021-10-01,Center,summer,anchor,SARIMAX,test,32.033333,30.769632,-1.263702,1.263702,1.596942
Center_summer_2021-10-07,2021-10-07,Center,summer,anchor,SARIMAX,test,33.966667,30.154305,-3.812361,3.812361,14.534099
Center_summer_2021-10-14,2021-10-14,Center,summer,anchor,SARIMAX,test,33.966667,30.245422,-3.721244,3.721244,13.847660
Center_summer_2021-10-21,2021-10-21,Center,summer,anchor,SARIMAX,test,33.966667,29.069573,-4.897094,4.897094,23.981527
Center_summer_2021-10-28,2021-10-28,Center,summer,anchor,SARIMAX,test,33.966667,27.205043,-6.761623,6.761623,45.719548
Center_summer_2021-11-01,2021-11-01,Center,summer,anchor,SARIMAX,test,33.966667,26.770323,-7.196344,7.196344,51.787365
Center_summer_2021-11-07,2021-11-07,Center,summer,anchor,SARIMAX,test,32.775000,25.848520,-6.926480,6.926480,47.976121
Center_summer_2021-11-14,2021-11-14,Center,summer,anchor,SARIMAX,test,32.775000,25.109066,-7.665934,7.665934,58.766538
Center_summer_2021-11-21,2021-11-21,Center,summer,anchor,SARIMAX,test,32.775000,24.092181,-8.682819,8.682819,75.391349
Center_summer_2021-11-28,2021-11-28,Center,summer,anchor,SARIMAX,test,32.775000,23.964832,-8.810168,8.810168,77.619063
Center_summer_2021-12-01,2021-12-01,Center,summer,anchor,SARIMAX,test,25.250000,23.933294,-1.316706,1.316706,1.733715
Center_summer_2021-12-07,2021-12-07,Center,summer,anchor,SARIMAX,test,25.250000,21.213715,-4.036285,4.036285,16.291599
Center_summer_2021-12-14,2021-12-14,Center,summer,anchor,SARIMAX,test,22.733333,20.896625,-1.836709,1.836709,3.373498
Center_summer_2021-12-21,2021-12-21,Center,summer,anchor,SARIMAX,test,22.350000,20.200090,-2.149910,2.149910,4.622112
Center_summer_2021-12-28,2021-12-28,Center,summer,anchor,SARIMAX,test,22.350000,19.817091,-2.532909,2.532909,6.415630
Center_summer_2022-01-01,2022-01-01,Center,summer,anchor,SARIMAX,test,22.350000,19.235715,-3.114285,3.114285,9.698770
Center_summer_2022-01-07,2022-01-07,Center,summer,anchor,SARIMAX,test,22.350000,19.445446,-2.904554,2.904554,8.436432
Center_summer_2022-01-14,2022-01-14,Center,summer,anchor,SARIMAX,test,21.283333,19.458462,-1.824871,1.824871,3.330154
Center_summer_2022-01-21,2022-01-21,Center,summer,anchor,SARIMAX,test,21.283333,20.251032,-1.032302,1.032302,1.065647
Center_summer_2022-01-28,2022-01-28,Center,summer,anchor,SARIMAX,test,25.116667,20.424530,-4.692136,4.692136,22.016145
Center_summer_2022-02-01,2022-02-01,Center,summer,anchor,SARIMAX,test,25.116667,20.877611,-4.239056,4.239056,17.969597
Center_summer_2022-02-07,2022-02-07,Center,summer,anchor,SARIMAX,test,27.775000,24.705829,-3.069171,3.069171,9.419812
Center_summer_2022-02-14,2022-02-14,Center,summer,anchor,SARIMAX,test,27.775000,24.675252,-3.099748,3.099748,9.608435
Center_summer_2022-02-21,2022-02-21,Center,summer,anchor,SARIMAX,test,27.775000,24.654213,-3.120787,3.120787,9.739309
Center_summer_2022-02-28,2022-02-28,Center,summer,anchor,SARIMAX,test,27.775000,24.642702,-3.132298,3.132298,9.811288
Center_summer_2022-03-01,2022-03-01,Center,summer,anchor,SARIMAX,test,27.775000,24.641017,-3.133983,3.133983,9.821847
Center_summer_2022-03-07,2022-03-07,Center,summer,anchor,SARIMAX,test,32.483333,24.685132,-7.798202,7.798202,60.811948
Center_summer_2022-03-14,2022-03-14,Center,summer,anchor,SARIMAX,test,32.491667,26.040607,-6.451060,6.451060,41.616175
Center_summer_2022-03-21,2022-03-21,Center,summer,anchor,SARIMAX,test,35.633333,26.555931,-9.077403,9.077403,82.399236
Center_summer_2022-03-28,2022-03-28,Center,summer,anchor,SARIMAX,test,35.633333,26.798661,-8.834672,8.834672,78.051436
Center_summer_2022-04-01,2022-04-01,Center,summer,anchor,SARIMAX,test,35.633333,27.003066,-8.630267,8.630267,74.481517
Center_summer_2022-04-07,2022-04-07,Center,summer,anchor,SARIMAX,test,35.633333,28.835176,-6.798157,6.798157,46.214937
Center_summer_2022-04-14,2022-04-14,Center,summer,anchor,SARIMAX,test,35.633333,28.778533,-6.854800,6.854800,46.988287
Center_summer_2022-04-21,2022-04-21,Center,summer,anchor,SARIMAX,test,35.358333,29.675201,-5.683132,5.683132,32.297991
Center_summer_2022-04-28,2022-04-28,Center,summer,anchor,SARIMAX,test,35.358333,30.803128,-4.555205,4.555205,20.749896
Center_summer_2022-05-01,2022-05-01,Center,summer,anchor,SARIMAX,test,35.358333,30.848432,-4.509902,4.509902,20.339214
Center_summer_2022-05-07,2022-05-07,Center,summer,anchor,SARIMAX,test,34.175000,30.823702,-3.351298,3.351298,11.231200
Center_summer_2022-05-14,2022-05-14,Center,summer,anchor,SARIMAX,test,34.400000,30.827872,-3.572128,3.572128,12.760101
Center_summer_2022-05-21,2022-05-21,Center,summer,anchor,SARIMAX,test,34.400000,30.937107,-3.462893,3.462893,11.991625
Center_summer_2022-05-28,2022-05-28,Center,summer,anchor,SARIMAX,test,34.400000,31.490823,-2.909177,2.909177,8.463313
