sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_summer_2021-06-14,2021-06-14,Center,summer,soft,SARIMAX,test,33.008333,31.510220,-1.498114,1.498114,2.510874,33.733333,31.902019,33.350000,31.455879,31.941667,31.172761
Center_summer_2021-06-21,2021-06-21,Center,summer,soft,SARIMAX,test,33.258333,31.784272,-1.474061,1.474061,2.283124,33.841667,32.104841,33.550000,31.870249,32.383333,31.377726
Center_summer_2021-06-28,2021-06-28,Center,summer,soft,SARIMAX,test,33.375000,32.224486,-1.150514,1.150514,1.370379,33.841667,32.704527,33.550000,32.128390,32.733333,31.840542
Center_summer_2021-07-01,2021-07-01,Center,summer,soft,SARIMAX,test,33.372222,32.326824,-1.045398,1.045398,1.122548,33.841667,32.715226,33.541667,32.337767,32.733333,31.927478
Center_summer_2021-07-07,2021-07-07,Center,summer,soft,SARIMAX,test,34.205556,32.467094,-1.738461,1.738461,3.848492,35.641667,32.671472,34.075000,32.633828,32.900000,32.095983
Center_summer_2021-07-14,2021-07-14,Center,summer,soft,SARIMAX,test,35.027778,32.548624,-2.479153,2.479153,8.228215,37.150000,32.659613,34.383333,32.611090,33.550000,32.375170
Center_summer_2021-07-21,2021-07-21,Center,summer,soft,SARIMAX,test,35.108333,32.570324,-2.538010,2.538010,8.445204,37.150000,32.660126,34.575000,32.627911,33.600000,32.422934
Center_summer_2021-07-28,2021-07-28,Center,summer,soft,SARIMAX,test,35.108333,32.542775,-2.565559,2.565559,8.573200,37.150000,32.640556,34.575000,32.590686,33.600000,32.397082
Center_summer_2021-08-01,2021-08-01,Center,summer,soft,SARIMAX,test,35.144444,32.532362,-2.612082,2.612082,8.717770,37.150000,32.630314,34.575000,32.580591,33.708333,32.386182
Center_summer_2021-08-07,2021-08-07,Center,summer,soft,SARIMAX,test,33.844444,32.448758,-1.395687,1.395687,2.077952,34.383333,32.538690,33.891667,32.511066,33.258333,32.296517
Center_summer_2021-08-14,2021-08-14,Center,summer,soft,SARIMAX,test,33.377778,32.355153,-1.022624,1.022624,1.154766,33.941667,32.546265,33.475000,32.395277,32.716667,32.123918
Center_summer_2021-08-21,2021-08-21,Center,summer,soft,SARIMAX,test,33.261111,32.178506,-1.082605,1.082605,1.225122,33.941667,32.537610,33.258333,32.290260,32.583333,31.707647
Center_summer_2021-08-28,2021-08-28,Center,summer,soft,SARIMAX,test,32.997222,31.733242,-1.263980,1.263980,1.976733,33.941667,31.943041,33.058333,31.756888,31.991667,31.499797
Center_summer_2021-09-01,2021-09-01,Center,summer,soft,SARIMAX,test,32.622222,31.571472,-1.050750,1.050750,1.450715,33.566667,31.767574,32.600000,31.607280,31.700000,31.339562
