sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_summer_2021-06-21,2021-06-21,Center,summer,anchor,Tab-LSTM,test,34.075001,36.377022,2.302021,2.302021,5.299301
Center_summer_2021-06-28,2021-06-28,Center,summer,anchor,Tab-LSTM,test,34.075001,36.298218,2.223217,2.223217,4.942694
Center_summer_2021-07-01,2021-07-01,Center,summer,anchor,Tab-LSTM,test,34.075001,36.343750,2.268749,2.268749,5.147223
Center_summer_2021-07-07,2021-07-07,Center,summer,anchor,Tab-LSTM,test,37.408333,36.128357,-1.279976,1.279976,1.638338
Center_summer_2021-07-14,2021-07-14,Center,summer,anchor,Tab-LSTM,test,37.591667,35.716831,-1.874836,1.874836,3.515010
Center_summer_2021-07-21,2021-07-21,Center,summer,anchor,Tab-LSTM,test,37.591667,36.280708,-1.310959,1.310959,1.718613
Center_summer_2021-07-28,2021-07-28,Center,summer,anchor,Tab-LSTM,test,37.591667,36.081074,-1.510593,1.510593,2.281892
Center_summer_2021-08-01,2021-08-01,Center,summer,anchor,Tab-LSTM,test,37.591667,36.567898,-1.023769,1.023769,1.048104
Center_summer_2021-08-07,2021-08-07,Center,summer,anchor,Tab-LSTM,test,37.150002,39.002022,1.852020,1.852020,3.429979
Center_summer_2021-08-14,2021-08-14,Center,summer,anchor,Tab-LSTM,test,34.758335,37.517029,2.758694,2.758694,7.610391
Center_summer_2021-08-21,2021-08-21,Center,summer,anchor,Tab-LSTM,test,34.849998,37.271866,2.421867,2.421867,5.865442
Center_summer_2021-08-28,2021-08-28,Center,summer,anchor,Tab-LSTM,test,34.849998,36.657207,1.807209,1.807209,3.266004
Center_summer_2021-09-01,2021-09-01,Center,summer,anchor,Tab-LSTM,test,34.849998,36.702736,1.852737,1.852737,3.432636
Center_summer_2021-09-07,2021-09-07,Center,summer,anchor,Tab-LSTM,test,34.849998,37.562561,2.712563,2.712563,7.357996
Center_summer_2021-09-14,2021-09-14,Center,summer,anchor,Tab-LSTM,test,33.566666,37.422466,3.855801,3.855801,14.867198
Center_summer_2021-09-21,2021-09-21,Center,summer,anchor,Tab-LSTM,test,33.566666,36.678223,3.111557,3.111557,9.681787
Center_summer_2021-09-28,2021-09-28,Center,summer,anchor,Tab-LSTM,test,32.033333,35.485676,3.452343,3.452343,11.918672
Center_summer_2021-10-01,2021-10-01,Center,summer,anchor,Tab-LSTM,test,32.033333,35.529457,3.496124,3.496124,12.222885
Center_summer_2021-10-07,2021-10-07,Center,summer,anchor,Tab-LSTM,test,33.966667,33.548447,-0.418221,0.418221,0.174908
Center_summer_2021-10-14,2021-10-14,Center,summer,anchor,Tab-LSTM,test,33.966667,35.403374,1.436707,1.436707,2.064126
Center_summer_2021-10-21,2021-10-21,Center,summer,anchor,Tab-LSTM,test,33.966667,34.485760,0.519093,0.519093,0.269457
Center_summer_2021-10-28,2021-10-28,Center,summer,anchor,Tab-LSTM,test,33.966667,38.105423,4.138756,4.138756,17.129300
Center_summer_2021-11-01,2021-11-01,Center,summer,anchor,Tab-LSTM,test,33.966667,34.645992,0.679325,0.679325,0.461483
Center_summer_2021-11-07,2021-11-07,Center,summer,anchor,Tab-LSTM,test,32.775002,33.604267,0.829266,0.829266,0.687681
Center_summer_2021-11-14,2021-11-14,Center,summer,anchor,Tab-LSTM,test,32.775002,33.358158,0.583157,0.583157,0.340072
Center_summer_2021-11-21,2021-11-21,Center,summer,anchor,Tab-LSTM,test,32.775002,33.461765,0.686764,0.686764,0.471644
Center_summer_2021-11-28,2021-11-28,Center,summer,anchor,Tab-LSTM,test,32.775002,30.817066,-1.957935,1.957935,3.833511
Center_summer_2021-12-01,2021-12-01,Center,summer,anchor,Tab-LSTM,test,25.250000,30.655958,5.405958,5.405958,29.224384
Center_summer_2021-12-07,2021-12-07,Center,summer,anchor,Tab-LSTM,test,25.250000,30.340748,5.090748,5.090748,25.915714
Center_summer_2021-12-14,2021-12-14,Center,summer,anchor,Tab-LSTM,test,22.733334,29.097420,6.364086,6.364086,40.501593
Center_summer_2021-12-21,2021-12-21,Center,summer,anchor,Tab-LSTM,test,22.350000,25.836746,3.486746,3.486746,12.157397
Center_summer_2021-12-28,2021-12-28,Center,summer,anchor,Tab-LSTM,test,22.350000,25.920803,3.570803,3.570803,12.750632
Center_summer_2022-01-01,2022-01-01,Center,summer,anchor,Tab-LSTM,test,22.350000,25.465500,3.115499,3.115499,9.706337
Center_summer_2022-01-07,2022-01-07,Center,summer,anchor,Tab-LSTM,test,22.350000,25.192318,2.842318,2.842318,8.078769
Center_summer_2022-01-14,2022-01-14,Center,summer,anchor,Tab-LSTM,test,21.283333,27.097588,5.814255,5.814255,33.805558
Center_summer_2022-01-21,2022-01-21,Center,summer,anchor,Tab-LSTM,test,21.283333,25.549557,4.266224,4.266224,18.200666
Center_summer_2022-01-28,2022-01-28,Center,summer,anchor,Tab-LSTM,test,25.116667,24.442818,-0.673849,0.673849,0.454073
Center_summer_2022-02-01,2022-02-01,Center,summer,anchor,Tab-LSTM,test,25.116667,24.926140,-0.190527,0.190527,0.036301
Center_summer_2022-02-07,2022-02-07,Center,summer,anchor,Tab-LSTM,test,27.775000,27.269201,-0.505798,0.505798,0.255832
Center_summer_2022-02-14,2022-02-14,Center,summer,anchor,Tab-LSTM,test,27.775000,30.704990,2.929991,2.929991,8.584846
Center_summer_2022-02-21,2022-02-21,Center,summer,anchor,Tab-LSTM,test,27.775000,33.205437,5.430437,5.430437,29.489647
Center_summer_2022-02-28,2022-02-28,Center,summer,anchor,Tab-LSTM,test,27.775000,34.739681,6.964682,6.964682,48.506790
Center_summer_2022-03-01,2022-03-01,Center,summer,anchor,Tab-LSTM,test,27.775000,35.025997,7.250998,7.250998,52.576965
Center_summer_2022-03-07,2022-03-07,Center,summer,anchor,Tab-LSTM,test,32.483334,36.140614,3.657280,3.657280,13.375697
Center_summer_2022-03-14,2022-03-14,Center,summer,anchor,Tab-LSTM,test,32.491665,36.184391,3.692726,3.692726,13.636226
Center_summer_2022-03-21,2022-03-21,Center,summer,anchor,Tab-LSTM,test,35.633335,34.954197,-0.679138,0.679138,0.461229
Center_summer_2022-03-28,2022-03-28,Center,summer,anchor,Tab-LSTM,test,35.633335,36.243931,0.610596,0.610596,0.372827
Center_summer_2022-04-01,2022-04-01,Center,summer,anchor,Tab-LSTM,test,35.633335,36.496101,0.862766,0.862766,0.744366
Center_summer_2022-04-07,2022-04-07,Center,summer,anchor,Tab-LSTM,test,35.633335,37.219334,1.585999,1.585999,2.515391
Center_summer_2022-04-14,2022-04-14,Center,summer,anchor,Tab-LSTM,test,35.633335,38.914463,3.281128,3.281128,10.765800
Center_summer_2022-04-21,2022-04-21,Center,summer,anchor,Tab-LSTM,test,35.358334,39.611427,4.253094,4.253094,18.088806
Center_summer_2022-04-28,2022-04-28,Center,summer,anchor,Tab-LSTM,test,35.358334,38.826904,3.468571,3.468571,12.030983
Center_summer_2022-05-01,2022-05-01,Center,summer,anchor,Tab-LSTM,test,35.358334,38.466164,3.107830,3.107830,9.658608
Center_summer_2022-05-07,2022-05-07,Center,summer,anchor,Tab-LSTM,test,34.174999,38.557224,4.382225,4.382225,19.203896
Center_summer_2022-05-14,2022-05-14,Center,summer,anchor,Tab-LSTM,test,34.400002,39.054554,4.654552,4.654552,21.664859
Center_summer_2022-05-21,2022-05-21,Center,summer,anchor,Tab-LSTM,test,34.400002,38.305054,3.905052,3.905052,15.249433
Center_summer_2022-05-28,2022-05-28,Center,summer,anchor,Tab-LSTM,test,34.400002,37.566063,3.166061,3.166061,10.023945
Center_summer_2022-06-01,2022-06-01,Center,summer,anchor,Tab-LSTM,test,34.400002,37.541546,3.141544,3.141544,9.869301
Center_summer_2022-06-07,2022-06-07,Center,summer,anchor,Tab-LSTM,test,34.400002,37.625603,3.225601,3.225601,10.404503
Center_summer_2022-06-14,2022-06-14,Center,summer,anchor,Tab-LSTM,test,32.616665,38.816395,6.199730,6.199730,38.436651
Center_summer_2022-06-21,2022-06-21,Center,summer,anchor,Tab-LSTM,test,33.349998,36.487343,3.137344,3.137344,9.842930
Center_summer_2022-06-28,2022-06-28,Center,summer,anchor,Tab-LSTM,test,33.372726,37.033707,3.660980,3.660980,13.402776
Center_summer_2022-07-01,2022-07-01,Center,summer,anchor,Tab-LSTM,test,33.833332,37.047718,3.214386,3.214386,10.332277
Center_summer_2022-07-07,2022-07-07,Center,summer,anchor,Tab-LSTM,test,33.833332,36.433060,2.599728,2.599728,6.758584
Center_summer_2022-07-14,2022-07-14,Center,summer,anchor,Tab-LSTM,test,33.833332,35.984760,2.151428,2.151428,4.628643
Center_summer_2022-07-21,2022-07-21,Center,summer,anchor,Tab-LSTM,test,33.833332,35.942730,2.109398,2.109398,4.449559
Center_summer_2022-07-28,2022-07-28,Center,summer,anchor,Tab-LSTM,test,34.466667,36.627438,2.160770,2.160770,4.668929
Center_summer_2022-08-01,2022-08-01,Center,summer,anchor,Tab-LSTM,test,34.466667,36.126602,1.659935,1.659935,2.755384
Center_summer_2022-08-07,2022-08-07,Center,summer,anchor,Tab-LSTM,test,34.466667,35.627522,1.160854,1.160854,1.347583
Center_summer_2022-08-14,2022-08-14,Center,summer,anchor,Tab-LSTM,test,34.466667,36.305222,1.838554,1.838554,3.380282
Center_summer_2022-08-21,2022-08-21,Center,summer,anchor,Tab-LSTM,test,34.466667,36.361259,1.894592,1.894592,3.589480
Center_summer_2022-08-28,2022-08-28,Center,summer,anchor,Tab-LSTM,test,33.466667,36.797302,3.330635,3.330635,11.093130
Center_summer_2022-09-01,2022-09-01,Center,summer,anchor,Tab-LSTM,test,32.849998,36.100338,3.250340,3.250340,10.564707
Center_summer_2022-09-07,2022-09-07,Center,summer,anchor,Tab-LSTM,test,33.016666,35.687061,2.670395,2.670395,7.131009
Center_summer_2022-09-14,2022-09-14,Center,summer,anchor,Tab-LSTM,test,33.016666,36.967163,3.950497,3.950497,15.606424
Center_summer_2022-09-21,2022-09-21,Center,summer,anchor,Tab-LSTM,test,33.016666,37.096752,4.080086,4.080086,16.647100
Center_summer_2022-09-28,2022-09-28,Center,summer,anchor,Tab-LSTM,test,33.016666,34.860512,1.843845,1.843845,3.399766
Center_summer_2022-10-01,2022-10-01,Center,summer,anchor,Tab-LSTM,test,33.016666,35.230007,2.213341,2.213341,4.898877
Center_summer_2022-10-07,2022-10-07,Center,summer,anchor,Tab-LSTM,test,32.375000,35.779873,3.404873,3.404873,11.593159
Center_summer_2022-10-14,2022-10-14,Center,summer,anchor,Tab-LSTM,test,32.375000,34.795715,2.420715,2.420715,5.859863
Center_summer_2022-10-21,2022-10-21,Center,summer,anchor,Tab-LSTM,test,31.366667,32.054264,0.687597,0.687597,0.472790
Center_summer_2022-10-28,2022-10-28,Center,summer,anchor,Tab-LSTM,test,30.799999,29.650789,-1.149210,1.149210,1.320684
Center_summer_2022-11-01,2022-11-01,Center,summer,anchor,Tab-LSTM,test,30.799999,31.102507,0.302507,0.302507,0.091511
Center_summer_2022-11-07,2022-11-07,Center,summer,anchor,Tab-LSTM,test,30.799999,29.475672,-1.324327,1.324327,1.753843
Center_summer_2022-11-14,2022-11-14,Center,summer,anchor,Tab-LSTM,test,30.799999,30.095585,-0.704414,0.704414,0.496200
Center_summer_2022-11-21,2022-11-21,Center,summer,anchor,Tab-LSTM,test,30.799999,32.232883,1.432884,1.432884,2.053157
Center_summer_2022-11-28,2022-11-28,Center,summer,anchor,Tab-LSTM,test,25.691668,33.044987,7.353319,7.353319,54.071303
Center_summer_2022-12-01,2022-12-01,Center,summer,anchor,Tab-LSTM,test,25.691668,33.211021,7.519354,7.519354,56.540683
Center_summer_2022-12-07,2022-12-07,Center,summer,anchor,Tab-LSTM,test,25.691668,32.071777,6.380110,6.380110,40.705801
Center_summer_2022-12-14,2022-12-14,Center,summer,anchor,Tab-LSTM,test,25.691668,30.678724,4.987057,4.987057,24.870735
Center_summer_2022-12-21,2022-12-21,Center,summer,anchor,Tab-LSTM,test,22.041666,29.605259,7.563593,7.563593,57.207938
Center_summer_2022-12-28,2022-12-28,Center,summer,anchor,Tab-LSTM,test,22.825001,26.691317,3.866316,3.866316,14.948398
Center_summer_2023-01-01,2023-01-01,Center,summer,anchor,Tab-LSTM,test,25.891666,26.467167,0.575500,0.575500,0.331201
Center_summer_2023-01-07,2023-01-07,Center,summer,anchor,Tab-LSTM,test,25.891666,24.057562,-1.834105,1.834105,3.363939
Center_summer_2023-01-14,2023-01-14,Center,summer,anchor,Tab-LSTM,test,25.891666,24.603926,-1.287741,1.287741,1.658276
Center_summer_2023-01-21,2023-01-21,Center,summer,anchor,Tab-LSTM,test,25.891666,24.933146,-0.958521,0.958521,0.918762
Center_summer_2023-01-28,2023-01-28,Center,summer,anchor,Tab-LSTM,test,23.933332,28.368935,4.435602,4.435602,19.674567
Center_summer_2023-02-01,2023-02-01,Center,summer,anchor,Tab-LSTM,test,29.458334,28.586079,-0.872255,0.872255,0.760829
Center_summer_2023-02-07,2023-02-07,Center,summer,anchor,Tab-LSTM,test,33.341667,26.750856,-6.590811,6.590811,43.438787
Center_summer_2023-02-14,2023-02-14,Center,summer,anchor,Tab-LSTM,test,33.341667,27.185146,-6.156521,6.156521,37.902749
Center_summer_2023-02-21,2023-02-21,Center,summer,anchor,Tab-LSTM,test,33.341667,31.408960,-1.932707,1.932707,3.735356
Center_summer_2023-02-28,2023-02-28,Center,summer,anchor,Tab-LSTM,test,33.341667,33.960850,0.619183,0.619183,0.383387
Center_summer_2023-03-01,2023-03-01,Center,summer,anchor,Tab-LSTM,test,33.341667,33.458481,0.116814,0.116814,0.013645
Center_summer_2023-03-07,2023-03-07,Center,summer,anchor,Tab-LSTM,test,32.025002,34.533043,2.508041,2.508041,6.290272
Center_summer_2023-03-14,2023-03-14,Center,summer,anchor,Tab-LSTM,test,33.641666,36.988178,3.346512,3.346512,11.199142
Center_summer_2023-03-21,2023-03-21,Center,summer,anchor,Tab-LSTM,test,33.641666,38.497684,4.856018,4.856018,23.580911
Center_summer_2023-03-28,2023-03-28,Center,summer,anchor,Tab-LSTM,test,33.641666,38.630772,4.989105,4.989105,24.891171
Center_summer_2023-04-01,2023-04-01,Center,summer,anchor,Tab-LSTM,test,33.641666,37.541546,3.899879,3.899879,15.209060
Center_summer_2023-04-07,2023-04-07,Center,summer,anchor,Tab-LSTM,test,36.208332,38.189480,1.981148,1.981148,3.924946
Center_summer_2023-04-14,2023-04-14,Center,summer,anchor,Tab-LSTM,test,36.208332,38.606255,2.397923,2.397923,5.750032
Center_summer_2023-04-21,2023-04-21,Center,summer,anchor,Tab-LSTM,test,36.208332,39.394279,3.185947,3.185947,10.150261
Center_summer_2023-04-28,2023-04-28,Center,summer,anchor,Tab-LSTM,test,37.950001,39.009026,1.059025,1.059025,1.121534
Center_summer_2023-05-01,2023-05-01,Center,summer,anchor,Tab-LSTM,test,37.950001,39.786541,1.836540,1.836540,3.372880
Center_summer_2023-05-07,2023-05-07,Center,summer,anchor,Tab-LSTM,test,42.416668,39.611427,-2.805241,2.805241,7.869375
Center_summer_2023-05-14,2023-05-14,Center,summer,anchor,Tab-LSTM,test,42.416668,39.093079,-3.323589,3.323589,11.046246
Center_summer_2023-05-21,2023-05-21,Center,summer,anchor,Tab-LSTM,test,42.416668,39.492348,-2.924320,2.924320,8.551649
Center_summer_2023-05-28,2023-05-28,Center,summer,anchor,Tab-LSTM,test,42.416668,40.206821,-2.209846,2.209846,4.883422
Center_summer_2023-06-01,2023-06-01,Center,summer,anchor,Tab-LSTM,test,42.416668,40.381939,-2.034729,2.034729,4.140122
Center_summer_2023-06-07,2023-06-07,Center,summer,anchor,Tab-LSTM,test,36.758335,40.045715,3.287380,3.287380,10.806869
Center_summer_2023-06-14,2023-06-14,Center,summer,anchor,Tab-LSTM,test,35.566666,38.357590,2.790924,2.790924,7.789257
Center_summer_2023-06-21,2023-06-21,Center,summer,anchor,Tab-LSTM,test,36.091667,37.299885,1.208218,1.208218,1.459790
Center_summer_2023-06-28,2023-06-28,Center,summer,anchor,Tab-LSTM,test,36.275002,36.555641,0.280640,0.280640,0.078759
Center_summer_2023-07-01,2023-07-01,Center,summer,anchor,Tab-LSTM,test,36.275002,35.867432,-0.407570,0.407570,0.166113
Center_summer_2023-07-07,2023-07-07,Center,summer,anchor,Tab-LSTM,test,36.275002,36.056557,-0.218445,0.218445,0.047718
Center_summer_2023-07-14,2023-07-14,Center,summer,anchor,Tab-LSTM,test,36.275002,36.494350,0.219349,0.219349,0.048114
Center_summer_2023-07-21,2023-07-21,Center,summer,anchor,Tab-LSTM,test,36.275002,37.061726,0.786724,0.786724,0.618935
Center_summer_2023-07-28,2023-07-28,Center,summer,anchor,Tab-LSTM,test,35.516666,37.135277,1.618610,1.618610,2.619900
Center_summer_2023-08-01,2023-08-01,Center,summer,anchor,Tab-LSTM,test,35.066666,36.602921,1.536255,1.536255,2.360079
Center_summer_2023-08-07,2023-08-07,Center,summer,anchor,Tab-LSTM,test,35.066666,36.469833,1.403168,1.403168,1.968880
Center_summer_2023-08-14,2023-08-14,Center,summer,anchor,Tab-LSTM,test,39.983334,37.142281,-2.841053,2.841053,8.071582
Center_summer_2023-08-21,2023-08-21,Center,summer,anchor,Tab-LSTM,test,39.983334,35.573235,-4.410099,4.410099,19.448973
Center_summer_2023-08-28,2023-08-28,Center,summer,anchor,Tab-LSTM,test,39.983334,34.850880,-5.132454,5.132454,26.342083
Center_summer_2023-09-01,2023-09-01,Center,summer,anchor,Tab-LSTM,test,39.983334,36.461075,-3.522259,3.522259,12.406307
Center_summer_2023-09-07,2023-09-07,Center,summer,anchor,Tab-LSTM,test,39.983334,36.827072,-3.156261,3.156261,9.961986
Center_summer_2023-09-14,2023-09-14,Center,summer,anchor,Tab-LSTM,test,32.866665,35.841164,2.974499,2.974499,8.847643
Center_summer_2023-09-21,2023-09-21,Center,summer,anchor,Tab-LSTM,test,32.866665,36.977669,4.111004,4.111004,16.900353
Center_summer_2023-09-28,2023-09-28,Center,summer,anchor,Tab-LSTM,test,33.472729,36.531124,3.058395,3.058395,9.353782
Center_summer_2023-10-01,2023-10-01,Center,summer,anchor,Tab-LSTM,test,33.472729,37.082741,3.610012,3.610012,13.032187
Center_summer_2023-10-07,2023-10-07,Center,summer,anchor,Tab-LSTM,test,33.472729,37.811226,4.338497,4.338497,18.822558
Center_summer_2023-10-14,2023-10-14,Center,summer,anchor,Tab-LSTM,test,33.472729,37.404957,3.932228,3.932228,15.462418
Center_summer_2023-10-21,2023-10-21,Center,summer,anchor,Tab-LSTM,test,33.472729,36.070568,2.597839,2.597839,6.748769
Center_summer_2023-10-28,2023-10-28,Center,summer,anchor,Tab-LSTM,test,32.636364,34.363178,1.726814,1.726814,2.981888
Center_summer_2023-11-01,2023-11-01,Center,summer,anchor,Tab-LSTM,test,30.727272,31.873896,1.146624,1.146624,1.314746
Center_summer_2023-11-07,2023-11-07,Center,summer,anchor,Tab-LSTM,test,30.727272,33.624622,2.897350,2.897350,8.394639
Center_summer_2023-11-14,2023-11-14,Center,summer,anchor,Tab-LSTM,test,28.636364,32.570423,3.934059,3.934059,15.476821
Center_summer_2023-11-21,2023-11-21,Center,summer,anchor,Tab-LSTM,test,28.636364,32.597126,3.960762,3.960762,15.687636
Center_summer_2023-11-28,2023-11-28,Center,summer,anchor,Tab-LSTM,test,28.636364,28.876774,0.240410,0.240410,0.057797
Center_summer_2023-12-01,2023-12-01,Center,summer,anchor,Tab-LSTM,test,28.636364,28.869768,0.233404,0.233404,0.054478
Center_summer_2023-12-07,2023-12-07,Center,summer,anchor,Tab-LSTM,test,25.872726,30.552639,4.679913,4.679913,21.901582
Center_summer_2023-12-14,2023-12-14,Center,summer,anchor,Tab-LSTM,test,25.872726,32.886070,7.013344,7.013344,49.186991
Center_summer_2023-12-21,2023-12-21,Center,summer,anchor,Tab-LSTM,test,24.909090,31.468500,6.559410,6.559410,43.025861
Center_summer_2023-12-28,2023-12-28,Center,summer,anchor,Tab-LSTM,test,24.909090,31.310894,6.401804,6.401804,40.983094
Center_summer_2024-01-01,2024-01-01,Center,summer,anchor,Tab-LSTM,test,24.909090,29.535212,4.626122,4.626122,21.401000
Center_summer_2024-01-07,2024-01-07,Center,summer,anchor,Tab-LSTM,test,24.909090,28.368935,3.459845,3.459845,11.970525
Center_summer_2024-01-14,2024-01-14,Center,summer,anchor,Tab-LSTM,test,24.299999,27.489849,3.189850,3.189850,10.175142
Center_summer_2024-01-21,2024-01-21,Center,summer,anchor,Tab-LSTM,test,25.059999,29.598253,4.538254,4.538254,20.595747
Center_summer_2024-01-28,2024-01-28,Center,summer,anchor,Tab-LSTM,test,25.059999,30.384527,5.324528,5.324528,28.350596
Center_summer_2024-02-01,2024-02-01,Center,summer,anchor,Tab-LSTM,test,26.145454,29.650789,3.505335,3.505335,12.287372
Center_summer_2024-02-07,2024-02-07,Center,summer,anchor,Tab-LSTM,test,26.145454,27.461830,1.316376,1.316376,1.732845
Center_summer_2024-02-14,2024-02-14,Center,summer,anchor,Tab-LSTM,test,26.145454,30.419552,4.274097,4.274097,18.267909
Center_summer_2024-02-21,2024-02-21,Center,summer,anchor,Tab-LSTM,test,26.145454,28.722670,2.577215,2.577215,6.642038
Center_summer_2024-02-28,2024-02-28,Center,summer,anchor,Tab-LSTM,test,29.918182,31.128773,1.210590,1.210590,1.465529
Center_summer_2024-03-01,2024-03-01,Center,summer,anchor,Tab-LSTM,test,29.918182,31.324903,1.406721,1.406721,1.978864
Center_summer_2024-03-07,2024-03-07,Center,summer,anchor,Tab-LSTM,test,32.509090,33.034481,0.525391,0.525391,0.276035
Center_summer_2024-03-14,2024-03-14,Center,summer,anchor,Tab-LSTM,test,32.509090,35.431389,2.922298,2.922298,8.539828
Center_summer_2024-03-21,2024-03-21,Center,summer,anchor,Tab-LSTM,test,33.541668,37.352421,3.810753,3.810753,14.521837
Center_summer_2024-03-28,2024-03-28,Center,summer,anchor,Tab-LSTM,test,41.216667,37.699150,-3.517517,3.517517,12.372926
