sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_summer_2021-06-21,2021-06-21,Center,summer,soft,Tab-LSTM,test,33.258334,32.375086,-0.883247,0.883247,0.927609,33.841667,33.035866,33.549999,32.162491,32.383335,31.926903
Center_summer_2021-06-28,2021-06-28,Center,summer,soft,Tab-LSTM,test,33.375000,32.246361,-1.128639,1.128639,1.389442,33.841667,33.158283,33.549999,32.041462,32.733334,31.539337
Center_summer_2021-07-01,2021-07-01,Center,summer,soft,Tab-LSTM,test,33.372223,31.989251,-1.382971,1.382971,2.297336,33.841667,33.334759,33.541668,31.759062,32.733334,30.873934
Center_summer_2021-07-07,2021-07-07,Center,summer,soft,Tab-LSTM,test,34.205556,32.381759,-1.823797,1.823797,3.522819,35.641666,33.314091,34.075001,32.179783,32.900002,31.651403
Center_summer_2021-07-14,2021-07-14,Center,summer,soft,Tab-LSTM,test,35.027779,32.601187,-2.426591,2.426591,7.503413,37.150002,32.988964,34.383335,32.416077,33.549999,32.398521
Center_summer_2021-07-21,2021-07-21,Center,summer,soft,Tab-LSTM,test,35.108334,32.486019,-2.622314,2.622314,7.910487,37.150002,33.156696,34.575001,32.262390,33.599998,32.038971
Center_summer_2021-07-28,2021-07-28,Center,summer,soft,Tab-LSTM,test,35.108334,32.679518,-2.428815,2.428815,7.267832,37.150002,33.172592,34.575001,32.416077,33.599998,32.449886
Center_summer_2021-08-01,2021-08-01,Center,summer,soft,Tab-LSTM,test,35.144445,32.659153,-2.485292,2.485292,7.403155,37.150002,33.167824,34.575001,32.439129,33.708332,32.370506
Center_summer_2021-08-07,2021-08-07,Center,summer,soft,Tab-LSTM,test,33.844446,31.534735,-2.309710,2.309710,6.948003,34.383335,33.732220,33.891666,31.349869,33.258335,29.522118
Center_summer_2021-08-14,2021-08-14,Center,summer,soft,Tab-LSTM,test,33.377777,32.605245,-0.772532,0.772532,0.668982,33.941666,33.129669,33.474998,32.394943,32.716667,32.291122
Center_summer_2021-08-21,2021-08-21,Center,summer,soft,Tab-LSTM,test,33.261111,32.697249,-0.563862,0.563862,0.429298,33.941666,33.198032,33.258335,32.406471,32.583332,32.487244
Center_summer_2021-08-28,2021-08-28,Center,summer,soft,Tab-LSTM,test,32.997222,32.429134,-0.568088,0.568088,0.435857,33.941666,33.198032,33.058334,32.195152,31.991667,31.894218
Center_summer_2021-09-01,2021-09-01,Center,summer,soft,Tab-LSTM,test,32.622222,32.553315,-0.068906,0.394503,0.162135,33.566666,33.163055,32.599998,32.308495,31.700001,32.188396
Center_summer_2021-09-07,2021-09-07,Center,summer,soft,Tab-LSTM,test,32.052778,32.684433,0.631655,0.811699,1.148275,33.566666,33.296600,31.983334,32.348839,30.608334,32.407860
Center_summer_2021-09-14,2021-09-14,Center,summer,soft,Tab-LSTM,test,31.305555,31.911283,0.605728,0.679057,0.797205,32.033333,33.508053,31.700001,31.590006,30.183332,30.635790
Center_summer_2021-09-21,2021-09-21,Center,summer,soft,Tab-LSTM,test,30.713889,31.216464,0.502575,0.996209,1.078256,32.033333,33.439690,30.233334,31.075153,29.875000,29.134548
Center_summer_2021-09-28,2021-09-28,Center,summer,soft,Tab-LSTM,test,29.869445,31.061805,1.192361,1.619015,3.871691,30.233334,33.417431,29.924999,30.957966,29.450001,28.810019
Center_summer_2021-10-01,2021-10-01,Center,summer,soft,Tab-LSTM,test,30.263889,31.199692,0.935804,1.041651,1.695884,31.291666,33.350658,30.183332,31.090523,29.316668,29.157896
Center_summer_2021-10-07,2021-10-07,Center,summer,soft,Tab-LSTM,test,30.475505,31.129672,0.654167,0.654167,0.491010,31.775000,32.770363,30.233334,30.802359,29.418182,29.816294
Center_summer_2021-10-14,2021-10-14,Center,summer,soft,Tab-LSTM,test,29.811111,30.313714,0.502603,1.155011,1.751094,31.291666,33.310909,29.950001,30.417179,28.191668,27.213055
Center_summer_2021-10-21,2021-10-21,Center,summer,soft,Tab-LSTM,test,29.663889,29.906477,0.242588,0.657356,0.735010,31.291666,32.641582,29.950001,29.946510,27.750000,27.131338
Center_summer_2021-10-28,2021-10-28,Center,summer,soft,Tab-LSTM,test,29.616667,30.724738,1.108071,1.108071,1.796923,31.291666,33.442867,29.950001,30.730316,27.608334,28.001030
Center_summer_2021-11-01,2021-11-01,Center,summer,soft,Tab-LSTM,test,29.206313,29.066813,-0.139500,1.174582,1.588019,30.549999,32.102623,29.741667,29.209291,27.327272,25.888525
Center_summer_2021-11-07,2021-11-07,Center,summer,soft,Tab-LSTM,test,28.152777,27.935375,-0.217402,0.941457,0.911704,30.166666,31.252748,28.908333,28.188711,25.383333,24.364666
Center_summer_2021-11-14,2021-11-14,Center,summer,soft,Tab-LSTM,test,26.416667,27.855567,1.438900,1.438900,3.132101,28.908333,31.524216,26.508333,28.102741,23.833334,23.939743
Center_summer_2021-11-21,2021-11-21,Center,summer,soft,Tab-LSTM,test,25.216667,27.440584,2.223918,2.223918,5.719044,28.666666,30.691233,24.333334,27.719963,22.650000,23.910557
Center_summer_2021-11-28,2021-11-28,Center,summer,soft,Tab-LSTM,test,24.338889,24.173377,-0.165512,0.994886,1.268033,28.666666,26.926069,23.833334,24.472355,20.516666,21.121706
Center_summer_2021-12-01,2021-12-01,Center,summer,soft,Tab-LSTM,test,22.344444,23.851256,1.506812,1.506812,2.898404,24.333334,26.846577,22.650000,24.080452,20.049999,20.626740
Center_summer_2021-12-07,2021-12-07,Center,summer,soft,Tab-LSTM,test,21.297222,23.005606,1.708384,1.708384,3.413390,24.333334,25.622391,20.516666,23.215960,19.041666,20.178469
Center_summer_2021-12-14,2021-12-14,Center,summer,soft,Tab-LSTM,test,20.275000,22.390045,2.115045,2.115045,4.978257,21.516666,24.614426,20.600000,22.405258,18.708334,20.150452
Center_summer_2021-12-21,2021-12-21,Center,summer,soft,Tab-LSTM,test,19.719444,19.905782,0.186338,0.600135,0.410112,20.883333,21.746334,20.225000,19.604305,18.049999,18.366707
Center_summer_2021-12-28,2021-12-28,Center,summer,soft,Tab-LSTM,test,19.644445,20.111828,0.467384,0.650649,0.513374,20.883333,21.892601,20.225000,19.950102,17.825001,18.492783
Center_summer_2022-01-01,2022-01-01,Center,summer,soft,Tab-LSTM,test,18.777778,19.494509,0.716731,0.716731,0.773291,20.825001,21.294817,19.058332,19.312298,16.450001,17.876411
Center_summer_2022-01-07,2022-01-07,Center,summer,soft,Tab-LSTM,test,18.902778,20.225163,1.322385,1.322385,2.717284,20.825001,22.153336,19.966667,20.080736,15.916667,18.441418
