sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_summer_2021-06-14,2021-06-14,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,38.108334,41.831463,3.723129,3.723129,13.861692
Negev_summer_2021-06-21,2021-06-21,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,38.958332,42.054848,3.096516,3.096516,9.588409
Negev_summer_2021-06-28,2021-06-28,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,38.958332,41.837017,2.878685,2.878685,8.286827
Negev_summer_2021-07-01,2021-07-01,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,38.958332,42.021175,3.062843,3.062843,9.381009
Negev_summer_2021-07-07,2021-07-07,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,39.833332,39.197262,-0.636070,0.636070,0.404585
Negev_summer_2021-07-14,2021-07-14,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,40.091667,41.511963,1.420296,1.420296,2.017240
Negev_summer_2021-07-21,2021-07-21,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,40.091667,41.441048,1.349380,1.349380,1.820828
Negev_summer_2021-07-28,2021-07-28,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,40.091667,41.386662,1.294994,1.294994,1.677010
Negev_summer_2021-08-01,2021-08-01,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,40.091667,41.386662,1.294994,1.294994,1.677010
Negev_summer_2021-08-07,2021-08-07,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,40.091667,40.983349,0.891682,0.891682,0.795096
Negev_summer_2021-08-14,2021-08-14,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,36.391666,41.484657,5.092991,5.092991,25.938556
Negev_summer_2021-08-21,2021-08-21,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,36.391666,39.739407,3.347740,3.347740,11.207364
Negev_summer_2021-08-28,2021-08-28,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,36.008335,37.905312,1.896976,1.896976,3.598520
Negev_summer_2021-09-01,2021-09-01,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,36.008335,38.536709,2.528374,2.528374,6.392674
Negev_summer_2021-09-07,2021-09-07,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,36.008335,37.540707,1.532372,1.532372,2.348162
Negev_summer_2021-09-14,2021-09-14,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,34.366665,39.003700,4.637035,4.637035,21.502097
Negev_summer_2021-09-21,2021-09-21,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,34.366665,39.028118,4.661453,4.661453,21.729146
Negev_summer_2021-09-28,2021-09-28,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,34.025002,33.941368,-0.083633,0.083633,0.006995
Negev_summer_2021-10-01,2021-10-01,Negev,summer,anchor,ConvNeXtTiny-LSTM,test,34.025002,35.827999,1.802998,1.802998,3.250800
