sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_summer_2021-06-14,2021-06-14,Negev,summer,soft,ConvNeXtTiny-LSTM,test,35.675001,35.584321,-0.090679,0.346979,0.162416,36.841667,36.762383,36.158333,35.581131,34.025002,34.409451
Negev_summer_2021-06-21,2021-06-21,Negev,summer,soft,ConvNeXtTiny-LSTM,test,36.244446,35.801577,-0.442869,0.442869,0.276407,36.950001,36.693195,36.650002,35.806778,35.133335,34.904758
Negev_summer_2021-06-28,2021-06-28,Negev,summer,soft,ConvNeXtTiny-LSTM,test,36.130557,36.948396,0.817839,0.817839,0.768798,36.950001,38.115562,36.650002,37.050625,34.791668,35.679001
Negev_summer_2021-07-01,2021-07-01,Negev,summer,soft,ConvNeXtTiny-LSTM,test,35.886111,37.738542,1.852431,1.852431,3.482888,36.858334,39.020828,36.016666,37.784615,34.783333,36.410183
Negev_summer_2021-07-07,2021-07-07,Negev,summer,soft,ConvNeXtTiny-LSTM,test,36.983334,36.150323,-0.833010,0.894697,1.429245,38.958332,36.983921,36.858334,36.241184,35.133335,35.225864
Negev_summer_2021-07-14,2021-07-14,Negev,summer,soft,ConvNeXtTiny-LSTM,test,37.669444,36.651763,-1.017681,1.122023,1.816373,39.799999,37.825089,37.941666,36.707020,35.266666,35.423180
Negev_summer_2021-07-21,2021-07-21,Negev,summer,soft,ConvNeXtTiny-LSTM,test,37.458333,35.994878,-1.463455,1.463455,3.321210,39.799999,36.973576,37.549999,36.154839,35.025002,34.856220
Negev_summer_2021-07-28,2021-07-28,Negev,summer,soft,ConvNeXtTiny-LSTM,test,37.533333,36.025990,-1.507343,1.507343,3.260141,39.799999,37.043472,37.549999,36.108910,35.250000,34.925587
Negev_summer_2021-08-01,2021-08-01,Negev,summer,soft,ConvNeXtTiny-LSTM,test,37.538888,35.199128,-2.339760,2.339760,6.754797,39.799999,36.082783,37.549999,35.193672,35.266666,34.320930
Negev_summer_2021-08-07,2021-08-07,Negev,summer,soft,ConvNeXtTiny-LSTM,test,35.602777,35.590563,-0.012213,0.315314,0.136348,36.391666,36.798328,35.549999,35.597988,34.866665,34.375374
Negev_summer_2021-08-14,2021-08-14,Negev,summer,soft,ConvNeXtTiny-LSTM,test,35.005555,35.727549,0.721994,0.721994,0.528701,35.941666,36.721363,35.150002,35.750179,33.924999,34.711105
Negev_summer_2021-08-21,2021-08-21,Negev,summer,soft,ConvNeXtTiny-LSTM,test,34.983334,34.999053,0.015719,0.173820,0.039386,35.941666,35.980133,35.150002,34.912849,33.858334,34.104176
Negev_summer_2021-08-28,2021-08-28,Negev,summer,soft,ConvNeXtTiny-LSTM,test,34.122223,35.732286,1.610063,1.610063,2.701667,35.383335,36.593555,34.133335,35.733223,32.849998,34.870079
Negev_summer_2021-09-01,2021-09-01,Negev,summer,soft,ConvNeXtTiny-LSTM,test,33.452777,35.405755,1.952979,1.952979,3.920638,34.366665,36.448544,33.875000,35.379723,32.116665,34.389000
Negev_summer_2021-09-07,2021-09-07,Negev,summer,soft,ConvNeXtTiny-LSTM,test,32.497222,34.819314,2.322092,2.322092,6.287581,34.366665,35.745987,32.791668,34.762592,30.333334,33.949364
Negev_summer_2021-09-14,2021-09-14,Negev,summer,soft,ConvNeXtTiny-LSTM,test,32.308334,34.041167,1.732833,1.732833,3.264148,34.025002,35.343643,32.566666,33.993282,30.333334,32.786575
Negev_summer_2021-09-21,2021-09-21,Negev,summer,soft,ConvNeXtTiny-LSTM,test,31.627778,32.915940,1.288162,1.288162,1.815652,34.025002,34.838585,30.908333,32.689751,29.950001,31.219484
Negev_summer_2021-09-28,2021-09-28,Negev,summer,soft,ConvNeXtTiny-LSTM,test,30.044444,30.865915,0.821471,0.821471,0.999044,30.958334,32.565323,30.516666,30.791868,28.658333,29.240555
Negev_summer_2021-10-01,2021-10-01,Negev,summer,soft,ConvNeXtTiny-LSTM,test,30.216667,31.639753,1.423087,1.423087,2.527373,31.150000,33.464153,30.841667,31.421986,28.658333,30.033121
Negev_summer_2021-10-07,2021-10-07,Negev,summer,soft,ConvNeXtTiny-LSTM,test,30.166667,29.731459,-0.435208,0.480471,0.486099,31.799999,31.618420,30.858334,29.666395,27.841667,27.909561
Negev_summer_2021-10-14,2021-10-14,Negev,summer,soft,ConvNeXtTiny-LSTM,test,29.325000,31.639880,2.314880,2.314880,5.773870,30.958334,33.514629,29.875000,31.308191,27.141666,30.096819
Negev_summer_2021-10-21,2021-10-21,Negev,summer,soft,ConvNeXtTiny-LSTM,test,28.819445,27.091077,-1.728368,1.728368,3.327602,30.116667,29.170397,29.458334,27.566425,26.883333,24.536407
Negev_summer_2021-10-28,2021-10-28,Negev,summer,soft,ConvNeXtTiny-LSTM,test,28.416667,27.811470,-0.605197,0.652644,0.805608,30.116667,29.735348,29.458334,27.952892,25.674999,25.746170
Negev_summer_2021-11-01,2021-11-01,Negev,summer,soft,ConvNeXtTiny-LSTM,test,28.352777,25.476142,-2.876635,2.876635,8.463354,30.116667,27.401316,29.299999,25.829910,25.641666,23.197201
Negev_summer_2021-11-07,2021-11-07,Negev,summer,soft,ConvNeXtTiny-LSTM,test,26.697222,24.554612,-2.142610,2.142610,5.144259,29.458334,26.394829,27.141666,25.018839,23.491667,22.250170
Negev_summer_2021-11-14,2021-11-14,Negev,summer,soft,ConvNeXtTiny-LSTM,test,25.722222,21.347162,-4.375060,4.375060,20.286500,29.091667,23.239803,25.391666,21.468113,22.683332,19.333569
Negev_summer_2021-11-21,2021-11-21,Negev,summer,soft,ConvNeXtTiny-LSTM,test,24.772222,24.158866,-0.613356,1.288587,2.620507,29.091667,26.489178,23.933332,24.946178,21.291666,21.041241
Negev_summer_2021-11-28,2021-11-28,Negev,summer,soft,ConvNeXtTiny-LSTM,test,23.502778,22.287093,-1.215686,1.930364,7.615596,29.091667,24.372593,22.100000,22.671478,19.316668,19.817207
