sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_summer_2021-06-14,2021-06-14,Negev,summer,anchor,ConvNeXtTiny-TFT,test,38.108334,41.080078,2.971745,2.971745,8.831266
Negev_summer_2021-06-21,2021-06-21,Negev,summer,anchor,ConvNeXtTiny-TFT,test,38.958332,40.719456,1.761124,1.761124,3.101557
Negev_summer_2021-06-28,2021-06-28,Negev,summer,anchor,ConvNeXtTiny-TFT,test,38.958332,41.552429,2.594097,2.594097,6.729340
Negev_summer_2021-07-01,2021-07-01,Negev,summer,anchor,ConvNeXtTiny-TFT,test,38.958332,41.697437,2.739105,2.739105,7.502697
Negev_summer_2021-07-07,2021-07-07,Negev,summer,anchor,ConvNeXtTiny-TFT,test,39.833332,40.982582,1.149250,1.149250,1.320776
Negev_summer_2021-07-14,2021-07-14,Negev,summer,anchor,ConvNeXtTiny-TFT,test,40.091667,40.880161,0.788494,0.788494,0.621723
Negev_summer_2021-07-21,2021-07-21,Negev,summer,anchor,ConvNeXtTiny-TFT,test,40.091667,40.618301,0.526634,0.526634,0.277344
Negev_summer_2021-07-28,2021-07-28,Negev,summer,anchor,ConvNeXtTiny-TFT,test,40.091667,40.275818,0.184151,0.184151,0.033911
Negev_summer_2021-08-01,2021-08-01,Negev,summer,anchor,ConvNeXtTiny-TFT,test,40.091667,40.057331,-0.034336,0.034336,0.001179
Negev_summer_2021-08-07,2021-08-07,Negev,summer,anchor,ConvNeXtTiny-TFT,test,40.091667,39.715656,-0.376011,0.376011,0.141384
Negev_summer_2021-08-14,2021-08-14,Negev,summer,anchor,ConvNeXtTiny-TFT,test,36.391666,39.851204,3.459538,3.459538,11.968400
Negev_summer_2021-08-21,2021-08-21,Negev,summer,anchor,ConvNeXtTiny-TFT,test,36.391666,39.113804,2.722137,2.722137,7.410032
Negev_summer_2021-08-28,2021-08-28,Negev,summer,anchor,ConvNeXtTiny-TFT,test,36.008335,38.851437,2.843102,2.843102,8.083226
Negev_summer_2021-09-01,2021-09-01,Negev,summer,anchor,ConvNeXtTiny-TFT,test,36.008335,38.937775,2.929440,2.929440,8.581616
Negev_summer_2021-09-07,2021-09-07,Negev,summer,anchor,ConvNeXtTiny-TFT,test,36.008335,38.538010,2.529675,2.529675,6.399253
Negev_summer_2021-09-14,2021-09-14,Negev,summer,anchor,ConvNeXtTiny-TFT,test,34.366665,38.050262,3.683598,3.683598,13.568891
Negev_summer_2021-09-21,2021-09-21,Negev,summer,anchor,ConvNeXtTiny-TFT,test,34.366665,37.880642,3.513977,3.513977,12.348035
