sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_summer_2021-06-14,2021-06-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,35.675001,35.523012,-0.151989,0.208920,0.054748,36.841667,36.927063,36.158333,35.815491,34.025002,33.826481
Negev_summer_2021-06-21,2021-06-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,36.244446,35.995424,-0.249022,0.800541,0.794614,36.950001,37.777279,36.650002,36.342503,35.133335,33.866489
Negev_summer_2021-06-28,2021-06-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,36.130557,36.567988,0.437431,0.437431,0.234675,36.950001,37.681091,36.650002,36.922829,34.791668,35.100044
Negev_summer_2021-07-01,2021-07-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,35.886111,37.024366,1.138255,1.138255,1.453873,36.858334,38.275032,36.016666,37.439049,34.783333,35.359016
Negev_summer_2021-07-07,2021-07-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,36.983334,36.809450,-0.173884,0.420021,0.232633,38.958332,38.225872,36.858334,37.227539,35.133335,34.974937
Negev_summer_2021-07-14,2021-07-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,37.669444,36.493253,-1.176191,1.176191,2.091547,39.799999,37.540157,37.941666,36.881321,35.266666,35.058281
Negev_summer_2021-07-21,2021-07-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,37.458333,36.085645,-1.372688,1.372688,3.243072,39.799999,36.888241,37.549999,36.435333,35.025002,34.933361
Negev_summer_2021-07-28,2021-07-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,37.533333,35.858849,-1.674484,1.674484,3.813178,39.799999,36.759232,37.549999,36.221207,35.250000,34.596107
Negev_summer_2021-08-01,2021-08-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,37.538888,35.170378,-2.368510,2.368510,7.156889,39.799999,35.791851,37.549999,35.449707,35.266666,34.269577
Negev_summer_2021-08-07,2021-08-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,35.602777,34.806877,-0.795900,0.795900,0.747545,36.391666,35.727066,35.549999,35.086197,34.866665,33.607368
Negev_summer_2021-08-14,2021-08-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,35.005555,35.027092,0.021537,0.107629,0.017151,35.941666,35.824291,35.150002,35.343750,33.924999,33.913235
Negev_summer_2021-08-21,2021-08-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,34.983334,35.077019,0.093685,0.114920,0.026858,35.941666,35.974419,35.150002,35.430157,33.858334,33.826481
Negev_summer_2021-08-28,2021-08-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,34.122223,34.899855,0.777632,0.777632,0.678066,35.383335,35.956871,34.133335,35.293709,32.849998,33.448986
Negev_summer_2021-09-01,2021-09-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,33.452777,34.499251,1.046474,1.046474,1.216541,34.366665,35.854263,33.875000,34.891190,32.116665,32.752300
Negev_summer_2021-09-07,2021-09-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,32.497222,34.204020,1.706798,1.706798,2.919230,34.366665,35.971912,32.791668,34.586273,30.333334,32.053875
Negev_summer_2021-09-14,2021-09-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,32.308334,32.460972,0.152638,0.359634,0.180461,34.025002,33.714508,32.566666,32.677235,30.333334,30.991173
Negev_summer_2021-09-21,2021-09-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,31.627778,33.128151,1.500373,1.500373,2.813328,34.025002,34.705242,30.908333,33.400883,29.950001,31.278328
Negev_summer_2021-09-28,2021-09-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,30.044444,30.218311,0.173867,0.619932,0.583505,30.958334,32.149033,30.516666,30.415468,28.658333,28.090433
Negev_summer_2021-10-01,2021-10-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,30.216667,31.788573,1.571906,1.571906,3.803676,31.150000,34.283417,30.841667,32.045666,28.658333,29.036636
Negev_summer_2021-10-07,2021-10-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,30.166667,30.678900,0.512234,0.512234,0.530223,31.799999,33.040516,30.858334,30.943478,27.841667,28.052708
Negev_summer_2021-10-14,2021-10-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,29.325000,29.556402,0.231402,0.314906,0.152645,30.958334,31.598812,29.875000,29.749744,27.141666,27.320650
Negev_summer_2021-10-21,2021-10-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,28.819445,27.423604,-1.395841,1.395841,2.168063,30.116667,29.373051,29.458334,27.633970,26.883333,25.263790
Negev_summer_2021-10-28,2021-10-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,28.416667,26.017437,-2.399230,2.399230,6.043857,30.116667,28.013058,29.458334,26.306490,25.674999,23.732763
Negev_summer_2021-11-01,2021-11-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,28.352777,24.931125,-3.421652,3.421652,12.039551,30.116667,26.684486,29.299999,25.178143,25.641666,22.930746
Negev_summer_2021-11-07,2021-11-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,26.697222,25.260767,-1.436455,1.436455,2.916158,29.458334,27.001839,27.141666,25.508995,23.491667,23.271467
Negev_summer_2021-11-14,2021-11-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,25.722222,20.256049,-5.466173,5.466173,31.898495,29.091667,21.668888,25.391666,20.506382,22.683332,18.592876
Negev_summer_2021-11-21,2021-11-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,24.772222,22.150684,-2.621538,2.621538,10.439518,29.091667,23.812576,23.933332,22.408958,21.291666,20.230516
Negev_summer_2021-11-28,2021-11-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,23.502778,22.563192,-0.939586,2.346149,8.909794,29.091667,24.163065,22.100000,22.828932,19.316668,20.697580
Negev_summer_2021-12-01,2021-12-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,21.177777,24.445124,3.267347,3.267347,11.144452,23.933332,26.295490,21.291666,24.713591,18.308332,22.326292
Negev_summer_2021-12-07,2021-12-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,19.872222,19.026450,-0.845771,1.761607,5.415680,23.933332,20.022264,18.541666,19.169445,17.141666,17.887642
Negev_summer_2021-12-14,2021-12-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,18.691666,21.887433,3.195766,3.195766,10.376533,20.799999,23.507227,18.466667,22.164410,16.808332,19.990662
Negev_summer_2021-12-21,2021-12-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,18.452777,17.928130,-0.524647,0.553071,0.704486,20.433332,18.990623,18.308332,18.134464,16.616667,16.659302
Negev_summer_2021-12-28,2021-12-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,18.205555,19.767022,1.561467,1.561467,2.564935,20.433332,21.513687,18.308332,19.981792,15.875000,17.805588
Negev_summer_2022-01-01,2022-01-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,17.855556,18.867611,1.012055,1.114395,1.983679,20.433332,20.279823,18.091667,19.038254,15.041667,17.284756
Negev_summer_2022-01-07,2022-01-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,17.577777,20.022993,2.445216,2.445216,7.771567,20.433332,21.570263,18.283333,20.197355,14.016666,18.301361
Negev_summer_2022-01-14,2022-01-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,16.244445,19.868240,3.623795,3.623795,13.467223,18.858334,21.753040,16.358334,20.023687,13.516666,17.827991
Negev_summer_2022-01-21,2022-01-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,17.705556,19.978193,2.272638,2.272638,5.177491,19.816668,22.127407,17.900000,20.287098,15.400000,17.520075
Negev_summer_2022-01-28,2022-01-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,18.877778,19.951066,1.073289,1.073289,1.194325,21.125000,22.099916,18.858334,20.218100,16.650000,17.535183
Negev_summer_2022-02-01,2022-02-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,19.775000,21.020330,1.245330,1.245330,1.919815,21.608334,23.462307,19.816668,21.282669,17.900000,18.316013
Negev_summer_2022-02-07,2022-02-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,21.355556,20.929012,-0.426544,0.707179,0.675848,24.633333,23.333403,20.716667,21.137619,18.716667,18.316013
Negev_summer_2022-02-14,2022-02-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,21.302778,22.908810,1.606033,1.606033,2.957313,24.633333,25.664236,20.716667,23.174957,18.558332,19.887238
Negev_summer_2022-02-21,2022-02-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,21.116667,23.269939,2.153273,2.153273,4.991139,24.633333,26.013409,20.716667,23.545429,18.000000,20.250980
Negev_summer_2022-02-28,2022-02-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,20.944445,24.228403,3.283958,3.283958,11.786894,25.116667,27.001839,20.716667,24.509457,17.000000,21.173914
Negev_summer_2022-03-01,2022-03-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,21.175252,24.742416,3.567164,3.567164,13.316920,25.116667,27.713966,21.409090,25.033504,17.000000,21.479778
Negev_summer_2022-03-07,2022-03-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,25.866666,25.360870,-0.505796,3.357538,13.304600,32.718182,28.267488,27.009090,25.664783,17.872726,22.150339
Negev_summer_2022-03-14,2022-03-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,28.296969,26.048730,-2.248239,2.866089,10.110491,33.090908,29.407919,30.390909,26.402407,21.409090,22.335865
Negev_summer_2022-03-21,2022-03-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,30.712373,25.880135,-4.832238,4.832238,23.934782,34.991665,29.087772,30.645454,26.226341,26.500000,22.326292
Negev_summer_2022-03-28,2022-03-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,31.374999,26.356354,-5.018646,5.018646,25.476709,34.991665,29.260733,31.491667,26.596046,27.641666,23.212282
Negev_summer_2022-04-01,2022-04-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,32.372979,30.190225,-2.182755,2.182755,4.955965,35.436363,33.036358,33.090908,30.514860,28.591667,27.019457
Negev_summer_2022-04-07,2022-04-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,31.575000,33.939049,2.364049,2.364049,6.166856,35.641666,36.934834,31.491667,34.475445,27.591667,30.406868
Negev_summer_2022-04-14,2022-04-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,31.941666,30.170724,-1.770943,1.770943,4.086720,35.641666,32.756145,32.316666,30.400154,27.866667,27.355871
Negev_summer_2022-04-21,2022-04-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,32.150000,30.755037,-1.394962,1.394962,2.434467,35.641666,33.363361,32.316666,30.979187,28.491667,27.922564
Negev_summer_2022-04-28,2022-04-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,32.886110,33.227628,0.341518,0.842671,0.749565,35.641666,36.299583,32.599998,33.718365,30.416666,29.664936
Negev_summer_2022-05-01,2022-05-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,32.879797,35.766343,2.886546,2.886546,8.607669,35.372726,38.155048,32.599998,36.175156,30.666666,32.968826
Negev_summer_2022-05-07,2022-05-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,33.314899,32.132669,-1.182231,1.182231,1.964047,34.836365,34.585239,33.625000,32.423702,31.483334,29.389065
Negev_summer_2022-05-14,2022-05-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,34.681819,34.532701,-0.149118,1.735022,3.953856,36.500000,38.412140,34.790909,35.257626,32.754547,29.928337
Negev_summer_2022-05-21,2022-05-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,34.207071,34.954122,0.747051,1.544682,2.452779,36.183334,37.997818,33.854546,35.477661,32.583332,31.386887
Negev_summer_2022-05-28,2022-05-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,34.534850,34.882394,0.347544,0.742963,0.589666,36.183334,37.200386,34.666668,35.285378,32.754547,32.161419
Negev_summer_2022-06-01,2022-06-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,34.243183,36.275915,2.032731,2.032731,4.860868,36.183334,38.483761,33.791668,36.710140,32.754547,33.633842
Negev_summer_2022-06-07,2022-06-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,34.363889,34.913639,0.549750,0.549750,0.637878,36.183334,36.408733,33.791668,35.155190,33.116665,33.176994
Negev_summer_2022-06-14,2022-06-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,33.847223,36.147963,2.300741,2.300741,6.353904,34.666668,37.938450,33.750000,36.505196,33.125000,34.000244
Negev_summer_2022-06-21,2022-06-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,34.197222,36.197033,1.999811,1.999811,4.663002,35.450001,37.825520,33.808334,36.563568,33.333332,34.202011
Negev_summer_2022-06-28,2022-06-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,34.672222,36.584197,1.911975,1.911975,3.768317,35.841667,37.895363,34.724998,36.958466,33.450001,34.898762
Negev_summer_2022-07-01,2022-07-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,35.211112,36.105545,0.894433,0.894433,0.803751,36.391666,37.205620,35.450001,36.412094,33.791668,34.698921
Negev_summer_2022-07-07,2022-07-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,35.705555,36.186853,0.481298,0.558100,0.447746,36.391666,37.410561,36.000000,36.540203,34.724998,34.609795
Negev_summer_2022-07-14,2022-07-14,Negev,summer,soft,ConvNeXtTiny-TFT,test,35.750000,36.613328,0.863328,0.863328,0.958729,36.391666,37.739826,36.000000,37.000114,34.858334,35.100044
Negev_summer_2022-07-21,2022-07-21,Negev,summer,soft,ConvNeXtTiny-TFT,test,35.538890,36.722347,1.183458,1.183458,1.446673,36.383335,37.814789,35.908333,37.119530,34.325001,35.232723
Negev_summer_2022-07-28,2022-07-28,Negev,summer,soft,ConvNeXtTiny-TFT,test,35.744443,35.240125,-0.504318,0.504318,0.290167,36.741665,36.002018,36.000000,35.502846,34.491665,34.215511
Negev_summer_2022-08-01,2022-08-01,Negev,summer,soft,ConvNeXtTiny-TFT,test,35.994445,36.604641,0.610196,0.610196,0.432588,37.200001,37.641121,36.066666,37.023949,34.716667,35.148853
Negev_summer_2022-08-07,2022-08-07,Negev,summer,soft,ConvNeXtTiny-TFT,test,35.658333,36.222933,0.564601,0.569575,0.548149,37.200001,37.192539,35.474998,36.639671,34.299999,34.836590
