sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_summer_2021-06-14,2021-06-14,Negev,summer,anchor,Prophet,test,38.108333,34.984742,-3.123592,3.123592,9.756825
Negev_summer_2021-06-21,2021-06-21,Negev,summer,anchor,Prophet,test,38.958333,34.984742,-3.973592,3.973592,15.789430
Negev_summer_2021-06-28,2021-06-28,Negev,summer,anchor,Prophet,test,38.958333,35.377728,-3.580606,3.580606,12.820736
Negev_summer_2021-07-01,2021-07-01,Negev,summer,anchor,Prophet,test,38.958333,35.377728,-3.580606,3.580606,12.820736
Negev_summer_2021-07-07,2021-07-07,Negev,summer,anchor,Prophet,test,39.833333,35.381670,-4.451664,4.451664,19.817310
Negev_summer_2021-07-14,2021-07-14,Negev,summer,anchor,Prophet,test,40.091667,35.381670,-4.709997,4.709997,22.184073
Negev_summer_2021-07-21,2021-07-21,Negev,summer,anchor,Prophet,test,40.091667,35.381670,-4.709997,4.709997,22.184073
Negev_summer_2021-07-28,2021-07-28,Negev,summer,anchor,Prophet,test,40.091667,35.381670,-4.709997,4.709997,22.184073
Negev_summer_2021-08-01,2021-08-01,Negev,summer,anchor,Prophet,test,40.091667,35.381670,-4.709997,4.709997,22.184073
Negev_summer_2021-08-07,2021-08-07,Negev,summer,anchor,Prophet,test,40.091667,34.667407,-5.424260,5.424260,29.422597
Negev_summer_2021-08-14,2021-08-14,Negev,summer,anchor,Prophet,test,36.391667,34.667407,-1.724260,1.724260,2.973073
Negev_summer_2021-08-21,2021-08-21,Negev,summer,anchor,Prophet,test,36.391667,34.485850,-1.905816,1.905816,3.632136
Negev_summer_2021-08-28,2021-08-28,Negev,summer,anchor,Prophet,test,36.008333,33.723893,-2.284440,2.284440,5.218667
Negev_summer_2021-09-01,2021-09-01,Negev,summer,anchor,Prophet,test,36.008333,33.350692,-2.657642,2.657642,7.063060
Negev_summer_2021-09-07,2021-09-07,Negev,summer,anchor,Prophet,test,36.008333,33.350692,-2.657642,2.657642,7.063060
Negev_summer_2021-09-14,2021-09-14,Negev,summer,anchor,Prophet,test,34.366667,32.272114,-2.094553,2.094553,4.387150
Negev_summer_2021-09-21,2021-09-21,Negev,summer,anchor,Prophet,test,34.366667,31.870871,-2.495796,2.495796,6.228996
Negev_summer_2021-09-28,2021-09-28,Negev,summer,anchor,Prophet,test,34.025000,31.232468,-2.792532,2.792532,7.798236
Negev_summer_2021-10-01,2021-10-01,Negev,summer,anchor,Prophet,test,34.025000,31.232468,-2.792532,2.792532,7.798236
Negev_summer_2021-10-07,2021-10-07,Negev,summer,anchor,Prophet,test,34.025000,30.072215,-3.952785,3.952785,15.624512
Negev_summer_2021-10-14,2021-10-14,Negev,summer,anchor,Prophet,test,31.808333,30.072215,-1.736119,1.736119,3.014108
Negev_summer_2021-10-21,2021-10-21,Negev,summer,anchor,Prophet,test,31.808333,28.287064,-3.521269,3.521269,12.399337
Negev_summer_2021-10-28,2021-10-28,Negev,summer,anchor,Prophet,test,31.808333,26.394203,-5.414130,5.414130,29.312805
Negev_summer_2021-11-01,2021-11-01,Negev,summer,anchor,Prophet,test,31.808333,25.199465,-6.608868,6.608868,43.677138
Negev_summer_2021-11-07,2021-11-07,Negev,summer,anchor,Prophet,test,31.500000,24.149176,-7.350824,7.350824,54.034609
Negev_summer_2021-11-14,2021-11-14,Negev,summer,anchor,Prophet,test,31.500000,23.597216,-7.902784,7.902784,62.453990
Negev_summer_2021-11-21,2021-11-21,Negev,summer,anchor,Prophet,test,31.500000,22.360926,-9.139074,9.139074,83.522666
Negev_summer_2021-11-28,2021-11-28,Negev,summer,anchor,Prophet,test,31.500000,22.360926,-9.139074,9.139074,83.522666
Negev_summer_2021-12-01,2021-12-01,Negev,summer,anchor,Prophet,test,25.841667,22.236934,-3.604733,3.604733,12.994099
Negev_summer_2021-12-07,2021-12-07,Negev,summer,anchor,Prophet,test,25.841667,19.603084,-6.238583,6.238583,38.919918
Negev_summer_2021-12-14,2021-12-14,Negev,summer,anchor,Prophet,test,21.583333,18.994913,-2.588420,2.588420,6.699918
Negev_summer_2021-12-21,2021-12-21,Negev,summer,anchor,Prophet,test,21.583333,18.129540,-3.453794,3.453794,11.928691
Negev_summer_2021-12-28,2021-12-28,Negev,summer,anchor,Prophet,test,21.583333,17.469621,-4.113713,4.113713,16.922632
Negev_summer_2022-01-01,2022-01-01,Negev,summer,anchor,Prophet,test,21.583333,17.469621,-4.113713,4.113713,16.922632
Negev_summer_2022-01-07,2022-01-07,Negev,summer,anchor,Prophet,test,21.583333,18.068016,-3.515317,3.515317,12.357457
Negev_summer_2022-01-14,2022-01-14,Negev,summer,anchor,Prophet,test,21.125000,18.121862,-3.003138,3.003138,9.018836
Negev_summer_2022-01-21,2022-01-21,Negev,summer,anchor,Prophet,test,21.125000,19.270796,-1.854204,1.854204,3.438071
Negev_summer_2022-01-28,2022-01-28,Negev,summer,anchor,Prophet,test,24.633333,20.047278,-4.586056,4.586056,21.031906
Negev_summer_2022-02-01,2022-02-01,Negev,summer,anchor,Prophet,test,25.116667,20.328855,-4.787812,4.787812,22.923139
Negev_summer_2022-02-07,2022-02-07,Negev,summer,anchor,Prophet,test,27.583333,25.171608,-2.411725,2.411725,5.816419
Negev_summer_2022-02-14,2022-02-14,Negev,summer,anchor,Prophet,test,27.583333,25.171608,-2.411725,2.411725,5.816419
Negev_summer_2022-02-21,2022-02-21,Negev,summer,anchor,Prophet,test,27.583333,25.171608,-2.411725,2.411725,5.816419
Negev_summer_2022-02-28,2022-02-28,Negev,summer,anchor,Prophet,test,27.836364,25.171608,-2.664756,2.664756,7.100922
Negev_summer_2022-03-01,2022-03-01,Negev,summer,anchor,Prophet,test,27.836364,25.171608,-2.664756,2.664756,7.100922
Negev_summer_2022-03-07,2022-03-07,Negev,summer,anchor,Prophet,test,34.318182,25.171608,-9.146574,9.146574,83.659811
Negev_summer_2022-03-14,2022-03-14,Negev,summer,anchor,Prophet,test,35.436364,27.124357,-8.312007,8.312007,69.089463
Negev_summer_2022-03-21,2022-03-21,Negev,summer,anchor,Prophet,test,37.254545,28.020523,-9.234022,9.234022,85.267162
Negev_summer_2022-03-28,2022-03-28,Negev,summer,anchor,Prophet,test,37.254545,28.332588,-8.921958,8.921958,79.601330
Negev_summer_2022-04-01,2022-04-01,Negev,summer,anchor,Prophet,test,37.254545,29.117945,-8.136600,8.136600,66.204261
Negev_summer_2022-04-07,2022-04-07,Negev,summer,anchor,Prophet,test,37.254545,30.403888,-6.850657,6.850657,46.931507
Negev_summer_2022-04-14,2022-04-14,Negev,summer,anchor,Prophet,test,37.254545,30.403888,-6.850657,6.850657,46.931507
