sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_summer_2021-06-14,2021-06-14,Negev,summer,soft,Prophet,test,35.675000,33.913154,-1.761846,1.761846,3.839724,36.841667,34.371738,36.158333,33.897652,34.025000,33.470070
Negev_summer_2021-06-21,2021-06-21,Negev,summer,soft,Prophet,test,36.244444,34.085661,-2.158783,2.158783,4.935467,36.950000,34.371738,36.650000,34.171134,35.133333,33.714111
Negev_summer_2021-06-28,2021-06-28,Negev,summer,soft,Prophet,test,36.130556,34.527307,-1.603249,1.603249,2.924016,36.950000,34.984742,36.650000,34.570394,34.791667,34.026784
Negev_summer_2021-07-01,2021-07-01,Negev,summer,soft,Prophet,test,35.886111,34.559689,-1.326422,1.326422,2.008726,36.858333,34.984742,36.016667,34.577243,34.783333,34.117083
Negev_summer_2021-07-07,2021-07-07,Negev,summer,soft,Prophet,test,36.983333,34.861145,-2.122189,2.122189,6.012640,38.958333,35.256083,36.858333,34.900886,35.133333,34.426465
Negev_summer_2021-07-14,2021-07-14,Negev,summer,soft,Prophet,test,37.669444,34.796870,-2.872574,2.872574,10.603105,39.800000,35.256083,37.941667,34.708063,35.266667,34.426465
Negev_summer_2021-07-21,2021-07-21,Negev,summer,soft,Prophet,test,37.458333,34.834998,-2.623335,2.623335,9.652730,39.800000,35.256083,37.550000,34.708063,35.025000,34.540849
Negev_summer_2021-07-28,2021-07-28,Negev,summer,soft,Prophet,test,37.533333,34.650557,-2.882776,2.882776,11.147162,39.800000,34.900886,37.550000,34.577243,35.250000,34.473542
Negev_summer_2021-08-01,2021-08-01,Negev,summer,soft,Prophet,test,37.538889,34.613888,-2.925001,2.925001,11.231125,39.800000,34.900886,37.550000,34.567832,35.266667,34.372946
Negev_summer_2021-08-07,2021-08-07,Negev,summer,soft,Prophet,test,35.602778,34.292048,-1.310730,1.310730,1.849982,36.391667,34.567832,35.550000,34.473542,34.866667,33.834769
Negev_summer_2021-08-14,2021-08-14,Negev,summer,soft,Prophet,test,35.005556,34.212359,-0.793197,0.793197,0.857788,35.941667,34.540849,35.150000,34.403636,33.925000,33.692591
Negev_summer_2021-08-21,2021-08-21,Negev,summer,soft,Prophet,test,34.983333,33.573458,-1.409876,1.409876,2.010772,35.941667,34.354604,35.150000,33.723893,33.858333,32.641877
Negev_summer_2021-08-28,2021-08-28,Negev,summer,soft,Prophet,test,34.122222,32.812687,-1.309535,1.309535,2.098784,35.383333,33.350692,34.133333,32.756760,32.850000,32.330610
Negev_summer_2021-09-01,2021-09-01,Negev,summer,soft,Prophet,test,33.452778,32.555700,-0.897078,0.941881,1.270581,34.366667,32.950476,33.875000,32.532752,32.116667,32.183871
Negev_summer_2021-09-07,2021-09-07,Negev,summer,soft,Prophet,test,32.497222,32.113101,-0.384121,1.184858,1.691944,34.366667,32.532752,32.791667,32.272114,30.333333,31.534439
Negev_summer_2021-09-14,2021-09-14,Negev,summer,soft,Prophet,test,32.308333,31.564550,-0.743783,1.159368,1.616966,34.025000,32.157428,32.566667,31.579513,30.333333,30.956711
Negev_summer_2021-09-21,2021-09-21,Negev,summer,soft,Prophet,test,31.627778,30.821690,-0.806088,0.985792,2.421246,34.025000,31.337180,30.908333,31.082050,29.950000,30.045840
Negev_summer_2021-09-28,2021-09-28,Negev,summer,soft,Prophet,test,30.044444,30.074388,0.029944,0.327327,0.161578,30.958333,30.956711,30.516667,30.072215,28.658333,29.194239
Negev_summer_2021-10-01,2021-10-01,Negev,summer,soft,Prophet,test,30.216667,29.644315,-0.572352,0.737691,0.743168,31.150000,30.511894,30.841667,29.514709,28.658333,28.906341
Negev_summer_2021-10-07,2021-10-07,Negev,summer,soft,Prophet,test,30.166667,29.000452,-1.166215,1.447438,2.691446,31.800000,29.514709,30.858333,29.223146,27.841667,28.263502
Negev_summer_2021-10-14,2021-10-14,Negev,summer,soft,Prophet,test,29.325000,28.002844,-1.322156,1.322156,1.913541,30.958333,29.327266,29.875000,28.287064,27.141667,26.394203
