sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_summer_2021-06-14,2021-06-14,Negev,summer,anchor,SARIMAX,test,38.108333,35.042197,-3.066136,3.066136,9.401190
Negev_summer_2021-06-21,2021-06-21,Negev,summer,anchor,SARIMAX,test,38.958333,35.040854,-3.917479,3.917479,15.346642
Negev_summer_2021-06-28,2021-06-28,Negev,summer,anchor,SARIMAX,test,38.958333,35.380296,-3.578038,3.578038,12.802354
Negev_summer_2021-07-01,2021-07-01,Negev,summer,anchor,SARIMAX,test,38.958333,35.379052,-3.579282,3.579282,12.811258
Negev_summer_2021-07-07,2021-07-07,Negev,summer,anchor,SARIMAX,test,39.833333,35.377671,-4.455662,4.455662,19.852927
Negev_summer_2021-07-14,2021-07-14,Negev,summer,anchor,SARIMAX,test,40.091667,35.378221,-4.713446,4.713446,22.216573
Negev_summer_2021-07-21,2021-07-21,Negev,summer,anchor,SARIMAX,test,40.091667,35.386006,-4.705661,4.705661,22.143247
Negev_summer_2021-07-28,2021-07-28,Negev,summer,anchor,SARIMAX,test,40.091667,35.357972,-4.733695,4.733695,22.407864
Negev_summer_2021-08-01,2021-08-01,Negev,summer,anchor,SARIMAX,test,40.091667,35.351475,-4.740191,4.740191,22.469414
Negev_summer_2021-08-07,2021-08-07,Negev,summer,anchor,SARIMAX,test,40.091667,34.677385,-5.414281,5.414281,29.314441
Negev_summer_2021-08-14,2021-08-14,Negev,summer,anchor,SARIMAX,test,36.391667,34.677101,-1.714566,1.714566,2.939736
Negev_summer_2021-08-21,2021-08-21,Negev,summer,anchor,SARIMAX,test,36.391667,34.495560,-1.896107,1.896107,3.595220
Negev_summer_2021-08-28,2021-08-28,Negev,summer,anchor,SARIMAX,test,36.008333,33.726904,-2.281429,2.281429,5.204918
Negev_summer_2021-09-01,2021-09-01,Negev,summer,anchor,SARIMAX,test,36.008333,33.314695,-2.693638,2.693638,7.255685
Negev_summer_2021-09-07,2021-09-07,Negev,summer,anchor,SARIMAX,test,36.008333,33.308654,-2.699680,2.699680,7.288270
Negev_summer_2021-09-14,2021-09-14,Negev,summer,anchor,SARIMAX,test,34.366667,32.216305,-2.150362,2.150362,4.624055
Negev_summer_2021-09-21,2021-09-21,Negev,summer,anchor,SARIMAX,test,34.366667,31.864080,-2.502587,2.502587,6.262940
