sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_summer_2021-06-14,2021-06-14,Negev,summer,soft,SARIMAX,test,35.675000,33.931483,-1.743517,1.743517,3.831021,36.841667,34.373029,36.158333,33.887205,34.025000,33.534215
Negev_summer_2021-06-21,2021-06-21,Negev,summer,soft,SARIMAX,test,36.244444,34.092670,-2.151775,2.151775,4.925661,36.950000,34.371644,36.650000,34.157610,35.133333,33.748755
Negev_summer_2021-06-28,2021-06-28,Negev,summer,soft,SARIMAX,test,36.130556,34.552480,-1.578075,1.578075,2.842580,36.950000,35.043188,36.650000,34.567461,34.791667,34.046792
Negev_summer_2021-07-01,2021-07-01,Negev,summer,soft,SARIMAX,test,35.886111,34.576835,-1.309276,1.309276,1.944006,36.858333,35.043712,36.016667,34.568690,34.783333,34.118102
Negev_summer_2021-07-07,2021-07-07,Negev,summer,soft,SARIMAX,test,36.983333,34.859666,-2.123667,2.123667,5.931550,38.958333,35.307505,36.858333,34.879202,35.133333,34.392292
Negev_summer_2021-07-14,2021-07-14,Negev,summer,soft,SARIMAX,test,37.669444,34.793669,-2.875775,2.875775,10.526157,39.800000,35.307795,37.941667,34.680591,35.266667,34.392622
Negev_summer_2021-07-21,2021-07-21,Negev,summer,soft,SARIMAX,test,37.458333,34.842708,-2.615625,2.615625,9.511843,39.800000,35.314898,37.550000,34.692544,35.025000,34.520682
Negev_summer_2021-07-28,2021-07-28,Negev,summer,soft,SARIMAX,test,37.533333,34.626681,-2.906653,2.906653,11.271603,39.800000,34.879075,37.550000,34.558930,35.250000,34.442038
Negev_summer_2021-08-01,2021-08-01,Negev,summer,soft,SARIMAX,test,37.538889,34.583357,-2.955532,2.955532,11.420325,39.800000,34.874730,37.550000,34.522061,35.266667,34.353280
Negev_summer_2021-08-07,2021-08-07,Negev,summer,soft,SARIMAX,test,35.602778,34.239005,-1.363773,1.363773,1.991237,36.391667,34.516087,35.550000,34.418005,34.866667,33.782923
Negev_summer_2021-08-14,2021-08-14,Negev,summer,soft,SARIMAX,test,35.005556,34.172345,-0.833210,0.833210,0.899188,35.941667,34.527837,35.150000,34.373465,33.925000,33.615734
Negev_summer_2021-08-21,2021-08-21,Negev,summer,soft,SARIMAX,test,34.983333,33.592350,-1.390983,1.390983,1.966930,35.941667,34.345017,35.150000,33.733704,33.858333,32.698330
Negev_summer_2021-08-28,2021-08-28,Negev,summer,soft,SARIMAX,test,34.122222,32.829935,-1.292287,1.292287,2.105982,35.383333,33.316334,34.133333,32.776927,32.850000,32.396546
Negev_summer_2021-09-01,2021-09-01,Negev,summer,soft,SARIMAX,test,33.452778,32.539168,-0.913609,0.955059,1.313283,34.366667,32.903634,33.875000,32.535030,32.116667,32.178841
Negev_summer_2021-09-07,2021-09-07,Negev,summer,soft,SARIMAX,test,32.497222,32.094868,-0.402355,1.195369,1.701028,34.366667,32.529504,32.791667,32.232243,30.333333,31.522855
