sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_summer_2021-06-14,2021-06-14,Negev,summer,anchor,Tab-LSTM,test,38.108334,43.080471,4.972137,4.972137,24.722151
Negev_summer_2021-06-21,2021-06-21,Negev,summer,anchor,Tab-LSTM,test,38.958332,42.523808,3.565475,3.565475,12.712615
Negev_summer_2021-06-28,2021-06-28,Negev,summer,anchor,Tab-LSTM,test,38.958332,43.157112,4.198780,4.198780,17.629754
Negev_summer_2021-07-01,2021-07-01,Negev,summer,anchor,Tab-LSTM,test,38.958332,43.133499,4.175167,4.175167,17.432020
Negev_summer_2021-07-07,2021-07-07,Negev,summer,anchor,Tab-LSTM,test,39.833332,42.438267,2.604935,2.604935,6.785685
Negev_summer_2021-07-14,2021-07-14,Negev,summer,anchor,Tab-LSTM,test,40.091667,42.598251,2.506584,2.506584,6.282964
Negev_summer_2021-07-21,2021-07-21,Negev,summer,anchor,Tab-LSTM,test,40.091667,42.324795,2.233128,2.233128,4.986859
Negev_summer_2021-07-28,2021-07-28,Negev,summer,anchor,Tab-LSTM,test,40.091667,40.246990,0.155323,0.155323,0.024125
Negev_summer_2021-08-01,2021-08-01,Negev,summer,anchor,Tab-LSTM,test,40.091667,40.145012,0.053345,0.053345,0.002846
Negev_summer_2021-08-07,2021-08-07,Negev,summer,anchor,Tab-LSTM,test,40.091667,39.354969,-0.736698,0.736698,0.542724
Negev_summer_2021-08-14,2021-08-14,Negev,summer,anchor,Tab-LSTM,test,36.391666,39.766647,3.374981,3.374981,11.390496
Negev_summer_2021-08-21,2021-08-21,Negev,summer,anchor,Tab-LSTM,test,36.391666,38.558517,2.166851,2.166851,4.695243
Negev_summer_2021-08-28,2021-08-28,Negev,summer,anchor,Tab-LSTM,test,36.008335,38.634949,2.626614,2.626614,6.899099
Negev_summer_2021-09-01,2021-09-01,Negev,summer,anchor,Tab-LSTM,test,36.008335,37.986908,1.978573,1.978573,3.914751
Negev_summer_2021-09-07,2021-09-07,Negev,summer,anchor,Tab-LSTM,test,36.008335,37.432178,1.423843,1.423843,2.027330
Negev_summer_2021-09-14,2021-09-14,Negev,summer,anchor,Tab-LSTM,test,34.366665,36.618996,2.252331,2.252331,5.072994
Negev_summer_2021-09-21,2021-09-21,Negev,summer,anchor,Tab-LSTM,test,34.366665,37.619205,3.252541,3.252541,10.579020
Negev_summer_2021-09-28,2021-09-28,Negev,summer,anchor,Tab-LSTM,test,34.025002,36.082561,2.057560,2.057560,4.233553
Negev_summer_2021-10-01,2021-10-01,Negev,summer,anchor,Tab-LSTM,test,34.025002,35.463352,1.438351,1.438351,2.068853
Negev_summer_2021-10-07,2021-10-07,Negev,summer,anchor,Tab-LSTM,test,34.025002,34.876549,0.851547,0.851547,0.725133
Negev_summer_2021-10-14,2021-10-14,Negev,summer,anchor,Tab-LSTM,test,31.808332,33.143528,1.335196,1.335196,1.782747
Negev_summer_2021-10-21,2021-10-21,Negev,summer,anchor,Tab-LSTM,test,31.808332,29.517193,-2.291140,2.291140,5.249321
Negev_summer_2021-10-28,2021-10-28,Negev,summer,anchor,Tab-LSTM,test,31.808332,33.754280,1.945948,1.945948,3.786712
Negev_summer_2021-11-01,2021-11-01,Negev,summer,anchor,Tab-LSTM,test,31.808332,30.249310,-1.559023,1.559023,2.430552
Negev_summer_2021-11-07,2021-11-07,Negev,summer,anchor,Tab-LSTM,test,31.500000,29.939146,-1.560854,1.560854,2.436265
Negev_summer_2021-11-14,2021-11-14,Negev,summer,anchor,Tab-LSTM,test,31.500000,27.829050,-3.670950,3.670950,13.475873
Negev_summer_2021-11-21,2021-11-21,Negev,summer,anchor,Tab-LSTM,test,31.500000,27.102480,-4.397520,4.397520,19.338183
Negev_summer_2021-11-28,2021-11-28,Negev,summer,anchor,Tab-LSTM,test,31.500000,28.892288,-2.607712,2.607712,6.800161
Negev_summer_2021-12-01,2021-12-01,Negev,summer,anchor,Tab-LSTM,test,25.841667,28.897573,3.055906,3.055906,9.338563
Negev_summer_2021-12-07,2021-12-07,Negev,summer,anchor,Tab-LSTM,test,25.841667,28.706470,2.864803,2.864803,8.207098
Negev_summer_2021-12-14,2021-12-14,Negev,summer,anchor,Tab-LSTM,test,21.583334,28.012066,6.428732,6.428732,41.328594
Negev_summer_2021-12-21,2021-12-21,Negev,summer,anchor,Tab-LSTM,test,21.583334,25.810211,4.226877,4.226877,17.866491
Negev_summer_2021-12-28,2021-12-28,Negev,summer,anchor,Tab-LSTM,test,21.583334,26.190233,4.606899,4.606899,21.223521
Negev_summer_2022-01-01,2022-01-01,Negev,summer,anchor,Tab-LSTM,test,21.583334,25.779228,4.195894,4.195894,17.605528
Negev_summer_2022-01-07,2022-01-07,Negev,summer,anchor,Tab-LSTM,test,21.583334,25.642298,4.058964,4.058964,16.475187
Negev_summer_2022-01-14,2022-01-14,Negev,summer,anchor,Tab-LSTM,test,21.125000,28.318821,7.193821,7.193821,51.751060
Negev_summer_2022-01-21,2022-01-21,Negev,summer,anchor,Tab-LSTM,test,21.125000,28.291622,7.166622,7.166622,51.360473
Negev_summer_2022-01-28,2022-01-28,Negev,summer,anchor,Tab-LSTM,test,24.633333,29.465807,4.832474,4.832474,23.352803
Negev_summer_2022-02-01,2022-02-01,Negev,summer,anchor,Tab-LSTM,test,25.116667,30.415215,5.298548,5.298548,28.074608
Negev_summer_2022-02-07,2022-02-07,Negev,summer,anchor,Tab-LSTM,test,27.583334,33.539726,5.956392,5.956392,35.478609
Negev_summer_2022-02-14,2022-02-14,Negev,summer,anchor,Tab-LSTM,test,27.583334,36.171761,8.588427,8.588427,73.761071
Negev_summer_2022-02-21,2022-02-21,Negev,summer,anchor,Tab-LSTM,test,27.583334,36.055653,8.472319,8.472319,71.780183
Negev_summer_2022-02-28,2022-02-28,Negev,summer,anchor,Tab-LSTM,test,27.836363,36.682358,8.845995,8.845995,78.251627
Negev_summer_2022-03-01,2022-03-01,Negev,summer,anchor,Tab-LSTM,test,27.836363,36.603165,8.766802,8.766802,76.856814
Negev_summer_2022-03-07,2022-03-07,Negev,summer,anchor,Tab-LSTM,test,34.318180,37.619205,3.301025,3.301025,10.896769
Negev_summer_2022-03-14,2022-03-14,Negev,summer,anchor,Tab-LSTM,test,35.436363,36.904743,1.468380,1.468380,2.156140
Negev_summer_2022-03-21,2022-03-21,Negev,summer,anchor,Tab-LSTM,test,37.254547,36.925217,-0.329330,0.329330,0.108459
Negev_summer_2022-03-28,2022-03-28,Negev,summer,anchor,Tab-LSTM,test,37.254547,36.626911,-0.627636,0.627636,0.393927
Negev_summer_2022-04-01,2022-04-01,Negev,summer,anchor,Tab-LSTM,test,37.254547,38.380188,1.125641,1.125641,1.267067
Negev_summer_2022-04-07,2022-04-07,Negev,summer,anchor,Tab-LSTM,test,37.254547,39.689224,2.434677,2.434677,5.927653
Negev_summer_2022-04-14,2022-04-14,Negev,summer,anchor,Tab-LSTM,test,37.254547,39.634430,2.379883,2.379883,5.663842
Negev_summer_2022-04-21,2022-04-21,Negev,summer,anchor,Tab-LSTM,test,38.224998,40.555813,2.330814,2.330814,5.432696
Negev_summer_2022-04-28,2022-04-28,Negev,summer,anchor,Tab-LSTM,test,38.224998,41.203270,2.978271,2.978271,8.870101
Negev_summer_2022-05-01,2022-05-01,Negev,summer,anchor,Tab-LSTM,test,38.224998,41.646515,3.421516,3.421516,11.706775
Negev_summer_2022-05-07,2022-05-07,Negev,summer,anchor,Tab-LSTM,test,38.224998,40.560997,2.335999,2.335999,5.456889
Negev_summer_2022-05-14,2022-05-14,Negev,summer,anchor,Tab-LSTM,test,39.075001,41.982735,2.907734,2.907734,8.454917
Negev_summer_2022-05-21,2022-05-21,Negev,summer,anchor,Tab-LSTM,test,39.075001,42.875645,3.800644,3.800644,14.444894
Negev_summer_2022-05-28,2022-05-28,Negev,summer,anchor,Tab-LSTM,test,39.075001,43.009998,3.934998,3.934998,15.484206
Negev_summer_2022-06-01,2022-06-01,Negev,summer,anchor,Tab-LSTM,test,39.075001,42.558132,3.483131,3.483131,12.132204
Negev_summer_2022-06-07,2022-06-07,Negev,summer,anchor,Tab-LSTM,test,39.075001,42.771152,3.696152,3.696152,13.661538
Negev_summer_2022-06-14,2022-06-14,Negev,summer,anchor,Tab-LSTM,test,34.724998,42.083050,7.358051,7.358051,54.140919
Negev_summer_2022-06-21,2022-06-21,Negev,summer,anchor,Tab-LSTM,test,36.875000,40.748482,3.873482,3.873482,15.003861
Negev_summer_2022-06-28,2022-06-28,Negev,summer,anchor,Tab-LSTM,test,36.875000,40.318661,3.443661,3.443661,11.858799
Negev_summer_2022-07-01,2022-07-01,Negev,summer,anchor,Tab-LSTM,test,37.283333,41.027576,3.744244,3.744244,14.019360
Negev_summer_2022-07-07,2022-07-07,Negev,summer,anchor,Tab-LSTM,test,37.283333,41.695763,4.412430,4.412430,19.469537
Negev_summer_2022-07-14,2022-07-14,Negev,summer,anchor,Tab-LSTM,test,37.283333,40.969345,3.686012,3.686012,13.586686
Negev_summer_2022-07-21,2022-07-21,Negev,summer,anchor,Tab-LSTM,test,37.283333,40.344311,3.060978,3.060978,9.369586
Negev_summer_2022-07-28,2022-07-28,Negev,summer,anchor,Tab-LSTM,test,37.283333,40.863880,3.580547,3.580547,12.820319
Negev_summer_2022-08-01,2022-08-01,Negev,summer,anchor,Tab-LSTM,test,37.883335,41.712208,3.828873,3.828873,14.660266
Negev_summer_2022-08-07,2022-08-07,Negev,summer,anchor,Tab-LSTM,test,37.883335,40.462704,2.579369,2.579369,6.653142
Negev_summer_2022-08-14,2022-08-14,Negev,summer,anchor,Tab-LSTM,test,37.883335,38.933147,1.049812,1.049812,1.102106
Negev_summer_2022-08-21,2022-08-21,Negev,summer,anchor,Tab-LSTM,test,37.883335,37.462132,-0.421204,0.421204,0.177412
