sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_summer_2021-06-14,2021-06-14,Negev,summer,soft,Tab-LSTM,test,35.675001,35.824053,0.149053,0.443698,0.307397,36.841667,37.730793,36.158333,35.807007,34.025002,33.934361
Negev_summer_2021-06-21,2021-06-21,Negev,summer,soft,Tab-LSTM,test,36.244446,35.356921,-0.887525,0.887525,1.064385,36.950001,36.806206,36.650002,35.377335,35.133335,33.887222
Negev_summer_2021-06-28,2021-06-28,Negev,summer,soft,Tab-LSTM,test,36.130557,35.333466,-0.797091,0.915365,1.118044,36.950001,37.127411,36.650002,35.257053,34.791668,33.615932
Negev_summer_2021-07-01,2021-07-01,Negev,summer,soft,Tab-LSTM,test,35.886111,35.325910,-0.560201,0.878499,0.891025,36.858334,37.335781,36.016666,35.179020,34.783333,33.462929
Negev_summer_2021-07-07,2021-07-07,Negev,summer,soft,Tab-LSTM,test,36.983334,35.304034,-1.679300,1.679300,2.885368,38.958332,36.931099,36.858334,35.268219,35.133335,33.712784
Negev_summer_2021-07-14,2021-07-14,Negev,summer,soft,Tab-LSTM,test,37.669444,35.478277,-2.191167,2.191167,5.908885,39.799999,36.537495,37.941666,35.391357,35.266666,34.505978
Negev_summer_2021-07-21,2021-07-21,Negev,summer,soft,Tab-LSTM,test,37.458333,35.346497,-2.111837,2.111837,5.197901,39.799999,36.819187,37.549999,35.137306,35.025002,34.082996
Negev_summer_2021-07-28,2021-07-28,Negev,summer,soft,Tab-LSTM,test,37.533333,34.989057,-2.544276,2.544276,7.357528,39.799999,36.136459,37.549999,34.943489,35.250000,33.887222
Negev_summer_2021-08-01,2021-08-01,Negev,summer,soft,Tab-LSTM,test,37.538888,35.407200,-2.131688,2.131688,5.727163,39.799999,36.414314,37.549999,35.273804,35.266666,34.533482
Negev_summer_2021-08-07,2021-08-07,Negev,summer,soft,Tab-LSTM,test,35.602777,34.952053,-0.650724,1.102730,1.419451,36.391666,37.069675,35.549999,34.647057,34.866665,33.139427
Negev_summer_2021-08-14,2021-08-14,Negev,summer,soft,Tab-LSTM,test,35.005555,35.492006,0.486450,0.486450,0.263266,35.941666,36.609592,35.150002,35.422230,33.924999,34.444195
Negev_summer_2021-08-21,2021-08-21,Negev,summer,soft,Tab-LSTM,test,34.983334,35.618979,0.635646,0.635646,0.424864,35.941666,36.612167,35.150002,35.594101,33.858334,34.650669
Negev_summer_2021-08-28,2021-08-28,Negev,summer,soft,Tab-LSTM,test,34.122223,34.970187,0.847964,0.847964,0.738556,35.383335,36.427124,34.133335,34.860836,32.849998,33.622601
Negev_summer_2021-09-01,2021-09-01,Negev,summer,soft,Tab-LSTM,test,33.452777,34.313661,0.860884,0.860884,1.012854,34.366665,35.923996,33.875000,34.178329,32.116665,32.838657
Negev_summer_2021-09-07,2021-09-07,Negev,summer,soft,Tab-LSTM,test,32.497222,34.406871,1.909648,1.909648,4.116684,34.366665,35.760529,32.791668,34.248318,30.333334,33.211765
Negev_summer_2021-09-14,2021-09-14,Negev,summer,soft,Tab-LSTM,test,32.308334,34.518416,2.210082,2.210082,4.947702,34.025002,36.422001,32.566666,34.421272,30.333334,32.711975
Negev_summer_2021-09-21,2021-09-21,Negev,summer,soft,Tab-LSTM,test,31.627778,34.550674,2.922896,2.922896,8.732967,34.025002,36.604435,30.908333,34.445671,29.950001,32.601917
Negev_summer_2021-09-28,2021-09-28,Negev,summer,soft,Tab-LSTM,test,30.044444,34.197370,4.152925,4.152925,18.182468,30.958334,36.470711,30.516666,34.121914,28.658333,31.999485
Negev_summer_2021-10-01,2021-10-01,Negev,summer,soft,Tab-LSTM,test,30.216667,33.645924,3.429257,3.429257,12.478787,31.150000,35.773075,30.841667,33.576176,28.658333,31.588520
Negev_summer_2021-10-07,2021-10-07,Negev,summer,soft,Tab-LSTM,test,30.166667,32.140095,1.973429,1.973429,4.316979,31.799999,34.616184,30.858334,32.092331,27.841667,29.711771
Negev_summer_2021-10-14,2021-10-14,Negev,summer,soft,Tab-LSTM,test,29.325000,30.743996,1.418996,1.418996,2.922924,30.958334,33.722286,29.875000,30.707438,27.141666,27.802263
Negev_summer_2021-10-21,2021-10-21,Negev,summer,soft,Tab-LSTM,test,28.819445,25.089121,-3.730324,3.730324,14.566683,30.116667,27.503462,29.458334,25.372145,26.883333,22.391756
Negev_summer_2021-10-28,2021-10-28,Negev,summer,soft,Tab-LSTM,test,28.416667,28.385825,-0.030841,1.140402,1.439520,30.116667,31.781008,29.458334,28.528704,25.674999,24.847765
Negev_summer_2021-11-01,2021-11-01,Negev,summer,soft,Tab-LSTM,test,28.352777,25.094292,-3.258486,3.258486,11.297426,30.116667,27.996964,29.299999,25.255501,25.641666,22.030411
Negev_summer_2021-11-07,2021-11-07,Negev,summer,soft,Tab-LSTM,test,26.697222,23.268659,-3.428563,3.428563,11.864331,29.458334,26.021658,27.141666,23.312344,23.491667,20.471975
Negev_summer_2021-11-14,2021-11-14,Negev,summer,soft,Tab-LSTM,test,25.722222,19.652486,-6.069736,6.069736,37.564189,29.091667,22.010996,25.391666,19.264149,22.683332,17.682314
Negev_summer_2021-11-21,2021-11-21,Negev,summer,soft,Tab-LSTM,test,24.772222,18.763091,-6.009131,6.009131,39.517711,29.091667,20.479485,23.933332,19.052021,21.291666,16.757767
Negev_summer_2021-11-28,2021-11-28,Negev,summer,soft,Tab-LSTM,test,23.502778,20.559588,-2.943190,2.943190,12.544658,29.091667,23.381786,22.100000,20.827385,19.316668,17.469593
Negev_summer_2021-12-01,2021-12-01,Negev,summer,soft,Tab-LSTM,test,21.177777,20.370735,-0.807042,0.807042,0.680334,23.933332,23.323252,21.291666,20.266012,18.308332,17.522942
Negev_summer_2021-12-07,2021-12-07,Negev,summer,soft,Tab-LSTM,test,19.872222,19.450838,-0.421384,1.129241,2.037554,23.933332,21.702591,18.541666,19.603453,17.141666,17.046471
Negev_summer_2021-12-14,2021-12-14,Negev,summer,soft,Tab-LSTM,test,18.691666,19.046551,0.354885,0.354885,0.158419,20.799999,20.910177,18.466667,18.882244,16.808332,17.347233
