sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,32.483334,37.637123,5.153790,5.153790,26.561546
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,32.483334,35.615723,3.132389,3.132389,9.811861
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,32.483334,36.478348,3.995014,3.995014,15.960138
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,32.533333,36.311554,3.778221,3.778221,14.274955
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,34.583332,35.142284,0.558952,0.558952,0.312428
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,35.116665,35.873043,0.756378,0.756378,0.572108
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,35.116665,35.118900,0.002235,0.002235,0.000005
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,35.116665,36.361420,1.244755,1.244755,1.549414
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,35.116665,35.432903,0.316238,0.316238,0.100007
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,34.299999,34.236500,-0.063499,0.063499,0.004032
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,33.366665,35.772106,2.405441,2.405441,5.786148
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,33.366665,36.710403,3.343739,3.343739,11.180588
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,33.808334,35.379570,1.571236,1.571236,2.468781
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,33.808334,36.129917,2.321583,2.321583,5.389747
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,33.808334,36.121704,2.313370,2.313370,5.351680
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,33.808334,35.798294,1.989960,1.989960,3.959940
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,33.808334,39.532825,5.724491,5.724491,32.769799
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.650000,33.834076,3.184076,3.184076,10.138342
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.758333,35.645695,4.887362,4.887362,23.886303
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.758333,35.167648,4.409315,4.409315,19.442060
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.984615,37.019184,6.034569,6.034569,36.416020
Northwest_summer_2021-10-21,2021-10-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.984615,33.038483,2.053867,2.053867,4.218371
Northwest_summer_2021-10-28,2021-10-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.984615,33.159294,2.174679,2.174679,4.729228
Northwest_summer_2021-11-01,2021-11-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.984615,33.406414,2.421799,2.421799,5.865109
Northwest_summer_2021-11-07,2021-11-07,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,30.984615,29.964006,-1.020609,1.020609,1.041643
Northwest_summer_2021-11-14,2021-11-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,29.815384,27.692932,-2.122452,2.122452,4.504802
Northwest_summer_2021-11-21,2021-11-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,29.815384,31.906929,2.091545,2.091545,4.374561
Northwest_summer_2021-11-28,2021-11-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,29.815384,26.847267,-2.968117,2.968117,8.809717
Northwest_summer_2021-12-01,2021-12-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,25.684616,27.709503,2.024887,2.024887,4.100168
Northwest_summer_2021-12-07,2021-12-07,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,25.684616,24.152180,-1.532436,1.532436,2.348361
Northwest_summer_2021-12-14,2021-12-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,23.161539,25.471466,2.309927,2.309927,5.335763
Northwest_summer_2021-12-21,2021-12-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,22.092308,22.032833,-0.059475,0.059475,0.003537
Northwest_summer_2021-12-28,2021-12-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,22.092308,22.619713,0.527405,0.527405,0.278156
Northwest_summer_2022-01-01,2022-01-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,22.092308,22.983896,0.891588,0.891588,0.794930
Northwest_summer_2022-01-07,2022-01-07,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,22.092308,23.262480,1.170172,1.170172,1.369302
Northwest_summer_2022-01-14,2022-01-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,19.869230,22.293808,2.424578,2.424578,5.878577
Northwest_summer_2022-01-21,2022-01-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,20.361538,23.017597,2.656059,2.656059,7.054651
Northwest_summer_2022-01-28,2022-01-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,25.907692,23.799389,-2.108303,2.108303,4.444942
Northwest_summer_2022-02-01,2022-02-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,25.907692,23.328587,-2.579105,2.579105,6.651785
Northwest_summer_2022-02-07,2022-02-07,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,25.907692,24.567892,-1.339800,1.339800,1.795064
Northwest_summer_2022-02-14,2022-02-14,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,25.907692,25.787485,-0.120207,0.120207,0.014450
Northwest_summer_2022-02-21,2022-02-21,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,25.907692,27.311548,1.403856,1.403856,1.970812
Northwest_summer_2022-02-28,2022-02-28,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,25.630770,30.525126,4.894356,4.894356,23.954718
Northwest_summer_2022-03-01,2022-03-01,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,25.630770,31.048553,5.417784,5.417784,29.352381
Northwest_summer_2022-03-07,2022-03-07,Northwest,summer,anchor,ConvNeXtTiny-LSTM,test,32.046154,28.562691,-3.483463,3.483463,12.134516
