sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,31.652779,31.307793,-0.344985,0.344985,0.168049,32.416668,31.891302,31.691668,31.215178,30.850000,30.816900
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,32.002778,30.964144,-1.038633,1.038633,1.206515,32.416668,31.861448,32.283333,30.875059,31.308332,30.155926
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,32.061111,33.126209,1.065098,1.065098,1.245398,32.416668,33.952202,32.283333,33.091663,31.483334,32.334763
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,32.052779,32.952269,0.899490,0.899490,0.846611,32.416668,33.551056,32.258335,32.918274,31.483334,32.387478
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,32.786112,32.362141,-0.423971,0.499081,0.523839,34.166668,32.926521,32.466667,32.322235,31.725000,31.837666
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,33.235354,32.008152,-1.227202,1.227202,1.724336,34.299999,32.459545,33.133335,31.999668,32.272728,31.565243
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,33.327778,33.045002,-0.282776,0.282776,0.094277,34.299999,33.849678,33.216667,33.038128,32.466667,32.247200
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,33.327778,32.500905,-0.826873,0.826873,0.831804,34.299999,32.942486,33.216667,32.550503,32.466667,32.009727
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,33.333332,32.125119,-1.208213,1.208213,1.710767,34.299999,32.492611,33.366665,32.130589,32.333332,31.752157
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,32.694444,32.150693,-0.543751,0.543751,0.303225,33.216667,32.795689,32.741665,32.130589,32.125000,31.525803
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,32.186110,32.492719,0.306609,0.306609,0.099753,32.741665,32.942486,32.158333,32.502892,31.658333,32.032780
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,31.905555,31.837975,-0.067581,0.081921,0.016888,32.266666,32.268917,32.033333,31.809080,31.416666,31.435926
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,31.655556,32.721883,1.066327,1.066327,1.160797,32.266666,33.199539,31.758333,32.742199,30.941668,32.223911
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,31.366666,32.362410,0.995744,0.995744,1.015228,32.033333,32.871620,31.416666,32.360802,30.650000,31.854809
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,soft,ConvNeXtTiny-LSTM,test,30.794444,31.428356,0.633911,0.633911,0.560192,31.900000,32.040955,30.700001,31.345297,29.783333,30.898815
