sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,32.483334,34.771736,2.288403,2.288403,5.236786
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,32.483334,34.750618,2.267284,2.267284,5.140579
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,32.483334,34.947197,2.463863,2.463863,6.070623
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,32.533333,35.414986,2.881653,2.881653,8.303923
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,34.583332,34.588074,0.004742,0.004742,0.000022
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,35.116665,34.804413,-0.312252,0.312252,0.097501
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,35.116665,35.231701,0.115036,0.115036,0.013233
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,35.116665,35.237587,0.120922,0.120922,0.014622
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,35.116665,35.560047,0.443382,0.443382,0.196588
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,34.299999,35.593987,1.293987,1.293987,1.674403
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,33.366665,35.845417,2.478752,2.478752,6.144212
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,33.366665,34.802486,1.435822,1.435822,2.061583
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,33.808334,35.617977,1.809643,1.809643,3.274807
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,33.808334,35.108467,1.300133,1.300133,1.690345
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,33.808334,35.324120,1.515785,1.515785,2.297605
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,33.808334,34.837132,1.028797,1.028797,1.058424
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,33.808334,38.861721,5.053387,5.053387,25.536717
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.650000,34.879551,4.229551,4.229551,17.889104
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.758333,34.243607,3.485273,3.485273,12.147130
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.758333,36.255047,5.496714,5.496714,30.213861
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.984615,33.821789,2.837173,2.837173,8.049553
Northwest_summer_2021-10-21,2021-10-21,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.984615,33.990913,3.006298,3.006298,9.037828
Northwest_summer_2021-10-28,2021-10-28,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.984615,32.763321,1.778706,1.778706,3.163794
Northwest_summer_2021-11-01,2021-11-01,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.984615,30.318020,-0.666595,0.666595,0.444350
Northwest_summer_2021-11-07,2021-11-07,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,30.984615,31.147781,0.163166,0.163166,0.026623
Northwest_summer_2021-11-14,2021-11-14,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,29.815384,26.456732,-3.358652,3.358652,11.280544
Northwest_summer_2021-11-21,2021-11-21,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,29.815384,25.993103,-3.822281,3.822281,14.609831
Northwest_summer_2021-11-28,2021-11-28,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,29.815384,27.870914,-1.944469,1.944469,3.780961
Northwest_summer_2021-12-01,2021-12-01,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,25.684616,29.475389,3.790773,3.790773,14.369963
Northwest_summer_2021-12-07,2021-12-07,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,25.684616,23.689617,-1.994999,1.994999,3.980021
Northwest_summer_2021-12-14,2021-12-14,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,23.161539,26.554947,3.393408,3.393408,11.515217
Northwest_summer_2021-12-21,2021-12-21,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,22.092308,21.446220,-0.646088,0.646088,0.417429
Northwest_summer_2021-12-28,2021-12-28,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,22.092308,22.689411,0.597103,0.597103,0.356532
Northwest_summer_2022-01-01,2022-01-01,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,22.092308,22.735291,0.642982,0.642982,0.413426
Northwest_summer_2022-01-07,2022-01-07,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,22.092308,23.908474,1.816166,1.816166,3.298459
Northwest_summer_2022-01-14,2022-01-14,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,19.869230,22.469599,2.600368,2.600368,6.761916
Northwest_summer_2022-01-21,2022-01-21,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,20.361538,23.560011,3.198473,3.198473,10.230229
Northwest_summer_2022-01-28,2022-01-28,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,25.907692,23.651932,-2.255760,2.255760,5.088454
Northwest_summer_2022-02-01,2022-02-01,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,25.907692,24.853148,-1.054544,1.054544,1.112064
Northwest_summer_2022-02-07,2022-02-07,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,25.907692,24.505840,-1.401852,1.401852,1.965188
Northwest_summer_2022-02-14,2022-02-14,Northwest,summer,anchor,ConvNeXtTiny-TFT,test,25.907692,27.251602,1.343910,1.343910,1.806095
