sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,soft,ConvNeXtTiny-TFT,test,31.652779,31.164890,-0.487889,0.487889,0.288112,32.416668,31.663704,31.691668,31.186598,30.850000,30.644367
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,soft,ConvNeXtTiny-TFT,test,32.002778,31.312476,-0.690301,0.690301,0.499710,32.416668,31.834476,32.283333,31.377651,31.308332,30.725302
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,soft,ConvNeXtTiny-TFT,test,32.061111,32.151960,0.090849,0.108091,0.025851,32.416668,32.438675,32.283333,32.257469,31.483334,31.759737
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,soft,ConvNeXtTiny-TFT,test,32.052779,32.288101,0.235322,0.235322,0.067642,32.416668,32.647938,32.258335,32.360088,31.483334,31.856276
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,soft,ConvNeXtTiny-TFT,test,32.786112,31.988386,-0.797726,0.797726,1.394767,34.166668,32.147552,32.466667,32.142685,31.725000,31.674919
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,soft,ConvNeXtTiny-TFT,test,33.235354,32.315063,-0.920291,0.920291,1.319063,34.299999,32.436935,33.133335,32.480530,32.272728,32.027725
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,soft,ConvNeXtTiny-TFT,test,33.327778,32.714919,-0.612859,0.612859,0.718031,34.299999,32.883759,33.216667,32.833496,32.466667,32.427502
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,soft,ConvNeXtTiny-TFT,test,33.327778,32.669932,-0.657846,0.657846,0.786601,34.299999,32.821930,33.216667,32.807114,32.466667,32.380753
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,soft,ConvNeXtTiny-TFT,test,33.333332,32.019037,-1.314295,1.314295,2.044642,34.299999,32.262093,33.366665,32.125740,32.333332,31.669277
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,soft,ConvNeXtTiny-TFT,test,32.694444,31.920286,-0.774158,0.774158,0.610044,33.216667,32.584976,32.741665,31.925625,32.125000,31.250256
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,soft,ConvNeXtTiny-TFT,test,32.186110,32.173424,-0.012686,0.161498,0.031163,32.741665,32.480389,32.158333,32.257469,31.658333,31.782413
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,soft,ConvNeXtTiny-TFT,test,31.905555,32.129276,0.223721,0.223721,0.066012,32.266666,32.329475,32.033333,32.270267,31.416666,31.788086
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,soft,ConvNeXtTiny-TFT,test,31.655556,31.704076,0.048520,0.173149,0.042553,32.266666,32.079723,31.758333,31.787781,30.941668,31.244724
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,soft,ConvNeXtTiny-TFT,test,31.366666,32.139898,0.773232,0.773232,0.618661,32.033333,32.658447,31.416666,32.142685,30.650000,31.618561
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,soft,ConvNeXtTiny-TFT,test,30.794444,31.352260,0.557816,0.557816,0.428927,31.900000,31.992357,30.700001,31.371529,29.783333,30.692894
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,soft,ConvNeXtTiny-TFT,test,30.413890,30.663743,0.249853,0.249853,0.114577,31.325001,31.334251,30.466667,30.650249,29.450001,30.006727
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,soft,ConvNeXtTiny-TFT,test,29.694445,31.123785,1.429340,1.429340,2.043973,30.650000,32.114048,29.725000,31.113852,28.708334,30.143456
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,soft,ConvNeXtTiny-TFT,test,28.905556,28.831582,-0.073974,0.172216,0.050149,29.633333,29.747120,28.858334,28.891911,28.225000,27.855715
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,soft,ConvNeXtTiny-TFT,test,29.091667,30.115408,1.023741,1.023741,1.066852,30.000000,31.175745,29.066668,30.118721,28.208334,29.051758
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,soft,ConvNeXtTiny-TFT,test,28.783333,28.978401,0.195067,0.225758,0.086171,30.000000,30.146559,29.066668,29.020632,27.283333,27.768011
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,soft,ConvNeXtTiny-TFT,test,29.180555,28.477199,-0.703356,0.736944,0.783679,30.758333,29.763916,29.725000,28.558968,27.058332,27.108713
Northwest_summer_2021-10-21,2021-10-21,Northwest,summer,soft,ConvNeXtTiny-TFT,test,28.911752,26.745502,-2.166250,2.166250,4.928391,30.758333,27.975470,29.030769,26.911163,26.946154,25.349873
Northwest_summer_2021-10-28,2021-10-28,Northwest,summer,soft,ConvNeXtTiny-TFT,test,28.876923,27.427197,-1.449726,1.449726,2.289934,30.758333,28.774509,29.030769,27.586563,26.841667,25.920519
Northwest_summer_2021-11-01,2021-11-01,Northwest,summer,soft,ConvNeXtTiny-TFT,test,28.497436,25.328945,-3.168491,3.168491,10.130665,30.384615,26.817894,28.384615,25.549616,26.723078,23.619326
