sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,anchor,Prophet,test,32.483333,30.660560,-1.822773,1.822773,3.322501
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,anchor,Prophet,test,32.483333,30.698279,-1.785054,1.785054,3.186418
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,anchor,Prophet,test,32.483333,31.631726,-0.851607,0.851607,0.725235
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,anchor,Prophet,test,32.533333,31.631726,-0.901607,0.901607,0.812895
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,anchor,Prophet,test,34.583333,31.737064,-2.846270,2.846270,8.101251
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,anchor,Prophet,test,35.116667,31.737064,-3.379603,3.379603,11.421717
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,anchor,Prophet,test,35.116667,31.737064,-3.379603,3.379603,11.421717
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,anchor,Prophet,test,35.116667,31.737064,-3.379603,3.379603,11.421717
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,anchor,Prophet,test,35.116667,31.737064,-3.379603,3.379603,11.421717
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,anchor,Prophet,test,34.300000,31.605064,-2.694936,2.694936,7.262678
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,anchor,Prophet,test,33.366667,31.605064,-1.761602,1.761602,3.103242
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,anchor,Prophet,test,33.366667,31.605064,-1.761602,1.761602,3.103242
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,anchor,Prophet,test,33.808333,31.142940,-2.665393,2.665393,7.104321
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,anchor,Prophet,test,33.808333,31.043424,-2.764910,2.764910,7.644726
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,anchor,Prophet,test,33.808333,31.043424,-2.764910,2.764910,7.644726
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,anchor,Prophet,test,33.808333,30.607474,-3.200860,3.200860,10.245503
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,anchor,Prophet,test,33.808333,30.216559,-3.591774,3.591774,12.900839
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,anchor,Prophet,test,30.650000,30.216559,-0.433441,0.433441,0.187871
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,anchor,Prophet,test,30.758333,30.216559,-0.541774,0.541774,0.293519
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,anchor,Prophet,test,30.758333,29.563935,-1.194398,1.194398,1.426587
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,anchor,Prophet,test,30.984615,29.563935,-1.420680,1.420680,2.018332
Northwest_summer_2021-10-21,2021-10-21,Northwest,summer,anchor,Prophet,test,30.984615,28.519578,-2.465038,2.465038,6.076410
Northwest_summer_2021-10-28,2021-10-28,Northwest,summer,anchor,Prophet,test,30.984615,26.402110,-4.582506,4.582506,20.999358
Northwest_summer_2021-11-01,2021-11-01,Northwest,summer,anchor,Prophet,test,30.984615,25.601731,-5.382884,5.382884,28.975440
Northwest_summer_2021-11-07,2021-11-07,Northwest,summer,anchor,Prophet,test,30.984615,25.265786,-5.718829,5.718829,32.705008
Northwest_summer_2021-11-14,2021-11-14,Northwest,summer,anchor,Prophet,test,29.815385,24.334368,-5.481016,5.481016,30.041542
Northwest_summer_2021-11-21,2021-11-21,Northwest,summer,anchor,Prophet,test,29.815385,23.008647,-6.806738,6.806738,46.331680
Northwest_summer_2021-11-28,2021-11-28,Northwest,summer,anchor,Prophet,test,29.815385,23.008647,-6.806738,6.806738,46.331680
Northwest_summer_2021-12-01,2021-12-01,Northwest,summer,anchor,Prophet,test,25.684615,22.762819,-2.921796,2.921796,8.536892
Northwest_summer_2021-12-07,2021-12-07,Northwest,summer,anchor,Prophet,test,25.684615,20.320062,-5.364554,5.364554,28.778435
Northwest_summer_2021-12-14,2021-12-14,Northwest,summer,anchor,Prophet,test,23.161538,19.660346,-3.501193,3.501193,12.258350
Northwest_summer_2021-12-21,2021-12-21,Northwest,summer,anchor,Prophet,test,22.092308,18.967196,-3.125112,3.125112,9.766326
Northwest_summer_2021-12-28,2021-12-28,Northwest,summer,anchor,Prophet,test,22.092308,18.171822,-3.920486,3.920486,15.370212
Northwest_summer_2022-01-01,2022-01-01,Northwest,summer,anchor,Prophet,test,22.092308,18.171822,-3.920486,3.920486,15.370212
Northwest_summer_2022-01-07,2022-01-07,Northwest,summer,anchor,Prophet,test,22.092308,18.247223,-3.845085,3.845085,14.784677
Northwest_summer_2022-01-14,2022-01-14,Northwest,summer,anchor,Prophet,test,19.869231,18.506729,-1.362502,1.362502,1.856411
Northwest_summer_2022-01-21,2022-01-21,Northwest,summer,anchor,Prophet,test,20.361538,18.854923,-1.506616,1.506616,2.269891
Northwest_summer_2022-01-28,2022-01-28,Northwest,summer,anchor,Prophet,test,25.907692,19.814950,-6.092743,6.092743,37.121513
Northwest_summer_2022-02-01,2022-02-01,Northwest,summer,anchor,Prophet,test,25.907692,19.945151,-5.962541,5.962541,35.551901
Northwest_summer_2022-02-07,2022-02-07,Northwest,summer,anchor,Prophet,test,25.907692,23.897791,-2.009901,2.009901,4.039703
Northwest_summer_2022-02-14,2022-02-14,Northwest,summer,anchor,Prophet,test,25.907692,23.897791,-2.009901,2.009901,4.039703
Northwest_summer_2022-02-21,2022-02-21,Northwest,summer,anchor,Prophet,test,25.907692,23.897791,-2.009901,2.009901,4.039703
Northwest_summer_2022-02-28,2022-02-28,Northwest,summer,anchor,Prophet,test,25.630769,23.897791,-1.732978,1.732978,3.003213
Northwest_summer_2022-03-01,2022-03-01,Northwest,summer,anchor,Prophet,test,25.630769,23.897791,-1.732978,1.732978,3.003213
Northwest_summer_2022-03-07,2022-03-07,Northwest,summer,anchor,Prophet,test,32.046154,23.897791,-8.148363,8.148363,66.395815
Northwest_summer_2022-03-14,2022-03-14,Northwest,summer,anchor,Prophet,test,32.046154,24.901065,-7.145088,7.145088,51.052290
Northwest_summer_2022-03-21,2022-03-21,Northwest,summer,anchor,Prophet,test,34.807692,24.901065,-9.906627,9.906627,98.141258
Northwest_summer_2022-03-28,2022-03-28,Northwest,summer,anchor,Prophet,test,34.807692,26.120164,-8.687528,8.687528,75.473149
Northwest_summer_2022-04-01,2022-04-01,Northwest,summer,anchor,Prophet,test,34.807692,26.211050,-8.596642,8.596642,73.902256
Northwest_summer_2022-04-07,2022-04-07,Northwest,summer,anchor,Prophet,test,35.338462,27.357980,-7.980482,7.980482,63.688090
Northwest_summer_2022-04-14,2022-04-14,Northwest,summer,anchor,Prophet,test,35.338462,27.357980,-7.980482,7.980482,63.688090
Northwest_summer_2022-04-21,2022-04-21,Northwest,summer,anchor,Prophet,test,35.338462,28.732134,-6.606328,6.606328,43.643567
Northwest_summer_2022-04-28,2022-04-28,Northwest,summer,anchor,Prophet,test,35.338462,29.188939,-6.149522,6.149522,37.816621
Northwest_summer_2022-05-01,2022-05-01,Northwest,summer,anchor,Prophet,test,35.338462,29.188939,-6.149522,6.149522,37.816621
Northwest_summer_2022-05-07,2022-05-07,Northwest,summer,anchor,Prophet,test,34.676923,29.188939,-5.487984,5.487984,30.117964
Northwest_summer_2022-05-14,2022-05-14,Northwest,summer,anchor,Prophet,test,34.676923,29.232421,-5.444502,5.444502,29.642607
Northwest_summer_2022-05-21,2022-05-21,Northwest,summer,anchor,Prophet,test,34.676923,29.378665,-5.298258,5.298258,28.071543
Northwest_summer_2022-05-28,2022-05-28,Northwest,summer,anchor,Prophet,test,31.661538,30.010017,-1.651522,1.651522,2.727523
Northwest_summer_2022-06-01,2022-06-01,Northwest,summer,anchor,Prophet,test,31.661538,30.225107,-1.436431,1.436431,2.063334
Northwest_summer_2022-06-07,2022-06-07,Northwest,summer,anchor,Prophet,test,31.661538,30.225107,-1.436431,1.436431,2.063334
Northwest_summer_2022-06-14,2022-06-14,Northwest,summer,anchor,Prophet,test,31.207692,30.651358,-0.556334,0.556334,0.309508
Northwest_summer_2022-06-21,2022-06-21,Northwest,summer,anchor,Prophet,test,32.376923,30.710551,-1.666372,1.666372,2.776795
Northwest_summer_2022-06-28,2022-06-28,Northwest,summer,anchor,Prophet,test,32.376923,31.593608,-0.783315,0.783315,0.613583
Northwest_summer_2022-07-01,2022-07-01,Northwest,summer,anchor,Prophet,test,32.376923,31.593608,-0.783315,0.783315,0.613583
Northwest_summer_2022-07-07,2022-07-07,Northwest,summer,anchor,Prophet,test,32.376923,31.725864,-0.651059,0.651059,0.423877
Northwest_summer_2022-07-14,2022-07-14,Northwest,summer,anchor,Prophet,test,32.376923,31.725864,-0.651059,0.651059,0.423877
Northwest_summer_2022-07-21,2022-07-21,Northwest,summer,anchor,Prophet,test,32.369231,31.725864,-0.643366,0.643366,0.413920
Northwest_summer_2022-07-28,2022-07-28,Northwest,summer,anchor,Prophet,test,32.576923,31.725864,-0.851059,0.851059,0.724301
Northwest_summer_2022-08-01,2022-08-01,Northwest,summer,anchor,Prophet,test,33.407692,31.725864,-1.681828,1.681828,2.828545
Northwest_summer_2022-08-07,2022-08-07,Northwest,summer,anchor,Prophet,test,33.407692,31.624885,-1.782807,1.782807,3.178402
Northwest_summer_2022-08-14,2022-08-14,Northwest,summer,anchor,Prophet,test,33.407692,31.624885,-1.782807,1.782807,3.178402
Northwest_summer_2022-08-21,2022-08-21,Northwest,summer,anchor,Prophet,test,33.407692,31.624885,-1.782807,1.782807,3.178402
Northwest_summer_2022-08-28,2022-08-28,Northwest,summer,anchor,Prophet,test,33.407692,31.104025,-2.303667,2.303667,5.306882
Northwest_summer_2022-09-01,2022-09-01,Northwest,summer,anchor,Prophet,test,32.246154,31.003388,-1.242766,1.242766,1.544468
Northwest_summer_2022-09-07,2022-09-07,Northwest,summer,anchor,Prophet,test,32.246154,31.003388,-1.242766,1.242766,1.544468
Northwest_summer_2022-09-14,2022-09-14,Northwest,summer,anchor,Prophet,test,31.715385,30.567559,-1.147826,1.147826,1.317505
Northwest_summer_2022-09-21,2022-09-21,Northwest,summer,anchor,Prophet,test,31.715385,30.176617,-1.538768,1.538768,2.367806
Northwest_summer_2022-09-28,2022-09-28,Northwest,summer,anchor,Prophet,test,31.715385,30.176617,-1.538768,1.538768,2.367806
Northwest_summer_2022-10-01,2022-10-01,Northwest,summer,anchor,Prophet,test,31.615385,30.176617,-1.438768,1.438768,2.070052
Northwest_summer_2022-10-07,2022-10-07,Northwest,summer,anchor,Prophet,test,31.369231,29.551008,-1.818223,1.818223,3.305935
Northwest_summer_2022-10-14,2022-10-14,Northwest,summer,anchor,Prophet,test,31.369231,29.551008,-1.818223,1.818223,3.305935
Northwest_summer_2022-10-21,2022-10-21,Northwest,summer,anchor,Prophet,test,30.053846,28.516377,-1.537470,1.537470,2.363813
Northwest_summer_2022-10-28,2022-10-28,Northwest,summer,anchor,Prophet,test,29.407692,26.358983,-3.048710,3.048710,9.294630
Northwest_summer_2022-11-01,2022-11-01,Northwest,summer,anchor,Prophet,test,28.453846,25.590477,-2.863369,2.863369,8.198885
Northwest_summer_2022-11-07,2022-11-07,Northwest,summer,anchor,Prophet,test,27.753846,25.276192,-2.477655,2.477655,6.138772
Northwest_summer_2022-11-14,2022-11-14,Northwest,summer,anchor,Prophet,test,27.753846,24.296107,-3.457739,3.457739,11.955960
Northwest_summer_2022-11-21,2022-11-21,Northwest,summer,anchor,Prophet,test,27.753846,22.969475,-4.784371,4.784371,22.890207
Northwest_summer_2022-11-28,2022-11-28,Northwest,summer,anchor,Prophet,test,24.158333,22.969475,-1.188858,1.188858,1.413384
Northwest_summer_2022-12-01,2022-12-01,Northwest,summer,anchor,Prophet,test,24.158333,22.751330,-1.407003,1.407003,1.979658
Northwest_summer_2022-12-07,2022-12-07,Northwest,summer,anchor,Prophet,test,24.158333,20.329539,-3.828795,3.828795,14.659668
Northwest_summer_2022-12-14,2022-12-14,Northwest,summer,anchor,Prophet,test,24.158333,19.621664,-4.536670,4.536670,20.581372
Northwest_summer_2022-12-21,2022-12-21,Northwest,summer,anchor,Prophet,test,21.030769,18.987018,-2.043751,2.043751,4.176917
Northwest_summer_2022-12-28,2022-12-28,Northwest,summer,anchor,Prophet,test,22.038462,18.159277,-3.879184,3.879184,15.048070
Northwest_summer_2023-01-01,2023-01-01,Northwest,summer,anchor,Prophet,test,23.292308,18.159277,-5.133030,5.133030,26.348000
Northwest_summer_2023-01-07,2023-01-07,Northwest,summer,anchor,Prophet,test,23.292308,18.245636,-5.046672,5.046672,25.468894
Northwest_summer_2023-01-14,2023-01-14,Northwest,summer,anchor,Prophet,test,23.292308,18.516499,-4.775809,4.775809,22.808352
Northwest_summer_2023-01-21,2023-01-21,Northwest,summer,anchor,Prophet,test,23.292308,18.852446,-4.439862,4.439862,19.712376
Northwest_summer_2023-01-28,2023-01-28,Northwest,summer,anchor,Prophet,test,23.292308,19.811925,-3.480383,3.480383,12.113067
Northwest_summer_2023-02-01,2023-02-01,Northwest,summer,anchor,Prophet,test,29.000000,19.953572,-9.046428,9.046428,81.837858
Northwest_summer_2023-02-07,2023-02-07,Northwest,summer,anchor,Prophet,test,30.515385,23.916811,-6.598574,6.598574,43.541175
Northwest_summer_2023-02-14,2023-02-14,Northwest,summer,anchor,Prophet,test,30.515385,23.916811,-6.598574,6.598574,43.541175
Northwest_summer_2023-02-21,2023-02-21,Northwest,summer,anchor,Prophet,test,30.515385,23.916811,-6.598574,6.598574,43.541175
Northwest_summer_2023-02-28,2023-02-28,Northwest,summer,anchor,Prophet,test,30.515385,23.916811,-6.598574,6.598574,43.541175
Northwest_summer_2023-03-01,2023-03-01,Northwest,summer,anchor,Prophet,test,30.515385,23.916811,-6.598574,6.598574,43.541175
Northwest_summer_2023-03-07,2023-03-07,Northwest,summer,anchor,Prophet,test,31.153846,23.916811,-7.237035,7.237035,52.374679
Northwest_summer_2023-03-14,2023-03-14,Northwest,summer,anchor,Prophet,test,33.284615,24.856918,-8.427697,8.427697,71.026076
Northwest_summer_2023-03-21,2023-03-21,Northwest,summer,anchor,Prophet,test,33.284615,24.911185,-8.373431,8.373431,70.114341
Northwest_summer_2023-03-28,2023-03-28,Northwest,summer,anchor,Prophet,test,33.284615,26.110468,-7.174147,7.174147,51.468389
Northwest_summer_2023-04-01,2023-04-01,Northwest,summer,anchor,Prophet,test,33.284615,26.223850,-7.060766,7.060766,49.854410
Northwest_summer_2023-04-07,2023-04-07,Northwest,summer,anchor,Prophet,test,36.892308,27.371541,-9.520766,9.520766,90.644989
