sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,soft,Prophet,test,31.652778,30.081211,-1.571567,1.571567,2.580764,32.416667,30.475344,31.691667,30.052248,30.850000,29.716040
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,soft,Prophet,test,32.002778,30.400785,-1.601993,1.601993,2.615787,32.416667,30.675673,32.283333,30.506674,31.308333,30.020007
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,soft,Prophet,test,32.061111,30.813579,-1.247532,1.247532,1.612584,32.416667,31.246314,32.283333,30.714537,31.483333,30.479887
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,soft,Prophet,test,32.052778,30.963499,-1.089278,1.089278,1.223855,32.416667,31.246314,32.258333,30.983624,31.483333,30.660560
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,soft,Prophet,test,32.786111,31.197114,-1.588997,1.588997,3.126862,34.166667,31.491364,32.466667,31.287100,31.725000,30.812879
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,soft,Prophet,test,33.235354,31.293872,-1.941482,1.941482,4.212287,34.300000,31.491364,33.133333,31.308512,32.272727,31.081740
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,soft,Prophet,test,33.327778,31.376130,-1.951647,1.951647,4.202524,34.300000,31.542699,33.216667,31.345999,32.466667,31.239694
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,soft,Prophet,test,33.327778,31.447525,-1.880253,1.880253,3.973567,34.300000,31.542699,33.216667,31.491364,32.466667,31.308512
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,soft,Prophet,test,33.333333,31.447525,-1.885808,1.885808,4.056576,34.300000,31.542699,33.366667,31.491364,32.333333,31.308512
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,soft,Prophet,test,32.694444,31.364407,-1.330037,1.330037,1.870215,33.216667,31.523878,32.741667,31.362500,32.125000,31.206844
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,soft,Prophet,test,32.186111,31.325216,-0.860895,0.860895,0.815880,32.741667,31.523878,32.158333,31.347120,31.658333,31.104651
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,soft,Prophet,test,31.905556,31.155781,-0.749774,0.749774,0.566988,32.266667,31.496088,32.033333,31.210807,31.416667,30.760448
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,soft,Prophet,test,31.655556,30.785970,-0.869585,0.869585,0.875977,32.266667,31.043424,31.758333,30.772504,30.941667,30.541983
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,soft,Prophet,test,31.366667,30.607127,-0.759539,0.759539,0.713189,32.033333,30.848527,31.416667,30.607474,30.650000,30.365382
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,soft,Prophet,test,30.794444,30.368224,-0.426220,0.591986,0.605796,31.900000,30.593563,30.700000,30.479127,29.783333,30.031982
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,soft,Prophet,test,30.413889,29.978889,-0.435000,0.481207,0.377781,31.325000,30.334387,30.466667,30.082970,29.450000,29.519312
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,soft,Prophet,test,29.694444,29.521873,-0.172571,0.405756,0.215775,30.650000,29.943574,29.725000,29.563935,28.708333,29.058110
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,soft,Prophet,test,28.905556,29.064669,0.159114,0.185822,0.045357,29.633333,29.593271,28.858333,29.134531,28.225000,28.466205
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,soft,Prophet,test,29.091667,28.901355,-0.190311,0.257044,0.085127,30.000000,29.563935,29.066667,28.831698,28.208333,28.308433
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,soft,Prophet,test,28.783333,28.397038,-0.386296,0.789913,0.695567,30.000000,28.831698,29.066667,28.470655,27.283333,27.888760
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,soft,Prophet,test,29.180556,27.741994,-1.438562,1.438562,2.413360,30.758333,28.690256,29.725000,28.133616,27.058333,26.402110
Northwest_summer_2021-10-21,2021-10-21,Northwest,summer,soft,Prophet,test,28.911752,26.569050,-2.342702,2.342702,5.706775,30.758333,27.888760,29.030769,26.605688,26.946154,25.212702
Northwest_summer_2021-10-28,2021-10-28,Northwest,summer,soft,Prophet,test,28.876923,25.080349,-3.796574,3.796574,15.913416,30.758333,25.446493,29.030769,25.265786,26.841667,24.528768
