sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,anchor,SARIMAX,test,32.483333,30.833834,-1.649500,1.649500,2.720849
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,anchor,SARIMAX,test,32.483333,30.867955,-1.615379,1.615379,2.609448
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,anchor,SARIMAX,test,32.483333,31.798456,-0.684878,0.684878,0.469057
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,anchor,SARIMAX,test,32.533333,31.778590,-0.754743,0.754743,0.569637
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,anchor,SARIMAX,test,34.583333,31.866299,-2.717034,2.717034,7.382273
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,anchor,SARIMAX,test,35.116667,31.855998,-3.260669,3.260669,10.631962
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,anchor,SARIMAX,test,35.116667,31.861195,-3.255471,3.255471,10.598093
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,anchor,SARIMAX,test,35.116667,31.843442,-3.273225,3.273225,10.714002
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,anchor,SARIMAX,test,35.116667,31.824357,-3.292310,3.292310,10.839303
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,anchor,SARIMAX,test,34.300000,31.636317,-2.663683,2.663683,7.095209
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,anchor,SARIMAX,test,33.366667,31.664965,-1.701702,1.701702,2.895789
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,anchor,SARIMAX,test,33.366667,31.658077,-1.708589,1.708589,2.919278
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,anchor,SARIMAX,test,33.808333,31.143957,-2.664376,2.664376,7.098902
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,anchor,SARIMAX,test,33.808333,31.025756,-2.782577,2.782577,7.742734
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,anchor,SARIMAX,test,33.808333,31.013594,-2.794740,2.794740,7.810570
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,anchor,SARIMAX,test,33.808333,30.532258,-3.276075,3.276075,10.732669
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,anchor,SARIMAX,test,33.808333,30.115475,-3.692858,3.692858,13.637203
