sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,soft,SARIMAX,test,31.652778,30.203623,-1.449154,1.449154,2.204152,32.416667,30.621072,31.691667,30.158555,30.850000,29.831243
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,soft,SARIMAX,test,32.002778,30.507225,-1.495553,1.495553,2.267939,32.416667,30.809741,32.283333,30.649589,31.308333,30.062345
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,soft,SARIMAX,test,32.061111,30.963312,-1.097799,1.097799,1.257182,32.416667,31.440878,32.283333,30.865950,31.483333,30.583107
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,soft,SARIMAX,test,32.052778,31.101876,-0.950901,0.950901,0.937835,32.416667,31.421013,32.258333,31.108608,31.483333,30.776009
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,soft,SARIMAX,test,32.786111,31.307084,-1.479027,1.479027,2.775898,34.166667,31.615045,32.466667,31.383511,31.725000,30.922696
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,soft,SARIMAX,test,33.235354,31.400762,-1.834591,1.834591,3.803584,34.300000,31.604755,33.133333,31.410881,32.272727,31.186652
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,soft,SARIMAX,test,33.327778,31.472166,-1.855612,1.855612,3.821165,34.300000,31.650653,33.216667,31.450851,32.466667,31.314992
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,soft,SARIMAX,test,33.327778,31.520912,-1.806866,1.806866,3.684898,34.300000,31.632925,33.216667,31.565623,32.466667,31.364188
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,soft,SARIMAX,test,33.333333,31.501410,-1.831923,1.831923,3.836505,34.300000,31.613415,33.366667,31.546132,32.333333,31.344683
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,soft,SARIMAX,test,32.694444,31.376959,-1.317485,1.317485,1.832926,33.216667,31.534196,32.741667,31.392602,32.125000,31.204079
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,soft,SARIMAX,test,32.186111,31.363611,-0.822500,0.822500,0.751334,32.741667,31.562952,32.158333,31.383271,31.658333,31.144610
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,soft,SARIMAX,test,31.905556,31.184560,-0.720995,0.720995,0.525865,32.266667,31.530157,32.033333,31.225932,31.416667,30.797592
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,soft,SARIMAX,test,31.655556,30.787729,-0.867826,0.867826,0.876641,32.266667,31.022753,31.758333,30.797132,30.941667,30.543303
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,soft,SARIMAX,test,31.366667,30.610465,-0.756202,0.756202,0.708636,32.033333,30.848149,31.416667,30.615780,30.650000,30.367466
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,soft,SARIMAX,test,30.794444,30.342830,-0.451614,0.602589,0.633467,31.900000,30.562148,30.700000,30.456546,29.783333,30.009795
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,soft,SARIMAX,test,30.413889,29.895642,-0.518247,0.518247,0.458859,31.325000,30.248764,30.466667,29.999589,29.450000,29.438573
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,soft,SARIMAX,test,29.694444,29.416916,-0.277528,0.430297,0.249153,30.650000,29.862903,29.725000,29.450359,28.708333,28.937486
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,soft,SARIMAX,test,28.905556,28.973777,0.068222,0.149015,0.023155,29.633333,29.512143,28.858333,29.050316,28.225000,28.358872
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,soft,SARIMAX,test,29.091667,28.800168,-0.291499,0.302471,0.140684,30.000000,29.442985,29.066667,28.732727,28.208333,28.224792
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,soft,SARIMAX,test,28.783333,28.292980,-0.490353,0.813548,0.772258,30.000000,28.731323,29.066667,28.379491,27.283333,27.768126
