sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,anchor,Tab-LSTM,test,32.483334,36.191734,3.708401,3.708401,13.752236
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,anchor,Tab-LSTM,test,32.483334,35.154495,2.671162,2.671162,7.135105
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,anchor,Tab-LSTM,test,32.483334,35.720810,3.237476,3.237476,10.481253
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,anchor,Tab-LSTM,test,32.533333,36.004318,3.470985,3.470985,12.047740
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,anchor,Tab-LSTM,test,34.583332,35.609398,1.026066,1.026066,1.052811
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,anchor,Tab-LSTM,test,35.116665,35.086742,-0.029922,0.029922,0.000895
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,anchor,Tab-LSTM,test,35.116665,35.553936,0.437271,0.437271,0.191206
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,anchor,Tab-LSTM,test,35.116665,34.669411,-0.447254,0.447254,0.200036
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,anchor,Tab-LSTM,test,35.116665,34.291073,-0.825592,0.825592,0.681602
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,anchor,Tab-LSTM,test,34.299999,34.281731,-0.018269,0.018269,0.000334
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,anchor,Tab-LSTM,test,33.366665,32.976784,-0.389881,0.389881,0.152007
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,anchor,Tab-LSTM,test,33.366665,32.732704,-0.633961,0.633961,0.401906
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,anchor,Tab-LSTM,test,33.808334,34.082603,0.274269,0.274269,0.075224
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,anchor,Tab-LSTM,test,33.808334,34.175476,0.367142,0.367142,0.134793
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,anchor,Tab-LSTM,test,33.808334,33.640724,-0.167610,0.167610,0.028093
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,anchor,Tab-LSTM,test,33.808334,35.674973,1.866638,1.866638,3.484338
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,anchor,Tab-LSTM,test,33.808334,36.518364,2.710030,2.710030,7.344260
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,anchor,Tab-LSTM,test,30.650000,36.530891,5.880892,5.880892,34.584888
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,anchor,Tab-LSTM,test,30.758333,35.730789,4.972456,4.972456,24.725318
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,anchor,Tab-LSTM,test,30.758333,36.451706,5.693373,5.693373,32.414493
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,anchor,Tab-LSTM,test,30.984615,33.339249,2.354633,2.354633,5.544298
Northwest_summer_2021-10-21,2021-10-21,Northwest,summer,anchor,Tab-LSTM,test,30.984615,29.723892,-1.260723,1.260723,1.589423
Northwest_summer_2021-10-28,2021-10-28,Northwest,summer,anchor,Tab-LSTM,test,30.984615,35.166130,4.181515,4.181515,17.485066
Northwest_summer_2021-11-01,2021-11-01,Northwest,summer,anchor,Tab-LSTM,test,30.984615,29.241611,-1.743004,1.743004,3.038062
Northwest_summer_2021-11-07,2021-11-07,Northwest,summer,anchor,Tab-LSTM,test,30.984615,29.738817,-1.245798,1.245798,1.552013
Northwest_summer_2021-11-14,2021-11-14,Northwest,summer,anchor,Tab-LSTM,test,29.815384,26.020817,-3.794567,3.794567,14.398740
Northwest_summer_2021-11-21,2021-11-21,Northwest,summer,anchor,Tab-LSTM,test,29.815384,23.847790,-5.967594,5.967594,35.612180
Northwest_summer_2021-11-28,2021-11-28,Northwest,summer,anchor,Tab-LSTM,test,29.815384,28.092014,-1.723370,1.723370,2.970003
Northwest_summer_2021-12-01,2021-12-01,Northwest,summer,anchor,Tab-LSTM,test,25.684616,27.738148,2.053532,2.053532,4.216992
Northwest_summer_2021-12-07,2021-12-07,Northwest,summer,anchor,Tab-LSTM,test,25.684616,26.887197,1.202581,1.202581,1.446202
Northwest_summer_2021-12-14,2021-12-14,Northwest,summer,anchor,Tab-LSTM,test,23.161539,26.188950,3.027411,3.027411,9.165214
Northwest_summer_2021-12-21,2021-12-21,Northwest,summer,anchor,Tab-LSTM,test,22.092308,23.586918,1.494610,1.494610,2.233859
Northwest_summer_2021-12-28,2021-12-28,Northwest,summer,anchor,Tab-LSTM,test,22.092308,24.744112,2.651804,2.651804,7.032064
Northwest_summer_2022-01-01,2022-01-01,Northwest,summer,anchor,Tab-LSTM,test,22.092308,22.702333,0.610025,0.610025,0.372131
Northwest_summer_2022-01-07,2022-01-07,Northwest,summer,anchor,Tab-LSTM,test,22.092308,23.040115,0.947807,0.947807,0.898339
Northwest_summer_2022-01-14,2022-01-14,Northwest,summer,anchor,Tab-LSTM,test,19.869230,24.473209,4.603979,4.603979,21.196624
Northwest_summer_2022-01-21,2022-01-21,Northwest,summer,anchor,Tab-LSTM,test,20.361538,23.522335,3.160797,3.160797,9.990638
Northwest_summer_2022-01-28,2022-01-28,Northwest,summer,anchor,Tab-LSTM,test,25.907692,24.604256,-1.303436,1.303436,1.698946
Northwest_summer_2022-02-01,2022-02-01,Northwest,summer,anchor,Tab-LSTM,test,25.907692,26.822216,0.914524,0.914524,0.836354
Northwest_summer_2022-02-07,2022-02-07,Northwest,summer,anchor,Tab-LSTM,test,25.907692,31.464725,5.557034,5.557034,30.880622
Northwest_summer_2022-02-14,2022-02-14,Northwest,summer,anchor,Tab-LSTM,test,25.907692,36.101852,10.194160,10.194160,103.920908
Northwest_summer_2022-02-21,2022-02-21,Northwest,summer,anchor,Tab-LSTM,test,25.907692,35.971928,10.064236,10.064236,101.288840
Northwest_summer_2022-02-28,2022-02-28,Northwest,summer,anchor,Tab-LSTM,test,25.630770,36.514191,10.883421,10.883421,118.448851
Northwest_summer_2022-03-01,2022-03-01,Northwest,summer,anchor,Tab-LSTM,test,25.630770,36.576908,10.946138,10.946138,119.817945
Northwest_summer_2022-03-07,2022-03-07,Northwest,summer,anchor,Tab-LSTM,test,32.046154,37.230587,5.184433,5.184433,26.878345
Northwest_summer_2022-03-14,2022-03-14,Northwest,summer,anchor,Tab-LSTM,test,32.046154,34.680798,2.634644,2.634644,6.941347
Northwest_summer_2022-03-21,2022-03-21,Northwest,summer,anchor,Tab-LSTM,test,34.807693,30.423792,-4.383902,4.383902,19.218593
Northwest_summer_2022-03-28,2022-03-28,Northwest,summer,anchor,Tab-LSTM,test,34.807693,30.137047,-4.670647,4.670647,21.814940
Northwest_summer_2022-04-01,2022-04-01,Northwest,summer,anchor,Tab-LSTM,test,34.807693,32.723732,-2.083961,2.083961,4.342895
Northwest_summer_2022-04-07,2022-04-07,Northwest,summer,anchor,Tab-LSTM,test,35.338463,34.548321,-0.790142,0.790142,0.624324
Northwest_summer_2022-04-14,2022-04-14,Northwest,summer,anchor,Tab-LSTM,test,35.338463,36.110004,0.771542,0.771542,0.595276
Northwest_summer_2022-04-21,2022-04-21,Northwest,summer,anchor,Tab-LSTM,test,35.338463,37.529865,2.191402,2.191402,4.802245
Northwest_summer_2022-04-28,2022-04-28,Northwest,summer,anchor,Tab-LSTM,test,35.338463,37.318024,1.979561,1.979561,3.918661
Northwest_summer_2022-05-01,2022-05-01,Northwest,summer,anchor,Tab-LSTM,test,35.338463,38.123127,2.784664,2.784664,7.754354
Northwest_summer_2022-05-07,2022-05-07,Northwest,summer,anchor,Tab-LSTM,test,34.676922,38.459248,3.782326,3.782326,14.305988
Northwest_summer_2022-05-14,2022-05-14,Northwest,summer,anchor,Tab-LSTM,test,34.676922,38.968094,4.291172,4.291172,18.414157
Northwest_summer_2022-05-21,2022-05-21,Northwest,summer,anchor,Tab-LSTM,test,34.676922,37.269875,2.592953,2.592953,6.723404
Northwest_summer_2022-05-28,2022-05-28,Northwest,summer,anchor,Tab-LSTM,test,31.661539,37.104652,5.443113,5.443113,29.627483
Northwest_summer_2022-06-01,2022-06-01,Northwest,summer,anchor,Tab-LSTM,test,31.661539,36.753769,5.092230,5.092230,25.930805
Northwest_summer_2022-06-07,2022-06-07,Northwest,summer,anchor,Tab-LSTM,test,31.661539,36.932545,5.271006,5.271006,27.783500
Northwest_summer_2022-06-14,2022-06-14,Northwest,summer,anchor,Tab-LSTM,test,31.207693,36.518364,5.310671,5.310671,28.203225
Northwest_summer_2022-06-21,2022-06-21,Northwest,summer,anchor,Tab-LSTM,test,32.376923,34.051094,1.674171,1.674171,2.802850
Northwest_summer_2022-06-28,2022-06-28,Northwest,summer,anchor,Tab-LSTM,test,32.376923,35.609398,3.232475,3.232475,10.448896
Northwest_summer_2022-07-01,2022-07-01,Northwest,summer,anchor,Tab-LSTM,test,32.376923,36.012428,3.635506,3.635506,13.216902
Northwest_summer_2022-07-07,2022-07-07,Northwest,summer,anchor,Tab-LSTM,test,32.376923,35.561848,3.184925,3.184925,10.143748
Northwest_summer_2022-07-14,2022-07-14,Northwest,summer,anchor,Tab-LSTM,test,32.376923,35.150616,2.773693,2.773693,7.693373
Northwest_summer_2022-07-21,2022-07-21,Northwest,summer,anchor,Tab-LSTM,test,32.369232,35.115753,2.746521,2.746521,7.543378
Northwest_summer_2022-07-28,2022-07-28,Northwest,summer,anchor,Tab-LSTM,test,32.576923,35.249718,2.672794,2.672794,7.143830
Northwest_summer_2022-08-01,2022-08-01,Northwest,summer,anchor,Tab-LSTM,test,33.407692,35.498631,2.090939,2.090939,4.372024
Northwest_summer_2022-08-07,2022-08-07,Northwest,summer,anchor,Tab-LSTM,test,33.407692,34.433456,1.025764,1.025764,1.052193
Northwest_summer_2022-08-14,2022-08-14,Northwest,summer,anchor,Tab-LSTM,test,33.407692,33.927238,0.519547,0.519547,0.269929
Northwest_summer_2022-08-21,2022-08-21,Northwest,summer,anchor,Tab-LSTM,test,33.407692,33.807556,0.399864,0.399864,0.159891
Northwest_summer_2022-08-28,2022-08-28,Northwest,summer,anchor,Tab-LSTM,test,33.407692,35.230251,1.822559,1.822559,3.321723
Northwest_summer_2022-09-01,2022-09-01,Northwest,summer,anchor,Tab-LSTM,test,32.246155,34.467297,2.221142,2.221142,4.933471
Northwest_summer_2022-09-07,2022-09-07,Northwest,summer,anchor,Tab-LSTM,test,32.246155,34.052948,1.806793,1.806793,3.264502
Northwest_summer_2022-09-14,2022-09-14,Northwest,summer,anchor,Tab-LSTM,test,31.715385,35.810818,4.095432,4.095432,16.772566
Northwest_summer_2022-09-21,2022-09-21,Northwest,summer,anchor,Tab-LSTM,test,31.715385,35.439552,3.724167,3.724167,13.869419
Northwest_summer_2022-09-28,2022-09-28,Northwest,summer,anchor,Tab-LSTM,test,31.715385,36.286194,4.570808,4.570808,20.892290
Northwest_summer_2022-10-01,2022-10-01,Northwest,summer,anchor,Tab-LSTM,test,31.615385,38.591999,6.976614,6.976614,48.673143
Northwest_summer_2022-10-07,2022-10-07,Northwest,summer,anchor,Tab-LSTM,test,31.369230,37.248039,5.878809,5.878809,34.560395
Northwest_summer_2022-10-14,2022-10-14,Northwest,summer,anchor,Tab-LSTM,test,31.369230,35.838909,4.469679,4.469679,19.978029
Northwest_summer_2022-10-21,2022-10-21,Northwest,summer,anchor,Tab-LSTM,test,30.053846,34.129002,4.075155,4.075155,16.606890
Northwest_summer_2022-10-28,2022-10-28,Northwest,summer,anchor,Tab-LSTM,test,29.407692,29.952494,0.544802,0.544802,0.296809
Northwest_summer_2022-11-01,2022-11-01,Northwest,summer,anchor,Tab-LSTM,test,28.453846,30.422880,1.969034,1.969034,3.877096
Northwest_summer_2022-11-07,2022-11-07,Northwest,summer,anchor,Tab-LSTM,test,27.753845,34.049244,6.295399,6.295399,39.632045
Northwest_summer_2022-11-14,2022-11-14,Northwest,summer,anchor,Tab-LSTM,test,27.753845,30.479408,2.725563,2.725563,7.428694
Northwest_summer_2022-11-21,2022-11-21,Northwest,summer,anchor,Tab-LSTM,test,27.753845,31.126568,3.372723,3.372723,11.375258
Northwest_summer_2022-11-28,2022-11-28,Northwest,summer,anchor,Tab-LSTM,test,24.158333,29.421682,5.263350,5.263350,27.702848
Northwest_summer_2022-12-01,2022-12-01,Northwest,summer,anchor,Tab-LSTM,test,24.158333,27.593754,3.435421,3.435421,11.802117
Northwest_summer_2022-12-07,2022-12-07,Northwest,summer,anchor,Tab-LSTM,test,24.158333,28.456947,4.298615,4.298615,18.478087
Northwest_summer_2022-12-14,2022-12-14,Northwest,summer,anchor,Tab-LSTM,test,24.158333,28.673019,4.514687,4.514687,20.382395
Northwest_summer_2022-12-21,2022-12-21,Northwest,summer,anchor,Tab-LSTM,test,21.030769,27.267490,6.236721,6.236721,38.896689
Northwest_summer_2022-12-28,2022-12-28,Northwest,summer,anchor,Tab-LSTM,test,22.038462,24.026176,1.987715,1.987715,3.951010
Northwest_summer_2023-01-01,2023-01-01,Northwest,summer,anchor,Tab-LSTM,test,23.292307,22.368576,-0.923731,0.923731,0.853279
Northwest_summer_2023-01-07,2023-01-07,Northwest,summer,anchor,Tab-LSTM,test,23.292307,22.973156,-0.319151,0.319151,0.101857
Northwest_summer_2023-01-14,2023-01-14,Northwest,summer,anchor,Tab-LSTM,test,23.292307,22.553614,-0.738693,0.738693,0.545668
Northwest_summer_2023-01-21,2023-01-21,Northwest,summer,anchor,Tab-LSTM,test,23.292307,24.734167,1.441860,1.441860,2.078961
Northwest_summer_2023-01-28,2023-01-28,Northwest,summer,anchor,Tab-LSTM,test,23.292307,25.514498,2.222191,2.222191,4.938132
Northwest_summer_2023-02-01,2023-02-01,Northwest,summer,anchor,Tab-LSTM,test,29.000000,23.952980,-5.047020,5.047020,25.472410
Northwest_summer_2023-02-07,2023-02-07,Northwest,summer,anchor,Tab-LSTM,test,30.515385,24.104210,-6.411175,6.411175,41.103162
Northwest_summer_2023-02-14,2023-02-14,Northwest,summer,anchor,Tab-LSTM,test,30.515385,22.961966,-7.553419,7.553419,57.054140
Northwest_summer_2023-02-21,2023-02-21,Northwest,summer,anchor,Tab-LSTM,test,30.515385,27.754574,-2.760811,2.760811,7.622077
Northwest_summer_2023-02-28,2023-02-28,Northwest,summer,anchor,Tab-LSTM,test,30.515385,31.045158,0.529774,0.529774,0.280660
Northwest_summer_2023-03-01,2023-03-01,Northwest,summer,anchor,Tab-LSTM,test,30.515385,30.138885,-0.376499,0.376499,0.141752
Northwest_summer_2023-03-07,2023-03-07,Northwest,summer,anchor,Tab-LSTM,test,31.153847,30.622192,-0.531654,0.531654,0.282656
Northwest_summer_2023-03-14,2023-03-14,Northwest,summer,anchor,Tab-LSTM,test,33.284615,34.871361,1.586746,1.586746,2.517764
Northwest_summer_2023-03-21,2023-03-21,Northwest,summer,anchor,Tab-LSTM,test,33.284615,34.957642,1.673027,1.673027,2.799019
Northwest_summer_2023-03-28,2023-03-28,Northwest,summer,anchor,Tab-LSTM,test,33.284615,35.341476,2.056862,2.056862,4.230681
Northwest_summer_2023-04-01,2023-04-01,Northwest,summer,anchor,Tab-LSTM,test,33.284615,33.235924,-0.048691,0.048691,0.002371
Northwest_summer_2023-04-07,2023-04-07,Northwest,summer,anchor,Tab-LSTM,test,36.892307,35.718815,-1.173492,1.173492,1.377084
Northwest_summer_2023-04-14,2023-04-14,Northwest,summer,anchor,Tab-LSTM,test,36.892307,35.555912,-1.336395,1.336395,1.785952
Northwest_summer_2023-04-21,2023-04-21,Northwest,summer,anchor,Tab-LSTM,test,36.892307,36.000267,-0.892040,0.892040,0.795736
Northwest_summer_2023-04-28,2023-04-28,Northwest,summer,anchor,Tab-LSTM,test,36.892307,38.374519,1.482212,1.482212,2.196953
Northwest_summer_2023-05-01,2023-05-01,Northwest,summer,anchor,Tab-LSTM,test,36.892307,37.187050,0.294743,0.294743,0.086873
Northwest_summer_2023-05-07,2023-05-07,Northwest,summer,anchor,Tab-LSTM,test,40.707691,38.992527,-1.715164,1.715164,2.941788
Northwest_summer_2023-05-14,2023-05-14,Northwest,summer,anchor,Tab-LSTM,test,40.707691,38.215752,-2.491940,2.491940,6.209763
Northwest_summer_2023-05-21,2023-05-21,Northwest,summer,anchor,Tab-LSTM,test,40.707691,37.436836,-3.270855,3.270855,10.698492
Northwest_summer_2023-05-28,2023-05-28,Northwest,summer,anchor,Tab-LSTM,test,40.707691,39.683086,-1.024605,1.024605,1.049815
Northwest_summer_2023-06-01,2023-06-01,Northwest,summer,anchor,Tab-LSTM,test,40.707691,39.899734,-0.807957,0.807957,0.652794
Northwest_summer_2023-06-07,2023-06-07,Northwest,summer,anchor,Tab-LSTM,test,35.361538,38.807831,3.446293,3.446293,11.876935
