sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Northwest_summer_2021-06-14,2021-06-14,Northwest,summer,soft,Tab-LSTM,test,31.652779,31.777417,0.124638,0.346907,0.195876,32.416668,33.123985,31.691668,31.650965,30.850000,30.557301
Northwest_summer_2021-06-21,2021-06-21,Northwest,summer,soft,Tab-LSTM,test,32.002778,31.449420,-0.553357,0.624049,0.553614,32.416668,32.522705,32.283333,31.188116,31.308332,30.637440
Northwest_summer_2021-06-28,2021-06-28,Northwest,summer,soft,Tab-LSTM,test,32.061111,31.518520,-0.542591,0.695660,0.604946,32.416668,32.646271,32.283333,31.218269,31.483334,30.691021
Northwest_summer_2021-07-01,2021-07-01,Northwest,summer,soft,Tab-LSTM,test,32.052779,31.604839,-0.447940,0.790571,0.663303,32.416668,32.930614,32.258335,31.337267,31.483334,30.546637
Northwest_summer_2021-07-07,2021-07-07,Northwest,summer,soft,Tab-LSTM,test,32.786112,31.833245,-0.952867,0.952867,0.972766,34.166668,32.856560,32.466667,31.731153,31.725000,30.912022
Northwest_summer_2021-07-14,2021-07-14,Northwest,summer,soft,Tab-LSTM,test,33.235354,32.103874,-1.131481,1.131481,1.593528,34.299999,32.576584,33.133335,31.842707,32.272728,31.892330
Northwest_summer_2021-07-21,2021-07-21,Northwest,summer,soft,Tab-LSTM,test,33.327778,32.221044,-1.106734,1.106734,1.324718,34.299999,32.914726,33.216667,31.946550,32.466667,31.801855
Northwest_summer_2021-07-28,2021-07-28,Northwest,summer,soft,Tab-LSTM,test,33.327778,31.990923,-1.336855,1.336855,1.887457,34.299999,32.628830,33.216667,31.788919,32.466667,31.555019
Northwest_summer_2021-08-01,2021-08-01,Northwest,summer,soft,Tab-LSTM,test,33.333332,32.285739,-1.047593,1.047593,1.362463,34.299999,32.800297,33.366665,32.050945,32.333332,32.005974
Northwest_summer_2021-08-07,2021-08-07,Northwest,summer,soft,Tab-LSTM,test,32.694444,32.164504,-0.529940,0.529940,0.358275,33.216667,33.077702,32.741665,32.055130,32.125000,31.360682
Northwest_summer_2021-08-14,2021-08-14,Northwest,summer,soft,Tab-LSTM,test,32.186110,32.196796,0.010686,0.111353,0.017136,32.741665,32.723160,32.158333,32.025837,31.658333,31.841391
Northwest_summer_2021-08-21,2021-08-21,Northwest,summer,soft,Tab-LSTM,test,31.905555,32.315252,0.409697,0.409697,0.237320,32.266666,32.698669,32.033333,32.109650,31.416666,32.137436
Northwest_summer_2021-08-28,2021-08-28,Northwest,summer,soft,Tab-LSTM,test,31.655556,31.989930,0.334375,0.334375,0.151886,32.266666,32.744171,31.758333,31.809589,30.941668,31.416031
Northwest_summer_2021-09-01,2021-09-01,Northwest,summer,soft,Tab-LSTM,test,31.366666,31.698044,0.331378,0.331378,0.170074,32.033333,32.653252,31.416666,31.436584,30.650000,31.004295
Northwest_summer_2021-09-07,2021-09-07,Northwest,summer,soft,Tab-LSTM,test,30.794444,31.667786,0.873342,0.873342,0.986329,31.900000,32.382458,30.700001,31.298878,29.783333,31.322023
Northwest_summer_2021-09-14,2021-09-14,Northwest,summer,soft,Tab-LSTM,test,30.413890,31.735617,1.321728,1.321728,1.801667,31.325001,32.967735,30.466667,31.558823,29.450001,30.680294
Northwest_summer_2021-09-21,2021-09-21,Northwest,summer,soft,Tab-LSTM,test,29.694445,31.297866,1.603421,1.603421,2.691666,30.650000,32.744171,29.725000,31.103895,28.708334,30.045530
Northwest_summer_2021-09-28,2021-09-28,Northwest,summer,soft,Tab-LSTM,test,28.905556,31.298274,2.392718,2.392718,6.544700,29.633333,33.179302,28.858334,31.155996,28.225000,29.559523
Northwest_summer_2021-10-01,2021-10-01,Northwest,summer,soft,Tab-LSTM,test,29.091667,30.861383,1.769716,1.769716,3.885559,30.000000,32.927082,29.066668,30.612490,28.208334,29.044577
Northwest_summer_2021-10-07,2021-10-07,Northwest,summer,soft,Tab-LSTM,test,28.783333,29.626488,0.843154,0.843154,1.103821,30.000000,31.727316,29.066668,29.412409,27.283333,27.739738
Northwest_summer_2021-10-14,2021-10-14,Northwest,summer,soft,Tab-LSTM,test,29.180555,28.568129,-0.612427,0.694055,0.679765,30.758333,30.880775,29.725000,28.517052,27.058332,26.306559
Northwest_summer_2021-10-21,2021-10-21,Northwest,summer,soft,Tab-LSTM,test,28.911752,24.508872,-4.402880,4.402880,19.506176,30.758333,25.877228,29.030769,24.768482,26.946154,22.880905
Northwest_summer_2021-10-28,2021-10-28,Northwest,summer,soft,Tab-LSTM,test,28.876923,26.901214,-1.975709,1.975709,4.519321,30.758333,29.703220,29.030769,27.131620,26.841667,23.868801
Northwest_summer_2021-11-01,2021-11-01,Northwest,summer,soft,Tab-LSTM,test,28.497436,24.792964,-3.704472,3.704472,13.845932,30.384615,27.025719,28.384615,24.815022,26.723078,22.538151
Northwest_summer_2021-11-07,2021-11-07,Northwest,summer,soft,Tab-LSTM,test,27.628205,23.858692,-3.769513,3.769513,15.176435,30.269230,25.704941,28.230770,23.870184,24.384615,22.000950
