sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_winter_2021-06-14,2021-06-14,Center,winter,anchor,ConvNeXtTiny-LSTM,test,18.250000,19.313572,1.063572,1.063572,1.131185
Center_winter_2021-06-21,2021-06-21,Center,winter,anchor,ConvNeXtTiny-LSTM,test,18.250000,18.987576,0.737576,0.737576,0.544018
Center_winter_2021-06-28,2021-06-28,Center,winter,anchor,ConvNeXtTiny-LSTM,test,20.583334,20.090649,-0.492685,0.492685,0.242739
Center_winter_2021-07-01,2021-07-01,Center,winter,anchor,ConvNeXtTiny-LSTM,test,20.583334,20.188877,-0.394457,0.394457,0.155596
Center_winter_2021-07-07,2021-07-07,Center,winter,anchor,ConvNeXtTiny-LSTM,test,20.583334,20.169197,-0.414137,0.414137,0.171509
Center_winter_2021-07-14,2021-07-14,Center,winter,anchor,ConvNeXtTiny-LSTM,test,21.258333,20.413151,-0.845182,0.845182,0.714333
Center_winter_2021-07-21,2021-07-21,Center,winter,anchor,ConvNeXtTiny-LSTM,test,21.483334,20.526144,-0.957190,0.957190,0.916212
Center_winter_2021-07-28,2021-07-28,Center,winter,anchor,ConvNeXtTiny-LSTM,test,21.383333,20.559490,-0.823843,0.823843,0.678717
Center_winter_2021-08-01,2021-08-01,Center,winter,anchor,ConvNeXtTiny-LSTM,test,21.383333,20.526144,-0.857189,0.857189,0.734773
Center_winter_2021-08-07,2021-08-07,Center,winter,anchor,ConvNeXtTiny-LSTM,test,21.383333,20.413151,-0.970182,0.970182,0.941254
Center_winter_2021-08-14,2021-08-14,Center,winter,anchor,ConvNeXtTiny-LSTM,test,20.858334,20.653122,-0.205212,0.205212,0.042112
Center_winter_2021-08-21,2021-08-21,Center,winter,anchor,ConvNeXtTiny-LSTM,test,20.066668,19.250523,-0.816145,0.816145,0.666093
Center_winter_2021-08-28,2021-08-28,Center,winter,anchor,ConvNeXtTiny-LSTM,test,17.933332,19.225351,1.292019,1.292019,1.669313
Center_winter_2021-09-01,2021-09-01,Center,winter,anchor,ConvNeXtTiny-LSTM,test,17.933332,19.294640,1.361307,1.361307,1.853157
Center_winter_2021-09-07,2021-09-07,Center,winter,anchor,ConvNeXtTiny-LSTM,test,17.933332,18.931614,0.998281,0.998281,0.996566
Center_winter_2021-09-14,2021-09-14,Center,winter,anchor,ConvNeXtTiny-LSTM,test,17.308332,18.519135,1.210802,1.210802,1.466042
Center_winter_2021-09-21,2021-09-21,Center,winter,anchor,ConvNeXtTiny-LSTM,test,17.308332,16.814541,-0.493792,0.493792,0.243830
Center_winter_2021-09-28,2021-09-28,Center,winter,anchor,ConvNeXtTiny-LSTM,test,16.308332,13.934279,-2.374053,2.374053,5.636128
