sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_winter_2021-06-14,2021-06-14,Center,winter,soft,ConvNeXtTiny-LSTM,test,19.447222,19.621106,0.173883,0.404647,0.167182,18.391666,18.876534,18.983334,19.366262,20.966667,20.620522
Center_winter_2021-06-21,2021-06-21,Center,winter,soft,ConvNeXtTiny-LSTM,test,20.680555,19.805468,-0.875087,0.875087,0.779907,19.783333,19.066450,20.583334,19.579926,21.674999,20.770029
Center_winter_2021-06-28,2021-06-28,Center,winter,soft,ConvNeXtTiny-LSTM,test,21.861111,22.259719,0.398607,0.398607,0.166579,21.108334,21.618464,21.650000,22.039850,22.825001,23.120842
Center_winter_2021-07-01,2021-07-01,Center,winter,soft,ConvNeXtTiny-LSTM,test,22.119445,22.261949,0.142504,0.161825,0.047778,21.258333,21.624966,22.075001,22.046021,23.025000,23.114861
Center_winter_2021-07-07,2021-07-07,Center,winter,soft,ConvNeXtTiny-LSTM,test,21.913889,21.947688,0.033799,0.059078,0.003742,21.258333,21.321508,21.633333,21.709473,22.850000,22.812082
Center_winter_2021-07-14,2021-07-14,Center,winter,soft,ConvNeXtTiny-LSTM,test,22.536111,22.483763,-0.052348,0.283390,0.112175,21.600000,21.880177,22.791666,22.288059,23.216667,23.283054
Center_winter_2021-07-21,2021-07-21,Center,winter,soft,ConvNeXtTiny-LSTM,test,22.647223,22.338419,-0.308804,0.359708,0.260589,21.633333,21.709690,22.941668,22.070713,23.366667,23.234854
Center_winter_2021-07-28,2021-07-28,Center,winter,soft,ConvNeXtTiny-LSTM,test,22.380555,22.293016,-0.087539,0.121537,0.019199,21.600000,21.650997,22.299999,22.089251,23.241667,23.138802
Center_winter_2021-08-01,2021-08-01,Center,winter,soft,ConvNeXtTiny-LSTM,test,22.391666,22.386873,-0.004793,0.112791,0.015110,21.600000,21.761997,22.299999,22.169785,23.275000,23.228838
Center_winter_2021-08-07,2021-08-07,Center,winter,soft,ConvNeXtTiny-LSTM,test,22.641667,22.242623,-0.399044,0.399044,0.244825,21.816668,21.611965,22.741667,21.929134,23.366667,23.186769
Center_winter_2021-08-14,2021-08-14,Center,winter,soft,ConvNeXtTiny-LSTM,test,22.127778,22.558546,0.430768,0.430768,0.208880,21.383333,21.932919,22.141666,22.356852,22.858334,23.385868
Center_winter_2021-08-21,2021-08-21,Center,winter,soft,ConvNeXtTiny-LSTM,test,21.402778,22.160368,0.757590,0.757590,0.710584,20.233334,21.508226,21.383333,21.947544,22.591667,23.025333
Center_winter_2021-08-28,2021-08-28,Center,winter,soft,ConvNeXtTiny-LSTM,test,20.908333,21.760329,0.851995,0.851995,0.745673,20.066668,21.117390,20.758333,21.504143,21.900000,22.659454
Center_winter_2021-09-01,2021-09-01,Center,winter,soft,ConvNeXtTiny-LSTM,test,20.347223,21.617521,1.270299,1.270299,1.687021,19.333334,20.984507,20.233334,21.348482,21.475000,22.519575
Center_winter_2021-09-07,2021-09-07,Center,winter,soft,ConvNeXtTiny-LSTM,test,19.761112,20.864517,1.103406,1.103406,1.265000,18.825001,20.228558,19.700001,20.592697,20.758333,21.772297
Center_winter_2021-09-14,2021-09-14,Center,winter,soft,ConvNeXtTiny-LSTM,test,18.972222,20.457416,1.485194,1.485194,2.283638,17.933332,19.800528,18.825001,20.204700,20.158333,21.367020
Center_winter_2021-09-21,2021-09-21,Center,winter,soft,ConvNeXtTiny-LSTM,test,18.375000,19.857704,1.482704,1.482704,2.209555,17.775000,19.135899,18.016666,19.635023,19.333334,20.802191
Center_winter_2021-09-28,2021-09-28,Center,winter,soft,ConvNeXtTiny-LSTM,test,17.502777,17.449840,-0.052937,0.209709,0.044302,16.533333,16.336529,17.424999,17.227835,18.549999,18.785156
Center_winter_2021-10-01,2021-10-01,Center,winter,soft,ConvNeXtTiny-LSTM,test,17.319444,18.406279,1.086835,1.086835,1.245997,16.400000,17.432701,17.424999,18.230711,18.133333,19.555426
Center_winter_2021-10-07,2021-10-07,Center,winter,soft,ConvNeXtTiny-LSTM,test,16.997475,16.193858,-0.803617,0.803617,0.814049,16.308332,14.972274,16.709091,15.972316,17.975000,17.636984
Center_winter_2021-10-14,2021-10-14,Center,winter,soft,ConvNeXtTiny-LSTM,test,15.865909,17.926841,2.060932,2.060932,4.254954,14.850000,16.939320,15.772727,17.716185,16.975000,19.125019
Center_winter_2021-10-21,2021-10-21,Center,winter,soft,ConvNeXtTiny-LSTM,test,15.644444,14.115933,-1.528511,1.528511,2.635005,14.850000,12.594337,15.558333,14.166627,16.525000,15.586837
Center_winter_2021-10-28,2021-10-28,Center,winter,soft,ConvNeXtTiny-LSTM,test,13.913889,15.068883,1.154994,1.154994,1.458502,12.858334,13.731464,13.241667,14.894173,15.641666,16.581013
Center_winter_2021-11-01,2021-11-01,Center,winter,soft,ConvNeXtTiny-LSTM,test,13.671464,15.004836,1.333372,1.333372,1.826879,12.525000,13.667807,13.216666,14.860406,15.272727,16.486296
Center_winter_2021-11-07,2021-11-07,Center,winter,soft,ConvNeXtTiny-LSTM,test,12.830556,14.189526,1.358970,1.358970,1.949189,11.800000,12.839494,12.858334,14.099493,13.833333,15.629591
Center_winter_2021-11-14,2021-11-14,Center,winter,soft,ConvNeXtTiny-LSTM,test,12.280555,10.299362,-1.981193,1.981193,4.450267,11.641666,8.675274,11.983334,10.250307,13.216666,11.972506
Center_winter_2021-11-21,2021-11-21,Center,winter,soft,ConvNeXtTiny-LSTM,test,11.422222,10.111961,-1.310261,1.310261,1.981337,10.391666,8.513383,11.350000,9.930251,12.525000,11.892249
Center_winter_2021-11-28,2021-11-28,Center,winter,soft,ConvNeXtTiny-LSTM,test,10.069444,8.139522,-1.929923,1.929923,3.859229,8.175000,6.631101,10.391666,7.968431,11.641666,9.819033
Center_winter_2021-12-01,2021-12-01,Center,winter,soft,ConvNeXtTiny-LSTM,test,9.641667,7.785064,-1.856603,1.856603,3.679334,8.175000,5.838921,9.516666,7.480138,11.233334,10.036134
Center_winter_2021-12-07,2021-12-07,Center,winter,soft,ConvNeXtTiny-LSTM,test,9.519444,9.280075,-0.239370,0.239370,0.059701,8.175000,7.870090,9.316667,9.129645,11.066667,10.840489
Center_winter_2021-12-14,2021-12-14,Center,winter,soft,ConvNeXtTiny-LSTM,test,8.716667,9.184553,0.467887,0.508068,0.391233,7.750000,7.689728,8.550000,9.060022,9.850000,10.803910
Center_winter_2021-12-21,2021-12-21,Center,winter,soft,ConvNeXtTiny-LSTM,test,7.875000,6.833210,-1.041790,1.041790,1.224918,6.341667,5.347376,8.158334,6.637060,9.125000,8.515194
Center_winter_2021-12-28,2021-12-28,Center,winter,soft,ConvNeXtTiny-LSTM,test,6.316667,7.875878,1.559212,1.559212,2.864783,4.191667,6.585251,6.208333,7.708591,8.550000,9.333793
Center_winter_2022-01-01,2022-01-01,Center,winter,soft,ConvNeXtTiny-LSTM,test,5.897222,8.777294,2.880072,2.880072,8.448292,4.191667,7.480475,5.616667,8.616282,7.883333,10.235125
Center_winter_2022-01-07,2022-01-07,Center,winter,soft,ConvNeXtTiny-LSTM,test,5.788889,8.628046,2.839157,2.839157,8.127493,4.191667,7.325181,5.616667,8.495831,7.558333,10.063125
Center_winter_2022-01-14,2022-01-14,Center,winter,soft,ConvNeXtTiny-LSTM,test,5.747222,7.762496,2.015273,2.015273,4.107158,4.191667,6.458696,5.616667,7.651700,7.433333,9.177092
Center_winter_2022-01-21,2022-01-21,Center,winter,soft,ConvNeXtTiny-LSTM,test,6.377778,7.150243,0.772465,0.772465,0.622512,5.275000,5.850775,6.208333,6.980660,7.650000,8.619293
Center_winter_2022-01-28,2022-01-28,Center,winter,soft,ConvNeXtTiny-LSTM,test,7.666667,6.956066,-0.710601,0.710601,0.553495,6.741667,5.720040,7.241667,6.702659,9.016666,8.445498
Center_winter_2022-02-01,2022-02-01,Center,winter,soft,ConvNeXtTiny-LSTM,test,7.844444,6.993529,-0.850915,0.850915,0.752698,6.791667,5.779561,7.650000,6.726461,9.091666,8.474566
Center_winter_2022-02-07,2022-02-07,Center,winter,soft,ConvNeXtTiny-LSTM,test,8.172222,7.290641,-0.881581,0.881581,0.796411,7.158333,6.080662,7.841667,7.056914,9.516666,8.734347
Center_winter_2022-02-14,2022-02-14,Center,winter,soft,ConvNeXtTiny-LSTM,test,8.241667,8.041108,-0.200558,0.200558,0.049000,7.158333,6.830651,7.841667,7.736982,9.725000,9.555692
Center_winter_2022-02-21,2022-02-21,Center,winter,soft,ConvNeXtTiny-LSTM,test,6.897222,7.891512,0.994290,0.994290,1.518850,4.725000,6.716829,7.383333,7.657395,8.583333,9.300310
Center_winter_2022-02-28,2022-02-28,Center,winter,soft,ConvNeXtTiny-LSTM,test,6.266667,8.738553,2.471886,2.471886,6.167831,4.725000,7.532948,6.233333,8.495831,7.841667,10.186879
Center_winter_2022-03-01,2022-03-01,Center,winter,soft,ConvNeXtTiny-LSTM,test,6.266667,9.031175,2.764508,2.764508,7.682189,4.725000,7.769130,6.233333,8.828334,7.841667,10.496061
Center_winter_2022-03-07,2022-03-07,Center,winter,soft,ConvNeXtTiny-LSTM,test,6.277778,8.116236,1.838458,1.838458,3.421295,4.725000,6.779499,6.233333,7.799314,7.875000,9.769895
Center_winter_2022-03-14,2022-03-14,Center,winter,soft,ConvNeXtTiny-LSTM,test,6.793939,7.064187,0.270248,0.584642,0.443868,4.783333,5.803324,7.316667,6.845075,8.281818,8.544163
Center_winter_2022-03-21,2022-03-21,Center,winter,soft,ConvNeXtTiny-LSTM,test,8.172222,7.237759,-0.934463,0.934463,1.248349,6.233333,5.998410,7.816667,6.974783,10.466666,8.740083
Center_winter_2022-03-28,2022-03-28,Center,winter,soft,ConvNeXtTiny-LSTM,test,10.427273,8.148305,-2.278967,2.278967,5.682171,8.281818,6.943933,10.400000,7.912201,12.600000,9.588782
Center_winter_2022-04-01,2022-04-01,Center,winter,soft,ConvNeXtTiny-LSTM,test,11.456566,10.718507,-0.738059,0.738059,0.794054,10.133333,9.257393,10.636364,10.567019,13.600000,12.331110
Center_winter_2022-04-07,2022-04-07,Center,winter,soft,ConvNeXtTiny-LSTM,test,12.061111,14.383154,2.322043,2.322043,6.018470,10.133333,13.281273,11.375000,13.938542,14.675000,15.929646
Center_winter_2022-04-14,2022-04-14,Center,winter,soft,ConvNeXtTiny-LSTM,test,11.966667,12.099918,0.133252,0.395519,0.162057,10.133333,10.621721,11.575000,11.879767,14.191667,13.798265
Center_winter_2022-04-21,2022-04-21,Center,winter,soft,ConvNeXtTiny-LSTM,test,13.191667,13.308483,0.116817,0.305182,0.124679,11.375000,11.908132,13.500000,13.217452,14.700000,14.799867
Center_winter_2022-04-28,2022-04-28,Center,winter,soft,ConvNeXtTiny-LSTM,test,13.997222,15.916065,1.918843,1.918843,3.773538,12.591666,14.781212,14.041667,15.538085,15.358334,17.428898
Center_winter_2022-05-01,2022-05-01,Center,winter,soft,ConvNeXtTiny-LSTM,test,14.300000,17.731925,3.431925,3.431925,11.829876,13.025000,16.756451,14.191667,17.372049,15.683333,19.067276
Center_winter_2022-05-07,2022-05-07,Center,winter,soft,ConvNeXtTiny-LSTM,test,14.552778,14.925096,0.372318,0.376086,0.213015,13.025000,13.652979,14.191667,14.686293,16.441668,16.436016
Center_winter_2022-05-14,2022-05-14,Center,winter,soft,ConvNeXtTiny-LSTM,test,16.130555,16.388826,0.258271,0.384413,0.270417,14.450000,15.326206,16.174999,15.985785,17.766666,17.854486
Center_winter_2022-05-21,2022-05-21,Center,winter,soft,ConvNeXtTiny-LSTM,test,17.455556,17.024380,-0.431176,0.431176,0.189185,16.441668,15.932183,17.108334,16.733906,18.816668,18.407051
Center_winter_2022-05-28,2022-05-28,Center,winter,soft,ConvNeXtTiny-LSTM,test,18.163890,17.974209,-0.189681,0.230698,0.089302,16.941668,17.003193,18.225000,17.729004,19.325001,19.190430
Center_winter_2022-06-01,2022-06-01,Center,winter,soft,ConvNeXtTiny-LSTM,test,18.661111,19.982713,1.321602,1.321602,2.222957,16.941668,19.228825,18.750000,19.712379,20.291666,21.006935
Center_winter_2022-06-07,2022-06-07,Center,winter,soft,ConvNeXtTiny-LSTM,test,19.666667,18.401025,-1.265642,1.265642,1.627320,18.750000,17.484150,19.650000,18.188999,20.600000,19.529924
