sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_winter_2021-06-14,2021-06-14,Center,winter,anchor,ConvNeXtTiny-TFT,test,18.250000,18.545801,0.295801,0.295801,0.087498
Center_winter_2021-06-21,2021-06-21,Center,winter,anchor,ConvNeXtTiny-TFT,test,18.250000,18.877256,0.627256,0.627256,0.393451
Center_winter_2021-06-28,2021-06-28,Center,winter,anchor,ConvNeXtTiny-TFT,test,20.583334,21.055119,0.471785,0.471785,0.222581
Center_winter_2021-07-01,2021-07-01,Center,winter,anchor,ConvNeXtTiny-TFT,test,20.583334,21.055119,0.471785,0.471785,0.222581
Center_winter_2021-07-07,2021-07-07,Center,winter,anchor,ConvNeXtTiny-TFT,test,20.583334,20.703835,0.120501,0.120501,0.014520
Center_winter_2021-07-14,2021-07-14,Center,winter,anchor,ConvNeXtTiny-TFT,test,21.258333,21.232903,-0.025431,0.025431,0.000647
Center_winter_2021-07-21,2021-07-21,Center,winter,anchor,ConvNeXtTiny-TFT,test,21.483334,21.184895,-0.298439,0.298439,0.089066
Center_winter_2021-07-28,2021-07-28,Center,winter,anchor,ConvNeXtTiny-TFT,test,21.383333,21.191748,-0.191586,0.191586,0.036705
Center_winter_2021-08-01,2021-08-01,Center,winter,anchor,ConvNeXtTiny-TFT,test,21.383333,21.068745,-0.314589,0.314589,0.098966
Center_winter_2021-08-07,2021-08-07,Center,winter,anchor,ConvNeXtTiny-TFT,test,21.383333,20.384481,-0.998852,0.998852,0.997705
Center_winter_2021-08-14,2021-08-14,Center,winter,anchor,ConvNeXtTiny-TFT,test,20.858334,21.034700,0.176367,0.176367,0.031105
Center_winter_2021-08-21,2021-08-21,Center,winter,anchor,ConvNeXtTiny-TFT,test,20.066668,20.364674,0.298006,0.298006,0.088808
Center_winter_2021-08-28,2021-08-28,Center,winter,anchor,ConvNeXtTiny-TFT,test,17.933332,19.965710,2.032377,2.032377,4.130557
Center_winter_2021-09-01,2021-09-01,Center,winter,anchor,ConvNeXtTiny-TFT,test,17.933332,19.926849,1.993517,1.993517,3.974110
Center_winter_2021-09-07,2021-09-07,Center,winter,anchor,ConvNeXtTiny-TFT,test,17.933332,19.478365,1.545033,1.545033,2.387125
Center_winter_2021-09-14,2021-09-14,Center,winter,anchor,ConvNeXtTiny-TFT,test,17.308332,17.677551,0.369219,0.369219,0.136323
Center_winter_2021-09-21,2021-09-21,Center,winter,anchor,ConvNeXtTiny-TFT,test,17.308332,18.527523,1.219191,1.219191,1.486426
Center_winter_2021-09-28,2021-09-28,Center,winter,anchor,ConvNeXtTiny-TFT,test,16.308332,14.673134,-1.635199,1.635199,2.673874
Center_winter_2021-10-01,2021-10-01,Center,winter,anchor,ConvNeXtTiny-TFT,test,15.908334,16.033449,0.125115,0.125115,0.015654
Center_winter_2021-10-07,2021-10-07,Center,winter,anchor,ConvNeXtTiny-TFT,test,15.272727,14.585028,-0.687699,0.687699,0.472930
Center_winter_2021-10-14,2021-10-14,Center,winter,anchor,ConvNeXtTiny-TFT,test,12.100000,13.097996,0.997995,0.997995,0.995995
Center_winter_2021-10-21,2021-10-21,Center,winter,anchor,ConvNeXtTiny-TFT,test,12.100000,12.845485,0.745484,0.745484,0.555747
