sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_winter_2021-06-14,2021-06-14,Center,winter,soft,ConvNeXtTiny-TFT,test,19.447222,20.611935,1.164713,1.164713,1.586612,18.391666,19.456856,18.983334,20.778889,20.966667,21.600061
Center_winter_2021-06-21,2021-06-21,Center,winter,soft,ConvNeXtTiny-TFT,test,20.680555,19.528797,-1.151759,1.151759,1.387136,19.783333,18.289368,20.583334,19.657923,21.674999,20.639099
Center_winter_2021-06-28,2021-06-28,Center,winter,soft,ConvNeXtTiny-TFT,test,21.861111,21.726696,-0.134415,0.313384,0.100680,21.108334,20.725666,21.650000,21.918453,22.825001,22.535969
Center_winter_2021-07-01,2021-07-01,Center,winter,soft,ConvNeXtTiny-TFT,test,22.119445,21.748763,-0.370682,0.370682,0.164927,21.258333,20.744431,22.075001,21.936859,23.025000,22.564999
Center_winter_2021-07-07,2021-07-07,Center,winter,soft,ConvNeXtTiny-TFT,test,21.913889,21.586577,-0.327312,0.439928,0.249250,21.258333,20.514122,21.633333,21.802258,22.850000,22.443352
Center_winter_2021-07-14,2021-07-14,Center,winter,soft,ConvNeXtTiny-TFT,test,22.536111,21.661316,-0.874795,0.874795,0.778938,21.600000,20.607191,22.791666,21.875568,23.216667,22.501188
Center_winter_2021-07-21,2021-07-21,Center,winter,soft,ConvNeXtTiny-TFT,test,22.647223,21.540834,-1.106389,1.106389,1.234143,21.633333,20.507933,22.941668,21.723131,23.366667,22.391438
Center_winter_2021-07-28,2021-07-28,Center,winter,soft,ConvNeXtTiny-TFT,test,22.380555,21.406942,-0.973614,0.973614,0.998021,21.600000,20.353756,22.299999,21.601988,23.241667,22.265081
Center_winter_2021-08-01,2021-08-01,Center,winter,soft,ConvNeXtTiny-TFT,test,22.391666,21.292126,-1.099541,1.099541,1.262325,21.600000,20.237316,22.299999,21.499571,23.275000,22.139490
Center_winter_2021-08-07,2021-08-07,Center,winter,soft,ConvNeXtTiny-TFT,test,22.641667,21.212815,-1.428852,1.428852,2.075487,21.816668,20.127581,22.741667,21.439560,23.366667,22.071304
Center_winter_2021-08-14,2021-08-14,Center,winter,soft,ConvNeXtTiny-TFT,test,22.127778,21.051507,-1.076271,1.076271,1.217575,21.383333,19.964008,22.141666,21.260555,22.858334,21.929956
Center_winter_2021-08-21,2021-08-21,Center,winter,soft,ConvNeXtTiny-TFT,test,21.402778,20.898609,-0.504169,0.504169,0.297077,20.233334,19.765732,21.383333,21.112541,22.591667,21.817554
