sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_winter_2021-06-14,2021-06-14,Center,winter,anchor,Prophet,test,18.250000,18.940371,0.690371,0.690371,0.476613
Center_winter_2021-06-21,2021-06-21,Center,winter,anchor,Prophet,test,18.250000,20.172370,1.922370,1.922370,3.695505
Center_winter_2021-06-28,2021-06-28,Center,winter,anchor,Prophet,test,20.583333,21.115768,0.532435,0.532435,0.283487
Center_winter_2021-07-01,2021-07-01,Center,winter,anchor,Prophet,test,20.583333,21.115768,0.532435,0.532435,0.283487
Center_winter_2021-07-07,2021-07-07,Center,winter,anchor,Prophet,test,20.583333,21.291569,0.708235,0.708235,0.501597
Center_winter_2021-07-14,2021-07-14,Center,winter,anchor,Prophet,test,21.258333,21.740633,0.482300,0.482300,0.232613
Center_winter_2021-07-21,2021-07-21,Center,winter,anchor,Prophet,test,21.483333,22.094272,0.610939,0.610939,0.373246
Center_winter_2021-07-28,2021-07-28,Center,winter,anchor,Prophet,test,21.383333,22.357287,0.973954,0.973954,0.948587
Center_winter_2021-08-01,2021-08-01,Center,winter,anchor,Prophet,test,21.383333,22.357287,0.973954,0.973954,0.948587
Center_winter_2021-08-07,2021-08-07,Center,winter,anchor,Prophet,test,21.383333,22.190846,0.807513,0.807513,0.652076
Center_winter_2021-08-14,2021-08-14,Center,winter,anchor,Prophet,test,20.858333,21.495727,0.637394,0.637394,0.406271
Center_winter_2021-08-21,2021-08-21,Center,winter,anchor,Prophet,test,20.066667,21.189625,1.122958,1.122958,1.261035
Center_winter_2021-08-28,2021-08-28,Center,winter,anchor,Prophet,test,17.933333,20.180519,2.247186,2.247186,5.049843
Center_winter_2021-09-01,2021-09-01,Center,winter,anchor,Prophet,test,17.933333,20.180519,2.247186,2.247186,5.049843
Center_winter_2021-09-07,2021-09-07,Center,winter,anchor,Prophet,test,17.933333,19.355537,1.422204,1.422204,2.022663
Center_winter_2021-09-14,2021-09-14,Center,winter,anchor,Prophet,test,17.308333,18.510726,1.202392,1.202392,1.445747
Center_winter_2021-09-21,2021-09-21,Center,winter,anchor,Prophet,test,17.308333,18.195465,0.887132,0.887132,0.787002
Center_winter_2021-09-28,2021-09-28,Center,winter,anchor,Prophet,test,16.308333,16.918538,0.610205,0.610205,0.372350
Center_winter_2021-10-01,2021-10-01,Center,winter,anchor,Prophet,test,15.908333,16.368931,0.460598,0.460598,0.212150
Center_winter_2021-10-07,2021-10-07,Center,winter,anchor,Prophet,test,15.272727,15.771974,0.499246,0.499246,0.249247
Center_winter_2021-10-14,2021-10-14,Center,winter,anchor,Prophet,test,12.100000,14.135744,2.035744,2.035744,4.144253
Center_winter_2021-10-21,2021-10-21,Center,winter,anchor,Prophet,test,12.100000,13.770472,1.670472,1.670472,2.790476
Center_winter_2021-10-28,2021-10-28,Center,winter,anchor,Prophet,test,12.100000,12.552217,0.452217,0.452217,0.204500
Center_winter_2021-11-01,2021-11-01,Center,winter,anchor,Prophet,test,12.100000,12.144777,0.044777,0.044777,0.002005
Center_winter_2021-11-07,2021-11-07,Center,winter,anchor,Prophet,test,10.908333,11.671737,0.763404,0.763404,0.582786
