sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_winter_2021-06-14,2021-06-14,Center,winter,soft,Prophet,test,19.447222,20.210589,0.763367,0.763367,0.777423,18.391667,19.337351,18.983333,20.172370,20.966667,21.122048
Center_winter_2021-06-21,2021-06-21,Center,winter,soft,Prophet,test,20.680556,20.982548,0.301992,0.478925,0.254056,19.783333,20.422274,20.583333,21.115768,21.675000,21.409601
Center_winter_2021-06-28,2021-06-28,Center,winter,soft,Prophet,test,21.861111,21.378106,-0.483005,0.540482,0.558767,21.108333,21.194549,21.650000,21.377562,22.825000,21.562208
Center_winter_2021-07-01,2021-07-01,Center,winter,soft,Prophet,test,22.119444,21.598345,-0.521099,0.546180,0.440567,21.258333,21.295954,22.075000,21.413852,23.025000,22.085229
Center_winter_2021-07-07,2021-07-07,Center,winter,soft,Prophet,test,21.913889,21.894382,-0.019506,0.232570,0.066518,21.258333,21.470629,21.633333,21.740633,22.850000,22.471885
Center_winter_2021-07-14,2021-07-14,Center,winter,soft,Prophet,test,22.536111,22.392470,-0.143641,0.467128,0.218746,21.600000,22.085229,22.791667,22.357287,23.216667,22.734892
Center_winter_2021-07-21,2021-07-21,Center,winter,soft,Prophet,test,22.647222,22.638817,-0.008405,0.528424,0.326077,21.633333,22.413363,22.941667,22.690000,23.366667,22.813090
Center_winter_2021-07-28,2021-07-28,Center,winter,soft,Prophet,test,22.380556,22.758679,0.378123,0.604305,0.454406,21.600000,22.621690,22.300000,22.751952,23.241667,22.902394
Center_winter_2021-08-01,2021-08-01,Center,winter,soft,Prophet,test,22.391667,22.659725,0.268059,0.526277,0.316264,21.600000,22.406617,22.300000,22.684887,23.275000,22.887672
Center_winter_2021-08-07,2021-08-07,Center,winter,soft,Prophet,test,22.641667,22.612579,-0.029087,0.408622,0.205982,21.816667,22.385969,22.741667,22.611252,23.366667,22.840517
Center_winter_2021-08-14,2021-08-14,Center,winter,soft,Prophet,test,22.127778,22.300542,0.172765,0.309379,0.126914,21.383333,21.941447,22.141667,22.306768,22.858333,22.653412
Center_winter_2021-08-21,2021-08-21,Center,winter,soft,Prophet,test,21.402778,21.766077,0.363299,0.534299,0.399444,20.233333,21.242795,21.383333,21.720269,22.591667,22.335166
Center_winter_2021-08-28,2021-08-28,Center,winter,soft,Prophet,test,20.908333,21.211996,0.303662,0.361072,0.168451,20.066667,20.585607,20.758333,21.236495,21.900000,21.813886
Center_winter_2021-09-01,2021-09-01,Center,winter,soft,Prophet,test,20.347222,20.904400,0.557178,0.557178,0.505730,19.333333,20.418068,20.233333,20.816882,21.475000,21.478251
Center_winter_2021-09-07,2021-09-07,Center,winter,soft,Prophet,test,19.761111,20.533716,0.772605,0.772605,0.739442,18.825000,20.068928,19.700000,20.454144,20.758333,21.078075
Center_winter_2021-09-14,2021-09-14,Center,winter,soft,Prophet,test,18.972222,19.565802,0.593580,0.593580,0.401568,17.933333,18.824641,18.825000,19.355537,20.158333,20.517227
Center_winter_2021-09-21,2021-09-21,Center,winter,soft,Prophet,test,18.375000,18.881959,0.506959,0.506959,0.347899,17.775000,18.522725,18.016667,18.707974,19.333333,19.415179
Center_winter_2021-09-28,2021-09-28,Center,winter,soft,Prophet,test,17.502778,18.126125,0.623347,0.623347,0.482721,16.533333,17.353041,17.425000,18.285309,18.550000,18.740026
Center_winter_2021-10-01,2021-10-01,Center,winter,soft,Prophet,test,17.319444,17.658639,0.339194,0.339194,0.128628,16.400000,16.815079,17.425000,17.599586,18.133333,18.561252
Center_winter_2021-10-07,2021-10-07,Center,winter,soft,Prophet,test,16.997475,16.860283,-0.137192,0.284168,0.084832,16.308333,15.936839,16.709091,16.448544,17.975000,18.195465
Center_winter_2021-10-14,2021-10-14,Center,winter,soft,Prophet,test,15.865909,15.590085,-0.275824,0.275824,0.114835,14.850000,14.401520,15.772727,15.772379,16.975000,16.596355
Center_winter_2021-10-21,2021-10-21,Center,winter,soft,Prophet,test,15.644444,14.762133,-0.882312,0.882312,0.847829,14.850000,14.186869,15.558333,14.305657,16.525000,15.793873
