sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_winter_2021-06-14,2021-06-14,Center,winter,anchor,SARIMAX,test,18.250000,18.994974,0.744974,0.744974,0.554986
Center_winter_2021-06-21,2021-06-21,Center,winter,anchor,SARIMAX,test,18.250000,20.237411,1.987411,1.987411,3.949802
Center_winter_2021-06-28,2021-06-28,Center,winter,anchor,SARIMAX,test,20.583333,21.184011,0.600678,0.600678,0.360814
Center_winter_2021-07-01,2021-07-01,Center,winter,anchor,SARIMAX,test,20.583333,21.184568,0.601234,0.601234,0.361483
Center_winter_2021-07-07,2021-07-07,Center,winter,anchor,SARIMAX,test,20.583333,21.364223,0.780889,0.780889,0.609788
Center_winter_2021-07-14,2021-07-14,Center,winter,anchor,SARIMAX,test,21.258333,21.833736,0.575403,0.575403,0.331088
Center_winter_2021-07-21,2021-07-21,Center,winter,anchor,SARIMAX,test,21.483333,22.225554,0.742221,0.742221,0.550892
Center_winter_2021-07-28,2021-07-28,Center,winter,anchor,SARIMAX,test,21.383333,22.473171,1.089837,1.089837,1.187746
Center_winter_2021-08-01,2021-08-01,Center,winter,anchor,SARIMAX,test,21.383333,22.472629,1.089296,1.089296,1.186566
Center_winter_2021-08-07,2021-08-07,Center,winter,anchor,SARIMAX,test,21.383333,22.354677,0.971344,0.971344,0.943509
Center_winter_2021-08-14,2021-08-14,Center,winter,anchor,SARIMAX,test,20.858333,21.645585,0.787252,0.787252,0.619766
Center_winter_2021-08-21,2021-08-21,Center,winter,anchor,SARIMAX,test,20.066667,21.352901,1.286234,1.286234,1.654398
Center_winter_2021-08-28,2021-08-28,Center,winter,anchor,SARIMAX,test,17.933333,20.352775,2.419441,2.419441,5.853696
Center_winter_2021-09-01,2021-09-01,Center,winter,anchor,SARIMAX,test,17.933333,20.352775,2.419441,2.419441,5.853696
Center_winter_2021-09-07,2021-09-07,Center,winter,anchor,SARIMAX,test,17.933333,19.468047,1.534714,1.534714,2.355346
Center_winter_2021-09-14,2021-09-14,Center,winter,anchor,SARIMAX,test,17.308333,18.647216,1.338883,1.338883,1.792607
Center_winter_2021-09-21,2021-09-21,Center,winter,anchor,SARIMAX,test,17.308333,18.347690,1.039356,1.039356,1.080261
Center_winter_2021-09-28,2021-09-28,Center,winter,anchor,SARIMAX,test,16.308333,17.067377,0.759044,0.759044,0.576147
Center_winter_2021-10-01,2021-10-01,Center,winter,anchor,SARIMAX,test,15.908333,16.461398,0.553064,0.553064,0.305880
Center_winter_2021-10-07,2021-10-07,Center,winter,anchor,SARIMAX,test,15.272727,15.915197,0.642470,0.642470,0.412767
Center_winter_2021-10-14,2021-10-14,Center,winter,anchor,SARIMAX,test,12.100000,14.233959,2.133959,2.133959,4.553781
Center_winter_2021-10-21,2021-10-21,Center,winter,anchor,SARIMAX,test,12.100000,13.861979,1.761979,1.761979,3.104568
Center_winter_2021-10-28,2021-10-28,Center,winter,anchor,SARIMAX,test,12.100000,12.622442,0.522442,0.522442,0.272946
Center_winter_2021-11-01,2021-11-01,Center,winter,anchor,SARIMAX,test,12.100000,12.151729,0.051729,0.051729,0.002676
Center_winter_2021-11-07,2021-11-07,Center,winter,anchor,SARIMAX,test,10.908333,11.712850,0.804517,0.804517,0.647247
Center_winter_2021-11-14,2021-11-14,Center,winter,anchor,SARIMAX,test,10.808333,10.652682,-0.155652,0.155652,0.024227
Center_winter_2021-11-21,2021-11-21,Center,winter,anchor,SARIMAX,test,9.516667,10.191413,0.674746,0.674746,0.455282
Center_winter_2021-11-28,2021-11-28,Center,winter,anchor,SARIMAX,test,6.575000,9.286686,2.711686,2.711686,7.353240
Center_winter_2021-12-01,2021-12-01,Center,winter,anchor,SARIMAX,test,6.575000,9.286686,2.711686,2.711686,7.353239
Center_winter_2021-12-07,2021-12-07,Center,winter,anchor,SARIMAX,test,6.575000,9.286668,2.711668,2.711668,7.353143
Center_winter_2021-12-14,2021-12-14,Center,winter,anchor,SARIMAX,test,6.575000,7.697643,1.122643,1.122643,1.260327
Center_winter_2021-12-21,2021-12-21,Center,winter,anchor,SARIMAX,test,2.925000,7.697644,4.772644,4.772644,22.778134
Center_winter_2021-12-28,2021-12-28,Center,winter,anchor,SARIMAX,test,2.925000,7.697629,4.772629,4.772629,22.777985
Center_winter_2022-01-01,2022-01-01,Center,winter,anchor,SARIMAX,test,2.925000,7.697425,4.772425,4.772425,22.776037
Center_winter_2022-01-07,2022-01-07,Center,winter,anchor,SARIMAX,test,2.925000,7.718264,4.793264,4.793264,22.975382
Center_winter_2022-01-14,2022-01-14,Center,winter,anchor,SARIMAX,test,2.925000,7.824751,4.899751,4.899751,24.007565
Center_winter_2022-01-21,2022-01-21,Center,winter,anchor,SARIMAX,test,4.191667,7.989077,3.797410,3.797410,14.420323
Center_winter_2022-01-28,2022-01-28,Center,winter,anchor,SARIMAX,test,5.533333,7.978430,2.445097,2.445097,5.978499
Center_winter_2022-02-01,2022-02-01,Center,winter,anchor,SARIMAX,test,5.866667,7.978460,2.111793,2.111793,4.459669
Center_winter_2022-02-07,2022-02-07,Center,winter,anchor,SARIMAX,test,5.866667,8.799116,2.932450,2.932450,8.599261
Center_winter_2022-02-14,2022-02-14,Center,winter,anchor,SARIMAX,test,4.725000,9.181815,4.456815,4.456815,19.863200
Center_winter_2022-02-21,2022-02-21,Center,winter,anchor,SARIMAX,test,3.625000,9.166214,5.541214,5.541214,30.705053
Center_winter_2022-02-28,2022-02-28,Center,winter,anchor,SARIMAX,test,3.625000,9.733255,6.108255,6.108255,37.310783
Center_winter_2022-03-01,2022-03-01,Center,winter,anchor,SARIMAX,test,3.625000,9.733255,6.108255,6.108255,37.310784
Center_winter_2022-03-07,2022-03-07,Center,winter,anchor,SARIMAX,test,3.625000,9.733681,6.108681,6.108681,37.315990
Center_winter_2022-03-14,2022-03-14,Center,winter,anchor,SARIMAX,test,3.625000,9.717453,6.092453,6.092453,37.117981
Center_winter_2022-03-21,2022-03-21,Center,winter,anchor,SARIMAX,test,4.666667,10.440977,5.774311,5.774311,33.342663
Center_winter_2022-03-28,2022-03-28,Center,winter,anchor,SARIMAX,test,7.816667,10.431425,2.614758,2.614758,6.836961
Center_winter_2022-04-01,2022-04-01,Center,winter,anchor,SARIMAX,test,8.166667,11.496497,3.329831,3.329831,11.087773
Center_winter_2022-04-07,2022-04-07,Center,winter,anchor,SARIMAX,test,8.166667,12.772081,4.605414,4.605414,21.209838
Center_winter_2022-04-14,2022-04-14,Center,winter,anchor,SARIMAX,test,8.166667,12.768697,4.602031,4.602031,21.178687
Center_winter_2022-04-21,2022-04-21,Center,winter,anchor,SARIMAX,test,10.525000,13.463637,2.938637,2.938637,8.635588
Center_winter_2022-04-28,2022-04-28,Center,winter,anchor,SARIMAX,test,11.375000,14.084523,2.709523,2.709523,7.341514
Center_winter_2022-05-01,2022-05-01,Center,winter,anchor,SARIMAX,test,11.575000,14.109881,2.534881,2.534881,6.425621
Center_winter_2022-05-07,2022-05-07,Center,winter,anchor,SARIMAX,test,11.575000,15.237951,3.662951,3.662951,13.417212
Center_winter_2022-05-14,2022-05-14,Center,winter,anchor,SARIMAX,test,14.041667,15.901582,1.859915,1.859915,3.459284
Center_winter_2022-05-21,2022-05-21,Center,winter,anchor,SARIMAX,test,15.025000,16.668114,1.643114,1.643114,2.699825
Center_winter_2022-05-28,2022-05-28,Center,winter,anchor,SARIMAX,test,16.441667,17.310070,0.868404,0.868404,0.754125
Center_winter_2022-06-01,2022-06-01,Center,winter,anchor,SARIMAX,test,16.441667,17.307148,0.865481,0.865481,0.749058
Center_winter_2022-06-07,2022-06-07,Center,winter,anchor,SARIMAX,test,18.125000,18.640250,0.515250,0.515250,0.265483
Center_winter_2022-06-14,2022-06-14,Center,winter,anchor,SARIMAX,test,18.750000,19.001148,0.251148,0.251148,0.063075
Center_winter_2022-06-21,2022-06-21,Center,winter,anchor,SARIMAX,test,18.750000,20.237472,1.487472,1.487472,2.212571
Center_winter_2022-06-28,2022-06-28,Center,winter,anchor,SARIMAX,test,18.750000,21.190353,2.440353,2.440353,5.955322
Center_winter_2022-07-01,2022-07-01,Center,winter,anchor,SARIMAX,test,18.800000,21.189724,2.389724,2.389724,5.710780
Center_winter_2022-07-07,2022-07-07,Center,winter,anchor,SARIMAX,test,18.800000,21.356006,2.556006,2.556006,6.533164
Center_winter_2022-07-14,2022-07-14,Center,winter,anchor,SARIMAX,test,20.054545,21.829914,1.775369,1.775369,3.151935
Center_winter_2022-07-21,2022-07-21,Center,winter,anchor,SARIMAX,test,20.054545,22.224631,2.170085,2.170085,4.709270
Center_winter_2022-07-28,2022-07-28,Center,winter,anchor,SARIMAX,test,21.083333,22.473149,1.389815,1.389815,1.931586
Center_winter_2022-08-01,2022-08-01,Center,winter,anchor,SARIMAX,test,21.083333,22.478748,1.395415,1.395415,1.947183
Center_winter_2022-08-07,2022-08-07,Center,winter,anchor,SARIMAX,test,21.083333,22.354677,1.271344,1.271344,1.616315
Center_winter_2022-08-14,2022-08-14,Center,winter,anchor,SARIMAX,test,20.133333,21.645585,1.512252,1.512252,2.286906
Center_winter_2022-08-21,2022-08-21,Center,winter,anchor,SARIMAX,test,20.133333,21.352901,1.219567,1.219567,1.487345
Center_winter_2022-08-28,2022-08-28,Center,winter,anchor,SARIMAX,test,19.500000,20.352775,0.852775,0.852775,0.727224
Center_winter_2022-09-01,2022-09-01,Center,winter,anchor,SARIMAX,test,19.400000,20.352775,0.952775,0.952775,0.907780
Center_winter_2022-09-07,2022-09-07,Center,winter,anchor,SARIMAX,test,19.400000,19.468047,0.068047,0.068047,0.004630
Center_winter_2022-09-14,2022-09-14,Center,winter,anchor,SARIMAX,test,17.425000,18.647216,1.222216,1.222216,1.493812
Center_winter_2022-09-21,2022-09-21,Center,winter,anchor,SARIMAX,test,17.425000,18.347689,0.922689,0.922689,0.851356
Center_winter_2022-09-28,2022-09-28,Center,winter,anchor,SARIMAX,test,16.800000,17.067377,0.267377,0.267377,0.071490
Center_winter_2022-10-01,2022-10-01,Center,winter,anchor,SARIMAX,test,16.800000,16.461397,-0.338603,0.338603,0.114652
Center_winter_2022-10-07,2022-10-07,Center,winter,anchor,SARIMAX,test,14.741667,15.915197,1.173530,1.173530,1.377173
Center_winter_2022-10-14,2022-10-14,Center,winter,anchor,SARIMAX,test,13.500000,14.233959,0.733959,0.733959,0.538695
Center_winter_2022-10-21,2022-10-21,Center,winter,anchor,SARIMAX,test,12.625000,13.861979,1.236979,1.236979,1.530116
Center_winter_2022-10-28,2022-10-28,Center,winter,anchor,SARIMAX,test,12.625000,12.622442,-0.002558,0.002558,0.000007
Center_winter_2022-11-01,2022-11-01,Center,winter,anchor,SARIMAX,test,12.591667,12.151729,-0.439937,0.439937,0.193545
Center_winter_2022-11-07,2022-11-07,Center,winter,anchor,SARIMAX,test,11.016667,11.712850,0.696183,0.696183,0.484671
Center_winter_2022-11-14,2022-11-14,Center,winter,anchor,SARIMAX,test,10.625000,10.652682,0.027682,0.027682,0.000766
Center_winter_2022-11-21,2022-11-21,Center,winter,anchor,SARIMAX,test,10.625000,10.191414,-0.433586,0.433586,0.187997
Center_winter_2022-11-28,2022-11-28,Center,winter,anchor,SARIMAX,test,10.525000,9.286686,-1.238314,1.238314,1.533423
Center_winter_2022-12-01,2022-12-01,Center,winter,anchor,SARIMAX,test,9.016667,9.286686,0.270019,0.270019,0.072910
Center_winter_2022-12-07,2022-12-07,Center,winter,anchor,SARIMAX,test,9.016667,9.286689,0.270023,0.270023,0.072912
Center_winter_2022-12-14,2022-12-14,Center,winter,anchor,SARIMAX,test,8.508333,7.697643,-0.810690,0.810690,0.657219
Center_winter_2022-12-21,2022-12-21,Center,winter,anchor,SARIMAX,test,7.891667,7.697643,-0.194023,0.194023,0.037645
Center_winter_2022-12-28,2022-12-28,Center,winter,anchor,SARIMAX,test,7.658333,7.697646,0.039313,0.039313,0.001546
Center_winter_2023-01-01,2023-01-01,Center,winter,anchor,SARIMAX,test,7.533333,7.697609,0.164276,0.164276,0.026987
Center_winter_2023-01-07,2023-01-07,Center,winter,anchor,SARIMAX,test,7.533333,7.701733,0.168399,0.168399,0.028358
Center_winter_2023-01-14,2023-01-14,Center,winter,anchor,SARIMAX,test,5.491667,7.809795,2.318128,2.318128,5.373717
Center_winter_2023-01-21,2023-01-21,Center,winter,anchor,SARIMAX,test,4.125000,7.970029,3.845029,3.845029,14.784248
Center_winter_2023-01-28,2023-01-28,Center,winter,anchor,SARIMAX,test,4.125000,7.986959,3.861959,3.861959,14.914727
Center_winter_2023-02-01,2023-02-01,Center,winter,anchor,SARIMAX,test,4.125000,7.985531,3.860531,3.860531,14.903699
Center_winter_2023-02-07,2023-02-07,Center,winter,anchor,SARIMAX,test,4.125000,8.784302,4.659302,4.659302,21.709092
Center_winter_2023-02-14,2023-02-14,Center,winter,anchor,SARIMAX,test,4.125000,9.181220,5.056220,5.056220,25.565363
Center_winter_2023-02-21,2023-02-21,Center,winter,anchor,SARIMAX,test,7.675000,9.164597,1.489597,1.489597,2.218899
Center_winter_2023-02-28,2023-02-28,Center,winter,anchor,SARIMAX,test,7.675000,9.733269,2.058269,2.058269,4.236473
Center_winter_2023-03-01,2023-03-01,Center,winter,anchor,SARIMAX,test,7.675000,9.733268,2.058268,2.058268,4.236469
Center_winter_2023-03-07,2023-03-07,Center,winter,anchor,SARIMAX,test,7.675000,9.733152,2.058152,2.058152,4.235989
Center_winter_2023-03-14,2023-03-14,Center,winter,anchor,SARIMAX,test,8.225000,9.730923,1.505923,1.505923,2.267803
Center_winter_2023-03-21,2023-03-21,Center,winter,anchor,SARIMAX,test,8.225000,10.440693,2.215693,2.215693,4.909297
Center_winter_2023-03-28,2023-03-28,Center,winter,anchor,SARIMAX,test,8.225000,10.433949,2.208949,2.208949,4.879457
Center_winter_2023-04-01,2023-04-01,Center,winter,anchor,SARIMAX,test,8.225000,11.488502,3.263502,3.263502,10.650443
Center_winter_2023-04-07,2023-04-07,Center,winter,anchor,SARIMAX,test,9.850000,12.771247,2.921247,2.921247,8.533681
Center_winter_2023-04-14,2023-04-14,Center,winter,anchor,SARIMAX,test,9.850000,12.772955,2.922955,2.922955,8.543665
Center_winter_2023-04-21,2023-04-21,Center,winter,anchor,SARIMAX,test,10.641667,13.413528,2.771862,2.771862,7.683216
Center_winter_2023-04-28,2023-04-28,Center,winter,anchor,SARIMAX,test,11.208333,14.108403,2.900070,2.900070,8.410406
Center_winter_2023-05-01,2023-05-01,Center,winter,anchor,SARIMAX,test,11.208333,14.116952,2.908619,2.908619,8.460064
Center_winter_2023-05-07,2023-05-07,Center,winter,anchor,SARIMAX,test,14.141667,15.233594,1.091927,1.091927,1.192304
Center_winter_2023-05-14,2023-05-14,Center,winter,anchor,SARIMAX,test,14.666667,15.923295,1.256628,1.256628,1.579114
Center_winter_2023-05-21,2023-05-21,Center,winter,anchor,SARIMAX,test,14.741667,16.675929,1.934262,1.934262,3.741371
Center_winter_2023-05-28,2023-05-28,Center,winter,anchor,SARIMAX,test,16.050000,17.338333,1.288333,1.288333,1.659803
Center_winter_2023-06-01,2023-06-01,Center,winter,anchor,SARIMAX,test,16.433333,17.343963,0.910629,0.910629,0.829246
Center_winter_2023-06-07,2023-06-07,Center,winter,anchor,SARIMAX,test,17.650000,18.647256,0.997256,0.997256,0.994520
Center_winter_2023-06-14,2023-06-14,Center,winter,anchor,SARIMAX,test,18.200000,18.975160,0.775160,0.775160,0.600874
Center_winter_2023-06-21,2023-06-21,Center,winter,anchor,SARIMAX,test,19.116667,20.239424,1.122758,1.122758,1.260585
Center_winter_2023-06-28,2023-06-28,Center,winter,anchor,SARIMAX,test,19.266667,21.186665,1.919998,1.919998,3.686392
Center_winter_2023-07-01,2023-07-01,Center,winter,anchor,SARIMAX,test,19.458333,21.186716,1.728382,1.728382,2.987306
Center_winter_2023-07-07,2023-07-07,Center,winter,anchor,SARIMAX,test,20.700000,21.356264,0.656264,0.656264,0.430683
Center_winter_2023-07-14,2023-07-14,Center,winter,anchor,SARIMAX,test,20.700000,21.820049,1.120049,1.120049,1.254510
Center_winter_2023-07-21,2023-07-21,Center,winter,anchor,SARIMAX,test,20.700000,22.228337,1.528337,1.528337,2.335814
Center_winter_2023-07-28,2023-07-28,Center,winter,anchor,SARIMAX,test,21.150000,22.472932,1.322932,1.322932,1.750149
Center_winter_2023-08-01,2023-08-01,Center,winter,anchor,SARIMAX,test,21.150000,22.469335,1.319335,1.319335,1.740645
Center_winter_2023-08-07,2023-08-07,Center,winter,anchor,SARIMAX,test,21.150000,22.354677,1.204677,1.204677,1.451248
Center_winter_2023-08-14,2023-08-14,Center,winter,anchor,SARIMAX,test,21.025000,21.645585,0.620585,0.620585,0.385126
Center_winter_2023-08-21,2023-08-21,Center,winter,anchor,SARIMAX,test,19.633333,21.352901,1.719567,1.719567,2.956912
Center_winter_2023-08-28,2023-08-28,Center,winter,anchor,SARIMAX,test,19.633333,20.352775,0.719441,0.719441,0.517596
Center_winter_2023-09-01,2023-09-01,Center,winter,anchor,SARIMAX,test,19.383333,20.352775,0.969442,0.969442,0.939817
Center_winter_2023-09-07,2023-09-07,Center,winter,anchor,SARIMAX,test,19.383333,19.468047,0.084714,0.084714,0.007176
Center_winter_2023-09-14,2023-09-14,Center,winter,anchor,SARIMAX,test,18.254545,18.647216,0.392670,0.392670,0.154190
Center_winter_2023-09-21,2023-09-21,Center,winter,anchor,SARIMAX,test,17.818182,18.347690,0.529508,0.529508,0.280378
Center_winter_2023-09-28,2023-09-28,Center,winter,anchor,SARIMAX,test,16.990909,17.067377,0.076468,0.076468,0.005847
Center_winter_2023-10-01,2023-10-01,Center,winter,anchor,SARIMAX,test,16.990909,16.461398,-0.529511,0.529511,0.280382
Center_winter_2023-10-07,2023-10-07,Center,winter,anchor,SARIMAX,test,15.772727,15.915197,0.142470,0.142470,0.020298
Center_winter_2023-10-14,2023-10-14,Center,winter,anchor,SARIMAX,test,15.563636,14.233958,-1.329678,1.329678,1.768043
Center_winter_2023-10-21,2023-10-21,Center,winter,anchor,SARIMAX,test,15.054545,13.861979,-1.192567,1.192567,1.422216
Center_winter_2023-10-28,2023-10-28,Center,winter,anchor,SARIMAX,test,13.572727,12.622442,-0.950285,0.950285,0.903042
Center_winter_2023-11-01,2023-11-01,Center,winter,anchor,SARIMAX,test,10.500000,12.151729,1.651729,1.651729,2.728210
Center_winter_2023-11-07,2023-11-07,Center,winter,anchor,SARIMAX,test,10.500000,11.712850,1.212850,1.212850,1.471005
Center_winter_2023-11-14,2023-11-14,Center,winter,anchor,SARIMAX,test,10.472727,10.652682,0.179955,0.179955,0.032384
Center_winter_2023-11-21,2023-11-21,Center,winter,anchor,SARIMAX,test,10.418182,10.191413,-0.226769,0.226769,0.051424
Center_winter_2023-11-28,2023-11-28,Center,winter,anchor,SARIMAX,test,10.418182,9.286685,-1.131497,1.131497,1.280286
