sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_winter_2021-06-14,2021-06-14,Center,winter,soft,SARIMAX,test,19.447222,20.307702,0.860480,0.860480,0.943793,18.391667,19.437812,18.983333,20.279371,20.966667,21.205924
Center_winter_2021-06-21,2021-06-21,Center,winter,soft,SARIMAX,test,20.680556,21.068897,0.388341,0.527514,0.333111,19.783333,20.548047,20.583333,21.192402,21.675000,21.466242
Center_winter_2021-06-28,2021-06-28,Center,winter,soft,SARIMAX,test,21.861111,21.447339,-0.413772,0.512879,0.486809,21.108333,21.256994,21.650000,21.440970,22.825000,21.644055
Center_winter_2021-07-01,2021-07-01,Center,winter,soft,SARIMAX,test,22.119444,21.675656,-0.443788,0.521506,0.369132,21.258333,21.374910,22.075000,21.501926,23.025000,22.150134
Center_winter_2021-07-07,2021-07-07,Center,winter,soft,SARIMAX,test,21.913889,21.960064,0.046175,0.258936,0.069404,21.258333,21.515720,21.633333,21.833613,22.850000,22.530859
Center_winter_2021-07-14,2021-07-14,Center,winter,soft,SARIMAX,test,22.536111,22.500314,-0.035797,0.421147,0.190060,21.600000,22.178025,22.791667,22.473143,23.216667,22.849774
Center_winter_2021-07-21,2021-07-21,Center,winter,soft,SARIMAX,test,22.647222,22.748447,0.101225,0.484735,0.329516,21.633333,22.512274,22.941667,22.813013,23.366667,22.920056
Center_winter_2021-07-28,2021-07-28,Center,winter,soft,SARIMAX,test,22.380556,22.888180,0.507625,0.631211,0.545749,21.600000,22.722283,22.300000,22.885971,23.241667,23.056287
Center_winter_2021-08-01,2021-08-01,Center,winter,soft,SARIMAX,test,22.391667,22.799756,0.408089,0.589289,0.434445,21.600000,22.582931,22.300000,22.813136,23.275000,23.003200
Center_winter_2021-08-07,2021-08-07,Center,winter,soft,SARIMAX,test,22.641667,22.765700,0.124033,0.400111,0.250348,21.816667,22.577527,22.741667,22.767022,23.366667,22.952551
Center_winter_2021-08-14,2021-08-14,Center,winter,soft,SARIMAX,test,22.127778,22.449796,0.322018,0.362527,0.208712,21.383333,22.114992,22.141667,22.436826,22.858333,22.797571
Center_winter_2021-08-21,2021-08-21,Center,winter,soft,SARIMAX,test,21.402778,21.914738,0.511961,0.589997,0.541894,20.233333,21.410429,21.383333,21.859174,22.591667,22.474612
Center_winter_2021-08-28,2021-08-28,Center,winter,soft,SARIMAX,test,20.908333,21.343428,0.435094,0.435094,0.281012,20.066667,20.727823,20.758333,21.395405,21.900000,21.907055
Center_winter_2021-09-01,2021-09-01,Center,winter,soft,SARIMAX,test,20.347222,21.051913,0.704691,0.704691,0.706072,19.333333,20.589688,20.233333,20.955405,21.475000,21.610647
Center_winter_2021-09-07,2021-09-07,Center,winter,soft,SARIMAX,test,19.761111,20.668608,0.907497,0.907497,0.965353,18.825000,20.190752,19.700000,20.613328,20.758333,21.201745
Center_winter_2021-09-14,2021-09-14,Center,winter,soft,SARIMAX,test,18.972222,19.716106,0.743883,0.743883,0.611375,17.933333,19.009403,18.825000,19.468047,20.158333,20.670866
Center_winter_2021-09-21,2021-09-21,Center,winter,soft,SARIMAX,test,18.375000,18.996335,0.621335,0.621335,0.466161,17.775000,18.647216,18.016667,18.782654,19.333333,19.559133
Center_winter_2021-09-28,2021-09-28,Center,winter,soft,SARIMAX,test,17.502778,18.222065,0.719287,0.719287,0.599194,16.533333,17.409338,17.425000,18.388898,18.550000,18.867960
Center_winter_2021-10-01,2021-10-01,Center,winter,soft,SARIMAX,test,17.319444,17.782934,0.463489,0.463489,0.232958,16.400000,16.955676,17.425000,17.698070,18.133333,18.695056
Center_winter_2021-10-07,2021-10-07,Center,winter,soft,SARIMAX,test,16.997475,16.986923,-0.010551,0.259015,0.078101,16.308333,16.023544,16.709091,16.589530,17.975000,18.347696
Center_winter_2021-10-14,2021-10-14,Center,winter,soft,SARIMAX,test,15.865909,15.704572,-0.161337,0.256299,0.075644,14.850000,14.464593,15.772727,15.915170,16.975000,16.733953
Center_winter_2021-10-21,2021-10-21,Center,winter,soft,SARIMAX,test,15.644444,14.889528,-0.754916,0.754916,0.645960,14.850000,14.275479,15.558333,14.413744,16.525000,15.979362
Center_winter_2021-10-28,2021-10-28,Center,winter,soft,SARIMAX,test,13.913889,13.875220,-0.038669,0.775209,0.789499,12.858333,13.044816,13.241667,14.159994,15.641667,14.420849
Center_winter_2021-11-01,2021-11-01,Center,winter,soft,SARIMAX,test,13.671465,13.233522,-0.437943,0.437943,0.327142,12.525000,12.341204,13.216667,13.044816,15.272727,14.314546
Center_winter_2021-11-07,2021-11-07,Center,winter,soft,SARIMAX,test,12.830556,12.872948,0.042393,0.274062,0.106825,11.800000,12.245973,12.858333,12.510830,13.833333,13.862042
Center_winter_2021-11-14,2021-11-14,Center,winter,soft,SARIMAX,test,12.280556,11.651985,-0.628570,0.628570,0.440449,11.641667,10.783721,11.983333,11.638457,13.216667,12.533778
Center_winter_2021-11-21,2021-11-21,Center,winter,soft,SARIMAX,test,11.422222,10.901977,-0.520245,0.520245,0.382808,10.391667,10.340371,11.350000,10.652688,12.525000,11.712873
Center_winter_2021-11-28,2021-11-28,Center,winter,soft,SARIMAX,test,10.069444,10.192514,0.123069,0.788200,0.922245,8.175000,9.541904,10.391667,10.340371,11.641667,10.695265
Center_winter_2021-12-01,2021-12-01,Center,winter,soft,SARIMAX,test,9.641667,10.104640,0.462974,0.850038,0.822943,8.175000,9.469789,9.516667,10.191394,11.233333,10.652737
Center_winter_2021-12-07,2021-12-07,Center,winter,soft,SARIMAX,test,9.519444,9.773195,0.253751,0.754944,0.743075,8.175000,9.441124,9.316667,9.563586,11.066667,10.314877
Center_winter_2021-12-14,2021-12-14,Center,winter,soft,SARIMAX,test,8.716667,9.082806,0.366139,0.514290,0.327398,7.750000,8.236025,8.550000,9.384619,9.850000,9.627773
Center_winter_2021-12-21,2021-12-21,Center,winter,soft,SARIMAX,test,7.875000,8.572700,0.697700,0.697700,0.895536,6.341667,7.940465,8.158333,8.341126,9.125000,9.436510
Center_winter_2021-12-28,2021-12-28,Center,winter,soft,SARIMAX,test,6.316667,8.416656,2.099989,2.099989,5.895111,4.191667,7.819055,6.208333,8.236017,8.550000,9.194895
Center_winter_2022-01-01,2022-01-01,Center,winter,soft,SARIMAX,test,5.897222,8.396044,2.498822,2.498822,7.193544,4.191667,7.819052,5.616667,8.235976,7.883333,9.133106
Center_winter_2022-01-07,2022-01-07,Center,winter,soft,SARIMAX,test,5.788889,8.147262,2.358373,2.358373,6.687601,4.191667,7.829052,5.616667,8.014954,7.558333,8.597779
Center_winter_2022-01-14,2022-01-14,Center,winter,soft,SARIMAX,test,5.747222,8.432432,2.685210,2.685210,8.080508,4.191667,7.994411,5.616667,8.350209,7.433333,8.952675
Center_winter_2022-01-21,2022-01-21,Center,winter,soft,SARIMAX,test,6.377778,8.811298,2.433520,2.433520,6.287818,5.275000,8.350279,6.208333,8.810672,7.650000,9.272944
Center_winter_2022-01-28,2022-01-28,Center,winter,soft,SARIMAX,test,7.666667,8.927865,1.261198,1.261198,2.045146,6.741667,8.602388,7.241667,8.845145,9.016667,9.336061
Center_winter_2022-02-01,2022-02-01,Center,winter,soft,SARIMAX,test,7.844444,9.004015,1.159571,1.159571,1.698681,6.791667,8.602238,7.650000,8.945877,9.091667,9.463932
