sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Center_winter_2021-06-14,2021-06-14,Center,winter,anchor,Tab-LSTM,test,18.250000,17.959007,-0.290993,0.290993,0.084677
Center_winter_2021-06-21,2021-06-21,Center,winter,anchor,Tab-LSTM,test,18.250000,18.208767,-0.041233,0.041233,0.001700
Center_winter_2021-06-28,2021-06-28,Center,winter,anchor,Tab-LSTM,test,20.583334,18.256628,-2.326706,2.326706,5.413560
Center_winter_2021-07-01,2021-07-01,Center,winter,anchor,Tab-LSTM,test,20.583334,18.485264,-2.098070,2.098070,4.401898
Center_winter_2021-07-07,2021-07-07,Center,winter,anchor,Tab-LSTM,test,20.583334,20.236063,-0.347271,0.347271,0.120597
Center_winter_2021-07-14,2021-07-14,Center,winter,anchor,Tab-LSTM,test,21.258333,20.426060,-0.832273,0.832273,0.692679
Center_winter_2021-07-21,2021-07-21,Center,winter,anchor,Tab-LSTM,test,21.483334,20.710819,-0.772514,0.772514,0.596778
Center_winter_2021-07-28,2021-07-28,Center,winter,anchor,Tab-LSTM,test,21.383333,21.134811,-0.248522,0.248522,0.061763
Center_winter_2021-08-01,2021-08-01,Center,winter,anchor,Tab-LSTM,test,21.383333,20.770889,-0.612444,0.612444,0.375088
Center_winter_2021-08-07,2021-08-07,Center,winter,anchor,Tab-LSTM,test,21.383333,20.412903,-0.970430,0.970430,0.941735
Center_winter_2021-08-14,2021-08-14,Center,winter,anchor,Tab-LSTM,test,20.858334,20.824425,-0.033909,0.033909,0.001150
Center_winter_2021-08-21,2021-08-21,Center,winter,anchor,Tab-LSTM,test,20.066668,20.690834,0.624166,0.624166,0.389584
Center_winter_2021-08-28,2021-08-28,Center,winter,anchor,Tab-LSTM,test,17.933332,19.510765,1.577433,1.577433,2.488294
Center_winter_2021-09-01,2021-09-01,Center,winter,anchor,Tab-LSTM,test,17.933332,19.004742,1.071409,1.071409,1.147918
Center_winter_2021-09-07,2021-09-07,Center,winter,anchor,Tab-LSTM,test,17.933332,19.637449,1.704117,1.704117,2.904014
Center_winter_2021-09-14,2021-09-14,Center,winter,anchor,Tab-LSTM,test,17.308332,18.563982,1.255650,1.255650,1.576656
Center_winter_2021-09-21,2021-09-21,Center,winter,anchor,Tab-LSTM,test,17.308332,16.455715,-0.852617,0.852617,0.726956
Center_winter_2021-09-28,2021-09-28,Center,winter,anchor,Tab-LSTM,test,16.308332,14.789896,-1.518436,1.518436,2.305649
Center_winter_2021-10-01,2021-10-01,Center,winter,anchor,Tab-LSTM,test,15.908334,13.509645,-2.398688,2.398688,5.753706
Center_winter_2021-10-07,2021-10-07,Center,winter,anchor,Tab-LSTM,test,15.272727,12.342456,-2.930271,2.930271,8.586489
Center_winter_2021-10-14,2021-10-14,Center,winter,anchor,Tab-LSTM,test,12.100000,11.753290,-0.346710,0.346710,0.120208
Center_winter_2021-10-21,2021-10-21,Center,winter,anchor,Tab-LSTM,test,12.100000,9.225947,-2.874053,2.874053,8.260181
Center_winter_2021-10-28,2021-10-28,Center,winter,anchor,Tab-LSTM,test,12.100000,8.871510,-3.228491,3.228491,10.423153
Center_winter_2021-11-01,2021-11-01,Center,winter,anchor,Tab-LSTM,test,12.100000,7.947338,-4.152662,4.152662,17.244604
Center_winter_2021-11-07,2021-11-07,Center,winter,anchor,Tab-LSTM,test,10.908334,7.323930,-3.584404,3.584404,12.847952
Center_winter_2021-11-14,2021-11-14,Center,winter,anchor,Tab-LSTM,test,10.808333,7.112419,-3.695914,3.695914,13.659782
Center_winter_2021-11-21,2021-11-21,Center,winter,anchor,Tab-LSTM,test,9.516666,6.778167,-2.738499,2.738499,7.499378
Center_winter_2021-11-28,2021-11-28,Center,winter,anchor,Tab-LSTM,test,6.575000,5.773910,-0.801090,0.801090,0.641745
Center_winter_2021-12-01,2021-12-01,Center,winter,anchor,Tab-LSTM,test,6.575000,5.844209,-0.730791,0.730791,0.534055
Center_winter_2021-12-07,2021-12-07,Center,winter,anchor,Tab-LSTM,test,6.575000,5.538161,-1.036839,1.036839,1.075034
Center_winter_2021-12-14,2021-12-14,Center,winter,anchor,Tab-LSTM,test,6.575000,5.192310,-1.382689,1.382689,1.911830
Center_winter_2021-12-21,2021-12-21,Center,winter,anchor,Tab-LSTM,test,2.925000,4.902328,1.977328,1.977328,3.909824
Center_winter_2021-12-28,2021-12-28,Center,winter,anchor,Tab-LSTM,test,2.925000,5.126164,2.201164,2.201164,4.845123
Center_winter_2022-01-01,2022-01-01,Center,winter,anchor,Tab-LSTM,test,2.925000,4.694774,1.769774,1.769774,3.132099
Center_winter_2022-01-07,2022-01-07,Center,winter,anchor,Tab-LSTM,test,2.925000,5.180297,2.255297,2.255297,5.086366
Center_winter_2022-01-14,2022-01-14,Center,winter,anchor,Tab-LSTM,test,2.925000,5.246297,2.321297,2.321297,5.388422
Center_winter_2022-01-21,2022-01-21,Center,winter,anchor,Tab-LSTM,test,4.191667,4.993323,0.801657,0.801657,0.642654
Center_winter_2022-01-28,2022-01-28,Center,winter,anchor,Tab-LSTM,test,5.533333,4.737655,-0.795679,0.795679,0.633104
Center_winter_2022-02-01,2022-02-01,Center,winter,anchor,Tab-LSTM,test,5.866667,4.865832,-1.000834,1.000834,1.001670
