sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Center_winter_2021-06-14,2021-06-14,Center,winter,soft,Tab-LSTM,test,19.447222,19.916951,0.469729,0.594238,0.484965,18.391666,18.919008,18.983334,20.051943,20.966667,20.779903
Center_winter_2021-06-21,2021-06-21,Center,winter,soft,Tab-LSTM,test,20.680555,20.335601,-0.344954,0.344954,0.160070,19.783333,19.369654,20.583334,20.513723,21.674999,21.123426
Center_winter_2021-06-28,2021-06-28,Center,winter,soft,Tab-LSTM,test,21.861111,20.364677,-1.496435,1.496435,2.317201,21.108334,19.357986,21.650000,20.542196,22.825001,21.193848
Center_winter_2021-07-01,2021-07-01,Center,winter,soft,Tab-LSTM,test,22.119445,20.395304,-1.724141,1.724141,2.988724,21.258333,19.375490,22.075001,20.502346,23.025000,21.308075
Center_winter_2021-07-07,2021-07-07,Center,winter,soft,Tab-LSTM,test,21.913889,21.737360,-0.176529,0.302378,0.098087,21.258333,20.916523,21.633333,21.822107,22.850000,22.473450
Center_winter_2021-07-14,2021-07-14,Center,winter,soft,Tab-LSTM,test,22.536111,21.796531,-0.739580,0.739580,0.551588,21.600000,20.947872,22.791666,21.974031,23.216667,22.467690
Center_winter_2021-07-21,2021-07-21,Center,winter,soft,Tab-LSTM,test,22.647223,22.120835,-0.526388,0.526388,0.326162,21.633333,21.366104,22.941668,22.133240,23.366667,22.863161
Center_winter_2021-07-28,2021-07-28,Center,winter,soft,Tab-LSTM,test,22.380555,22.204366,-0.176189,0.176189,0.050137,21.600000,21.481632,22.299999,22.256557,23.241667,22.874908
Center_winter_2021-08-01,2021-08-01,Center,winter,soft,Tab-LSTM,test,22.391666,22.053560,-0.338107,0.338107,0.132123,21.600000,21.270317,22.299999,22.120949,23.275000,22.769413
Center_winter_2021-08-07,2021-08-07,Center,winter,soft,Tab-LSTM,test,22.641667,22.091810,-0.549857,0.549857,0.326118,21.816668,21.385315,22.741667,21.974031,23.366667,22.916084
Center_winter_2021-08-14,2021-08-14,Center,winter,soft,Tab-LSTM,test,22.127778,22.282810,0.155032,0.155032,0.026066,21.383333,21.488071,22.141666,22.355755,22.858334,23.004602
Center_winter_2021-08-21,2021-08-21,Center,winter,soft,Tab-LSTM,test,21.402778,21.872423,0.469645,0.509993,0.377376,20.233334,21.124287,21.383333,21.961838,22.591667,22.531145
Center_winter_2021-08-28,2021-08-28,Center,winter,soft,Tab-LSTM,test,20.908333,21.389462,0.481128,0.481128,0.273138,20.066668,20.482445,20.758333,21.515608,21.900000,22.170332
Center_winter_2021-09-01,2021-09-01,Center,winter,soft,Tab-LSTM,test,20.347223,21.177619,0.830396,0.830396,0.721321,19.333334,20.250443,20.233334,21.225327,21.475000,22.057087
Center_winter_2021-09-07,2021-09-07,Center,winter,soft,Tab-LSTM,test,19.761112,21.336998,1.575886,1.575886,2.509443,18.825001,20.488583,19.700001,21.414440,20.758333,22.107971
Center_winter_2021-09-14,2021-09-14,Center,winter,soft,Tab-LSTM,test,18.972222,20.604129,1.631907,1.631907,2.701087,17.933332,19.645582,18.825001,20.645008,20.158333,21.521797
Center_winter_2021-09-21,2021-09-21,Center,winter,soft,Tab-LSTM,test,18.375000,19.557251,1.182251,1.182251,1.547784,17.775000,18.465675,18.016666,19.654144,19.333334,20.551933
Center_winter_2021-09-28,2021-09-28,Center,winter,soft,Tab-LSTM,test,17.502777,18.048162,0.545385,0.545385,0.341150,16.533333,16.789753,17.424999,18.060719,18.549999,19.294016
Center_winter_2021-10-01,2021-10-01,Center,winter,soft,Tab-LSTM,test,17.319444,17.417547,0.098103,0.295383,0.142631,16.400000,16.104078,17.424999,17.431896,18.133333,18.716665
