sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_winter_2021-06-14,2021-06-14,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,15.391666,16.522289,1.130623,1.130623,1.278308
Negev_winter_2021-06-21,2021-06-21,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,16.666666,16.350504,-0.316162,0.316162,0.099958
Negev_winter_2021-06-28,2021-06-28,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,18.766666,18.819225,0.052559,0.052559,0.002762
Negev_winter_2021-07-01,2021-07-01,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,18.766666,18.774860,0.008194,0.008194,0.000067
Negev_winter_2021-07-07,2021-07-07,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,18.766666,18.101398,-0.665268,0.665268,0.442581
Negev_winter_2021-07-14,2021-07-14,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,20.075001,19.371738,-0.703262,0.703262,0.494578
Negev_winter_2021-07-21,2021-07-21,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,18.458334,18.448059,-0.010275,0.010275,0.000106
Negev_winter_2021-07-28,2021-07-28,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,18.266666,18.991188,0.724522,0.724522,0.524932
Negev_winter_2021-08-01,2021-08-01,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,18.266666,18.354675,0.088009,0.088009,0.007746
Negev_winter_2021-08-07,2021-08-07,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,18.266666,17.917860,-0.348806,0.348806,0.121666
Negev_winter_2021-08-14,2021-08-14,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,17.666666,18.367104,0.700438,0.700438,0.490613
Negev_winter_2021-08-21,2021-08-21,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,17.200001,17.423561,0.223560,0.223560,0.049979
Negev_winter_2021-08-28,2021-08-28,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,14.883333,17.411634,2.528301,2.528301,6.392307
Negev_winter_2021-09-01,2021-09-01,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,14.883333,16.666348,1.783014,1.783014,3.179140
Negev_winter_2021-09-07,2021-09-07,Negev,winter,anchor,ConvNeXtTiny-LSTM,test,14.883333,15.666210,0.782877,0.782877,0.612896
