sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_winter_2021-06-14,2021-06-14,Negev,winter,soft,ConvNeXtTiny-LSTM,test,17.344444,19.128119,1.783675,1.783675,4.016719,15.850000,18.370434,16.666666,19.001595,19.516666,20.012329
Negev_winter_2021-06-21,2021-06-21,Negev,winter,soft,ConvNeXtTiny-LSTM,test,19.394445,18.378873,-1.015572,1.015572,1.045304,18.475000,17.557484,19.108334,18.160629,20.600000,19.418505
Negev_winter_2021-06-28,2021-06-28,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.347222,20.201762,-0.145460,0.145460,0.027005,19.549999,19.474623,20.450001,20.198189,21.041666,20.932474
Negev_winter_2021-07-01,2021-07-01,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.366667,20.302194,-0.064473,0.097502,0.012360,19.549999,19.599543,20.450001,20.277967,21.100000,21.029072
Negev_winter_2021-07-07,2021-07-07,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.563889,19.915384,-0.648506,0.648506,0.432879,19.983334,19.220837,20.350000,19.851944,21.358334,20.673370
Negev_winter_2021-07-14,2021-07-14,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.805556,20.192828,-0.612728,0.612728,0.398404,20.350000,19.530746,20.708334,20.149246,21.358334,20.898491
Negev_winter_2021-07-21,2021-07-21,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.747222,20.292945,-0.454277,0.454277,0.248753,20.325001,19.587017,20.558332,20.302578,21.358334,20.989241
Negev_winter_2021-07-28,2021-07-28,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.483334,20.186480,-0.296854,0.296854,0.093854,19.908333,19.518261,20.341667,20.137028,21.200001,20.904150
Negev_winter_2021-08-01,2021-08-01,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.511111,20.227176,-0.283935,0.283935,0.095469,19.908333,19.487082,20.341667,20.216572,21.283333,20.977875
Negev_winter_2021-08-07,2021-08-07,Negev,winter,soft,ConvNeXtTiny-LSTM,test,20.197222,19.969192,-0.228031,0.228031,0.073945,19.191668,19.171673,20.283333,19.972782,21.116667,20.763121
Negev_winter_2021-08-14,2021-08-14,Negev,winter,soft,ConvNeXtTiny-LSTM,test,19.383334,20.387011,1.003677,1.003677,1.058266,18.350000,19.656000,19.466667,20.407494,20.333334,21.097538
Negev_winter_2021-08-21,2021-08-21,Negev,winter,soft,ConvNeXtTiny-LSTM,test,18.850000,19.033308,0.183308,0.322878,0.132933,17.666666,18.228949,18.683332,18.880329,20.200001,19.990646
Negev_winter_2021-08-28,2021-08-28,Negev,winter,soft,ConvNeXtTiny-LSTM,test,18.250001,19.475856,1.225856,1.225856,1.620502,17.200001,18.674162,17.983334,19.446186,19.566668,20.307220
Negev_winter_2021-09-01,2021-09-01,Negev,winter,soft,ConvNeXtTiny-LSTM,test,17.905555,17.979708,0.074153,0.118789,0.015472,17.116667,17.049713,17.666666,17.806276,18.933332,19.083136
