sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_winter_2021-06-14,2021-06-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,15.391666,16.129808,0.738142,0.738142,0.544854
Negev_winter_2021-06-21,2021-06-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,16.666666,15.999259,-0.667407,0.667407,0.445432
Negev_winter_2021-06-28,2021-06-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.766666,18.734615,-0.032051,0.032051,0.001027
Negev_winter_2021-07-01,2021-07-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.766666,18.926123,0.159456,0.159456,0.025426
Negev_winter_2021-07-07,2021-07-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.766666,18.182232,-0.584435,0.584435,0.341564
Negev_winter_2021-07-14,2021-07-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,20.075001,18.919712,-1.155289,1.155289,1.334692
Negev_winter_2021-07-21,2021-07-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.458334,18.734615,0.276281,0.276281,0.076331
Negev_winter_2021-07-28,2021-07-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.266666,18.868496,0.601830,0.601830,0.362199
Negev_winter_2021-08-01,2021-08-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.266666,18.419083,0.152416,0.152416,0.023231
Negev_winter_2021-08-07,2021-08-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,18.266666,17.886570,-0.380096,0.380096,0.144473
Negev_winter_2021-08-14,2021-08-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,17.666666,18.194637,0.527971,0.527971,0.278754
Negev_winter_2021-08-21,2021-08-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,17.200001,17.564495,0.364494,0.364494,0.132856
Negev_winter_2021-08-28,2021-08-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,14.883333,16.880541,1.997208,1.997208,3.988838
Negev_winter_2021-09-01,2021-09-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,14.883333,16.898136,2.014803,2.014803,4.059431
Negev_winter_2021-09-07,2021-09-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,14.883333,15.877806,0.994473,0.994473,0.988976
Negev_winter_2021-09-14,2021-09-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,14.883333,14.296263,-0.587070,0.587070,0.344652
Negev_winter_2021-09-21,2021-09-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,14.200000,14.851428,0.651428,0.651428,0.424359
Negev_winter_2021-09-28,2021-09-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,13.641666,11.411089,-2.230577,2.230577,4.975476
Negev_winter_2021-10-01,2021-10-01,Negev,winter,anchor,ConvNeXtTiny-TFT,test,13.641666,11.654367,-1.987299,1.987299,3.949357
Negev_winter_2021-10-07,2021-10-07,Negev,winter,anchor,ConvNeXtTiny-TFT,test,13.641666,11.730498,-1.911168,1.911168,3.652564
Negev_winter_2021-10-14,2021-10-14,Negev,winter,anchor,ConvNeXtTiny-TFT,test,11.641666,10.737395,-0.904271,0.904271,0.817706
Negev_winter_2021-10-21,2021-10-21,Negev,winter,anchor,ConvNeXtTiny-TFT,test,11.641666,8.969826,-2.671841,2.671841,7.138733
Negev_winter_2021-10-28,2021-10-28,Negev,winter,anchor,ConvNeXtTiny-TFT,test,9.900000,9.560789,-0.339211,0.339211,0.115064
