sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_winter_2021-06-14,2021-06-14,Negev,winter,soft,ConvNeXtTiny-TFT,test,17.344444,19.298709,1.954264,1.954264,4.721593,15.850000,18.434021,16.666666,19.333778,19.516666,20.128326
Negev_winter_2021-06-21,2021-06-21,Negev,winter,soft,ConvNeXtTiny-TFT,test,19.394445,18.604500,-0.789945,0.789945,0.675280,18.475000,17.690546,19.108334,18.592911,20.600000,19.530043
Negev_winter_2021-06-28,2021-06-28,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.347222,21.016858,0.669636,0.669636,0.454880,19.549999,20.213337,20.450001,21.221136,21.041666,21.616100
Negev_winter_2021-07-01,2021-07-01,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.366667,21.202645,0.835978,0.835978,0.714361,19.549999,20.407019,20.450001,21.426853,21.100000,21.774063
Negev_winter_2021-07-07,2021-07-07,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.563889,20.080730,-0.483159,0.483159,0.292320,19.983334,19.277279,20.350000,20.204243,21.358334,20.760670
Negev_winter_2021-07-14,2021-07-14,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.805556,20.911722,0.106166,0.244318,0.068403,20.350000,20.142773,20.708334,21.080904,21.358334,21.511490
Negev_winter_2021-07-21,2021-07-21,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.747222,20.399766,-0.347457,0.347457,0.201654,20.325001,19.605450,20.558332,20.529406,21.358334,21.064442
Negev_winter_2021-07-28,2021-07-28,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.483334,20.632615,0.149281,0.166929,0.055205,19.908333,19.881861,20.341667,20.740730,21.200001,21.275253
Negev_winter_2021-08-01,2021-08-01,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.511111,20.345892,-0.165219,0.228680,0.061469,19.908333,19.592974,20.341667,20.436859,21.283333,21.007843
Negev_winter_2021-08-07,2021-08-07,Negev,winter,soft,ConvNeXtTiny-TFT,test,20.197222,19.818173,-0.379049,0.379049,0.176015,19.191668,19.057243,20.283333,19.842165,21.116667,20.555111
