sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_winter_2021-06-14,2021-06-14,Negev,winter,anchor,Prophet,test,15.391667,17.616750,2.225083,2.225083,4.950995
Negev_winter_2021-06-21,2021-06-21,Negev,winter,anchor,Prophet,test,16.666667,19.021951,2.355284,2.355284,5.547362
Negev_winter_2021-06-28,2021-06-28,Negev,winter,anchor,Prophet,test,18.766667,19.363373,0.596706,0.596706,0.356058
Negev_winter_2021-07-01,2021-07-01,Negev,winter,anchor,Prophet,test,18.766667,19.363373,0.596706,0.596706,0.356058
Negev_winter_2021-07-07,2021-07-07,Negev,winter,anchor,Prophet,test,18.766667,19.569623,0.802956,0.802956,0.644739
Negev_winter_2021-07-14,2021-07-14,Negev,winter,anchor,Prophet,test,20.075000,20.111928,0.036928,0.036928,0.001364
Negev_winter_2021-07-21,2021-07-21,Negev,winter,anchor,Prophet,test,18.458333,20.339797,1.881464,1.881464,3.539905
Negev_winter_2021-07-28,2021-07-28,Negev,winter,anchor,Prophet,test,18.266667,20.339797,2.073130,2.073130,4.297869
Negev_winter_2021-08-01,2021-08-01,Negev,winter,anchor,Prophet,test,18.266667,20.104919,1.838253,1.838253,3.379173
Negev_winter_2021-08-07,2021-08-07,Negev,winter,anchor,Prophet,test,18.266667,19.797657,1.530991,1.530991,2.343933
Negev_winter_2021-08-14,2021-08-14,Negev,winter,anchor,Prophet,test,17.666667,19.582121,1.915454,1.915454,3.668966
Negev_winter_2021-08-21,2021-08-21,Negev,winter,anchor,Prophet,test,17.200000,18.878097,1.678097,1.678097,2.816011
Negev_winter_2021-08-28,2021-08-28,Negev,winter,anchor,Prophet,test,14.883333,18.109951,3.226618,3.226618,10.411062
Negev_winter_2021-09-01,2021-09-01,Negev,winter,anchor,Prophet,test,14.883333,18.109951,3.226618,3.226618,10.411062
Negev_winter_2021-09-07,2021-09-07,Negev,winter,anchor,Prophet,test,14.883333,17.102906,2.219573,2.219573,4.926504
