sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_winter_2021-06-14,2021-06-14,Negev,winter,soft,Prophet,test,17.344444,18.781136,1.436691,1.508120,3.270135,15.850000,17.911932,16.666667,19.021951,19.516667,19.409524
Negev_winter_2021-06-21,2021-06-21,Negev,winter,soft,Prophet,test,19.394444,19.491031,0.096587,0.633750,0.459244,18.475000,19.276171,19.108333,19.402669,20.600000,19.794254
Negev_winter_2021-06-28,2021-06-28,Negev,winter,soft,Prophet,test,20.347222,19.798942,-0.548280,0.548280,0.385504,19.550000,19.409524,20.450000,19.748921,21.041667,20.238382
Negev_winter_2021-07-01,2021-07-01,Negev,winter,soft,Prophet,test,20.366667,19.908888,-0.457778,0.457778,0.259905,19.550000,19.409524,20.450000,19.831362,21.100000,20.485779
Negev_winter_2021-07-07,2021-07-07,Negev,winter,soft,Prophet,test,20.563889,20.302078,-0.261811,0.261811,0.163361,19.983333,19.904279,20.350000,20.339117,21.358333,20.662838
Negev_winter_2021-07-14,2021-07-14,Negev,winter,soft,Prophet,test,20.805556,20.546825,-0.258731,0.258731,0.127926,20.350000,20.339797,20.708333,20.537828,21.358333,20.762849
Negev_winter_2021-07-21,2021-07-21,Negev,winter,soft,Prophet,test,20.747222,20.701627,-0.045596,0.215359,0.064772,20.325000,20.518180,20.558333,20.619798,21.358333,20.966902
Negev_winter_2021-07-28,2021-07-28,Negev,winter,soft,Prophet,test,20.483333,20.701422,0.218088,0.389497,0.181487,19.908333,20.541575,20.341667,20.619804,21.200000,20.942887
Negev_winter_2021-08-01,2021-08-01,Negev,winter,soft,Prophet,test,20.511111,20.581020,0.069909,0.316073,0.105856,19.908333,20.280343,20.341667,20.548629,21.283333,20.914087
Negev_winter_2021-08-07,2021-08-07,Negev,winter,soft,Prophet,test,20.197222,20.354840,0.157618,0.488860,0.361364,19.191667,20.104919,20.283333,20.339797,21.116667,20.619804
Negev_winter_2021-08-14,2021-08-14,Negev,winter,soft,Prophet,test,19.383333,19.992474,0.609140,0.609140,0.666269,18.350000,19.701580,19.466667,19.876089,20.333333,20.399753
Negev_winter_2021-08-21,2021-08-21,Negev,winter,soft,Prophet,test,18.850000,19.702838,0.852838,0.918134,1.295951,17.666667,19.413151,18.683333,19.593307,20.200000,20.102055
Negev_winter_2021-08-28,2021-08-28,Negev,winter,soft,Prophet,test,18.250000,19.123246,0.873246,0.873246,1.050180,17.200000,18.592681,17.983333,19.075477,19.566667,19.701580
Negev_winter_2021-09-01,2021-09-01,Negev,winter,soft,Prophet,test,17.905556,18.786428,0.880872,0.880872,0.840327,17.116667,18.227648,17.666667,18.670967,18.933333,19.460668
Negev_winter_2021-09-07,2021-09-07,Negev,winter,soft,Prophet,test,17.219444,18.490307,1.270862,1.270862,1.673560,16.525000,18.098583,17.116667,18.373914,18.016667,18.998423
Negev_winter_2021-09-14,2021-09-14,Negev,winter,soft,Prophet,test,16.936111,17.441818,0.505707,0.505707,0.259979,16.158333,16.711337,16.675000,17.225484,17.975000,18.388633
Negev_winter_2021-09-21,2021-09-21,Negev,winter,soft,Prophet,test,16.163889,16.995835,0.831946,0.831946,1.171351,14.883333,16.688870,16.491667,16.925785,17.116667,17.372850
Negev_winter_2021-09-28,2021-09-28,Negev,winter,soft,Prophet,test,14.969444,16.349782,1.380337,1.380337,2.300047,13.741667,15.611729,14.641667,16.419170,16.525000,17.018446
Negev_winter_2021-10-01,2021-10-01,Negev,winter,soft,Prophet,test,14.969444,15.885530,0.916086,0.916086,1.103358,13.741667,14.845680,14.641667,16.071844,16.525000,16.739067
Negev_winter_2021-10-07,2021-10-07,Negev,winter,soft,Prophet,test,14.619444,14.868627,0.249183,0.249183,0.093456,13.741667,13.888232,14.200000,14.302634,15.916667,16.415016
Negev_winter_2021-10-14,2021-10-14,Negev,winter,soft,Prophet,test,13.883333,13.643582,-0.239751,0.239751,0.061650,12.908333,12.754530,13.800000,13.543989,14.941667,14.632228
Negev_winter_2021-10-21,2021-10-21,Negev,winter,soft,Prophet,test,13.780556,12.849132,-0.931424,0.931424,0.882370,12.908333,12.136393,13.658333,12.591018,14.775000,13.819984
Negev_winter_2021-10-28,2021-10-28,Negev,winter,soft,Prophet,test,12.186111,11.899595,-0.286517,0.844040,1.077086,10.566667,10.931344,11.641667,12.113274,14.350000,12.654166
Negev_winter_2021-11-01,2021-11-01,Negev,winter,soft,Prophet,test,11.955556,11.346659,-0.608897,0.719196,0.792348,10.566667,10.732115,11.500000,10.931344,13.800000,12.376518
Negev_winter_2021-11-07,2021-11-07,Negev,winter,soft,Prophet,test,10.636111,10.949620,0.313509,0.634250,0.656679,9.066667,10.380827,10.625000,10.732477,12.216667,11.735555
Negev_winter_2021-11-14,2021-11-14,Negev,winter,soft,Prophet,test,10.383333,9.289242,-1.094091,1.094091,1.227855,9.066667,8.115446,9.975000,8.985317,12.108333,10.766964
Negev_winter_2021-11-21,2021-11-21,Negev,winter,soft,Prophet,test,8.652778,8.418887,-0.233890,1.144335,1.360248,6.483333,7.849001,8.908333,8.073101,10.566667,9.334560
Negev_winter_2021-11-28,2021-11-28,Negev,winter,soft,Prophet,test,7.394444,7.768965,0.374520,0.746830,0.577393,6.183333,6.970989,6.916667,7.811036,9.083333,8.524869
Negev_winter_2021-12-01,2021-12-01,Negev,winter,soft,Prophet,test,7.225000,7.561882,0.336882,0.671481,0.465923,6.183333,6.970989,6.916667,7.641556,8.575000,8.073101
Negev_winter_2021-12-07,2021-12-07,Negev,winter,soft,Prophet,test,6.922222,7.246222,0.324000,0.522198,0.298249,6.175000,6.829695,6.483333,7.097935,8.108333,7.811036
Negev_winter_2021-12-14,2021-12-14,Negev,winter,soft,Prophet,test,6.172222,6.556701,0.384479,0.384479,0.184469,5.258333,5.878335,6.208333,6.590657,7.050000,7.201112
Negev_winter_2021-12-21,2021-12-21,Negev,winter,soft,Prophet,test,5.036111,6.192903,1.156792,1.161186,2.632054,2.825000,5.525634,5.308333,6.084666,6.975000,6.968410
Negev_winter_2021-12-28,2021-12-28,Negev,winter,soft,Prophet,test,3.738889,6.163837,2.424948,2.424948,7.709498,1.991667,5.525634,2.850000,6.069973,6.375000,6.895902
Negev_winter_2022-01-01,2022-01-01,Negev,winter,soft,Prophet,test,3.377778,6.096782,2.719004,2.719004,8.275254,1.991667,5.525634,2.850000,6.069973,5.291667,6.694737
Negev_winter_2022-01-07,2022-01-07,Negev,winter,soft,Prophet,test,3.180556,6.070360,2.889804,2.889804,8.842063,1.991667,5.525634,2.850000,6.069973,4.700000,6.615472
Negev_winter_2022-01-14,2022-01-14,Negev,winter,soft,Prophet,test,3.116667,6.544588,3.427921,3.427921,12.071849,1.991667,6.084666,2.850000,6.332762,4.508333,7.216335
Negev_winter_2022-01-21,2022-01-21,Negev,winter,soft,Prophet,test,4.350000,6.903777,2.553777,2.553777,7.413117,2.758333,6.393854,4.108333,6.799016,6.183333,7.518460
Negev_winter_2022-01-28,2022-01-28,Negev,winter,soft,Prophet,test,5.544444,7.126076,1.581631,1.581631,2.698352,4.216667,6.393854,5.775000,7.229663,6.641667,7.754710
Negev_winter_2022-02-01,2022-02-01,Negev,winter,soft,Prophet,test,6.255556,7.405379,1.149823,1.149823,1.330707,5.775000,6.799016,6.233333,7.413677,6.758333,8.003443
Negev_winter_2022-02-07,2022-02-07,Negev,winter,soft,Prophet,test,6.466667,7.853282,1.386616,1.386616,1.986409,5.775000,7.400051,6.283333,7.780777,7.341667,8.379019
Negev_winter_2022-02-14,2022-02-14,Negev,winter,soft,Prophet,test,5.819697,8.507828,2.688131,2.688131,8.619417,3.709091,8.051736,6.283333,8.336535,7.466667,9.135212
Negev_winter_2022-02-21,2022-02-21,Negev,winter,soft,Prophet,test,4.497475,8.851722,4.354248,4.354248,21.483341,2.127273,8.336535,4.381818,8.906280,6.983333,9.312352
Negev_winter_2022-02-28,2022-02-28,Negev,winter,soft,Prophet,test,3.872727,9.340515,5.467788,5.467788,30.849930,2.127273,8.771451,3.709091,9.214714,5.781818,10.035382
Negev_winter_2022-03-01,2022-03-01,Negev,winter,soft,Prophet,test,3.872727,9.373062,5.500334,5.500334,31.211481,2.127273,8.771451,3.709091,9.312352,5.781818,10.035382
Negev_winter_2022-03-07,2022-03-07,Negev,winter,soft,Prophet,test,3.872727,9.632492,5.759765,5.759765,33.945521,2.127273,8.771451,3.709091,9.781174,5.781818,10.344851
Negev_winter_2022-03-14,2022-03-14,Negev,winter,soft,Prophet,test,5.018182,9.700138,4.681956,4.681956,24.652859,2.609091,8.771451,4.272727,9.781174,8.172727,10.547788
Negev_winter_2022-03-21,2022-03-21,Negev,winter,soft,Prophet,test,6.596970,10.518397,3.921428,3.921428,18.577854,4.272727,9.907940,5.736364,10.412604,9.781818,11.234648
Negev_winter_2022-03-28,2022-03-28,Negev,winter,soft,Prophet,test,9.571970,11.174928,1.602958,1.602958,3.419539,7.925000,10.344851,9.127273,11.201905,11.663636,11.978027
Negev_winter_2022-04-01,2022-04-01,Negev,winter,soft,Prophet,test,10.638889,11.877171,1.238282,1.946948,4.687418,7.941667,11.201905,10.291667,11.809274,13.683333,12.620334
Negev_winter_2022-04-07,2022-04-07,Negev,winter,soft,Prophet,test,10.519444,12.389890,1.870446,2.043368,6.377863,7.941667,11.834531,10.291667,12.269524,13.325000,13.065617
Negev_winter_2022-04-14,2022-04-14,Negev,winter,soft,Prophet,test,11.305556,13.261055,1.955500,1.955500,5.757288,9.008333,12.647389,11.041667,13.035270,13.866667,14.100506
Negev_winter_2022-04-21,2022-04-21,Negev,winter,soft,Prophet,test,12.408333,13.937323,1.528989,1.528989,3.518905,10.291667,13.340856,12.908333,13.873156,14.025000,14.597956
Negev_winter_2022-04-28,2022-04-28,Negev,winter,soft,Prophet,test,13.100000,14.651458,1.551458,1.551458,2.636769,11.875000,14.100506,13.316667,14.468927,14.108333,15.384942
Negev_winter_2022-05-01,2022-05-01,Negev,winter,soft,Prophet,test,13.266667,14.869398,1.602731,1.602731,2.992893,11.875000,14.335862,13.316667,14.780034,14.608333,15.492297
Negev_winter_2022-05-07,2022-05-07,Negev,winter,soft,Prophet,test,13.922222,15.221444,1.299221,1.299221,2.539112,11.875000,14.353286,13.866667,15.060151,16.025000,16.250893
Negev_winter_2022-05-14,2022-05-14,Negev,winter,soft,Prophet,test,15.799747,16.354172,0.554424,1.115217,1.546785,13.891667,15.775004,15.616667,16.237791,17.890909,17.049719
Negev_winter_2022-05-21,2022-05-21,Negev,winter,soft,Prophet,test,17.021970,16.725828,-0.296141,0.607404,0.408734,15.616667,16.083561,17.390909,16.501392,18.058333,17.592532
Negev_winter_2022-05-28,2022-05-28,Negev,winter,soft,Prophet,test,18.018687,17.483236,-0.535451,0.535451,0.291410,17.681818,17.049719,17.990909,17.510732,18.383333,17.889257
Negev_winter_2022-06-01,2022-06-01,Negev,winter,soft,Prophet,test,18.142929,17.615375,-0.527555,0.527555,0.287920,17.775000,17.195910,18.045455,17.655100,18.608333,17.995114
Negev_winter_2022-06-07,2022-06-07,Negev,winter,soft,Prophet,test,18.494444,18.197159,-0.297285,0.360125,0.165612,18.075000,17.611428,18.416667,17.894123,18.991667,19.085927
Negev_winter_2022-06-14,2022-06-14,Negev,winter,soft,Prophet,test,18.491667,18.773498,0.281832,0.392994,0.187718,18.075000,17.908257,18.383333,18.996780,19.016667,19.415458
Negev_winter_2022-06-21,2022-06-21,Negev,winter,soft,Prophet,test,18.788889,19.475166,0.686277,0.686277,0.502059,18.333333,19.251612,18.741667,19.391036,19.291667,19.782850
Negev_winter_2022-06-28,2022-06-28,Negev,winter,soft,Prophet,test,19.050000,19.788562,0.738562,0.738562,0.592275,18.408333,19.415458,18.991667,19.722860,19.750000,20.227368
Negev_winter_2022-07-01,2022-07-01,Negev,winter,soft,Prophet,test,19.208333,19.897929,0.689595,0.689595,0.526351,18.408333,19.415458,19.250000,19.805222,19.966667,20.473106
Negev_winter_2022-07-07,2022-07-07,Negev,winter,soft,Prophet,test,19.333333,20.292420,0.959087,0.959087,1.135350,18.408333,19.898823,19.300000,20.327245,20.291667,20.651193
Negev_winter_2022-07-14,2022-07-14,Negev,winter,soft,Prophet,test,20.083333,20.536466,0.453133,0.484200,0.427115,19.250000,20.334284,20.208333,20.530049,20.791667,20.745065
Negev_winter_2022-07-21,2022-07-21,Negev,winter,soft,Prophet,test,20.158333,20.692226,0.533893,0.533893,0.446445,19.433333,20.507081,20.208333,20.625670,20.833333,20.943928
Negev_winter_2022-07-28,2022-07-28,Negev,winter,soft,Prophet,test,20.363889,20.697757,0.333868,0.347722,0.222545,19.750000,20.530049,20.383333,20.625670,20.958333,20.937552
Negev_winter_2022-08-01,2022-08-01,Negev,winter,soft,Prophet,test,20.383333,20.575063,0.191730,0.266542,0.106996,19.750000,20.283611,20.383333,20.537131,21.016667,20.904448
Negev_winter_2022-08-07,2022-08-07,Negev,winter,soft,Prophet,test,20.530556,20.355523,-0.175033,0.412776,0.274303,19.750000,20.106615,20.383333,20.334284,21.458333,20.625670
Negev_winter_2022-08-14,2022-08-14,Negev,winter,soft,Prophet,test,20.025000,19.983278,-0.041722,0.355073,0.178866,19.225000,19.695026,19.883333,19.848935,20.966667,20.405871
Negev_winter_2022-08-21,2022-08-21,Negev,winter,soft,Prophet,test,19.461111,19.692526,0.231415,0.563969,0.510642,18.283333,19.414370,19.525000,19.587039,20.575000,20.076169
Negev_winter_2022-08-28,2022-08-28,Negev,winter,soft,Prophet,test,18.819444,19.108418,0.288974,0.308956,0.219386,17.775000,18.580553,18.958333,19.049675,19.725000,19.695026
Negev_winter_2022-09-01,2022-09-01,Negev,winter,soft,Prophet,test,18.738889,18.776004,0.037116,0.260611,0.085916,17.775000,18.221589,18.858333,18.658205,19.583333,19.448219
Negev_winter_2022-09-07,2022-09-07,Negev,winter,soft,Prophet,test,18.544444,18.468139,-0.076305,0.283346,0.080834,17.775000,18.085562,18.633333,18.347240,19.225000,18.971616
Negev_winter_2022-09-14,2022-09-14,Negev,winter,soft,Prophet,test,17.527778,17.424762,-0.103016,0.598667,0.369222,15.941667,16.685143,17.775000,17.226311,18.866667,18.362830
Negev_winter_2022-09-21,2022-09-21,Negev,winter,soft,Prophet,test,16.588889,16.973309,0.384420,1.065340,1.144858,15.458333,16.661470,15.941667,16.913171,18.366667,17.345287
Negev_winter_2022-09-28,2022-09-28,Negev,winter,soft,Prophet,test,16.105556,16.342418,0.236863,0.488746,0.247006,15.108333,15.598019,15.825000,16.423727,17.383333,17.005509
Negev_winter_2022-10-01,2022-10-01,Negev,winter,soft,Prophet,test,15.911111,15.869957,-0.041154,0.269265,0.077298,15.108333,14.818903,15.716667,16.058832,16.908333,16.732135
Negev_winter_2022-10-07,2022-10-07,Negev,winter,soft,Prophet,test,14.705556,14.866415,0.160859,0.664478,0.456668,13.133333,13.880793,15.058333,14.302905,15.925000,16.415547
Negev_winter_2022-10-14,2022-10-14,Negev,winter,soft,Prophet,test,13.519444,13.635778,0.116334,0.525855,0.309506,12.050000,12.740470,13.275000,13.547813,15.233333,14.619051
Negev_winter_2022-10-21,2022-10-21,Negev,winter,soft,Prophet,test,12.605556,12.834306,0.228751,0.712501,0.579498,11.075000,12.109010,12.216667,12.594533,14.525000,13.799375
Negev_winter_2022-10-28,2022-10-28,Negev,winter,soft,Prophet,test,11.988889,11.885645,-0.103244,0.377049,0.205770,10.783333,10.905211,11.816667,12.105497,13.366667,12.646227
Negev_winter_2022-11-01,2022-11-01,Negev,winter,soft,Prophet,test,11.397222,11.333161,-0.064061,0.353514,0.131805,10.300000,10.734180,11.291667,10.905211,12.600000,12.360093
