sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_winter_2021-06-14,2021-06-14,Negev,winter,anchor,SARIMAX,test,15.391667,17.651730,2.260064,2.260064,5.107888
Negev_winter_2021-06-21,2021-06-21,Negev,winter,anchor,SARIMAX,test,16.666667,19.092509,2.425842,2.425842,5.884712
Negev_winter_2021-06-28,2021-06-28,Negev,winter,anchor,SARIMAX,test,18.766667,19.451653,0.684986,0.684986,0.469206
Negev_winter_2021-07-01,2021-07-01,Negev,winter,anchor,SARIMAX,test,18.766667,19.452025,0.685358,0.685358,0.469716
Negev_winter_2021-07-07,2021-07-07,Negev,winter,anchor,SARIMAX,test,18.766667,19.657336,0.890669,0.890669,0.793291
Negev_winter_2021-07-14,2021-07-14,Negev,winter,anchor,SARIMAX,test,20.075000,20.236116,0.161116,0.161116,0.025958
Negev_winter_2021-07-21,2021-07-21,Negev,winter,anchor,SARIMAX,test,18.458333,20.511468,2.053134,2.053134,4.215361
Negev_winter_2021-07-28,2021-07-28,Negev,winter,anchor,SARIMAX,test,18.266667,20.510546,2.243880,2.243880,5.034995
Negev_winter_2021-08-01,2021-08-01,Negev,winter,anchor,SARIMAX,test,18.266667,20.328812,2.062145,2.062145,4.252443
Negev_winter_2021-08-07,2021-08-07,Negev,winter,anchor,SARIMAX,test,18.266667,20.033234,1.766568,1.766568,3.120761
Negev_winter_2021-08-14,2021-08-14,Negev,winter,anchor,SARIMAX,test,17.666667,19.831724,2.165057,2.165057,4.687473
Negev_winter_2021-08-21,2021-08-21,Negev,winter,anchor,SARIMAX,test,17.200000,19.151741,1.951741,1.951741,3.809295
Negev_winter_2021-08-28,2021-08-28,Negev,winter,anchor,SARIMAX,test,14.883333,18.431350,3.548016,3.548016,12.588421
Negev_winter_2021-09-01,2021-09-01,Negev,winter,anchor,SARIMAX,test,14.883333,18.431858,3.548525,3.548525,12.592029
Negev_winter_2021-09-07,2021-09-07,Negev,winter,anchor,SARIMAX,test,14.883333,17.328148,2.444815,2.444815,5.977119
Negev_winter_2021-09-14,2021-09-14,Negev,winter,anchor,SARIMAX,test,14.883333,16.799496,1.916163,1.916163,3.671680
Negev_winter_2021-09-21,2021-09-21,Negev,winter,anchor,SARIMAX,test,14.200000,16.799269,2.599269,2.599269,6.756199
Negev_winter_2021-09-28,2021-09-28,Negev,winter,anchor,SARIMAX,test,13.641667,15.174814,1.533147,1.533147,2.350540
Negev_winter_2021-10-01,2021-10-01,Negev,winter,anchor,SARIMAX,test,13.641667,14.580531,0.938864,0.938864,0.881466
Negev_winter_2021-10-07,2021-10-07,Negev,winter,anchor,SARIMAX,test,13.641667,14.058426,0.416759,0.416759,0.173688
Negev_winter_2021-10-14,2021-10-14,Negev,winter,anchor,SARIMAX,test,11.641667,12.734337,1.092670,1.092670,1.193929
Negev_winter_2021-10-21,2021-10-21,Negev,winter,anchor,SARIMAX,test,11.641667,12.183023,0.541357,0.541357,0.293067
Negev_winter_2021-10-28,2021-10-28,Negev,winter,anchor,SARIMAX,test,9.900000,11.144858,1.244858,1.244858,1.549671
Negev_winter_2021-11-01,2021-11-01,Negev,winter,anchor,SARIMAX,test,9.900000,10.570848,0.670848,0.670848,0.450037
Negev_winter_2021-11-07,2021-11-07,Negev,winter,anchor,SARIMAX,test,7.558333,9.433347,1.875014,1.875014,3.515676
Negev_winter_2021-11-14,2021-11-14,Negev,winter,anchor,SARIMAX,test,7.558333,8.190159,0.631826,0.631826,0.399204
Negev_winter_2021-11-21,2021-11-21,Negev,winter,anchor,SARIMAX,test,6.183333,7.863764,1.680430,1.680430,2.823846
Negev_winter_2021-11-28,2021-11-28,Negev,winter,anchor,SARIMAX,test,5.025000,6.985387,1.960387,1.960387,3.843119
Negev_winter_2021-12-01,2021-12-01,Negev,winter,anchor,SARIMAX,test,5.025000,6.987404,1.962404,1.962404,3.851029
Negev_winter_2021-12-07,2021-12-07,Negev,winter,anchor,SARIMAX,test,5.025000,6.614714,1.589714,1.589714,2.527192
Negev_winter_2021-12-14,2021-12-14,Negev,winter,anchor,SARIMAX,test,4.700000,5.463839,0.763839,0.763839,0.583450
Negev_winter_2021-12-21,2021-12-21,Negev,winter,anchor,SARIMAX,test,0.008333,5.459147,5.450814,5.450814,29.711369
Negev_winter_2021-12-28,2021-12-28,Negev,winter,anchor,SARIMAX,test,0.008333,5.459279,5.450945,5.450945,29.712805
Negev_winter_2022-01-01,2022-01-01,Negev,winter,anchor,SARIMAX,test,0.008333,5.457377,5.449043,5.449043,29.692073
Negev_winter_2022-01-07,2022-01-07,Negev,winter,anchor,SARIMAX,test,0.008333,5.451188,5.442854,5.442854,29.624664
Negev_winter_2022-01-14,2022-01-14,Negev,winter,anchor,SARIMAX,test,0.008333,5.792244,5.783911,5.783911,33.453624
Negev_winter_2022-01-21,2022-01-21,Negev,winter,anchor,SARIMAX,test,1.925000,6.382046,4.457046,4.457046,19.865259
Negev_winter_2022-01-28,2022-01-28,Negev,winter,anchor,SARIMAX,test,3.258333,6.381932,3.123599,3.123599,9.756868
Negev_winter_2022-02-01,2022-02-01,Negev,winter,anchor,SARIMAX,test,4.508333,6.340113,1.831780,1.831780,3.355418
Negev_winter_2022-02-07,2022-02-07,Negev,winter,anchor,SARIMAX,test,4.508333,7.266401,2.758068,2.758068,7.606939
Negev_winter_2022-02-14,2022-02-14,Negev,winter,anchor,SARIMAX,test,1.466667,8.047552,6.580886,6.580886,43.308058
Negev_winter_2022-02-21,2022-02-21,Negev,winter,anchor,SARIMAX,test,0.881818,8.186028,7.304210,7.304210,53.351486
Negev_winter_2022-02-28,2022-02-28,Negev,winter,anchor,SARIMAX,test,0.881818,8.341289,7.459471,7.459471,55.643705
Negev_winter_2022-03-01,2022-03-01,Negev,winter,anchor,SARIMAX,test,0.881818,8.340298,7.458480,7.458480,55.628924
Negev_winter_2022-03-07,2022-03-07,Negev,winter,anchor,SARIMAX,test,0.881818,8.338826,7.457008,7.457008,55.606970
Negev_winter_2022-03-14,2022-03-14,Negev,winter,anchor,SARIMAX,test,0.881818,8.358651,7.476833,7.476833,55.903030
Negev_winter_2022-03-21,2022-03-21,Negev,winter,anchor,SARIMAX,test,3.627273,9.612177,5.984904,5.984904,35.819081
Negev_winter_2022-03-28,2022-03-28,Negev,winter,anchor,SARIMAX,test,5.736364,9.599310,3.862946,3.862946,14.922353
Negev_winter_2022-04-01,2022-04-01,Negev,winter,anchor,SARIMAX,test,7.733333,10.456909,2.723576,2.723576,7.417865
Negev_winter_2022-04-07,2022-04-07,Negev,winter,anchor,SARIMAX,test,7.733333,11.681994,3.948660,3.948660,15.591919
Negev_winter_2022-04-14,2022-04-14,Negev,winter,anchor,SARIMAX,test,7.925000,11.979549,4.054549,4.054549,16.439367
Negev_winter_2022-04-21,2022-04-21,Negev,winter,anchor,SARIMAX,test,9.008333,12.678546,3.670212,3.670212,13.470460
Negev_winter_2022-04-28,2022-04-28,Negev,winter,anchor,SARIMAX,test,10.283333,13.839427,3.556093,3.556093,12.645799
Negev_winter_2022-05-01,2022-05-01,Negev,winter,anchor,SARIMAX,test,10.283333,14.031186,3.747853,3.747853,14.046401
Negev_winter_2022-05-07,2022-05-07,Negev,winter,anchor,SARIMAX,test,10.283333,14.123139,3.839806,3.839806,14.744111
Negev_winter_2022-05-14,2022-05-14,Negev,winter,anchor,SARIMAX,test,11.875000,15.012234,3.137234,3.137234,9.842235
Negev_winter_2022-05-21,2022-05-21,Negev,winter,anchor,SARIMAX,test,13.891667,15.706674,1.815007,1.815007,3.294250
Negev_winter_2022-05-28,2022-05-28,Negev,winter,anchor,SARIMAX,test,16.136364,16.387272,0.250908,0.250908,0.062955
Negev_winter_2022-06-01,2022-06-01,Negev,winter,anchor,SARIMAX,test,16.136364,16.441189,0.304825,0.304825,0.092918
Negev_winter_2022-06-07,2022-06-07,Negev,winter,anchor,SARIMAX,test,17.775000,17.546783,-0.228217,0.228217,0.052083
