sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error,actual_p3,predicted_p3,actual_p7,predicted_p7,actual_p15,predicted_p15
Negev_winter_2021-06-14,2021-06-14,Negev,winter,soft,SARIMAX,test,17.344444,18.851388,1.506943,1.512961,3.434263,15.850000,17.968458,16.666667,19.078065,19.516667,19.507640
Negev_winter_2021-06-21,2021-06-21,Negev,winter,soft,SARIMAX,test,19.394444,19.537080,0.142636,0.652609,0.470762,18.475000,19.311912,19.108333,19.464288,20.600000,19.835041
Negev_winter_2021-06-28,2021-06-28,Negev,winter,soft,SARIMAX,test,20.347222,19.890678,-0.456544,0.456544,0.294373,19.550000,19.506048,20.450000,19.822334,21.041667,20.343652
Negev_winter_2021-07-01,2021-07-01,Negev,winter,soft,SARIMAX,test,20.366667,19.985717,-0.380950,0.380950,0.202787,19.550000,19.506259,20.450000,19.865601,21.100000,20.585291
Negev_winter_2021-07-07,2021-07-07,Negev,winter,soft,SARIMAX,test,20.563889,20.376211,-0.187678,0.223847,0.127574,19.983333,20.000342,20.350000,20.387245,21.358333,20.741046
Negev_winter_2021-07-14,2021-07-14,Negev,winter,soft,SARIMAX,test,20.805556,20.693097,-0.112458,0.219604,0.085021,20.350000,20.510718,20.708333,20.688616,21.358333,20.879958
Negev_winter_2021-07-21,2021-07-21,Negev,winter,soft,SARIMAX,test,20.747222,20.870966,0.123744,0.269325,0.075716,20.325000,20.672934,20.558333,20.800002,21.358333,21.139962
Negev_winter_2021-07-28,2021-07-28,Negev,winter,soft,SARIMAX,test,20.483333,20.895750,0.412416,0.456715,0.299959,19.908333,20.711258,20.341667,20.842439,21.200000,21.133552
Negev_winter_2021-08-01,2021-08-01,Negev,winter,soft,SARIMAX,test,20.511111,20.784883,0.273772,0.399241,0.187774,19.908333,20.508844,20.341667,20.750676,21.283333,21.095129
Negev_winter_2021-08-07,2021-08-07,Negev,winter,soft,SARIMAX,test,20.197222,20.575107,0.377885,0.572468,0.487254,19.191667,20.328992,20.283333,20.571538,21.116667,20.824792
Negev_winter_2021-08-14,2021-08-14,Negev,winter,soft,SARIMAX,test,19.383333,20.212901,0.829568,0.829568,1.007234,18.350000,19.942241,19.466667,20.120626,20.333333,20.575836
Negev_winter_2021-08-21,2021-08-21,Negev,winter,soft,SARIMAX,test,18.850000,19.957225,1.107225,1.107225,1.865342,17.666667,19.716261,18.683333,19.860711,20.200000,20.294702
Negev_winter_2021-08-28,2021-08-28,Negev,winter,soft,SARIMAX,test,18.250000,19.372792,1.122792,1.122792,1.568946,17.200000,18.822600,17.983333,19.380693,19.566667,19.915085
Negev_winter_2021-09-01,2021-09-01,Negev,winter,soft,SARIMAX,test,17.905556,19.053664,1.148109,1.148109,1.385088,17.116667,18.502449,17.666667,18.936843,18.933333,19.721700
Negev_winter_2021-09-07,2021-09-07,Negev,winter,soft,SARIMAX,test,17.219444,18.736739,1.517295,1.517295,2.357185,16.525000,18.330000,17.116667,18.633012,18.016667,19.247205
Negev_winter_2021-09-14,2021-09-14,Negev,winter,soft,SARIMAX,test,16.936111,17.753863,0.817752,0.817752,0.671456,16.158333,17.026764,16.675000,17.514111,17.975000,18.720715
Negev_winter_2021-09-21,2021-09-21,Negev,winter,soft,SARIMAX,test,16.163889,17.264260,1.100371,1.100371,1.686364,14.883333,16.951385,16.491667,17.213161,17.116667,17.628234
Negev_winter_2021-09-28,2021-09-28,Negev,winter,soft,SARIMAX,test,14.969444,16.642455,1.673010,1.673010,3.194015,13.741667,15.870448,14.641667,16.747686,16.525000,17.309230
Negev_winter_2021-10-01,2021-10-01,Negev,winter,soft,SARIMAX,test,14.969444,16.157472,1.188027,1.188027,1.676330,13.741667,15.071249,14.641667,16.377263,16.525000,17.023903
Negev_winter_2021-10-07,2021-10-07,Negev,winter,soft,SARIMAX,test,14.619444,15.189138,0.569693,0.569693,0.342353,13.741667,14.254061,14.200000,14.642647,15.916667,16.670704
Negev_winter_2021-10-14,2021-10-14,Negev,winter,soft,SARIMAX,test,13.883333,13.960256,0.076923,0.091068,0.011230,12.908333,13.061623,13.800000,13.898696,14.941667,14.920449
Negev_winter_2021-10-21,2021-10-21,Negev,winter,soft,SARIMAX,test,13.780556,13.069746,-0.710810,0.710810,0.526723,12.908333,12.379060,13.658333,12.770207,14.775000,14.059970
Negev_winter_2021-10-28,2021-10-28,Negev,winter,soft,SARIMAX,test,12.186111,12.124476,-0.061635,0.914584,0.988712,10.566667,11.165067,11.641667,12.322689,14.350000,12.885671
Negev_winter_2021-11-01,2021-11-01,Negev,winter,soft,SARIMAX,test,11.955556,11.533505,-0.422050,0.614775,0.561416,10.566667,10.855753,11.500000,11.164702,13.800000,12.580060
Negev_winter_2021-11-07,2021-11-07,Negev,winter,soft,SARIMAX,test,10.636111,11.140117,0.504006,0.658290,0.792402,9.066667,10.572365,10.625000,10.862745,12.216667,11.985240
Negev_winter_2021-11-14,2021-11-14,Negev,winter,soft,SARIMAX,test,10.383333,9.429028,-0.954306,0.954306,0.937031,9.066667,8.253335,9.975000,9.107028,12.108333,10.926720
Negev_winter_2021-11-21,2021-11-21,Negev,winter,soft,SARIMAX,test,8.652778,8.548884,-0.103894,1.129241,1.387755,6.483333,8.021353,8.908333,8.192120,10.566667,9.433178
