sample_id,date,region,season,target,model,split,actual,predicted,residual,abs_error,sq_error
Negev_winter_2021-06-14,2021-06-14,Negev,winter,anchor,Tab-LSTM,test,15.391666,16.099249,0.707582,0.707582,0.500673
Negev_winter_2021-06-21,2021-06-21,Negev,winter,anchor,Tab-LSTM,test,16.666666,16.699245,0.032579,0.032579,0.001061
Negev_winter_2021-06-28,2021-06-28,Negev,winter,anchor,Tab-LSTM,test,18.766666,17.314201,-1.452465,1.452465,2.109655
Negev_winter_2021-07-01,2021-07-01,Negev,winter,anchor,Tab-LSTM,test,18.766666,17.440325,-1.326342,1.326342,1.759182
Negev_winter_2021-07-07,2021-07-07,Negev,winter,anchor,Tab-LSTM,test,18.766666,17.712908,-1.053759,1.053759,1.110407
Negev_winter_2021-07-14,2021-07-14,Negev,winter,anchor,Tab-LSTM,test,20.075001,18.131050,-1.943951,1.943951,3.778944
Negev_winter_2021-07-21,2021-07-21,Negev,winter,anchor,Tab-LSTM,test,18.458334,18.186974,-0.271360,0.271360,0.073636
Negev_winter_2021-07-28,2021-07-28,Negev,winter,anchor,Tab-LSTM,test,18.266666,17.927170,-0.339497,0.339497,0.115258
Negev_winter_2021-08-01,2021-08-01,Negev,winter,anchor,Tab-LSTM,test,18.266666,18.013439,-0.253227,0.253227,0.064124
Negev_winter_2021-08-07,2021-08-07,Negev,winter,anchor,Tab-LSTM,test,18.266666,17.841225,-0.425442,0.425442,0.181001
Negev_winter_2021-08-14,2021-08-14,Negev,winter,anchor,Tab-LSTM,test,17.666666,18.437225,0.770559,0.770559,0.593762
Negev_winter_2021-08-21,2021-08-21,Negev,winter,anchor,Tab-LSTM,test,17.200001,18.218102,1.018101,1.018101,1.036529
Negev_winter_2021-08-28,2021-08-28,Negev,winter,anchor,Tab-LSTM,test,14.883333,17.176838,2.293505,2.293505,5.260164
Negev_winter_2021-09-01,2021-09-01,Negev,winter,anchor,Tab-LSTM,test,14.883333,16.769409,1.886076,1.886076,3.557283
Negev_winter_2021-09-07,2021-09-07,Negev,winter,anchor,Tab-LSTM,test,14.883333,16.728456,1.845123,1.845123,3.404480
